collection_id,collection_name,doi,published_at,dataset_id,dataset_version_id,cell_count,species,tissue,disease,assay,suspension,matched_cell_types,all_cell_types,assets,collection_url
3a5dbf8a-9b3e-4309-b4c5-d8a024f83734,Bronchopulmonary Dysplasia,,2025-02-03T17:14:54+00:00,d68a8b48-abf0-4bd5-8834-155d34ec448a,83bbeaaf-f5e0-42ac-be8a-dbc4e0c0d433,271381,Homo sapiens,middle lobe of right lung,bronchopulmonary dysplasia|normal,10x 3' v3,nucleus,pulmonary neuroendocrine cell,"B cell|CD8-positive, alpha-beta cytotoxic T cell|alveolar adventitial fibroblast|alveolar capillary type 1 endothelial cell|alveolar capillary type 2 endothelial cell|alveolar macrophage|alveolar type 1 fibroblast cell|basal cell|brush cell of tracheobronchial tree|ciliated cell|classical monocyte|conventional dendritic cell|endothelial cell of artery|endothelial cell of respiratory system lymphatic vessel|goblet cell|helper T cell|lung interstitial macrophage|lung megakaryocyte|lung secretory cell|mast cell|mature conventional dendritic cell|mesothelial cell of pleura|mucus secreting cell of tracheobronchial tree submucosal gland|natural killer cell|non-classical monocyte|pericyte|plasma cell|plasmacytoid dendritic cell|pulmonary alveolar type 1 cell|pulmonary alveolar type 2 cell|pulmonary neuroendocrine cell|regulatory T cell|secondary crest myofibroblast|secretory cell|serous secreting cell|tracheobronchial smooth muscle cell|vascular associated smooth muscle cell|vein endothelial cell|vein endothelial cell of respiratory system",https://datasets.cellxgene.cziscience.com/83bbeaaf-f5e0-42ac-be8a-dbc4e0c0d433.h5ad,https://cellxgene.cziscience.com/collections/3a5dbf8a-9b3e-4309-b4c5-d8a024f83734
7f7fdf50-aa0e-4a6f-979c-53655cac9d5d,IBDverse: Cell type-resolved genetic variation shapes inflammatory bowel disease risk,10.1038/s41586-026-10627-z,2026-06-08T20:30:06+00:00,0e5c75da-7bc9-4a2c-83fc-ef1e378bd5f9,e3460364-c300-4616-9923-3a0224894998,1852681,Homo sapiens,blood|ileum|rectum,Crohn disease|normal,10x 3' v3,cell,enterochromaffin-like cell|glial cell|intestinal enteroendocrine cell,"B cell|BEST4+ colonocyte|BEST4+ enterocyte|CD4-positive, CD25-positive, alpha-beta regulatory T cell|CD4-positive, alpha-beta T cell|CD4-positive, alpha-beta memory T cell|CD4-positive, alpha-beta memory T cell, CD45RO-positive|CD8-positive, alpha-beta memory T cell, CD45RO-positive|anorectum goblet cell|central memory CD4-positive, alpha-beta T cell|classical monocyte|colonocyte|conventional dendritic cell|double negative thymocyte|early colonocyte|effector memory CD8-positive, alpha-beta T cell|effector memory CD8-positive, alpha-beta T cell, terminally differentiated|enterochromaffin-like cell|enterocyte of epithelium proper of ileum|fibroblast|gamma-delta T cell|glial cell|granzyme K-associated CD8 T cell|gut endothelial cell|ileal goblet cell|innate lymphoid cell|intermediate monocyte|intestinal crypt stem cell of colon|intestinal crypt stem cell of small intestine|intestinal enteroendocrine cell|intestinal tuft cell|mast cell|memory B cell|monocyte|myofibroblast cell|naive B cell|naive thymus-derived CD8-positive, alpha-beta T cell|natural killer cell|non-classical monocyte|paneth cell of epithelium of small intestine|pericyte|plasma cell|plasmablast|plasmacytoid dendritic cell|platelet|subepithelial intestinal fibroblast|tissue-resident macrophage|vascular associated smooth muscle cell",https://datasets.cellxgene.cziscience.com/e3460364-c300-4616-9923-3a0224894998.h5ad,https://cellxgene.cziscience.com/collections/7f7fdf50-aa0e-4a6f-979c-53655cac9d5d
43d4bb39-21af-4d05-b973-4c1fed7b916c,Transcriptional Programming of Normal and Inflamed Human Epidermis at Single-Cell Resolution,10.1016/j.celrep.2018.09.006,2022-10-31T18:01:30+00:00,f512b8b6-369d-4a85-a695-116e0806857f,688f626d-bb26-40dd-8465-83022a5b2c5f,68036,Homo sapiens,skin of prepuce of penis|skin of scalp|skin of trunk,normal,10x 3' v2,cell,Merkel cell,Merkel cell|basal cell of epidermis|granular cell of epidermis|hair follicular keratinocyte|hematopoietic cell|keratinocyte|melanocyte|spinous cell of epidermis,https://datasets.cellxgene.cziscience.com/688f626d-bb26-40dd-8465-83022a5b2c5f.h5ad,https://cellxgene.cziscience.com/collections/43d4bb39-21af-4d05-b973-4c1fed7b916c
68cba939-4e72-4405-80ef-512a05044fba,Profiling the heterogeneity of colorectal cancer consensus molecular subtypes using spatial transcriptomics,10.1038/s41698-023-00488-4,2024-08-15T15:41:10+00:00,f7af19e4-fc64-46d0-ab3c-d4f70dd670f4,7a9397d6-dbd5-400e-bd35-e31793ade49c,4992,Homo sapiens,rectosigmoid junction,colorectal cancer,Visium Spatial Gene Expression V1,na,enteroglial cell,"B cell|CD4-positive, alpha-beta T cell|CD8-positive, alpha-beta T cell|IgG plasma cell|M1 macrophage|T follicular helper cell|conventional dendritic cell|endothelial stalk cell|endothelial tip cell|enterocyte|enteroglial cell|goblet cell|macrophage|malignant cell|mast cell|myofibroblast cell|pericyte|regulatory T cell|smooth muscle cell|stromal cell|transit amplifying cell of colon|unknown",https://datasets.cellxgene.cziscience.com/7a9397d6-dbd5-400e-bd35-e31793ade49c.h5ad,https://cellxgene.cziscience.com/collections/68cba939-4e72-4405-80ef-512a05044fba
68cba939-4e72-4405-80ef-512a05044fba,Profiling the heterogeneity of colorectal cancer consensus molecular subtypes using spatial transcriptomics,10.1038/s41698-023-00488-4,2024-08-15T15:41:10+00:00,a73f7983-c94b-4005-aaed-30d35b61688a,7e26f8dc-2b00-4b6a-9f1f-25a1ba853599,4992,Homo sapiens,caecum,colorectal cancer,Visium Spatial Gene Expression V1,na,enteroglial cell,"B cell|CD4-positive, alpha-beta T cell|CD8-positive, alpha-beta T cell|M1 macrophage|T follicular helper cell|conventional dendritic cell|endothelial cell|endothelial stalk cell|endothelial tip cell|enterocyte|enteroglial cell|gamma-delta T cell|goblet cell|macrophage|malignant cell|mast cell|myofibroblast cell|pericyte|regulatory T cell|smooth muscle cell|stromal cell|transit amplifying cell of colon|unknown",https://datasets.cellxgene.cziscience.com/7e26f8dc-2b00-4b6a-9f1f-25a1ba853599.h5ad,https://cellxgene.cziscience.com/collections/68cba939-4e72-4405-80ef-512a05044fba
68cba939-4e72-4405-80ef-512a05044fba,Profiling the heterogeneity of colorectal cancer consensus molecular subtypes using spatial transcriptomics,10.1038/s41698-023-00488-4,2024-08-15T15:41:10+00:00,7ba1a805-0afe-4264-b21e-0ce2ef1aa3bd,caed233d-e71f-4db2-9bac-d306f8828544,4992,Homo sapiens,rectum,colorectal cancer,Visium Spatial Gene Expression V1,na,enteroglial cell,"B cell|CD4-positive, alpha-beta T cell|CD8-positive, alpha-beta T cell|IgA plasma cell|IgG plasma cell|M1 macrophage|T follicular helper cell|conventional dendritic cell|endothelial cell of lymphatic vessel|endothelial stalk cell|endothelial tip cell|enterocyte|enteroglial cell|goblet cell|macrophage|malignant cell|mast cell|myofibroblast cell|pericyte|regulatory T cell|smooth muscle cell|stromal cell|transit amplifying cell of colon|unknown",https://datasets.cellxgene.cziscience.com/caed233d-e71f-4db2-9bac-d306f8828544.h5ad,https://cellxgene.cziscience.com/collections/68cba939-4e72-4405-80ef-512a05044fba
68cba939-4e72-4405-80ef-512a05044fba,Profiling the heterogeneity of colorectal cancer consensus molecular subtypes using spatial transcriptomics,10.1038/s41698-023-00488-4,2024-08-15T15:41:10+00:00,74e80fd1-d9cd-4132-af0f-9c5d37489392,447b545b-e3ca-43b0-bb0b-022bf5c6c47d,4992,Homo sapiens,sigmoid colon,colorectal cancer,Visium Spatial Gene Expression V1,na,enteroglial cell,"CD8-positive, alpha-beta T cell|IgG plasma cell|M1 macrophage|endothelial stalk cell|enterocyte|enteroglial cell|macrophage|malignant cell|mast cell|myofibroblast cell|pericyte|smooth muscle cell|stromal cell|unknown",https://datasets.cellxgene.cziscience.com/447b545b-e3ca-43b0-bb0b-022bf5c6c47d.h5ad,https://cellxgene.cziscience.com/collections/68cba939-4e72-4405-80ef-512a05044fba
68cba939-4e72-4405-80ef-512a05044fba,Profiling the heterogeneity of colorectal cancer consensus molecular subtypes using spatial transcriptomics,10.1038/s41698-023-00488-4,2024-08-15T15:41:10+00:00,729f397a-0812-4b52-a7d1-b377107ffb41,a316235e-621b-4c0f-88d2-e4edba3dc1b0,4992,Homo sapiens,right colon,colorectal cancer,Visium Spatial Gene Expression V1,na,enteroglial cell,"B cell|CD4-positive, alpha-beta T cell|CD8-positive, alpha-beta T cell|IgG plasma cell|M1 macrophage|T follicular helper cell|conventional dendritic cell|endothelial cell of lymphatic vessel|enterocyte|enteroglial cell|goblet cell|macrophage|malignant cell|mast cell|myofibroblast cell|natural killer cell|pericyte|regulatory T cell|smooth muscle cell|stromal cell|transit amplifying cell of colon|unknown",https://datasets.cellxgene.cziscience.com/a316235e-621b-4c0f-88d2-e4edba3dc1b0.h5ad,https://cellxgene.cziscience.com/collections/68cba939-4e72-4405-80ef-512a05044fba
68cba939-4e72-4405-80ef-512a05044fba,Profiling the heterogeneity of colorectal cancer consensus molecular subtypes using spatial transcriptomics,10.1038/s41698-023-00488-4,2024-08-15T15:41:10+00:00,297b5b89-6197-4135-acff-501c8d4199d0,9ff3a1ac-8e44-4c39-a578-e2ab93853b6c,4992,Homo sapiens,rectosigmoid junction,colorectal cancer,Visium Spatial Gene Expression V1,na,enteroglial cell,"B cell|CD4-positive, alpha-beta T cell|CD8-positive, alpha-beta T cell|IgA plasma cell|IgG plasma cell|M1 macrophage|T follicular helper cell|conventional dendritic cell|endothelial cell|endothelial cell of lymphatic vessel|endothelial stalk cell|endothelial tip cell|enterocyte|enteroglial cell|goblet cell|macrophage|malignant cell|mast cell|myofibroblast cell|natural killer cell|pericyte|regulatory T cell|smooth muscle cell|stromal cell|transit amplifying cell of colon|unknown",https://datasets.cellxgene.cziscience.com/9ff3a1ac-8e44-4c39-a578-e2ab93853b6c.h5ad,https://cellxgene.cziscience.com/collections/68cba939-4e72-4405-80ef-512a05044fba
68cba939-4e72-4405-80ef-512a05044fba,Profiling the heterogeneity of colorectal cancer consensus molecular subtypes using spatial transcriptomics,10.1038/s41698-023-00488-4,2024-08-15T15:41:10+00:00,15b98664-a52b-4877-aed9-03f4d73d2d2c,4f43fbfe-b88a-4010-9d5f-359afafe80e0,4992,Homo sapiens,rectum,colorectal cancer,Visium Spatial Gene Expression V1,na,enteroglial cell,"B cell|CD4-positive, alpha-beta T cell|CD8-positive, alpha-beta T cell|IgA plasma cell|IgG plasma cell|conventional dendritic cell|endothelial cell of lymphatic vessel|endothelial stalk cell|endothelial tip cell|enterocyte|enteroglial cell|goblet cell|macrophage|malignant cell|mast cell|myofibroblast cell|pericyte|regulatory T cell|smooth muscle cell|stromal cell|transit amplifying cell of colon|unknown",https://datasets.cellxgene.cziscience.com/4f43fbfe-b88a-4010-9d5f-359afafe80e0.h5ad,https://cellxgene.cziscience.com/collections/68cba939-4e72-4405-80ef-512a05044fba
