collection_id,collection_name,total_datasets,selected_dataset_id,selected_cell_count,dropped_dataset_ids
03608e22-227a-4492-910b-3cb3f16f952e,iPain atlas,6,b6f472f1-a58d-43a7-a898-2d6822a0b2b2,191798,5d6d404a-86f9-419e-9928-56276904819c; f8c4782a-5be8-4de6-81b6-ec57ead9c7b5; e1b09351-423f-471b-998f-ff865cd2ca74; 023d4d04-4671-4433-af8d-158a05c81d8b; facc0385-978b-4a16-a9ec-c7961292e10f
e75342a8-0f3b-4ec5-8ee1-245a23e0f7cb,Pathogenic variants damage cell composition and single cell transcription in cardiomyopathies,2,65badd7a-9262-4fd1-9ce2-eb5dc0ca8039,881081,83b5e943-a1d5-4164-b3f2-f7a37f01b524
5c868b6f-62c5-4532-9d7f-a346ad4b50a7,The landscape of immune dysregulation in Crohn’s disease revealed through single-cell transcriptomic profiling in the ileum and colon,4,fe4b89d5-461e-440c-a5a8-621b37b122c0,154136,5ce42b38-d867-487f-9b40-e8bb00b21d0b; 0f4865d5-8000-4f68-8ac7-f5efea9e5e70; 6cf3634d-e911-44ad-bf52-c747a9af3c01
fbc5881f-1ee3-4ffe-8095-35e15e1a08fc,Urethral luminal epithelia are castration-insensitive cells of the proximal prostate,2,8b2e5453-faf7-46ea-9073-aea69b283cb7,28847,88c483bf-477d-4be5-90d3-4fb101dd601f
6f6d381a-7701-4781-935c-db10d30de293,The integrated Human Lung Cell Atlas,2,9f222629-9e39-47d0-b83f-e08d610c7479,2282447,066943a2-fdac-4b29-b348-40cede398e4e
f5af7a2f-ab4c-4728-829e-48efb9562105,Single cell RNA sequencing of paw skin from healthy and Col7a1 knockout (RDEB) mice,2,7be2824e-d62a-42ef-9169-084555c6df87,9816,389b1fd4-2b65-4f60-baba-feeb17507665
45d5d2c3-bc28-4814-aed6-0bb6f0e11c82,"A single-cell transcriptional timelapse of mouse embryonic development, from gastrula to pup",11,dcfd4feb-18a3-4b30-81d7-1b0c544a8ab3,11441407,0bce33ed-455c-4e12-93f8-b7b04a2de4a1; a91d5064-aba3-4688-9fcd-6187b2f435a4; e6a47f6f-ae9a-41ff-a6f7-5f9b9dbd3e7f; b47eaa46-508d-4817-8a75-5bece9ea30f9; 606bd36a-be20-4103-827f-e8b4b3e477fc; c92321dd-0503-47a8-8260-9970aed6c0b7; 8785f5ab-7d97-4b0d-9c56-636c63e151ab; b64ba72d-addb-4129-a572-c001699a0747; a77e5f1f-b842-4a55-ba6e-7c3d327f424b; 07a4e406-3a76-47a3-a21c-a28d7ce7984a
60358420-6055-411d-ba4f-e8ac80682a2e,Spatiotemporal analysis of human intestinal development at single-cell resolution,2,bbd16004-09e8-4b6c-b465-73ff83a52837,4144,fd89be61-2869-4342-a86e-e1fce3a8f269
e2a4a67f-6a18-431a-ab9c-6e77dd31cc80,A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra,2,c3fe3c1e-5bf8-4678-b74a-79899243ad41,28702,e2a3c32d-71e2-4f38-b19c-dfcb8729cf46
3b8b7fec-ed65-4483-9579-9f98f5a93a74,Epithelium-enriched single cell transcriptomes from the ascending colon of pediatric and adult control subjects,2,5d4415d1-cfcd-4b43-b2b2-138b5afd68af,35957,944dedde-03e5-456d-996d-7250f7247b85
