dataset_id,collection_name,species,assay,matched_cell_types,_exclude_reason
f71eeea6-aa46-4d14-a53e-fb862806acee,"Tabula Microcebus: A transcriptomic cell atlas of mouse lemur, an emerging primate model organism",Microcebus murinus,10x 3' v2|Smart-seq2,intestinal enteroendocrine cell,物种不符（非 human/mouse）
ed839584-54ea-4914-ab0d-4ecc5a649bf1,"Tabula Microcebus: A transcriptomic cell atlas of mouse lemur, an emerging primate model organism",Microcebus murinus,10x 3' v2|Smart-seq2,neuron,物种不符（非 human/mouse）
d3bbb7e6-40df-4a4f-bfe0-49001bc06396,"Tabula Microcebus: A transcriptomic cell atlas of mouse lemur, an emerging primate model organism",Microcebus murinus,10x 3' v2|Smart-seq2,myelinating Schwann cell|non-myelinating Schwann cell,物种不符（非 human/mouse）
bdf0abdf-f1a5-4480-a30b-1e34eaee53bb,"Tabula Microcebus: A transcriptomic cell atlas of mouse lemur, an emerging primate model organism",Microcebus murinus,10x 3' v2|Smart-seq2,myelinating Schwann cell|non-myelinating Schwann cell,物种不符（非 human/mouse）
a7b46d3a-c85e-4ec2-b5c0-04fa3e50d28b,"Tabula Microcebus: A transcriptomic cell atlas of mouse lemur, an emerging primate model organism",Microcebus murinus,10x 3' v2|Smart-seq2,intestinal enteroendocrine cell|non-myelinating Schwann cell,物种不符（非 human/mouse）
8f67108f-1f78-4148-a14a-bff85c58f19b,"Tabula Microcebus: A transcriptomic cell atlas of mouse lemur, an emerging primate model organism",Microcebus murinus,10x 3' v2,non-myelinating Schwann cell,物种不符（非 human/mouse）
586f4422-94a9-4452-b90c-6278df433763,"Tabula Microcebus: A transcriptomic cell atlas of mouse lemur, an emerging primate model organism",Microcebus murinus,10x 3' v2|Smart-seq2,non-myelinating Schwann cell,物种不符（非 human/mouse）
555bce6a-563b-4b9b-b496-3dbff30e756b,"Tabula Microcebus: A transcriptomic cell atlas of mouse lemur, an emerging primate model organism",Microcebus murinus,10x 3' v2|Smart-seq2,non-myelinating Schwann cell,物种不符（非 human/mouse）
5fb841eb-3ffe-4a89-9bec-d4d0be8c8cd0,Developmental Zebrafish Reference Atlas,Danio rerio,sci-RNA-seq3,Schwann cell|enteric neuron,物种不符（非 human/mouse）
f7af19e4-fc64-46d0-ab3c-d4f70dd670f4,Profiling the heterogeneity of colorectal cancer consensus molecular subtypes using spatial transcriptomics,Homo sapiens,Visium Spatial Gene Expression V1,enteroglial cell,空间转录组数据
