collection_id,collection_name,doi,dataset_id,cell_count,species,tissue,disease,assay,suspension,matched_cell_types,all_cell_types,_tier_1,_tier_2,_tier_3,_tier_4,_tier_count,assets,collection_url
45d5d2c3-bc28-4814-aed6-0bb6f0e11c82,"A single-cell transcriptional timelapse of mouse embryonic development, from gastrula to pup",10.1038/s41586-024-07069-w,dcfd4feb-18a3-4b30-81d7-1b0c544a8ab3,11441407,Mus musculus,embryo,normal,sci-RNA-seq3,nucleus,GABAergic neuron|Schwann cell precursor|cerebral cortex GABAergic interneuron|cranial motor neuron|efferent neuron|enteric neuron|glutamatergic neuron|intestinal enteroendocrine cell|microglial cell|myelinating Schwann cell|neuron|parasympathetic neuron|perineuronal satellite cell|peripheral nervous system neuron|retinal bipolar neuron|sensory neuron of dorsal root ganglion|spinal cord motor neuron|spiral ganglion neuron|sympathetic neuron|thalamic excitatory neuron,"B cell|Cajal-Retzius cell|GABAergic neuron|Kupffer cell|Leydig cell|Purkinje cell|Schwann cell precursor|T cell|activated CD4-negative, CD8-negative type I NK T cell|adipocyte|adipose macrophage|amacrine cell|astrocyte|auditory epithelial cell|bladder urothelial cell|brain pericyte|brown adipocyte|brown preadipocyte|cardiac muscle cell|central nervous system macrophage|cerebral cortex GABAergic interneuron|cerebral cortex endothelial cell|chondrocyte|choroid plexus epithelial cell|ciliated cell|club cell|cochlea auditory hair cell|committed oligodendrocyte precursor|conjunctiva goblet cell|conventional dendritic cell|corneal epithelial cell|cranial motor neuron|ectodermal cell|efferent neuron|embryonic blood vessel endothelial progenitor cell|endo-epithelial cell|endocardial cell|endothelial cell|endothelial cell of artery|endothelial cell of hepatic sinusoid|endothelial cell of lymphatic vessel|enteric neuron|ependymal cell|epithelial cell|epithelial cell of amnion|epithelial cell of pancreas|epithelial cell of parathyroid gland|epithelial cell of proximal tubule|epithelial cell of thymus|epithelial cell of thyroid gland|erythroid progenitor cell|extraembryonic cell|fibroblast|gingival epithelial cell|glomerular endothelial cell|glutamatergic neuron|granulocyte|hematopoietic stem cell|hepatocyte|hypothalamus cell|intermediate mesodermal cell|intestinal enteroendocrine cell|intestine goblet cell|intrahepatic cholangiocyte|iris pigment epithelial cell|keratinocyte|kidney collecting duct intercalated cell|kidney collecting duct principal cell|kidney connecting tubule epithelial cell|kidney distal convoluted tubule epithelial cell|kidney epithelial cell|kidney loop of Henle ascending limb epithelial cell|lateral mesodermal cell|lens epithelial cell|lung endothelial cell|mast cell|megakaryocyte|melanocyte|mesodermal cell|metanephric mesenchyme stem cell|microglial cell|microvascular endothelial cell|monocyte|muscle precursor cell|myelinating Schwann cell|myeloid suppressor cell|myoblast|myofibroblast cell|myotube|natural killer cell|neural cell|neural progenitor cell|neuron|notochordal cell|olfactory ensheathing cell|olfactory epithelial cell|olfactory receptor cell|oligodendrocyte precursor cell|osteoblast|osteoclast|pancreatic acinar cell|parasympathetic neuron|pericyte|perineuronal satellite cell|peripheral nervous system neuron|photoreceptor cell|pinealocyte|pituitary gland cell|plasmacytoid dendritic cell|podocyte|primitive erythroid progenitor|primordial germ cell|pulmonary alveolar type 1 cell|pulmonary alveolar type 2 cell|regulatory T cell|respiratory tract goblet cell|retina horizontal cell|retinal bipolar neuron|retinal cone cell|retinal ganglion cell|retinal pigment epithelial cell|retinal progenitor cell|retinal rod cell|sensory neuron of dorsal root ganglion|small bistratified retinal ganglion cell|spinal cord motor neuron|spiral ganglion neuron|splanchnic mesodermal cell|starburst amacrine cell|sympathetic neuron|thalamic excitatory neuron|type I cell of adrenal cortex|ureteric bud cell|vein endothelial cell",Efferent neuron; Enteric neuron; Neuron (generic); Parasympathetic neuron; Peripheral nervous system neuron; Sensory neuron (DRG); Sympathetic neuron,Schwann cell precursor; Myelinating Schwann cell; Satellite glial cell,,Intestinal enteroendocrine cell,3,https://datasets.cellxgene.cziscience.com/1bc30289-9565-4099-abf9-3326328c11ac.h5ad,https://cellxgene.cziscience.com/collections/45d5d2c3-bc28-4814-aed6-0bb6f0e11c82
f11cb29c-b546-4738-9bd8-66ea621a7bd5,Single-cell integration reveals metaplasia in inflammatory gut diseases,10.1038/s41586-024-07571-1,19053a82-9c89-4fb8-bd19-d7b1800b0b7b,1596200,Homo sapiens,ascending colon|body of stomach|buccal mucosa|caecum|caecum epithelium|cecum mucosa|colon|colonic epithelium|colonic mucosa|descending colon|duodenal epithelium|duodenum|epithelium of esophagus|epithelium of rectum|epithelium of small intestine|epithelium of stomach|esophagus|gingiva|ileal epithelium|ileum|ileum lamina propria|intestine|jejunum|labial gland|lamina propria of mucosa of colon|lamina propria of small intestine|mesenteric lymph node|mucosa of sigmoid colon|mucosa of transverse colon|parotid gland|periodontium|pyloric antrum|pylorus|rectosigmoid junction|rectum|sigmoid colon|small intestine|stomach|transverse colon|vermiform appendix,Crohn disease|celiac disease|colorectal cancer|gastric cancer|inflammatory bowel disease|normal|ulcerative colitis,10x 3' v1|10x 3' v2|10x 3' v3|10x 5' transcription profiling|10x 5' v1|10x 5' v2,cell,afferent neuron|enteric neuron|enteroendocrine cell|enteroglial cell|inhibitory motor neuron|interneuron|motor neuron|type EC enteroendocrine cell|type G enteroendocrine cell|type X enteroendocrine cell,"BEST4+ enterocyte|CD16-negative, CD56-bright natural killer cell, human|CD16-positive, CD56-dim natural killer cell, human|CD4-positive, alpha-beta memory T cell|CD8-positive, alpha-beta memory T cell|IgA plasma cell|IgG plasma cell|IgM plasma cell|Langerhans cell|M cell of gut|T follicular helper cell|T-helper 17 cell|TREM2-positive macrophage|acinar cell of salivary gland|afferent neuron|angiogenic pericyte|basal cell|capillary endothelial cell|colonocyte|conventional dendritic cell|cycling T cell|cycling basal cell|dendritic cell, human|effector memory CD8-positive, alpha-beta T cell|endothelial cell|endothelial cell of artery|endothelial cell of lymphatic vessel|enteric neuron|enterocyte|enteroendocrine cell|enteroglial cell|eosinophil|epithelial cell|erythrocyte|fibroblast|fibroblast of gingiva|fibroblastic reticular cell|follicular dendritic cell|foveolar cell of stomach|gamma-delta T cell|gastrointestinal tract (lamina propria) macrophage|germinal center B cell|glandular cell of esophagus|group 3 innate lymphoid cell|immature pericyte|inhibitory motor neuron|interneuron|interstitial cell of Cajal|intestinal crypt stem cell|intestine goblet cell|ionocyte|keratinocyte|macrophage|mast cell|megakaryocyte|melanocyte|memory B cell|mesenchymal cell|mesodermal cell|mesothelial cell|monocyte|motor neuron|mucosal-associated invariant T cell|mucous neck cell of gastric gland|muscle cell|myoepithelial cell|myofibroblast cell|naive B cell|naive thymus-derived CD4-positive, alpha-beta T cell|naive thymus-derived CD8-positive, alpha-beta T cell|neuroblast (sensu Vertebrata)|neutrophil progenitor cell|paneth cell|parietal cell|peptic cell|pericyte|plasmablast|plasmacytoid dendritic cell, human|precursor B cell|pro-B cell|progenitor cell|regulatory T cell|salivary gland glandular cell|smooth muscle cell|transit amplifying cell|tuft cell of small intestine|type EC enteroendocrine cell|type G enteroendocrine cell|type X enteroendocrine cell|unknown|vascular associated smooth muscle cell|vein endothelial cell",Afferent neuron; Enteric neuron; Inhibitory motor neuron; Interneuron (ENS); Motor neuron,Enteroglial cell,,Enteroendocrine cell; Type EC enteroendocrine cell; Type G enteroendocrine cell; Type X enteroendocrine cell,3,https://datasets.cellxgene.cziscience.com/757945c8-a916-431d-aceb-1afbc80a7c55.h5ad,https://cellxgene.cziscience.com/collections/f11cb29c-b546-4738-9bd8-66ea621a7bd5
b1a879f6-5638-48d3-8f64-f6592c1b1561,Mapping the developing human immune system across organs,10.1126/science.abo0510,fd072bc3-2dfb-46f8-b4e3-467cb3223182,908046,Homo sapiens,bone marrow|gut wall|kidney|liver|mesenteric lymph node|skin of body|spleen|thymus|yolk sac,normal,10x 3' v2|10x 5' v1,cell,enteroendocrine cell|glial cell|neuron,"B-1 B cell|B-2 B cell|CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell|Kupffer cell|Langerhans cell|T cell|cell of skeletal muscle|chondrocyte|common dendritic progenitor|common myeloid progenitor|dendritic cell|double negative thymocyte|double-positive, alpha-beta thymocyte|early lymphoid progenitor|endothelial cell|enteroendocrine cell|epithelial cell|epithelial cell of nephron|erythrocyte|eurydendroid cell|fibroblast|fraction A pre-pro B cell|glial cell|granulocyte|granulocyte monocyte progenitor cell|group 2 innate lymphoid cell|group 3 innate lymphoid cell|hematopoietic multipotent progenitor cell|hematopoietic stem cell|hepatocyte|immature B cell|innate lymphoid cell|interstitial cell of Cajal|keratinocyte|large pre-B-II cell|late pro-B cell|macrophage|mast cell|mature B cell|megakaryocyte|megakaryocyte-erythroid progenitor cell|melanocyte|mesothelial cell|monocyte|myelocyte|myofibroblast cell|naive thymus-derived CD4-positive, alpha-beta T cell|naive thymus-derived CD8-positive, alpha-beta T cell|natural killer cell|neuron|neutrophil|osteoblast|osteoclast|plasma cell|plasmacytoid dendritic cell|pre-conventional dendritic cell|pro-B cell|promonocyte|promyelocyte|regulatory T cell|skeletal muscle satellite cell|small pre-B-II cell|smooth muscle cell|stromal cell|unknown|vascular associated smooth muscle cell",Neuron (generic),Glial cell (generic),,Enteroendocrine cell,3,https://datasets.cellxgene.cziscience.com/df38503b-8dba-4800-957d-6613747924bb.h5ad,https://cellxgene.cziscience.com/collections/b1a879f6-5638-48d3-8f64-f6592c1b1561
6282a908-f162-44a2-99a3-8a942e4271b2,Integrated human endoderm-derived organoids cell atlas (HEOCA),10.1038/s41588-025-02182-6,6725ee8e-ef5b-4e68-8901-61bd14a1fe73,806646,Homo sapiens,alveolar sac|biliary system|bronchus|colon|common bile duct|corpus|duodenum|gallbladder|ileum|intestine|intrahepatic bile duct|liver|lung|lung epithelium|nasopharynx|pancreas|prostate gland|pyloric antrum|salivary gland epithelium|stomach|thyroid gland,normal,10x 3' v2|10x 3' v3|10x 5' v1|10x multiome|CEL-seq2|SORT-seq|Seq-Well S3|Smart-seq,cell|nucleus,Schwann cell|enteroendocrine cell|neuroendocrine cell|neuron,BEST4+ enterocyte|Kupffer cell|M cell of gut|Schwann cell|acinar cell|basal cell|ciliated cell|club cell|colon epithelial cell|endothelial cell|enterocyte|enteroendocrine cell|epithelial cell|epithelial cell of pancreas|epithelial cell of stomach|goblet cell|hematopoietic cell|hepatic stellate cell|hepatoblast|interstitial cell of Cajal|intestinal tuft cell|luminal cell of prostate epithelium|lung secretory cell|mesodermal cell|mesothelial cell|neuroendocrine cell|neuron|pancreatic A cell|pancreatic D cell|pancreatic ductal cell|pancreatic epsilon cell|paneth cell|pericyte|pulmonary alveolar type 1 cell|pulmonary alveolar type 2 cell|smooth muscle cell|stem cell|stromal cell|thymocyte|type B pancreatic cell,Neuron (generic),Schwann cell,,Enteroendocrine cell; Neuroendocrine cell,3,https://datasets.cellxgene.cziscience.com/40f7635e-7fcd-4ede-82e9-0d32753a6b82.h5ad,https://cellxgene.cziscience.com/collections/6282a908-f162-44a2-99a3-8a942e4271b2
e33ffcd3-7cbf-4b8c-b0f4-85587ad5019a,Cells of the human intestinal tract mapped across space and time,10.1038/s41586-021-03852-1,80a2c5b6-02e7-4fc0-9f12-179f5247c1bc,428469,Homo sapiens,ascending colon|caecum|colon|descending colon|duodenum|ileum|jejunum|large intestine|lymph node|mesenteric lymph node|rectum|sigmoid colon|small intestine|transverse colon|vermiform appendix,Crohn disease|normal,10x 3' v2|10x 5' v2,cell,enteroendocrine cell|glial cell|inhibitory motor neuron|interneuron|motor neuron|primary sensory neuron (sensu Teleostei)|type D enteroendocrine cell|type EC enteroendocrine cell|type I enteroendocrine cell|type L enteroendocrine cell|type N enteroendocrine cell,"B cell|CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human|CD4-positive, alpha-beta T cell|CD8-positive, alpha-beta T cell|CD8-positive, alpha-beta memory T cell|GIP cell|IgA plasma cell|IgG plasma cell|IgM plasma cell|M cell of gut|M1 macrophage|NKp44-negative group 3 innate lymphoid cell, human|NKp44-positive group 3 innate lymphoid cell, human|T cell|T follicular helper cell|T-helper 1 cell|T-helper 17 cell|activated CD4-positive, alpha-beta T cell|activated CD8-positive, alpha-beta T cell|capillary endothelial cell|colon epithelial cell|colonocyte|common lymphoid progenitor|conventional dendritic cell|endothelial cell of artery|endothelial cell of lymphatic vessel|enteric smooth muscle cell|enteroendocrine cell|epithelial cell|erythrocyte|follicular dendritic cell|gamma-delta T cell|germ cell|germinal center B cell|glial cell|group 2 innate lymphoid cell|group 3 innate lymphoid cell|immature B cell|inhibitory motor neuron|interneuron|interstitial cell of Cajal|intestinal tuft cell|intestine goblet cell|macrophage|mast cell|mature NK T cell|megakaryocyte|memory B cell|mesenchymal lymphangioblast|mesodermal cell|mesothelial cell|migratory enteric neural crest cell|monocyte|motor neuron|mucosal-associated invariant T cell|myofibroblast cell|naive B cell|natural killer cell|neuroblast (sensu Vertebrata)|neutrophil|oligodendrocyte precursor cell|pericyte|plasma cell|plasmacytoid dendritic cell|precursor B cell|primary sensory neuron (sensu Teleostei)|pro-B cell|progenitor cell|progenitor cell of endocrine pancreas|regulatory T cell|reticular cell|stem cell|stromal cell|stromal cell of lamina propria of small intestine|transit amplifying cell|type B pancreatic cell|type D enteroendocrine cell|type EC enteroendocrine cell|type I enteroendocrine cell|type L enteroendocrine cell|type N enteroendocrine cell|unknown|vein endothelial cell",Inhibitory motor neuron; Interneuron (ENS); Motor neuron,Glial cell (generic),,Enteroendocrine cell; Type D enteroendocrine cell; Type EC enteroendocrine cell; Type L enteroendocrine cell,3,https://datasets.cellxgene.cziscience.com/47ae9727-f767-46b8-9d56-a25ddcd9ae94.h5ad,https://cellxgene.cziscience.com/collections/e33ffcd3-7cbf-4b8c-b0f4-85587ad5019a
0b9d8a04-bb9d-44da-aa27-705bb65b54eb,Tabula Muris Senis,10.1038/s41586-020-2496-1,48b37086-25f7-4ecd-be66-f5bb378e3aea,245389,Mus musculus,adipose tissue|bladder lumen|bone marrow|heart|kidney|large intestine|limb muscle|liver|lung|mammary gland|pancreas|skin of body|spleen|thymus|tongue|trachea,normal,10x 3' v2,cell,Schwann cell|cardiac neuron|neuroendocrine cell|pulmonary neuroendocrine cell,"B cell|CD4-positive, alpha-beta T cell|CD8-positive, alpha-beta T cell|DN3 thymocyte|DN4 thymocyte|Kupffer cell|Langerhans cell|Schwann cell|T cell|adventitial cell|alveolar macrophage|basal cell|basal cell of epidermis|basal epithelial cell of tracheobronchial tree|basophil|bladder cell|bladder urothelial cell|blood cell|bronchial smooth muscle cell|cardiac muscle cell|cardiac neuron|cell of skeletal muscle|chondrocyte|classical monocyte|club cell|dendritic cell|double negative thymocyte|duct epithelial cell|endocardial cell|endothelial cell|endothelial cell of coronary artery|endothelial cell of hepatic sinusoid|endothelial cell of lymphatic vessel|enterocyte of epithelium of large intestine|epidermal cell|epithelial cell|epithelial cell of large intestine|epithelial cell of proximal tubule|erythroblast|erythrocyte|erythroid progenitor cell, mammalian|fenestrated endothelial cell|fibroblast|fibroblast of cardiac tissue|fibroblast of lung|granulocyte|granulocytopoietic cell|hematopoietic precursor cell|hematopoietic stem cell|hepatic stellate cell|hepatocyte|immature B cell|immature NK T cell|immature T cell|intermediate monocyte|intestinal crypt stem cell|keratinocyte|keratinocyte stem cell|kidney capillary endothelial cell|kidney cell|kidney collecting duct epithelial cell|kidney collecting duct principal cell|kidney cortex artery cell|kidney distal convoluted tubule epithelial cell|kidney loop of Henle ascending limb epithelial cell|kidney loop of Henle thick ascending limb epithelial cell|kidney proximal convoluted tubule epithelial cell|kidney proximal straight tubule epithelial cell|large intestine goblet cell|late pro-B cell|leukocyte|luminal epithelial cell of mammary gland|lung macrophage|lymphocyte|macrophage|macrophage dendritic cell progenitor|mast cell|mature NK T cell|megakaryocyte-erythroid progenitor cell|mesangial cell|mesenchymal cell|mesenchymal stem cell|mesenchymal stem cell of adipose tissue|monocyte|multiciliated columnar cell of tracheobronchial tree|myeloid cell|myeloid dendritic cell|myeloid leukocyte|naive B cell|naive T cell|natural killer cell|neuroendocrine cell|neutrophil|non-classical monocyte|pancreatic A cell|pancreatic D cell|pancreatic PP cell|pancreatic acinar cell|pancreatic ductal cell|pancreatic stellate cell|pericyte|plasma cell|plasmacytoid dendritic cell|plasmatocyte|precursor B cell|proerythroblast|professional antigen presenting cell|promonocyte|pulmonary alveolar type 2 cell|pulmonary interstitial fibroblast|pulmonary neuroendocrine cell|regulatory T cell|skeletal muscle satellite cell|smooth muscle cell|smooth muscle cell of the pulmonary artery|smooth muscle cell of trachea|stem cell of epidermis|stromal cell|thymocyte|tuft cell|type B pancreatic cell|vein endothelial cell",Cardiac neuron,Schwann cell,,Neuroendocrine cell; Pulmonary neuroendocrine cell,3,https://datasets.cellxgene.cziscience.com/084058cc-4f17-43ce-b14e-1278df074013.h5ad,https://cellxgene.cziscience.com/collections/0b9d8a04-bb9d-44da-aa27-705bb65b54eb
a3ffde6c-7ad2-498a-903c-d58e732f7470,Single-nucleus cross-tissue molecular reference maps to decipher disease gene function,10.1126/science.abl4290,4ed927e9-c099-49af-b8ce-a2652d069333,209126,Homo sapiens,anterior wall of left ventricle|breast|esophagus muscularis mucosa|gastrocnemius|lingula of left lung|mucosa|prostate gland|skin of leg,normal,10x 3' v2,nucleus,Schwann cell|neuroendocrine cell|neuron,B cell|Schwann cell|T cell|adipocyte|alveolar macrophage|basal cell|basal cell of epidermis|basal epithelial cell of prostatic duct|basal epithelial cell of tracheobronchial tree|basal-myoepithelial cell of mammary gland|bronchial epithelial cell|cardiac endothelial cell|cardiac muscle cell|contractile cell|dendritic cell|elicited macrophage|endothelial cell of lymphatic vessel|endothelial cell of vascular tree|enteric smooth muscle cell|epidermal Langerhans cell|epidermal cell|epithelial cell of prostate|epithelial cell of sweat gland|fast muscle cell|fibroblast|fibroblast of breast|fibroblast of cardiac tissue|glandular secretory epithelial cell|interstitial cell of Cajal|keratinocyte|luminal cell of prostate epithelium|luminal epithelial cell of mammary gland|macrophage|mast cell|mature NK T cell|melanocyte of skin|myeloid dendritic cell|neuroendocrine cell|neuron|neutrophil|professional antigen presenting cell|pulmonary alveolar epithelial cell|respiratory basal cell|sebaceous gland cell|skeletal muscle fiber|skeletal muscle fibroblast|skeletal muscle satellite cell|skin fibroblast|slow muscle cell|smooth muscle cell|smooth muscle cell of prostate|squamous epithelial cell|subcutaneous adipocyte,Neuron (generic),Schwann cell,,Neuroendocrine cell,3,https://datasets.cellxgene.cziscience.com/9130af6d-b035-4c2c-868a-ef9a572270be.h5ad,https://cellxgene.cziscience.com/collections/a3ffde6c-7ad2-498a-903c-d58e732f7470
dfc09a93-bce0-4c77-893d-e153d1b7f9fa,Charting human development using a multi-endodermal organ atlas and organoid models,10.1016/j.cell.2021.04.028,9968be68-ab65-4a38-9e1a-c9b6abece194,155232,Homo sapiens,body of stomach|colon|duodenum|epithelium of trachea|esophagus|ileum|jejunum|liver|lung|pyloric antrum|small intestine|stomach,normal,10x 3' v2|10x 3' v3,cell,enteroendocrine cell|glial cell|peripheral nervous system neuron,B cell|basal cell|chondrocyte|ciliated epithelial cell|endothelial cell|enteroendocrine cell|epithelial cell|epithelial cell of lung|erythroblast|glial cell|hepatocyte|intestinal epithelial cell|intestine goblet cell|mature NK T cell|mesenchymal cell|mesothelial cell|myeloid leukocyte|pericyte|peripheral nervous system neuron|unknown,Peripheral nervous system neuron,Glial cell (generic),,Enteroendocrine cell,3,https://datasets.cellxgene.cziscience.com/00b80c9b-8dbd-45c1-8347-51fbe8bd150e.h5ad,https://cellxgene.cziscience.com/collections/dfc09a93-bce0-4c77-893d-e153d1b7f9fa
2d2e2acd-dade-489f-a2da-6c11aa654028,A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates,10.1016/j.cell.2022.11.005,3dc61ca1-ce40-46b6-8337-f27260fd9a03,71752,Homo sapiens,lung,normal,10x 5' v1,cell,Schwann cell|Schwann cell precursor|immature Schwann cell|neuron|pulmonary neuroendocrine cell,"B-1a B cell|B-1b B cell|CD16-negative, CD56-bright natural killer cell, human|CD16-positive, CD56-dim natural killer cell, human|CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human|CD4-positive, alpha-beta T cell|CD8-positive, alpha-beta T cell|Schwann cell|Schwann cell precursor|T cell|T-helper 17 cell|basal cell|basophil|bone marrow cell|bronchus fibroblast of lung|capillary endothelial cell|chondrocyte|classical monocyte|club cell|common myeloid progenitor|dendritic cell|dendritic cell, human|early lymphoid progenitor|endothelial cell|endothelial cell of artery|endothelial cell of lymphatic vessel|eosinophil|epithelial cell of lung|erythroblast|erythrocyte|fibroblast of lung|granulocyte monocyte progenitor cell|group 2 innate lymphoid cell|group 3 innate lymphoid cell|hematopoietic stem cell|immature B cell|immature Schwann cell|large pre-B-II cell|late pro-B cell|lung multiciliated epithelial cell|lung secretory cell|macrophage|mast cell|mature NK T cell|megakaryocyte|megakaryocyte-erythroid progenitor cell|mesenchymal cell|mesothelial cell|myofibroblast cell|natural killer cell|neural progenitor cell|neuron|neutrophil|non-classical monocyte|pericyte|plasmacytoid dendritic cell|platelet|pre-B-I cell|precursor B cell|primitive red blood cell|pro-B cell|promonocyte|promyelocyte|pulmonary alveolar type 1 cell|pulmonary alveolar type 2 cell|pulmonary interstitial fibroblast|pulmonary neuroendocrine cell|regulatory T cell|respiratory tract epithelial cell|reticulocyte|small pre-B-II cell|smooth muscle cell|squamous epithelial cell|thymocyte|tracheobronchial smooth muscle cell|vascular associated smooth muscle cell|vein endothelial cell",Neuron (generic),Schwann cell; Schwann cell precursor; Immature Schwann cell,,Pulmonary neuroendocrine cell,3,https://datasets.cellxgene.cziscience.com/c961f0d3-15cd-481a-b167-d356ccf6659a.h5ad,https://cellxgene.cziscience.com/collections/2d2e2acd-dade-489f-a2da-6c11aa654028
60358420-6055-411d-ba4f-e8ac80682a2e,Spatiotemporal analysis of human intestinal development at single-cell resolution,10.1016/j.cell.2020.12.016,bbd16004-09e8-4b6c-b465-73ff83a52837,4144,Homo sapiens,colon|hindgut|ileum,normal,10x 3' v3,cell,glial cell|inhibitory motor neuron|interneuron|motor neuron|neuroendocrine cell,glial cell|inhibitory motor neuron|interneuron|motor neuron|neural cell|neuroendocrine cell|progenitor cell,Inhibitory motor neuron; Interneuron (ENS); Motor neuron,Glial cell (generic),,Neuroendocrine cell,3,https://datasets.cellxgene.cziscience.com/a40d9047-5990-4aa1-aac8-2ff55649dab5.h5ad,https://cellxgene.cziscience.com/collections/60358420-6055-411d-ba4f-e8ac80682a2e
