paper_id,cell_type,subtype,species,is_pns_cell,gene,evidence_level,source_section,source_context
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,Alveolar type 2 cell,,human,false,SFTPA1,explicit,"Results: New lung cell types, subtypes and states","One cluster (WIF1+HHIP+CA2+) expressed higher levels of some canonical AT2 markers (SFTPA1, SFTPC and ETV5)"
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,Alveolar type 2 cell,,human,false,SFTPC,explicit,"Results: New lung cell types, subtypes and states","One cluster (WIF1+HHIP+CA2+) expressed higher levels of some canonical AT2 markers (SFTPA1, SFTPC and ETV5)"
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,Alveolar type 2 cell,,human,false,ETV5,explicit,"Results: New lung cell types, subtypes and states","One cluster (WIF1+HHIP+CA2+) expressed higher levels of some canonical AT2 markers (SFTPA1, SFTPC and ETV5)"
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,Alveolar type 2 cell,,human,false,WIF1,explicit,"Results: New lung cell types, subtypes and states","One cluster (WIF1+HHIP+CA2+) expressed higher levels of some canonical AT2 markers (SFTPA1, SFTPC and ETV5) and selectively expressed inhibitors of Wnt (WIF1) and Hedgehog (HHIP) signalling"
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,Alveolar type 2 cell,,human,false,HHIP,explicit,"Results: New lung cell types, subtypes and states","One cluster (WIF1+HHIP+CA2+) expressed higher levels of some canonical AT2 markers (SFTPA1, SFTPC and ETV5) and selectively expressed inhibitors of Wnt (WIF1) and Hedgehog (HHIP) signalling"
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,Alveolar type 2 cell,,human,false,CA2,explicit,Fig.1c,Dot plot of AT2 marker expression; CA2 is shown as a marker in the dot plot
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,AT2-signalling cell,,human,false,WNT5A,implied,"Results: New lung cell types, subtypes and states","The other, tenfold less-abundant cluster (AT2-signalling cells) selectively expressed genes involved in Wnt signalling (WNT5A, LRP5, CTNNBIP and TCF7L2) and detoxification (CP, GSTA1 and CYP4B1)"
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,AT2-signalling cell,,human,false,LRP5,implied,"Results: New lung cell types, subtypes and states","The other, tenfold less-abundant cluster (AT2-signalling cells) selectively expressed genes involved in Wnt signalling (WNT5A, LRP5, CTNNBIP and TCF7L2) and detoxification (CP, GSTA1 and CYP4B1)"
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,AT2-signalling cell,,human,false,CTNNBIP,implied,"Results: New lung cell types, subtypes and states","The other, tenfold less-abundant cluster (AT2-signalling cells) selectively expressed genes involved in Wnt signalling (WNT5A, LRP5, CTNNBIP and TCF7L2) and detoxification (CP, GSTA1 and CYP4B1)"
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,AT2-signalling cell,,human,false,TCF7L2,implied,"Results: New lung cell types, subtypes and states","The other, tenfold less-abundant cluster (AT2-signalling cells) selectively expressed genes involved in Wnt signalling (WNT5A, LRP5, CTNNBIP and TCF7L2) and detoxification (CP, GSTA1 and CYP4B1)"
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,AT2-signalling cell,,human,false,CP,implied,"Results: New lung cell types, subtypes and states","The other, tenfold less-abundant cluster (AT2-signalling cells) selectively expressed genes involved in Wnt signalling (WNT5A, LRP5, CTNNBIP and TCF7L2) and detoxification (CP, GSTA1 and CYP4B1)"
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,AT2-signalling cell,,human,false,GSTA1,implied,"Results: New lung cell types, subtypes and states","The other, tenfold less-abundant cluster (AT2-signalling cells) selectively expressed genes involved in Wnt signalling (WNT5A, LRP5, CTNNBIP and TCF7L2) and detoxification (CP, GSTA1 and CYP4B1)"
