cell_type,subtype,species,is_pns_cell,gene_symbol,evidence_level,source_section,source_context,review_status,notes
Adipocytes,,human,false,ADIPOQ,explicit,"Main Text, Single-nucleus transcriptomic atlas of the adult human bladder",Additional stromal populations included Schwann cells (NRXN+/XKR4+) and adipocytes (FABP3+/ADIPOQ+).,pending,
Adipocytes,,human,false,FABP3,explicit,"Main Text, Single-nucleus transcriptomic atlas of the adult human bladder",Additional stromal populations included Schwann cells (NRXN+/XKR4+) and adipocytes (FABP3+/ADIPOQ+).,pending,
Endothelial cells,venous,human,false,FLT1,explicit,"Main Text, Single-nucleus transcriptomic atlas of the adult human bladder","Endothelial cells partitioned into arterial (GJA5+), venous (FLT1+), and lymphatic (MMRN1+/TFF3+) types.",pending,
Endothelial cells,capillary,human,false,FLT1,explicit,"Main Text, Spatial architecture of bladder cell types and microenvironments","Vein-associated regions (Fig. 3E; fig. S3D) included venous endothelial cells and neighboring capillaries (PECAM1+/FLT1+), surrounded by pericytes (ADGRF5+) and fibroblast xFB-9 (CXCL14+) as well as macrophages (MS4A7+).",pending,
Endothelial cells,arterial,human,false,GJA5,explicit,"Main Text, Spatial architecture of bladder cell types and microenvironments","In the lamina propria, the artery-associated regions (Fig. 3D) comprised arterial endothelial cells (PECAM1+/GJA5+), surrounding vascular smooth muscle cells (RGS5+), and fibroblast xFB-8 (CCL11+).",pending,
Endothelial cells,lymphatic,human,false,MMRN1,explicit,"Main Text, Single-nucleus transcriptomic atlas of the adult human bladder","Endothelial cells partitioned into arterial (GJA5+), venous (FLT1+), and lymphatic (MMRN1+/TFF3+) types.",pending,
Endothelial cells,arterial,human,false,PECAM1,explicit,"Main Text, Spatial architecture of bladder cell types and microenvironments","In the lamina propria, the artery-associated regions (Fig. 3D) comprised arterial endothelial cells (PECAM1+/GJA5+), surrounding vascular smooth muscle cells (RGS5+), and fibroblast xFB-8 (CCL11+).",pending,
Endothelial cells,capillary,human,false,PECAM1,explicit,"Main Text, Spatial architecture of bladder cell types and microenvironments","Vein-associated regions (Fig. 3E; fig. S3D) included venous endothelial cells and neighboring capillaries (PECAM1+/FLT1+), surrounded by pericytes (ADGRF5+) and fibroblast xFB-9 (CXCL14+) as well as macrophages (MS4A7+).",pending,
Endothelial cells,lymphatic,human,false,TFF3,explicit,"Main Text, Single-nucleus transcriptomic atlas of the adult human bladder","Endothelial cells partitioned into arterial (GJA5+), venous (FLT1+), and lymphatic (MMRN1+/TFF3+) types.",pending,
Fibroblast,xFB-8,human,false,CCL11,explicit,"Main Text, Spatial architecture of bladder cell types and microenvironments","In the lamina propria, the artery-associated regions (Fig. 3D) comprised arterial endothelial cells (PECAM1+/GJA5+), surrounding vascular smooth muscle cells (RGS5+), and fibroblast xFB-8 (CCL11+).",pending,
Fibroblast,xFB-5,human,false,CXCL12,explicit,"Main Text, Fibroblast architecture across the bladder wall","CXCL12:P1 was enriched in both xFB-5 and xFB-3, marking fibroblasts adjacent to the urothelium and those bordering the detrusor muscle (Fig. 5F; fig. S5B; table S6).",pending,
Fibroblast,xFB-3,human,false,CXCL12,explicit,"Main Text, Fibroblast architecture across the bladder wall","CXCL12:P1 was enriched in both xFB-5 and xFB-3, marking fibroblasts adjacent to the urothelium and those bordering the detrusor muscle (Fig. 5F; fig. S5B; table S6).",pending,
Fibroblast,xFB-9,human,false,CXCL14,explicit,"Main Text, Spatial architecture of bladder cell types and microenvironments","Vein-associated regions (Fig. 3E; fig. S3D) included venous endothelial cells and neighboring capillaries (PECAM1+/FLT1+), surrounded by pericytes (ADGRF5+) and fibroblast xFB-9 (CXCL14+) as well as macrophages (MS4A7+).",pending,
Fibroblast,xFB-7,human,false,DCN,explicit,"Main Text, Spatial architecture of bladder cell types and microenvironments",Regions surrounding innervating structures (fig. S3E) featured Schwann cells (NRXN1+) and a localized fibroblast subset xFB-7 (DCN+/NGFR+).,pending,
Fibroblast,xFB-0,human,false,HHIP,explicit,"Main Text, Spatial architecture of bladder cell types and microenvironments","At the urothelial-stromal boundary (Fig. 3C), basal urothelial cells expressing sonic hedgehog (SHH) were juxtaposed with two fibroblast subsets: xFB-5 (HHIP-/PTCH1+) and xFB-0 (HHIP+/PTCH1+), consistent with known ligand-receptor distributions in this signaling pathway.",pending,
Fibroblast,xFB-7,human,false,NGFR,explicit,"Main Text, Spatial architecture of bladder cell types and microenvironments",Regions surrounding innervating structures (fig. S3E) featured Schwann cells (NRXN1+) and a localized fibroblast subset xFB-7 (DCN+/NGFR+).,pending,
Fibroblast,xFB-0,human,false,PTCH1,explicit,"Main Text, Spatial architecture of bladder cell types and microenvironments","At the urothelial-stromal boundary (Fig. 3C), basal urothelial cells expressing sonic hedgehog (SHH) were juxtaposed with two fibroblast subsets: xFB-5 (HHIP-/PTCH1+) and xFB-0 (HHIP+/PTCH1+), consistent with known ligand-receptor distributions in this signaling pathway.",pending,
Fibroblast,xFB-5,human,false,PTCH1,explicit,"Main Text, Spatial architecture of bladder cell types and microenvironments","At the urothelial-stromal boundary (Fig. 3C), basal urothelial cells expressing sonic hedgehog (SHH) were juxtaposed with two fibroblast subsets: xFB-5 (HHIP-/PTCH1+) and xFB-0 (HHIP+/PTCH1+), consistent with known ligand-receptor distributions in this signaling pathway.",pending,
Macrophages,LYVE1+,human,false,LYVE1,explicit,"Main Text, Spatial architecture of bladder cell types and microenvironments","Immune cells encompassed B cells, plasma cells, KI67+ plasma cells, T cells, natural killer (NK) cells, dendritic cells (DC), monocytes, mast cells, and two macrophage subpopulations (MS4A7+ and LYVE1+).",pending,
