cell_type,subtype,species,is_pns_cell,gene_symbol,evidence_level,source_section,source_context,review_status,notes
ADIPOMAThi,,human,false,ADIPOQ,explicit,Fig.2D,Figure 2D lists documented adipocyte markers including ADIPOQ.,pending,
ADIPOMAThi,,human,false,AQP7,explicit,Fig.2D,Figure 2D lists documented adipocyte markers including AQP7.,pending,
ADIPOMAThi,,human,false,CIDEA,explicit,Fig.2D,Figure 2D lists documented adipocyte markers including CIDEA.,pending,
ADIPOMAThi,,human,false,CIDEC,explicit,Fig.2D,Figure 2D lists documented adipocyte markers including CIDEC.,pending,
ADIPOMAThi,,human,false,DGAT2,explicit,Fig.2D,Figure 2D lists documented adipocyte markers including DGAT2.,pending,
ADIPOMAThi,,human,false,FABP4,explicit,Fig.2D,Figure 2D lists documented adipocyte markers including FABP4.,pending,
ADIPOMAThi,,human,false,GHR,explicit,Fig.2D,Figure 2D lists documented adipocyte markers including GHR.,pending,
ADIPOMAThi,,human,false,LEP,explicit,Fig.2D,Figure 2D lists documented adipocyte markers including LEP.,pending,
ADIPOMAThi,,human,false,LIPE,explicit,Fig.2D,Figure 2D lists documented adipocyte markers including LIPE.,pending,
ADIPOMAThi,,human,false,LPL,explicit,Fig.2D,Figure 2D lists documented adipocyte markers including LPL.,pending,
ADIPOMAThi,,human,false,PDE3B,explicit,Fig.2D,Figure 2D lists documented adipocyte markers including PDE3B.,pending,
ADIPOMAThi,,human,false,PLIN1,explicit,Fig.2D,Figure 2D lists documented adipocyte markers including PLIN1.,pending,
ADIPOMAThi,,human,false,PLIN4,explicit,Fig.2D,Figure 2D lists documented adipocyte markers including PLIN4.,pending,
ADIPOMAThi,,human,false,PLIN5,explicit,Fig.2D,Figure 2D lists documented adipocyte markers including PLIN5.,pending,
ADIPOMAThi,,human,false,PPARG,explicit,Fig.2D,Figure 2D lists documented adipocyte markers including PPARG.,pending,
ADIPOMATlo,,human,false,ADIPOQ,explicit,Fig.2D,Figure 2D lists documented adipocyte markers including ADIPOQ.,pending,
ADIPOMATlo,,human,false,AQP7,explicit,Fig.2D,Figure 2D lists documented adipocyte markers including AQP7.,pending,
ADIPOMATlo,,human,false,CIDEA,explicit,Fig.2D,Figure 2D lists documented adipocyte markers including CIDEA.,pending,
ADIPOMATlo,,human,false,CIDEC,explicit,Fig.2D,Figure 2D lists documented adipocyte markers including CIDEC.,pending,
ADIPOMATlo,,human,false,DGAT2,explicit,Fig.2D,Figure 2D lists documented adipocyte markers including DGAT2.,pending,
ADIPOMATlo,,human,false,FABP4,explicit,Fig.2D,Figure 2D lists documented adipocyte markers including FABP4.,pending,
ADIPOMATlo,,human,false,GHR,explicit,Fig.2D,Figure 2D lists documented adipocyte markers including GHR.,pending,
ADIPOMATlo,,human,false,LEP,explicit,Fig.2D,Figure 2D lists documented adipocyte markers including LEP.,pending,
ADIPOMATlo,,human,false,LIPE,explicit,Fig.2D,Figure 2D lists documented adipocyte markers including LIPE.,pending,
ADIPOMATlo,,human,false,LPL,explicit,Fig.2D,Figure 2D lists documented adipocyte markers including LPL.,pending,
ADIPOMATlo,,human,false,PDE3B,explicit,Fig.2D,Figure 2D lists documented adipocyte markers including PDE3B.,pending,
ADIPOMATlo,,human,false,PLIN1,explicit,Fig.2D,Figure 2D lists documented adipocyte markers including PLIN1.,pending,
ADIPOMATlo,,human,false,PLIN4,explicit,Fig.2D,Figure 2D lists documented adipocyte markers including PLIN4.,pending,
ADIPOMATlo,,human,false,PLIN5,explicit,Fig.2D,Figure 2D lists documented adipocyte markers including PLIN5.,pending,
ADIPOMATlo,,human,false,PPARG,explicit,Fig.2D,Figure 2D lists documented adipocyte markers including PPARG.,pending,
Adipo1,,human,false,ADIPOQ,explicit,Fig.2D,Adipocyte markers from Figure 2D apply to adipocyte clusters including Adipo1.,pending,
Adipo1,,human,false,AQP7,explicit,Fig.2D,Adipocyte markers from Figure 2D apply to adipocyte clusters including Adipo1.,pending,
Adipo1,,human,false,CIDEA,explicit,Fig.2D,Adipocyte markers from Figure 2D apply to adipocyte clusters including Adipo1.,pending,
Adipo1,,human,false,CIDEC,explicit,Fig.2D,Adipocyte markers from Figure 2D apply to adipocyte clusters including Adipo1.,pending,
Adipo1,,human,false,DGAT2,explicit,Fig.2D,Adipocyte markers from Figure 2D apply to adipocyte clusters including Adipo1.,pending,
Adipo1,,human,false,FABP4,explicit,Fig.2D,Adipocyte markers from Figure 2D apply to adipocyte clusters including Adipo1.,pending,
Adipo1,,human,false,GHR,explicit,Fig.2D,Adipocyte markers from Figure 2D apply to adipocyte clusters including Adipo1.,pending,
Adipo1,,human,false,LEP,explicit,Fig.2D,Adipocyte markers from Figure 2D apply to adipocyte clusters including Adipo1.,pending,
Adipo1,,human,false,LIPE,explicit,Fig.2D,Adipocyte markers from Figure 2D apply to adipocyte clusters including Adipo1.,pending,
Adipo1,,human,false,LPL,explicit,Fig.2D,Adipocyte markers from Figure 2D apply to adipocyte clusters including Adipo1.,pending,
Adipo1,,human,false,PDE3B,explicit,Fig.2D,Adipocyte markers from Figure 2D apply to adipocyte clusters including Adipo1.,pending,
Adipo1,,human,false,PLIN1,explicit,Fig.2D,Adipocyte markers from Figure 2D apply to adipocyte clusters including Adipo1.,pending,
Adipo1,,human,false,PLIN4,explicit,Fig.2D,Adipocyte markers from Figure 2D apply to adipocyte clusters including Adipo1.,pending,
Adipo1,,human,false,PLIN5,explicit,Fig.2D,Adipocyte markers from Figure 2D apply to adipocyte clusters including Adipo1.,pending,
Adipo1,,human,false,PPARG,explicit,Fig.2D,Adipocyte markers from Figure 2D apply to adipocyte clusters including Adipo1.,pending,
Adipo2,,human,false,ADIPOQ,explicit,Fig.2D,Adipocyte markers from Figure 2D apply to adipocyte clusters including Adipo2.,pending,
Adipo2,,human,false,AQP7,explicit,Fig.2D,Adipocyte markers from Figure 2D apply to adipocyte clusters including Adipo2.,pending,
Adipo2,,human,false,CIDEA,explicit,Fig.2D,Adipocyte markers from Figure 2D apply to adipocyte clusters including Adipo2.,pending,
Adipo2,,human,false,CIDEC,explicit,Fig.2D,Adipocyte markers from Figure 2D apply to adipocyte clusters including Adipo2.,pending,
Adipo2,,human,false,DGAT2,explicit,Fig.2D,Adipocyte markers from Figure 2D apply to adipocyte clusters including Adipo2.,pending,
Adipo2,,human,false,FABP4,explicit,Fig.2D,Adipocyte markers from Figure 2D apply to adipocyte clusters including Adipo2.,pending,
Adipo2,,human,false,GHR,explicit,Fig.2D,Adipocyte markers from Figure 2D apply to adipocyte clusters including Adipo2.,pending,
Adipo2,,human,false,LEP,explicit,Fig.2D,Adipocyte markers from Figure 2D apply to adipocyte clusters including Adipo2.,pending,
Adipo2,,human,false,LIPE,explicit,Fig.2D,Adipocyte markers from Figure 2D apply to adipocyte clusters including Adipo2.,pending,
Adipo2,,human,false,LPL,explicit,Fig.2D,Adipocyte markers from Figure 2D apply to adipocyte clusters including Adipo2.,pending,
Adipo2,,human,false,PDE3B,explicit,Fig.2D,Adipocyte markers from Figure 2D apply to adipocyte clusters including Adipo2.,pending,
Adipo2,,human,false,PLIN1,explicit,Fig.2D,Adipocyte markers from Figure 2D apply to adipocyte clusters including Adipo2.,pending,
Adipo2,,human,false,PLIN4,explicit,Fig.2D,Adipocyte markers from Figure 2D apply to adipocyte clusters including Adipo2.,pending,
Adipo2,,human,false,PLIN5,explicit,Fig.2D,Adipocyte markers from Figure 2D apply to adipocyte clusters including Adipo2.,pending,
Adipo2,,human,false,PPARG,explicit,Fig.2D,Adipocyte markers from Figure 2D apply to adipocyte clusters including Adipo2.,pending,
Adipo3,,human,false,ADIPOQ,explicit,Fig.2D,Adipocyte markers from Figure 2D apply to adipocyte clusters including Adipo3.,pending,
Adipo3,,human,false,AQP7,explicit,Fig.2D,Adipocyte markers from Figure 2D apply to adipocyte clusters including Adipo3.,pending,
Adipo3,,human,false,CIDEA,explicit,Fig.2D,Adipocyte markers from Figure 2D apply to adipocyte clusters including Adipo3.,pending,
Adipo3,,human,false,CIDEC,explicit,Fig.2D,Adipocyte markers from Figure 2D apply to adipocyte clusters including Adipo3.,pending,
Adipo3,,human,false,DGAT2,explicit,Fig.2D,Adipocyte markers from Figure 2D apply to adipocyte clusters including Adipo3.,pending,
Adipo3,,human,false,FABP4,explicit,Fig.2D,Adipocyte markers from Figure 2D apply to adipocyte clusters including Adipo3.,pending,
Adipo3,,human,false,GHR,explicit,Fig.2D,Adipocyte markers from Figure 2D apply to adipocyte clusters including Adipo3.,pending,
Adipo3,,human,false,LEP,explicit,Fig.2D,Adipocyte markers from Figure 2D apply to adipocyte clusters including Adipo3.,pending,
Adipo3,,human,false,LIPE,explicit,Fig.2D,Adipocyte markers from Figure 2D apply to adipocyte clusters including Adipo3.,pending,
Adipo3,,human,false,LPL,explicit,Fig.2D,Adipocyte markers from Figure 2D apply to adipocyte clusters including Adipo3.,pending,
Adipo3,,human,false,PDE3B,explicit,Fig.2D,Adipocyte markers from Figure 2D apply to adipocyte clusters including Adipo3.,pending,
Adipo3,,human,false,PLIN1,explicit,Fig.2D,Adipocyte markers from Figure 2D apply to adipocyte clusters including Adipo3.,pending,
Adipo3,,human,false,PLIN4,explicit,Fig.2D,Adipocyte markers from Figure 2D apply to adipocyte clusters including Adipo3.,pending,
Adipo3,,human,false,PLIN5,explicit,Fig.2D,Adipocyte markers from Figure 2D apply to adipocyte clusters including Adipo3.,pending,
Adipo3,,human,false,PPARG,explicit,Fig.2D,Adipocyte markers from Figure 2D apply to adipocyte clusters including Adipo3.,pending,
CNTNAP+,,human,true,CNTNAP,explicit,Fig.1,"Cell cluster labeled CNTNAP+ in Figure 1, indicating CNTNAP is a marker for this cluster.",pending,
NeuroCs,,human,NA,CNTNAP,explicit,"Results, Cell type identification","one with neuronal ontology was enriched for multiple members of the contactin-associated protein-like family (CNTNAP), thus termed neuronal-associated cells (NeuroCs, cluster 9)",pending,
NeuroCs,,human,NA,CNTNAP2,explicit,Supplementary Figure 1H,"UMAP Plot showing expression of CNTNAP2 for all biopsies (upper left panel), expression of CNTNAP2 divided by anatomical location (IAT: left, SAT: right), and pathway enrichment ontology analysis of NeuroCs cell population. Violin Plot showing expression of CNTNAP2 divided by anatomical location and percentage of CNTNAP+ cells within NeuroCs cell population.",pending,
PRM1+,,human,NA,PRM1,explicit,Fig.1,"Cell cluster labeled PRM1+ in Figure 1, indicating PRM1 is a marker for this cluster.",pending,
PRM1+ cell population,,human,NA,PRM1,explicit,Supplementary Figure 1G,"UMAP plot showing expression of PRM1 for all biopsies (upper left panel), expression of PRM1 divided by anatomical location (IAT: left, SAT: right) and pathway enrichment ontology analysis of PRM1+ cell population (lower).",pending,
PRM1+ cells,,human,NA,PRM1,explicit,"Results, Cell type identification","one with protamine 1 (PRM1) as its top marker, termed PRM1+ cells (cluster 8)",pending,
adipogenic progenitor cell,,human,false,PDGFRA,explicit,Fig.1D,"Single-nucleus gene expression (upper: Feature Plot, lower: Violin Plot) of ADIPOQ and PDGFRA in all captured nuclei",pending,
adipogenic progenitor cells,,human,false,PDGFRA,explicit,Fig. 1D,whereas those with robust PDGFRA expression are annotated as adipogenic progenitor cells (APC),pending,
adipogenic progenitor cells (APC),,human,false,PDGFRα,explicit,Introduction,"Lineage-tracing and cell-sorting studies have demonstrated that hyperplastic adipose expansion relies on differentiation of APCs in the SVF6,7, broadly marked by expression of PDGFRα8-10.",pending,
beige adipocytes,subpopulation 5,human,false,EBF2,explicit,"Results, Identification of ADIPOMATlo subpopulations",one subpopulation of EBF2+/PRDM16+ “beige” adipocytes (subpopulation 5),pending,
beige adipocytes,subpopulation 5,human,false,PPARGC1A,explicit,"Results, Identification of ADIPOMATlo subpopulations","The EBF2+ population represents thermogenic beige adipocytes, as evidence by enriched expression of PPARGC1A and PRDM16",pending,
beige adipocytes,subpopulation 5,human,false,PRDM16,explicit,"Results, Identification of ADIPOMATlo subpopulations","The EBF2+ population represents thermogenic beige adipocytes, as evidence by enriched expression of PPARGC1A and PRDM16",pending,
beige thermogenic cell,,human,false,DPP6,explicit,"Discussion, paragraph 5","These cells express established transcriptional regulators of the thermogenic program (e.g. EBF2, PPARGC1A, and PRDM16) as well as newly identified marker transcripts such as DPP6, ZNF804A, GIPR, and KCNJ3.",pending,
beige thermogenic cell,,human,false,EBF2,explicit,"Discussion, paragraph 5","These cells express established transcriptional regulators of the thermogenic program (e.g. EBF2, PPARGC1A, and PRDM16) as well as newly identified marker transcripts such as DPP6, ZNF804A, GIPR, and KCNJ3.",pending,
beige thermogenic cell,,human,false,GIPR,explicit,"Discussion, paragraph 5","These cells express established transcriptional regulators of the thermogenic program (e.g. EBF2, PPARGC1A, and PRDM16) as well as newly identified marker transcripts such as DPP6, ZNF804A, GIPR, and KCNJ3.",pending,
beige thermogenic cell,,human,false,KCNJ3,explicit,"Discussion, paragraph 5","These cells express established transcriptional regulators of the thermogenic program (e.g. EBF2, PPARGC1A, and PRDM16) as well as newly identified marker transcripts such as DPP6, ZNF804A, GIPR, and KCNJ3.",pending,
beige thermogenic cell,,human,false,PPARGC1A,explicit,"Discussion, paragraph 5","These cells express established transcriptional regulators of the thermogenic program (e.g. EBF2, PPARGC1A, and PRDM16) as well as newly identified marker transcripts such as DPP6, ZNF804A, GIPR, and KCNJ3.",pending,
beige thermogenic cell,,human,false,PRDM16,explicit,"Discussion, paragraph 5","These cells express established transcriptional regulators of the thermogenic program (e.g. EBF2, PPARGC1A, and PRDM16) as well as newly identified marker transcripts such as DPP6, ZNF804A, GIPR, and KCNJ3.",pending,
beige thermogenic cell,,human,false,ZNF804A,explicit,"Discussion, paragraph 5","These cells express established transcriptional regulators of the thermogenic program (e.g. EBF2, PPARGC1A, and PRDM16) as well as newly identified marker transcripts such as DPP6, ZNF804A, GIPR, and KCNJ3.",pending,
mature adipocyte,,human,false,ADIPOQ,explicit,Fig.1D,"Single-nucleus gene expression (upper: Feature Plot, lower: Violin Plot) of ADIPOQ and PDGFRA in all captured nuclei",pending,
mature adipocytes,,human,false,ADIPOQ,explicit,Fig. 1D,cell populations with significant expression of adiponectin (ADIPOQ) are annotated as mature adipocytes,pending,
mature adipocytes,,human,false,LEP,explicit,"Results, Identification of two subpopulations of mature adipocytes","based on robust expression of multiple adipocyte markers, including ADIPOQ, PPARG, PLIN, and LEP",pending,
mature adipocytes,,human,false,PLIN,explicit,"Results, Identification of two subpopulations of mature adipocytes","based on robust expression of multiple adipocyte markers, including ADIPOQ, PPARG, PLIN, and LEP",pending,
mature adipocytes,,human,false,PPARG,explicit,"Results, Identification of two subpopulations of mature adipocytes","based on robust expression of multiple adipocyte markers, including ADIPOQ, PPARG, PLIN, and LEP",pending,
APC,,human,false,ARHGEF3,implied,Supplementary Figure 2P,"Violin Plots showing expression of DCN, PDGFRA, COL6A3, PRRX1, DCLK1, CAMK1D, ATP11A, ARHGEF3, PLIN1, PLIN4, LEP, and ADIPOQ in the three identified APC populations (P) and in all subpopulations of mature adipocytes (Q).",pending,
APC,,human,false,ATP11A,implied,Supplementary Figure 2P,"Violin Plots showing expression of DCN, PDGFRA, COL6A3, PRRX1, DCLK1, CAMK1D, ATP11A, ARHGEF3, PLIN1, PLIN4, LEP, and ADIPOQ in the three identified APC populations (P) and in all subpopulations of mature adipocytes (Q).",pending,
APC,,human,false,CAMK1D,implied,Supplementary Figure 2P,"Violin Plots showing expression of DCN, PDGFRA, COL6A3, PRRX1, DCLK1, CAMK1D, ATP11A, ARHGEF3, PLIN1, PLIN4, LEP, and ADIPOQ in the three identified APC populations (P) and in all subpopulations of mature adipocytes (Q).",pending,
APC,,human,false,COL6A3,implied,Supplementary Figure 2P,"Violin Plots showing expression of DCN, PDGFRA, COL6A3, PRRX1, DCLK1, CAMK1D, ATP11A, ARHGEF3, PLIN1, PLIN4, LEP, and ADIPOQ in the three identified APC populations (P) and in all subpopulations of mature adipocytes (Q).",pending,
APC,,human,false,DCLK1,implied,Supplementary Figure 2P,"Violin Plots showing expression of DCN, PDGFRA, COL6A3, PRRX1, DCLK1, CAMK1D, ATP11A, ARHGEF3, PLIN1, PLIN4, LEP, and ADIPOQ in the three identified APC populations (P) and in all subpopulations of mature adipocytes (Q).",pending,
APC,,human,false,DCN,implied,Supplementary Figure 2P,"Violin Plots showing expression of DCN, PDGFRA, COL6A3, PRRX1, DCLK1, CAMK1D, ATP11A, ARHGEF3, PLIN1, PLIN4, LEP, and ADIPOQ in the three identified APC populations (P) and in all subpopulations of mature adipocytes (Q).",pending,
APC,,human,false,PDGFRA,implied,Supplementary Figure 2P,"Violin Plots showing expression of DCN, PDGFRA, COL6A3, PRRX1, DCLK1, CAMK1D, ATP11A, ARHGEF3, PLIN1, PLIN4, LEP, and ADIPOQ in the three identified APC populations (P) and in all subpopulations of mature adipocytes (Q).",pending,
APC,,human,false,PRRX1,implied,Supplementary Figure 2P,"Violin Plots showing expression of DCN, PDGFRA, COL6A3, PRRX1, DCLK1, CAMK1D, ATP11A, ARHGEF3, PLIN1, PLIN4, LEP, and ADIPOQ in the three identified APC populations (P) and in all subpopulations of mature adipocytes (Q).",pending,
mature adipocytes,beige adipocytes,human,false,EBF2,implied,Supplementary Figure 2N,"Feature Plot of mature adipocytes showing expression of PPARGC1A, EBF2, and PRDM16, followed by percentage of beige adipocytes.",pending,
