cell_type,subtype,species,is_pns_cell,gene_symbol,evidence_level,source_section,source_context,review_status,notes
C-FIB-OSMRhi,,human,false,OSMR,explicit,Fig.2d,"C-FIB-OSMRhi, C-MYOF, pvFIB-RSPO3+, pvFIB-PI16+, pvFIB and pvMYOF (top and bottom).",pending,
C-FIB-OSMRlo,,human,false,OSMR,explicit,Fig.2a,"C-FIB-OSMRlo and pvMYOF: ~124, ~46, respectively",pending,
C-MYOF,,human,false,COL3A1,explicit,Results p.7,while suppressing the SPARC+COL3A1+ (C-MYOF) state,pending,
C-MYOF,,human,false,MYOF,explicit,Fig.2d,"C-FIB-OSMRhi, C-MYOF, pvFIB-RSPO3+, pvFIB-PI16+, pvFIB and pvMYOF (top and bottom).",pending,
C-MYOF,,human,false,SPARC,explicit,Results p.7,while suppressing the SPARC+COL3A1+ (C-MYOF) state,pending,
Interstitial fibroblasts,C-MYOF,human,false,COL3A1,explicit,"Figure 2a, ED Figure 5b, Supplementary Table S21",a SPARC+COL3A1+ myofibroblast state (C-MYOF),pending,
Interstitial fibroblasts,C-FIB-OSMRhi,human,false,OSMR,explicit,"Figure 2a, ED Figure 5b, Supplementary Table S21",a cross-tissue associated CXCL10+/CCL19+ pro-inflammatory state (C-FIB-OSMRhi),pending,
Interstitial fibroblasts,C-MYOF,human,false,SPARC,explicit,"Figure 2a, ED Figure 5b, Supplementary Table S21",a SPARC+COL3A1+ myofibroblast state (C-MYOF),pending,
MD,,human,false,BBOX1,explicit,Methods - Slide-seq2 Spatial Transcriptomics (Cell type deconvolutions) p.41,"Subclasses were assessed for marker gene expression and spatial localization and those showing less accurate predictions were subset based on non-zero expression of distinguishing marker genes (PECs – CFH; MD – BBOX1 ; resMAC-HLAIIhi – CD163, STAB1, C1QA).",pending,
MON,,human,false,FCN1,explicit,Results p.9,FCN1+ classical monocytes (MON) were more enriched in AKI over CKD and showed an early infiltration into the mouse kidney within 12 hours of ATI,pending,
PEC,,human,false,CFH,explicit,Methods - Slide-seq2 Spatial Transcriptomics (Cell type deconvolutions) p.41,"Subclasses were assessed for marker gene expression and spatial localization and those showing less accurate predictions were subset based on non-zero expression of distinguishing marker genes (PECs – CFH; MD – BBOX1 ; resMAC-HLAIIhi – CD163, STAB1, C1QA).",pending,
PT,,human,false,PCK1,explicit,ED Figure 7h,10X xenium data showing enrichment of PCK1 in PT compared to aPT and dPT in the same tubule,pending,
REN+ cells,,human,false,REN,explicit,"Methods - Single Cell / Nucleus Data Clustering, Cell Type Annotation and Analyses p.32","Hard to resolve subpopulations were manually separated using the same process as in the V1 atlas either using gene expression (e.g. REN for REN+ cells) or through sub-clustering (EC-AEA, EC-DVR).",pending,
aPT2,,human,false,CDH6,explicit,Results p.10,"aPT2 expressed the injury markers CDH6, VCAM1 and HAVCR1 with REL (NF-kB) and KLF6 binding site activities",pending,
aPT2,,human,false,HAVCR1,explicit,Results p.10,"aPT2 expressed the injury markers CDH6, VCAM1 and HAVCR1 with REL (NF-kB) and KLF6 binding site activities",pending,
aPT2,,human,false,VCAM1,explicit,Results p.10,"aPT2 expressed the injury markers CDH6, VCAM1 and HAVCR1 with REL (NF-kB) and KLF6 binding site activities",pending,
frPT,,human,false,MEG3,explicit,Results p.11,"Failed repair (fr) states were further marked by the expression of PROM1 (frPT and frTAL), ROBO2 and MEG3 (frPT), or ITGB8 and TMPRSS4 (frTAL)",pending,
frPT,,human,false,PROM1,explicit,Results p.11,"Failed repair (fr) states were further marked by the expression of PROM1 (frPT and frTAL), ROBO2 and MEG3 (frPT), or ITGB8 and TMPRSS4 (frTAL)",pending,
frPT,,human,false,ROBO2,explicit,Results p.11,"Failed repair (fr) states were further marked by the expression of PROM1 (frPT and frTAL), ROBO2 and MEG3 (frPT), or ITGB8 and TMPRSS4 (frTAL)",pending,
