cell_type,subtype,species,is_pns_cell,gene_symbol,evidence_level,source_section,source_context,review_status,notes
B cells,,mouse,false,Cd79a,explicit,Page 4; Figure 2j; Supplementary Table 6,"This is supported by upregulation of B/plasma cell markers (Cd79a, Igj; Figure 2j; Supplementary Table 6) and downregulation of Cd3d.",pending,
Kupffer cells,,mouse,false,Clec4f,explicit,Page 4; Extended Data Figure 6g,We stained liver Kupffer cells (Extended Data Figure 6g) with Clec4f and found the number of Clec4f+ cells does not change with age,pending,
LSEC,,mouse,false,Pecam1,explicit,Page 4; Supplementary Table 7; Extended Data Figure 6l,"By performing in situ RNA staining for Mrc1 alongside classical LSEC marker Pecam1 (Supplementary Table 7; Extended Data Figure 6l), we found that the number of Mrc1 expressing LSECs increased with age.",pending,
Plasma cells,,mouse,false,Igj,explicit,Page 4; Figure 2j; Supplementary Table 6,"This is supported by upregulation of B/plasma cell markers (Cd79a, Igj; Figure 2j; Supplementary Table 6) and downregulation of Cd3d.",pending,
Hepatocytes,,mouse,false,Alb,implied,Page 4; Extended Data Figure 6e; Supplementary Table 6,"The liver also displays changing tissue compositions with age, as the relative number of hepatocytes decreases with age (Extended Data Figure 6a-d), which is supported by the reduction in the expression of albumin (Alb; Extended Data Figure 6e; Supplementary Table 6).",pending,
Kupffer cells,,mouse,false,Il1b,implied,Extended Data Figure 6f,Gene expression of Il1b and Clec4f (f) ... in the liver droplet dataset for the six ages. Staining of Kupffer cells across age (g),pending,
LSEC,,mouse,false,Mrc1,implied,Page 4; Supplementary Table 7; Extended Data Figure 6l,"LSECs play a unique role, being the main carriers of the mannose receptor (Mrc1) in the liver ... By performing in situ RNA staining for Mrc1 alongside classical LSEC marker Pecam1",pending,
Macrophage,M2,mouse,false,C1qa,implied,Page 6; Extended Data Figure 11f,"Differential gene expression revealed that cluster 10 is enriched for an M2-macrophage gene signature (e.g. Il10, H2-Eb1, H2-Ab1, H2-Aa, Cd74, C1qa, Cxcl16, Hexb, Cd81, C1qb, Cd72)",pending,
Macrophage,M2,mouse,false,C1qb,implied,Page 6; Extended Data Figure 11f,"Differential gene expression revealed that cluster 10 is enriched for an M2-macrophage gene signature (e.g. Il10, H2-Eb1, H2-Ab1, H2-Aa, Cd74, C1qa, Cxcl16, Hexb, Cd81, C1qb, Cd72)",pending,
Macrophage,M2,mouse,false,Cd72,implied,Page 6; Extended Data Figure 11f,"Differential gene expression revealed that cluster 10 is enriched for an M2-macrophage gene signature (e.g. Il10, H2-Eb1, H2-Ab1, H2-Aa, Cd74, C1qa, Cxcl16, Hexb, Cd81, C1qb, Cd72)",pending,
Macrophage,M2,mouse,false,Cd74,implied,Page 6; Extended Data Figure 11f,"Differential gene expression revealed that cluster 10 is enriched for an M2-macrophage gene signature (e.g. Il10, H2-Eb1, H2-Ab1, H2-Aa, Cd74, C1qa, Cxcl16, Hexb, Cd81, C1qb, Cd72)",pending,
