Recommendation_Rank,Recommendation_Score,Dataset_ID,Publication_Title,Year,PMID / DOI,Repository,Species,Tissue,Disease_or_Condition,Technology,Cell_Number,Neural_Related_Cell_Type,Marker_Genes,Evidence_Level,Neural_Cell_Prevalence,Cell_Communication_Analysis,Spatial_Location_Info,Application_Tags,Download_Link,Accession_or_Project_Link,Notes
1,175.0,GSE182098,Disentangling glial diversity in peripheral nerves at single-nuclei resolution,2022,PMID:35115729,GEO/SRA,Mus musculus,sciatic nerve; peroneal nerve; sural nerve; vagus nerve,normal; ALS model comparison in associated study,snRNA-seq; scRNA-seq,not reported in GEO summary; 12 sc/sn libraries,Schwann cell; myelinating Schwann cell; non-myelinating Schwann cell; stromal/immune nerve cells,SOX10;MPZ;PLP1;MBP;PMP22;CLDN14;ADAMTSL1;PMP2,A = GEO summary reports multiple Schwann-cell subtypes,major or enriched neural population,not determined from repository metadata,no,针灸作用相关;神经-免疫通讯;外周神经再生,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE182098 ; https://www.ncbi.nlm.nih.gov/sra?term=SRP332493,https://milbrandtlab.wustl.edu/glia-portal/,Processed RDS and raw SRA/BAM available per GEO/GLIA portal.
2,171.0,GSE198485,Single cell RNAseq Adult Mouse Lumbar Dorsal Root Ganglia (DRG),2023,PMID:37120427; PMID:37664243,GEO/SRA,Mus musculus,lumbar dorsal root ganglia L3-L5,naive adult male mouse,scRNA-seq,not reported in GEO summary; processed TAR 114.2 Mb,sensory neuron; non-neuronal DRG cells,RBFOX3;TUBB3;PRPH;SCN10A;TRPV1;SOX10;PLP1,A = GEO summary reports neuronal and non-neuronal populations,major or enriched neural population,not determined from repository metadata,no,针灸作用相关,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE198485,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE198485,Processed TAR contains CLOUPE/CSV/H5 and raw SRA is available.
3,147.92,CELLxGENE:b6f472f1-a58d-43a7-a898-2d6822a0b2b2,iPain atlas,2024,10.1038/s41467-024-52052-8,CELLxGENE Discover,Mus musculus,dorsal root ganglion,normal; peripheral neuropathy,snRNA-seq,191798,peripheral/enteric glia | matched labels: glial cell; sensory neuron of dorsal root ganglion,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,major or enriched neural population,not determined from repository metadata,no,针灸作用相关,https://datasets.cellxgene.cziscience.com/9e592a91-b992-4f54-9bbe-2f53dd3308da.h5ad ; collection: https://cellxgene.cziscience.com/collections/03608e22-227a-4492-910b-3cb3f16f952e,https://cellxgene.cziscience.com/collections/03608e22-227a-4492-910b-3cb3f16f952e,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
4,145.0,GSE156905,"scRNA-sequencing reveals new enteric nervous system roles for GDNF, NRTN, and TBX3",2020,not reported in repository metadata,GEO/SRA,Mus musculus,small intestine; enteric nervous system,juvenile/adolescent ENS development,scRNA-seq,not reported in repository metadata,enteric neuron; enteric glia,RBFOX3;TUBB3;PHOX2B;RET;SOX10;PLP1,A = OmicsDI/GEO summary reports enteric neurons and glia,major or enriched neural population,not determined from repository metadata,no,general peripheral neurobiology,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE156905,https://www.omicsdi.org/dataset/geo/GSE156905,Needs sample-level GEO file verification; included for recall due clear ENS scRNA-seq accession.
5,135.0,SCP1038,The human and mouse enteric nervous system at single cell resolution,2020,DOI:10.1016/j.cell.2020.08.003,Single Cell Portal,Homo sapiens; Mus musculus,colon; ileum; enteric nervous system/myenteric plexus,normal adult/fetal/reference ENS,snRNA-seq; scRNA-seq,586460 total cells in portal; includes neuron/glia subsets,enteric neuron; enteric glia,RBFOX3;TUBB3;SNAP25;PHOX2B;SOX10;PLP1;S100B,A = portal summary explicitly lists neurons and glia,major or enriched neural population,yes/likely described by authors; communication machinery noted,no,general peripheral neurobiology,https://singlecell.broadinstitute.org/single_cell/study/SCP1038/the-human-and-mouse-enteric-nervous-system-at-single-cell-resolution,https://singlecell.broadinstitute.org/single_cell/study/SCP1038/the-human-and-mouse-enteric-nervous-system-at-single-cell-resolution,"Portal provides downloadable matrix/metadata files; human raw FASTQ controlled, processed matrices public."
6,135.0,GSE149524,Single Cell RNA-sequencing analysis of the juvenile and embryonic mouse enteric nervous system (ENS) of the small intestine,2020,PMID:33288908,GEO/SRA,Mus musculus,small intestine; enteric nervous system,juvenile and embryonic development,scRNA-seq,not reported in GEO summary; 4 samples,enteric neuron; enteric glia; enteric progenitor,RBFOX3;TUBB3;PHOX2B;RET;SOX10;PLP1,A = GEO summary reports enteric neuron classes and glia/neurons in design,major or enriched neural population,yes/likely described by authors; ligand/receptor/adhesion communication machinery reported,no,general peripheral neurobiology,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE149524,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE149524,GEO/SRA downloadable; strong ENS subtype annotation.
7,128.3,CELLxGENE:19053a82-9c89-4fb8-bd19-d7b1800b0b7b,Single-cell integration reveals metaplasia in inflammatory gut diseases,2025,10.1038/s41586-024-07571-1,CELLxGENE Discover,Homo sapiens,ascending colon; body of stomach; buccal mucosa; caecum; caecum epithelium; cecum mucosa; colon; colonic epithelium; colonic mucosa; descending colon; duodenal epithelium; duodenum; epithelium of esophagus; epithelium of rectum; epithelium of small intestine; epithelium of stomach; esophagus; gingiva; ileal epithelium; ileum; ileum lamina propria; intestine; jejunum; labial gland; lamina propria of mucosa of colon; lamina propria of small intestine; mesenteric lymph node; mucosa of sigmoid colon; mucosa of transverse colon; parotid gland; periodontium; pyloric antrum; pylorus; rectosigmoid junction; rectum; sigmoid colon; small intestine; stomach; transverse colon; vermiform appendix,Crohn disease; celiac disease; colorectal cancer; gastric cancer; inflammatory bowel disease; normal; ulcerative colitis,scRNA-seq,1596200,peripheral/enteric glia | matched labels: afferent neuron; enteric neuron; enteroendocrine cell; enteroglial cell; inhibitory motor neuron; interneuron; motor neuron; type EC enteroendocrine cell; type G enteroendocrine cell; type X enteroendocrine cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,disease/injury-induced or disease-context neural population,not determined from repository metadata,no,神经-免疫通讯;炎症;伤口修复,https://datasets.cellxgene.cziscience.com/757945c8-a916-431d-aceb-1afbc80a7c55.h5ad ; collection: https://cellxgene.cziscience.com/collections/f11cb29c-b546-4738-9bd8-66ea621a7bd5,https://cellxgene.cziscience.com/collections/f11cb29c-b546-4738-9bd8-66ea621a7bd5,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
8,128.2,CELLxGENE:e6aaf5a4-16e9-4ea6-9733-4eafd4e473d3,Single-cell integration reveals metaplasia in inflammatory gut diseases,2025,10.1038/s41586-024-07571-1,CELLxGENE Discover,Homo sapiens,ascending colon; body of stomach; buccal mucosa; caecum; colon; colonic epithelium; colonic mucosa; descending colon; duodenal epithelium; duodenum; epithelium of esophagus; epithelium of rectum; epithelium of small intestine; epithelium of stomach; esophagus; gingiva; ileal epithelium; ileum; ileum lamina propria; intestine; jejunum; labial gland; lamina propria of mucosa of colon; lamina propria of small intestine; mesenteric lymph node; parotid gland; periodontium; pyloric antrum; pylorus; rectosigmoid junction; rectum; sigmoid colon; small intestine; stomach; transverse colon; vermiform appendix,Crohn disease; colorectal cancer; gastric cancer; inflammatory bowel disease; normal; ulcerative colitis,scRNA-seq,1358573,peripheral/enteric glia | matched labels: afferent neuron; enteric neuron; enteroendocrine cell; enteroglial cell; inhibitory motor neuron; interneuron; motor neuron; type EC enteroendocrine cell; type G enteroendocrine cell; type X enteroendocrine cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,disease/injury-induced or disease-context neural population,not determined from repository metadata,no,神经-免疫通讯;炎症;伤口修复,https://datasets.cellxgene.cziscience.com/8b6c3914-0505-40a5-a241-a9390759f7ac.h5ad ; collection: https://cellxgene.cziscience.com/collections/f11cb29c-b546-4738-9bd8-66ea621a7bd5,https://cellxgene.cziscience.com/collections/f11cb29c-b546-4738-9bd8-66ea621a7bd5,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
9,127.0,GSE184981,Single-cell transcriptomic and epigenetic profiling of mouse myenteric plexus glial cells,2023,not reported in repository metadata,GEO/SRA,Mus musculus,small intestine; myenteric plexus,normal; glial neurogenesis / neurosphere culture,scRNA-seq; snATAC-seq,not reported in repository metadata,enteric glia; neurogenic glia,SOX10;PLP1;S100B;GFAP;FABP7;ELAVL4,A = repository/literature summary reports myenteric glial subgroups,major or enriched neural population,not determined from repository metadata,no,general peripheral neurobiology,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE184981,https://www.omicsdi.org/dataset/geo/GSE156905,Identified from OmicsDI/GEO ENS related search; verify sample-level file formats in GEO.
10,125.55,CELLxGENE:9dfd2243-74d6-4924-86bd-c206ca9287b1,Spatiotemporal analysis of human intestinal development at single-cell resolution,2021,10.1016/j.cell.2020.12.016,CELLxGENE Discover,Homo sapiens,colon,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: enteroendocrine cell; glial cell; inhibitory motor neuron; motor neuron; neuroendocrine cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,major or enriched neural population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/74af8a22-0e68-4483-8a09-9ec5b5961b94.h5ad ; collection: https://cellxgene.cziscience.com/collections/60358420-6055-411d-ba4f-e8ac80682a2e,https://cellxgene.cziscience.com/collections/60358420-6055-411d-ba4f-e8ac80682a2e,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
