filename,sha256,file_size,page_count,status,paper_id,document_id,document_role,registry_doi,registry_pmid,registry_title,observed_dois,observed_pmids,metadata_title,score,title_score,match_basis,issues,read_error
10.1016_j.cell.2019.06.029_PublisherDirect.pdf,e59dc4d405201fcce68ea965903f5a1dea66b2ec76d343be9f4b38281b2eee4e,10387585,40,verified,DOI_10.1016_j.cell.2019.06.029,DOI_10.1016_j.cell.2019.06.029,primary,10.1016/j.cell.2019.06.029,31348891,Intra- and Inter-cellular Rewiring of the Human Colon during Ulcerative Colitis.,10.1016/j.cell.2019.06.029,,Intra- and Inter-cellular Rewiring of the Human Colon during Ulcerative Colitis,440,1.0,primary_pdf_doi;filename_doi;strong_title,registry_path_mismatch,
10.1038_s41586-020-2496-1_CrossrefPage.pdf,b6a70103963b8e7316d70d8f5baa1b417a8d74b64bfdd63b87f33b4a4d8e9764,630277,2,verified,DOI_10.1038_s41586-020-2496-1,DOI_10.1038_s41586-020-2496-1__supplement_01,supplement,10.1038/s41586-020-2496-1,32669714,A single-cell transcriptomic atlas characterizes ageing tissues in the mouse.,10.1038/s41586-020-2496-1,,SpringerNature_Nature_2496_supplement.indd,440,1.0,primary_pdf_doi;filename_doi;strong_title,registry_path_mismatch,
10.1158_2159-8290.CD-22-0824_PublisherDirect.pdf,38cc06e4f16647c188f18e20e1a4850e51c5fdb7c15ad1bd3782799a7b7b43a9,16855946,18,verified,DOI_10.1158_2159-8290.cd-22-0824,DOI_10.1158_2159-8290.cd-22-0824,primary,10.1158/2159-8290.cd-22-0824,36929873,Single-Cell RNA Sequencing Unifies Developmental Programs of Esophageal and Gastric Intestinal Metaplasia.,10.1158/2159-8290.cd-22-0824,,,440,1.0,primary_pdf_doi;filename_doi;strong_title,registry_path_mismatch,
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RNA_sequencing(科研通-ablesci.com).pdf,cd262a5d138cafc0e65d260e7232e5e342e7b24a93fd54230216e6332b9abdd6,24850008,37,verified,DOI_10.1038_s41586-020-2922-4,DOI_10.1038_s41586-020-2922-4,primary,10.1038/s41586-020-2922-4,33208946,A molecular cell atlas of the human lung from single-cell RNA sequencing.,10.1038/s41586-020-2922-4,,,320,1.0,primary_pdf_doi;strong_title,registry_path_mismatch,
DOI_10.1016_j.jcf.2025.01.016_Cystic Fibrosis and healthy control biopsy.pdf,011493f8607576f90fa5cedd963be74f633117207d5a9c7a9d3c678e1d940864,4313490,12,verified,DOI_10.1016_j.jcf.2025.01.016,DOI_10.1016_j.jcf.2025.01.016,primary,10.1016/j.jcf.2025.01.016,39947933,Evidence for altered immune-structural cell crosstalk in cystic fibrosis revealed by single cell transcriptomics.,10.1016/j.jcf.2025.01.016,,Evidence for altered immune-structural cell crosstalk in cystic fibrosis revealed by single cell transcriptomics,440,1.0,primary_pdf_doi;filename_doi;strong_title,registry_path_mismatch,
DOI_10.1038_s44318-024-00328-6_A novel human fetal lung-derived alveolar organoid model reveals mechanisms of surfactant protein C maturation relevant .pdf,c690f7c2d16a0e99c1f614d0fa994db3ead8fb2a21e16b5bd3193bb1c5334a07,10784094,26,verified,DOI_10.1038_s44318-024-00328-6,DOI_10.1038_s44318-024-00328-6,primary,10.1038/s44318-024-00328-6,39815007,A novel human fetal lung-derived alveolar organoid model reveals mechanisms of surfactant protein C maturation relevant to interstitial lung disease.,10.1038/s44318-024-00328-6received,,A novel human fetal lung-derived alveolar organoid model reveals mechanisms of surfactant protein C maturation relevant to interstitial lung disease,220,1.0,filename_doi;strong_title,registry_path_mismatch,
DOI_10.1101_2024.03.05.583423_Transcriptional dynamics of the murine heart during perinatal development at single-cell resolution.pdf,2aebaaaf9c6af138905929eb54a81c0d76c7215f7839ec346c7c7cf370e351ef,19833465,59,verified,DOI_10.1101_2024.03.05.583423,DOI_10.1101_2024.03.05.583423,primary,10.1101/2024.03.05.583423,,Transcriptional dynamics of the murine heart during perinatal development at single-cell resolution,10.1101/2024.03.05.583423doi,,Transcriptional dynamics of the murine heart during perinatal development at single-cell resolution,260,1.0,filename_doi;registry_path;strong_title,,
DOI_10.1101_2024.10.23.619925_Profiling of epithelial functional states and fibroblast phenotypes in hormone therapy-naïve localis.pdf,c80250ff2b657838703580a3f9b2b921d95a63db9eca0b93c68b5c33840b910e,3501253,64,verified,DOI_10.1101_2024.10.23.619925,DOI_10.1101_2024.10.23.619925,primary,10.1101/2024.10.23.619925,,Profiling of epithelial functional states and fibroblast phenotypes in hormone therapy-naïve localised prostate cancer,10.1101/2024.10.23.619925doi,,Profiling of epithelial functional states and fibroblast phenotypes in hormone therapy-naïve localised prostate cancer,260,1.0,filename_doi;registry_path;strong_title,,
"DOI_10.1101_2025.01.17.633590_A pancreatic islet scRNA-seq atlas from 48 non-diabetic, prediabetic and type 2 diabetic individuals.pdf",022b74fa07c3aa736e2dbe6ccff6ed6b875885558fbc8c483818ea270dc1cbed,4613942,60,verified,DOI_10.1101_2025.01.17.633590,DOI_10.1101_2025.01.17.633590,primary,10.1101/2025.01.17.633590,,Single-cell decoding of human islet cell type-specific alterations in type 2 diabetes reveals converging genetic- and state-driven β-cell gene expression defects,10.1101/2025.01.17.633590doi,,36130572,220,1.0,filename_doi;strong_title,registry_path_mismatch,
DOI_10.1101_2025.09.14.673351_Single-Nucleus Analysis of Human White Adipose Tissue Reveals Adipocyte Subsets with Distinct Metabo.pdf,f8e91b6dbe7d5b2fa7555ad92acb6ca48a47d48ba023cf95820ef08c7b379e68,9442912,52,verified,DOI_10.1101_2025.09.14.673351,DOI_10.1101_2025.09.14.673351,primary,10.1101/2025.09.14.673351,,Single-Nucleus Analysis of Human White Adipose Tissue Reveals Adipocyte Subsets with Distinct Metabolic Profiles,10.1101/2025.09.14.673351doi,,Single-Nucleus Analysis of Human White Adipose Tissue Reveals Adipocyte Subsets with Distinct Metabolic Profiles,260,1.0,filename_doi;registry_path;strong_title,registry_path_conflict,
DOI_10.1101_2025.09.26.678707_Cellular and Spatial Drivers of Unresolved Injury and Functional Decline in the Human Kidney.pdf,cc68fc0097f8f1c0b4121ce69808e920fc43f8deae0bfe5d973ecd59df060882,39940889,101,verified,DOI_10.1101_2025.09.26.678707,DOI_10.1101_2025.09.26.678707,primary,10.1101/2025.09.26.678707,,Cellular and Spatial Drivers of Unresolved Injury and Functional Decline in the Human Kidney,10.1101/2025.09.26.678707doi,,29947990,220,1.0,filename_doi;strong_title,registry_path_mismatch,
DOI_10.3389_fdmed.2021.806294_Single-Cell Transcriptomic Profiling of Human Dental Pulp in Sound and Carious Teeth_ A Pilot Study.pdf,2457d1df789924ec93059d555688fa5026f3a01795ec8877440a9b1e76e2194c,2641535,10,verified,DOI_10.3389_fdmed.2021.806294,DOI_10.3389_fdmed.2021.806294,primary,10.3389/fdmed.2021.806294,,Single-Cell Transcriptomic Profiling of Human Dental Pulp in Sound and Carious Teeth: A Pilot Study,10.3389/fdmed.2021.806294;10.3389/fdmed.2021.806294single-cell,,Single-Cell Transcriptomic Profiling of Human Dental Pulp in Sound and Carious Teeth: A Pilot Study,480,1.0,primary_pdf_doi;filename_doi;registry_path;strong_title,,
DOI_10.64898_2025.12.18.695268_A poly(A) isoform–aware single-cell and spatial atlas defines fibroblast niches in the human bladder.pdf,66dba92905e9e1f26204069c721cdf7f7583f0dbadd1b0102ed8e0cf3550e9a4,17044355,45,verified,DOI_10.64898_2025.12.18.695268,DOI_10.64898_2025.12.18.695268,primary,10.64898/2025.12.18.695268,,A poly(A) isoform–aware single-cell and spatial atlas defines fibroblast niches in the human bladder,10.64898/2025.12.18.695268doi,,A poly(A) isoform–aware single-cell and spatial atlas defines fibroblast niches in the human bladder,260,1.0,filename_doi;registry_path;strong_title,registry_path_conflict,
Early_human_lung_immune_cell_development_and_its_role_in_epithelial_cell_fate(科研通-ablesci.com) (1).pdf,9e44d9641ef26e86782ccdfe33068545706e66d23d99313decc9426add3c3d19,4165887,39,verified,DOI_10.1126_sciimmunol.adf9988,DOI_10.1126_sciimmunol.adf9988,primary,10.1126/sciimmunol.adf9988,38100545,Early human lung immune cell development and its role in epithelial cell fate.,10.1126/sciimmunol.adf9988,,Early human lung immune cell development and its role in epithelial cell fate,320,1.0,primary_pdf_doi;strong_title,registry_path_mismatch,
PMID_28965763_Single-Cell Analysis of Human Pancreas Reveals Transcriptional Signatures of Aging and Somatic Mutat.pdf,cae18b3fbd0707809f7c46037ad5213640e907d76501b5a383d45ca8f44ffb9c,4502919,25,verified,DOI_10.1016_j.cell.2017.09.004,DOI_10.1016_j.cell.2017.09.004,primary,10.1016/j.cell.2017.09.004,28965763,Single-Cell Analysis of Human Pancreas Reveals Transcriptional Signatures of Aging and Somatic Mutation Patterns.,10.1016/j.cell.2017.09.004,,Single-Cell Analysis of Human Pancreas Reveals Transcriptional Signatures of Aging and Somatic Mutation Patterns,480,1.0,primary_pdf_doi;filename_pmid;registry_path;strong_title,,
PMID_30566875_A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra..pdf,86c9ccc967d28725de47e9ad4fbee24054adc3dc6be2059b8b2aa105f41044e8,7429581,19,verified,DOI_10.1016_j.celrep.2018.11.086,DOI_10.1016_j.celrep.2018.11.086,primary,10.1016/j.celrep.2018.11.086,30566875,A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra.,10.1016/j.celrep.2018.11.086,,A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra,480,1.0,primary_pdf_doi;filename_pmid;registry_path;strong_title,,
PMID_31474370_Single-Cell Analysis of Crohn's Disease Lesions Identifies a Pathogenic Cellular Module Associated w.pdf,172caf71580ba0626fc0ca8b1f159186912e409411619f8942ac1c9d202a5e23,12341651,37,verified,DOI_10.1016_j.cell.2019.08.008,DOI_10.1016_j.cell.2019.08.008,primary,10.1016/j.cell.2019.08.008,31474370,Single-Cell Analysis of Crohn's Disease Lesions Identifies a Pathogenic Cellular Module Associated with Resistance to Anti-TNF Therapy.,10.1016/j.cell.2019.08.008,,Single-Cell Analysis of Crohn's Disease Lesions Identifies a Pathogenic Cellular Module Associated with Resistance to Anti-TNF Therapy,480,1.0,primary_pdf_doi;filename_pmid;registry_path;strong_title,,
PMID_31604275_Spatiotemporal immune zonation of the human kidney.pdf,ef9faf14b74315670fd8d95925e13caaf837c1d734d74d05e257d263a9ce7845,2276423,19,verified,DOI_10.1126_science.aat5031,DOI_10.1126_science.aat5031,primary,10.1126/science.aat5031,31604275,Spatiotemporal immune zonation of the human kidney.,10.5281/zenodo.3245841;10.1126/science.aat5031,,Spatio-temporal immune zonation of the human kidney,350,0.9901,secondary_pdf_doi;filename_pmid;registry_path;strong_title,,
PMID_32497356_Urethral luminal epithelia are castration-insensitive cells of the proximal prostate.pdf,725083a544cdb958d3a8902b252936ec7554abce7112afee730e5c825d8cfedc,4664186,13,verified,DOI_10.1002_pros.24020,DOI_10.1002_pros.24020,primary,10.1002/pros.24020,32497356,Urethral luminal epithelia are castration-insensitive cells of the proximal prostate.,10.1002/pros.24020,,Urethral luminal epithelia are castration‐insensitive cells of the proximal prostate,480,1.0,primary_pdf_doi;filename_pmid;registry_path;strong_title,,
PMID_32669714_A single-cell transcriptomic atlas characterizes ageing tissues in the mouse..pdf,f6cc15b1b46e5501e0653d6a8ba06da6bf63d98f1cc8ece316385b5f63a70dd1,5855501,36,verified,DOI_10.1038_s41586-020-2496-1,DOI_10.1038_s41586-020-2496-1,primary,10.1038/s41586-020-2496-1,32669714,A single-cell transcriptomic atlas characterizes ageing tissues in the mouse.,10.1038/s41586-020-2496-1;10.6084/m9.figshare.8273102.v2,,A Single Cell Transcriptomic Atlas Characterizes Aging Tissues in the Mouse,480,1.0,primary_pdf_doi;filename_pmid;registry_path;strong_title,registry_path_conflict,
PMID_33164753_Single-cell multiomic profiling of human lungs reveals cell-type-specific and age-dynamic control of.pdf,9574dee534ed8b4bc3bb859d8e79d6f42e216ea728b4e56d6860adab3533dc1b,3827308,28,verified,DOI_10.7554_elife.62522,DOI_10.7554_elife.62522,primary,10.7554/elife.62522,33164753,Single-cell multiomic profiling of human lungs reveals cell-type-specific and age-dynamic control of SARS-CoV2 host genes.,10.7554/elife.62522,,16063080976867 1..28,480,1.0,primary_pdf_doi;filename_pmid;registry_path;strong_title,registry_path_conflict,
PMID_33290721_Single-Cell Sequencing of Developing Human Gut Reveals Transcriptional Links to Childhood Crohn's Di.pdf,dfc28f4d0d3bccae28f751a555bbe63d78f8445e3a8a41763ba85ee99b68cd66,23369896,28,verified,DOI_10.1016_j.devcel.2020.11.010,DOI_10.1016_j.devcel.2020.11.010,primary,10.1016/j.devcel.2020.11.010,33290721,Single-Cell Sequencing of Developing Human Gut Reveals Transcriptional Links to Childhood Crohn's Disease.,10.1016/j.devcel.2020.11.010,,Single-Cell Sequencing of Developing Human Gut Reveals Transcriptional Links to Childhood Crohn's Disease,480,1.0,primary_pdf_doi;filename_pmid;registry_path;strong_title,,
PMID_33406409_Spatiotemporal analysis of human intestinal development at single-cell resolution..pdf,6ab5e5e0d26f3164456875606f4e5996cbb6bc7a4ef10855233b862c0dc083be,16512492,41,verified,DOI_10.1016_j.cell.2020.12.016,DOI_10.1016_j.cell.2020.12.016,primary,10.1016/j.cell.2020.12.016,33406409,Spatiotemporal analysis of human intestinal development at single-cell resolution.,10.1016/j.cell.2020.12.016,,Spatiotemporal analysis of human intestinal development at single-cell resolution,480,1.0,primary_pdf_doi;filename_pmid;registry_path;strong_title,,
PMID_33682422_Sex-Specific Control of Human Heart Maturation by the Progesterone Receptor..pdf,8c4945bd753c2fd3d99ce1a6e7abf79bad1858c30ee52bcc51c8bfaaa5f61279,2930662,15,verified,DOI_10.1161_circulationaha.120.051921,DOI_10.1161_circulationaha.120.051921,primary,10.1161/circulationaha.120.051921,33682422,Sex-Specific Control of Human Heart Maturation by the Progesterone Receptor.,10.1161/circulationaha.120.051921,,Sex-Specific Control of Human Heart Maturation by the Progesterone Receptor,480,1.0,primary_pdf_doi;filename_pmid;registry_path;strong_title,,
PMID_33686070_Time-resolved single-cell analysis of Brca1 associated mammary tumourigenesis reveals aberrant diffe.pdf,e62cecfb9d60910d3d07b825aa978c588bcf5277ce323d624563954a95b3e49a,5071364,11,verified,DOI_10.1038_s41467-021-21783-3,DOI_10.1038_s41467-021-21783-3,primary,10.1038/s41467-021-21783-3,33686070,Time-resolved single-cell analysis of Brca1 associated mammary tumourigenesis reveals aberrant differentiation of luminal progenitors.,10.1038/s41467-021-21783-3,,Time-resolved single-cell analysis of Brca1 associated mammary tumourigenesis reveals aberrant differentiation of luminal progenitors,480,1.0,primary_pdf_doi;filename_pmid;registry_path;strong_title,,
