paper_id,task_no,paper_status,cell_type,subtype,species,in_project_scope,original_symbol,normalized_symbol,normalization_status,evidence_type,marker_polarity,source_locator,source_context,citation_match_score,citation_verified,decision,reason
DOI_10.1016_j.cell.2022.11.005,9,corrected,multipotent progenitors,bud tip epithelium,human,false,SOX9,SOX9,exact,annotation_marker,positive,"Introduction, p.4841","bud tip epithelium comprises SOX9+, ID2+ multipotent progenitors",1.0,True,exclude,Not in target_cell_scope (PNS/Schwann and pulmonary neuroendocrine); bud tip epithelium is out of scope.
DOI_10.1016_j.cell.2022.11.005,9,corrected,multipotent progenitors,bud tip epithelium,human,false,ID2,ID2,exact,annotation_marker,positive,"Introduction, p.4841","bud tip epithelium comprises SOX9+, ID2+ multipotent progenitors",1.0,True,exclude,Not in target_cell_scope; bud tip epithelium is out of scope.
DOI_10.1016_j.cell.2022.11.005,9,corrected,epithelial lineage,,human,false,CD326,EPCAM,alias_resolved,cluster_enriched,positive,"Introduction, p.4842",Epithelial cells were mostly derived from trypsin-treated and CD326-enriched samples,1.0,True,exclude,Not in target_cell_scope; epithelial lineage is out of scope.
DOI_10.1016_j.cell.2022.11.005,9,corrected,tip cell,,human,false,SOX9,SOX9,exact,author_declared,positive,Results: 'Late epithelial tip cells acquire alveolar identity...',Tip cells express a core set of tip-specific markers (SOX9+),0.875,True,exclude,Not in target_cell_scope; tip cells are out of scope.
DOI_10.1016_j.cell.2022.11.005,9,corrected,tip cell,,human,false,ETV5,ETV5,exact,author_declared,positive,Results: 'Late epithelial tip cells acquire alveolar identity...',Tip cells express a core set of tip-specific markers (ETV5+),0.875,True,exclude,Not in target_cell_scope; tip cells are out of scope.
DOI_10.1016_j.cell.2022.11.005,9,corrected,tip cell,,human,false,TESC,TESC,exact,author_declared,positive,Results: 'Late epithelial tip cells acquire alveolar identity...',Tip cells express a core set of tip-specific markers (TESC+),0.875,True,exclude,Not in target_cell_scope; tip cells are out of scope.
DOI_10.1016_j.cell.2022.11.005,9,corrected,tip cell,,human,false,TPPP3,TPPP3,exact,author_declared,positive,Results: 'Late epithelial tip cells acquire alveolar identity...',Tip cells express a core set of tip-specific markers (TPPP3+),0.875,True,exclude,Not in target_cell_scope; tip cells are out of scope.
DOI_10.1016_j.cell.2022.11.005,9,corrected,tip cell,,human,false,STC1,STC1,exact,author_declared,positive,Results: 'Late epithelial tip cells acquire alveolar identity...',Tip cells express a core set of tip-specific markers (STC1+),0.875,True,exclude,Not in target_cell_scope; tip cells are out of scope.
DOI_10.1016_j.cell.2022.11.005,9,corrected,tip cell,,human,false,FOXP2,FOXP2,exact,author_declared,positive,Results: 'Predicted airway epithelial differentiation trajectories',"Stalk cells lose some tip markers, including FOXP2 and SOX9",0.875,True,exclude,Not in target_cell_scope; tip/stalk cells are out of scope.
DOI_10.1016_j.cell.2022.11.005,9,corrected,tip cell,late,human,false,SOX9,SOX9,exact,annotation_marker,positive,Results: 'Late epithelial tip cells acquire alveolar identity...' / Fig. 3F,"late-tip cells (SOX9+, TPPP3+, SFTPC+) were clearly visualized",0.8571,True,exclude,Not in target_cell_scope; late-tip cells are out of scope.
DOI_10.1016_j.cell.2022.11.005,9,corrected,tip cell,late,human,false,TPPP3,TPPP3,exact,annotation_marker,positive,Results: 'Late epithelial tip cells acquire alveolar identity...' / Fig. 3F,"late-tip cells (SOX9+, TPPP3+, SFTPC+) were clearly visualized",0.8571,True,exclude,Not in target_cell_scope; late-tip cells are out of scope.
DOI_10.1016_j.cell.2022.11.005,9,corrected,tip cell,late,human,false,SFTPC,SFTPC,exact,annotation_marker,positive,Results: 'Late epithelial tip cells acquire alveolar identity...' / Fig. 3F,"late-tip cells (SOX9+, TPPP3+, SFTPC+) were clearly visualized",0.8571,True,exclude,Not in target_cell_scope; late-tip cells are out of scope.
DOI_10.1016_j.cell.2022.11.005,9,corrected,stalk cell,,human,false,SOX9,SOX9,exact,annotation_marker,unknown,Results: 'The most immature epithelial progenitors...',"adjacent stalk cells (SOX9LO/-, PDPNLO, HOPXLO)",1.0,True,exclude,Not in target_cell_scope; stalk cells are out of scope.
DOI_10.1016_j.cell.2022.11.005,9,corrected,stalk cell,,human,false,PDPN,PDPN,exact,annotation_marker,unknown,Results: 'The most immature epithelial progenitors...',"adjacent stalk cells (SOX9LO/-, PDPNLO, HOPXLO)",1.0,True,exclude,Not in target_cell_scope; stalk cells are out of scope.
DOI_10.1016_j.cell.2022.11.005,9,corrected,stalk cell,,human,false,HOPX,HOPX,exact,annotation_marker,unknown,Results: 'The most immature epithelial progenitors...',"adjacent stalk cells (SOX9LO/-, PDPNLO, HOPXLO)",0.0,True,exclude,Not in target_cell_scope; stalk cells are out of scope.
DOI_10.1016_j.cell.2022.11.005,9,corrected,stalk cell,,human,false,AGER,AGER,exact,cluster_enriched,positive,Results: 'Predicted airway epithelial differentiation trajectories',late-stalk cells turn off tip markers and acquire PDPN/AGER,0.625,True,exclude,Not in target_cell_scope; stalk cells are out of scope.
DOI_10.1016_j.cell.2022.11.005,9,corrected,airway progenitor,,human,false,CYTL1,CYTL1,exact,author_declared,positive,Results: 'Predicted airway epithelial differentiation trajectories',airway progenitors upregulate marker genes including CYTL1,1.0,True,exclude,Not in target_cell_scope; airway progenitors are out of scope.
DOI_10.1016_j.cell.2022.11.005,9,corrected,airway progenitor,,human,false,CLDN4,CLDN4,exact,author_declared,positive,Results: 'Predicted airway epithelial differentiation trajectories',airway progenitors upregulate marker genes including CLDN4,1.0,True,exclude,Not in target_cell_scope; airway progenitors are out of scope.
DOI_10.1016_j.cell.2022.11.005,9,corrected,airway progenitor,,human,false,SCGB3A2,SCGB3A2,exact,author_declared,positive,Results: 'Predicted airway epithelial differentiation trajectories',airway progenitors upregulate marker genes including SCGB3A2,1.0,True,exclude,Not in target_cell_scope; airway progenitors are out of scope.
DOI_10.1016_j.cell.2022.11.005,9,corrected,airway progenitor,,human,false,PCP4,PCP4,exact,annotation_marker,positive,Results: 'The most immature epithelial progenitors...',"airway progenitors (CYTL1LO/+, PCP4+, SCGB3A+/LO)",1.0,True,exclude,Not in target_cell_scope; airway progenitors are out of scope.
