paper_id,task_no,paper_status,cell_type,subtype,species,in_project_scope,original_symbol,normalized_symbol,normalization_status,evidence_type,marker_polarity,source_locator,source_context,citation_match_score,citation_verified,decision,reason
DOI_10.1038_s41588-024-01702-0,16,no_formal_target_marker,Macrophage − SPP1+,,human,false,SPP1,SPP1,exact,annotation_marker,positive,Fig.3 (cell-type annotation); Fig.2c,Cell type annotated as 'Macrophage − SPP1+' in immune cell-type list.,1.0,True,exclude,巨噬细胞亚型，不属于目标细胞范围 'L4: Pulmonary neuroendocrine cell'。
DOI_10.1038_s41588-024-01702-0,16,no_formal_target_marker,KRT5−/KRT17+,,human,false,KRT5,KRT5,exact,annotation_marker,negative,Fig.3 (cell-type annotation); Fig.2c,Epithelial cell type annotated as 'KRT5−/KRT17+' in cell-type list.,1.0,True,exclude,上皮基底细胞亚型，不属于目标细胞范围；标记极性按原文修正为 negative。
DOI_10.1038_s41588-024-01702-0,16,no_formal_target_marker,KRT5−/KRT17+,,human,false,KRT17,KRT17,exact,annotation_marker,positive,Fig.3 (cell-type annotation); Fig.2c,Epithelial cell type annotated as 'KRT5−/KRT17+' in cell-type list.,1.0,True,exclude,上皮基底细胞亚型，不属于目标细胞范围。
DOI_10.1038_s41588-024-01702-0,16,no_formal_target_marker,Secretory—SCGB1A1+/SCGB3A2+,,human,false,SCGB1A1,SCGB1A1,exact,annotation_marker,positive,Fig.3 (cell-type annotation); Fig.2c,Secretory epithelial cell type annotated as 'Secretory—SCGB1A1+/SCGB3A2+'.,1.0,True,exclude,分泌性上皮细胞，不属于目标细胞范围。
DOI_10.1038_s41588-024-01702-0,16,no_formal_target_marker,Secretory—SCGB1A1+/SCGB3A2+,,human,false,SCGB3A2,SCGB3A2,exact,annotation_marker,positive,Fig.3 (cell-type annotation); Fig.2c,Secretory epithelial cell type annotated as 'Secretory—SCGB1A1+/SCGB3A2+'.,1.0,True,exclude,分泌性上皮细胞，不属于目标细胞范围。
DOI_10.1038_s41588-024-01702-0,16,no_formal_target_marker,Secretory—SCGB1A1+/MUC5B+,,human,false,SCGB1A1,SCGB1A1,exact,annotation_marker,positive,Fig.3 (cell-type annotation); Results colocalization section,Cell type annotated as 'Secretory—SCGB1A1+/MUC5B+'; also described in text as 'SCGB1A1+/MUC5B+ ... secretory cells'.,0.7778,True,exclude,分泌性上皮细胞，不属于目标细胞范围。
DOI_10.1038_s41588-024-01702-0,16,no_formal_target_marker,Secretory—SCGB1A1+/MUC5B+,,human,false,MUC5B,MUC5B,exact,annotation_marker,positive,Fig.3 (cell-type annotation); Results colocalization section,Cell type annotated as 'Secretory—SCGB1A1+/MUC5B+'; MUC5B colocalization discussed in text.,0.7778,True,exclude,分泌性上皮细胞，不属于目标细胞范围。
DOI_10.1038_s41588-024-01702-0,16,no_formal_target_marker,Secretory—SCGB3A2+,,human,false,SCGB3A2,SCGB3A2,exact,annotation_marker,positive,Fig.3 (cell-type annotation); Results colocalization section,Secretory epithelial cell type annotated as 'Secretory—SCGB3A2+'; also described as 'SCGB3A2+ secretory cells' in text.,0.7778,True,exclude,分泌性上皮细胞，不属于目标细胞范围。
DOI_10.1038_s41588-024-01702-0,16,no_formal_target_marker,WNT2+ FB,,human,false,WNT2,WNT2,exact,annotation_marker,positive,Fig.3 (cell-type annotation); Fig.2c,Fibroblast cell type annotated as 'WNT2+ FB' in the mesenchymal lineage cell-type list.,0.9,True,exclude,成纤维细胞亚型，不属于目标细胞范围。
DOI_10.1038_s41588-024-01702-0,16,no_formal_target_marker,CA4+ capillary,,human,false,CA4,CA4,exact,annotation_marker,positive,Fig.3 (cell-type annotation); Fig.2c,Endothelial cell type annotated as 'CA4+ capillary' in the cell-type list.,0.875,True,exclude,毛细血管内皮细胞亚型，不属于目标细胞范围。
DOI_10.1038_s41588-024-01702-0,16,no_formal_target_marker,CD4,,human,false,CD4,CD4,exact,annotation_marker,positive,Fig.3 (cell-type annotation); Fig.5c cell-type axis,Lymphoid immune cell type labeled 'CD4' in the cell-type list.,0.875,True,exclude,T细胞亚型，不属于目标细胞范围。
DOI_10.1038_s41588-024-01702-0,16,no_formal_target_marker,CD8/NKT,,human,false,CD8,CD8,ambiguous,annotation_marker,positive,Fig.3 (cell-type annotation); Fig.5c cell-type axis,Lymphoid immune cell type labeled 'CD8/NKT' in the cell-type list.,0.8889,True,exclude,CD8/NKT细胞亚型，不属于目标细胞范围；且'CD8'无法唯一解析为CD8A或CD8B。
DOI_10.1038_s41588-024-01702-0,16,no_formal_target_marker,immune cells,,human,false,PTPRC,PTPRC,exact,annotation_marker,positive,"Methods: 'Data integration, clustering, cell type annotation and differential expression'",The resulting clusters were divided into four major cell subgroups based on marker gene expression: PTPRC+ for immune cells.,1.0,True,exclude,免疫细胞群marker，不属于目标细胞范围。
DOI_10.1038_s41588-024-01702-0,16,no_formal_target_marker,epithelial cells,,human,false,EPCAM,EPCAM,exact,annotation_marker,positive,"Methods: 'Data integration, clustering, cell type annotation and differential expression'",EPCAM+ for epithelial cells.,1.0,True,exclude,上皮细胞群marker，不属于目标细胞范围（神经内分泌细胞虽可能属上皮，但本文未将其作为PNEC标记使用）。
DOI_10.1038_s41588-024-01702-0,16,no_formal_target_marker,endothelial cells,,human,false,PECAM1,PECAM1,exact,annotation_marker,positive,"Methods: 'Data integration, clustering, cell type annotation and differential expression'",PECAM1/+PTPRC− for endothelial cells.,1.0,True,exclude,内皮细胞群marker，不属于目标细胞范围。
