paper_id,task_no,paper_status,cell_type,subtype,species,in_project_scope,original_symbol,normalized_symbol,normalization_status,evidence_type,marker_polarity,source_locator,source_context,citation_match_score,citation_verified,decision,reason
DOI_10.64898_2025.12.18.695268,21,corrected,urothelial cells,,human,false,KRT5,KRT5,exact,annotation_marker,positive,"Materials and Methods, Cell clustering and identification",Marker genes included KRT5 and UPK3A for urothelial cells,1.0,True,exclude,"Marker for urothelial cells, not Schwann cells; outside target scope."
DOI_10.64898_2025.12.18.695268,21,corrected,urothelial cells,,human,false,UPK3A,UPK3A,exact,annotation_marker,positive,"Materials and Methods, Cell clustering and identification",Marker genes included KRT5 and UPK3A for urothelial cells,1.0,True,exclude,"Marker for urothelial cells, not Schwann cells; outside target scope."
DOI_10.64898_2025.12.18.695268,21,corrected,urothelial cells,basal,human,false,KRT5,KRT5,exact,cluster_enriched,positive,Results: Single-nucleus transcriptomic atlas of the adult human bladder; Fig. 1C; fig. S1A; table S2,The urothelium resolved into three layers corresponding to basal (KRT5+/KRT13+/ADAMTS9+) ... layers,1.0,True,exclude,"Marker for basal urothelial cells, not Schwann cells; outside target scope."
DOI_10.64898_2025.12.18.695268,21,corrected,urothelial cells,basal,human,false,KRT13,KRT13,exact,cluster_enriched,positive,Results: Single-nucleus transcriptomic atlas of the adult human bladder; Fig. 1C; fig. S1A; table S2,The urothelium resolved into three layers corresponding to basal (KRT5+/KRT13+/ADAMTS9+) ... layers,1.0,True,exclude,"Marker for basal urothelial cells, not Schwann cells; outside target scope."
DOI_10.64898_2025.12.18.695268,21,corrected,urothelial cells,basal,human,false,ADAMTS9,ADAMTS9,exact,cluster_enriched,positive,Results: Single-nucleus transcriptomic atlas of the adult human bladder; Fig. 1C; fig. S1A; table S2,The urothelium resolved into three layers corresponding to basal (KRT5+/KRT13+/ADAMTS9+) ... layers,1.0,True,exclude,"Marker for basal urothelial cells, not Schwann cells; outside target scope."
DOI_10.64898_2025.12.18.695268,21,corrected,urothelial cells,umbrella,human,false,UPK1A,UPK1A,exact,cluster_enriched,positive,Results: Single-nucleus transcriptomic atlas of the adult human bladder; Fig. 1C; fig. S1A; table S2,The urothelium resolved into three layers corresponding to ... umbrella (UPK1A+/UPK3A+) ... layers,1.0,True,exclude,"Marker for umbrella urothelial cells, not Schwann cells; outside target scope."
DOI_10.64898_2025.12.18.695268,21,corrected,urothelial cells,umbrella,human,false,UPK3A,UPK3A,exact,cluster_enriched,positive,Results: Single-nucleus transcriptomic atlas of the adult human bladder; Fig. 1C; fig. S1A; table S2,The urothelium resolved into three layers corresponding to ... umbrella (UPK1A+/UPK3A+) ... layers,1.0,True,exclude,"Marker for umbrella urothelial cells, not Schwann cells; outside target scope."
DOI_10.64898_2025.12.18.695268,21,corrected,urothelial cells,intermediate,human,false,KRT13,KRT13,exact,cluster_enriched,positive,Results: Single-nucleus transcriptomic atlas of the adult human bladder; Fig. 1C; fig. S1A; table S2,The urothelium resolved into three layers corresponding to ... intermediate (KRT13+/ABCC3+) layers,1.0,True,exclude,"Marker for intermediate urothelial cells, not Schwann cells; outside target scope."
DOI_10.64898_2025.12.18.695268,21,corrected,urothelial cells,intermediate,human,false,ABCC3,ABCC3,exact,cluster_enriched,positive,Results: Single-nucleus transcriptomic atlas of the adult human bladder; Fig. 1C; fig. S1A; table S2,The urothelium resolved into three layers corresponding to ... intermediate (KRT13+/ABCC3+) layers,1.0,True,exclude,"Marker for intermediate urothelial cells, not Schwann cells; outside target scope."
DOI_10.64898_2025.12.18.695268,21,corrected,urothelial cells,proliferative,human,false,KI67,MKI67,alias_resolved,cluster_enriched,positive,Results: Spatial architecture of bladder cell types and microenvironments; Fig. 3A; fig. S3B,"Urothelial cells segregated into basal, intermediate, umbrella, and proliferative (KI67+) subpopulations",1.0,True,exclude,"Marker for proliferative urothelial cells, not Schwann cells; outside target scope."
DOI_10.64898_2025.12.18.695268,21,corrected,smooth muscle cells,general,human,false,ACTA2,ACTA2,exact,cluster_enriched,positive,Results: Single-nucleus transcriptomic atlas of the adult human bladder; Fig. 1C; fig. S1B,"Smooth muscle cells segregated into general (ACTA2+/MYLK+), vascular (RGS5+), and pericyte (CSPG4+) subsets",1.0,True,exclude,"Marker for smooth muscle cells, not Schwann cells; outside target scope."
DOI_10.64898_2025.12.18.695268,21,corrected,smooth muscle cells,general,human,false,MYLK,MYLK,exact,cluster_enriched,positive,Results: Single-nucleus transcriptomic atlas of the adult human bladder; Fig. 1C; fig. S1B,"Smooth muscle cells segregated into general (ACTA2+/MYLK+), vascular (RGS5+), and pericyte (CSPG4+) subsets",1.0,True,exclude,"Marker for smooth muscle cells, not Schwann cells; outside target scope."
DOI_10.64898_2025.12.18.695268,21,corrected,smooth muscle cells,vascular,human,false,RGS5,RGS5,exact,cluster_enriched,positive,"Results: Single-nucleus transcriptomic atlas of the adult human bladder; Fig. 1C; fig. S1B; also Results: Spatial architecture, Fig. 3D","Smooth muscle cells segregated into general (ACTA2+/MYLK+), vascular (RGS5+), and pericyte (CSPG4+) subsets; artery-associated regions comprised ... surrounding vascular smooth muscle cells (RGS5+)",1.0,True,exclude,"Marker for vascular smooth muscle cells, not Schwann cells; outside target scope."
DOI_10.64898_2025.12.18.695268,21,corrected,pericytes,,human,false,CSPG4,CSPG4,exact,cluster_enriched,positive,Results: Single-nucleus transcriptomic atlas of the adult human bladder; Fig. 1C; fig. S1B,"Smooth muscle cells segregated into general (ACTA2+/MYLK+), vascular (RGS5+), and pericyte (CSPG4+) subsets",1.0,True,exclude,"Marker for pericytes, not Schwann cells; outside target scope."
DOI_10.64898_2025.12.18.695268,21,corrected,pericytes,,human,false,ADGRF5,ADGRF5,exact,figure_labeled,positive,Fig. 3E legend,"ROI featuring veins with endothelial cells (PECAM1), venous marker FLT1, pericytes (ADGRF5), and macrophages (MS4A7).",1.0,True,exclude,"Marker for pericytes, not Schwann cells; outside target scope."
DOI_10.64898_2025.12.18.695268,21,corrected,endothelial cells,arterial,human,false,GJA5,GJA5,exact,cluster_enriched,positive,"Results: Single-nucleus transcriptomic atlas of the adult human bladder; Fig. 1C; Results: Spatial architecture, Fig. 3D",endothelial cells partitioned into arterial (GJA5+) ... artery-associated regions comprised arterial endothelial cells (PECAM1+/GJA5+),1.0,True,exclude,"Marker for arterial endothelial cells, not Schwann cells; outside target scope."
DOI_10.64898_2025.12.18.695268,21,corrected,endothelial cells,arterial,human,false,PECAM1,PECAM1,exact,cluster_enriched,positive,Results: Spatial architecture of bladder cell types and microenvironments; Fig. 3D,artery-associated regions comprised arterial endothelial cells (PECAM1+/GJA5+),1.0,True,exclude,"Marker for arterial endothelial cells, not Schwann cells; outside target scope."
DOI_10.64898_2025.12.18.695268,21,corrected,endothelial cells,venous,human,false,FLT1,FLT1,exact,cluster_enriched,positive,"Results: Single-nucleus transcriptomic atlas of the adult human bladder; Fig. 1C; Results: Spatial architecture, Fig. 3E",endothelial cells partitioned into ... venous (FLT1+) ... Vein-associated regions included venous endothelial cells and neighboring capillaries (PECAM1+/FLT1+),1.0,True,exclude,"Marker for venous endothelial cells, not Schwann cells; outside target scope."
DOI_10.64898_2025.12.18.695268,21,corrected,endothelial cells,venous,human,false,PECAM1,PECAM1,exact,cluster_enriched,positive,Results: Spatial architecture of bladder cell types and microenvironments; Fig. 3E; fig. S3D,Vein-associated regions included venous endothelial cells and neighboring capillaries (PECAM1+/FLT1+),1.0,True,exclude,"Marker for venous endothelial cells, not Schwann cells; outside target scope."
DOI_10.64898_2025.12.18.695268,21,corrected,endothelial cells,capillary,human,false,PECAM1,PECAM1,exact,cluster_enriched,positive,Results: Spatial architecture of bladder cell types and microenvironments; Fig. 3E; fig. S3D,Vein-associated regions included venous endothelial cells and neighboring capillaries (PECAM1+/FLT1+),1.0,True,exclude,"Marker for capillary endothelial cells, not Schwann cells; outside target scope."
DOI_10.64898_2025.12.18.695268,21,corrected,endothelial cells,capillary,human,false,FLT1,FLT1,exact,cluster_enriched,positive,Results: Spatial architecture of bladder cell types and microenvironments; Fig. 3E; fig. S3D,Vein-associated regions included venous endothelial cells and neighboring capillaries (PECAM1+/FLT1+),1.0,True,exclude,"Marker for capillary endothelial cells, not Schwann cells; outside target scope."
DOI_10.64898_2025.12.18.695268,21,corrected,endothelial cells,lymphatic,human,false,MMRN1,MMRN1,exact,cluster_enriched,positive,Results: Single-nucleus transcriptomic atlas of the adult human bladder; Fig. 1C; fig. S1B,"endothelial cells partitioned into arterial (GJA5+), venous (FLT1+), and lymphatic (MMRN1+/TFF3+) types",1.0,True,exclude,"Marker for lymphatic endothelial cells, not Schwann cells; outside target scope."
DOI_10.64898_2025.12.18.695268,21,corrected,endothelial cells,lymphatic,human,false,TFF3,TFF3,exact,cluster_enriched,positive,Results: Single-nucleus transcriptomic atlas of the adult human bladder; Fig. 1C; fig. S1B,"endothelial cells partitioned into arterial (GJA5+), venous (FLT1+), and lymphatic (MMRN1+/TFF3+) types",1.0,True,exclude,"Marker for lymphatic endothelial cells, not Schwann cells; outside target scope."
DOI_10.64898_2025.12.18.695268,21,corrected,Schwann cells,,human,true,NRXN,NRXN1,alias_resolved,annotation_marker,positive,Results: Single-nucleus transcriptomic atlas of the adult human bladder; Fig. 1C; fig. S1B,Additional stromal populations included Schwann cells (NRXN+/XKR4+),1.0,True,include,Authors use NRXN+ together with XKR4+ to identify Schwann cells in snRNA-seq annotation; NRXN is resolved to NRXN1 because the paper uses NRXN1 for Schwann cells elsewhere.
DOI_10.64898_2025.12.18.695268,21,corrected,Schwann cells,,human,true,XKR4,XKR4,exact,annotation_marker,positive,Results: Single-nucleus transcriptomic atlas of the adult human bladder; Fig. 1C; fig. S1B,Additional stromal populations included Schwann cells (NRXN+/XKR4+),1.0,True,include,Authors use XKR4+ together with NRXN+ to identify Schwann cells in snRNA-seq annotation.
DOI_10.64898_2025.12.18.695268,21,corrected,Schwann cells,,human,true,NRXN1,NRXN1,exact,annotation_marker,positive,Results: Spatial architecture of bladder cell types and microenvironments; fig. S3E (Fig. S3E legend),Regions surrounding innervating structures (fig. S3E) featured Schwann cells (NRXN1+),1.0,True,include,Authors use NRXN1 to identify Schwann cells in Xenium-identified nerve-associated regions; Fig. S3E legend also shows nerve marker gene NRXN1 in the same ROI.
DOI_10.64898_2025.12.18.695268,21,corrected,Schwann cells,,human,true,DST:P3,DST:P3,non_gene_entity,cluster_enriched,positive,Results: Polyadenylation isoform landscape across bladder cell types; Fig. 2G-H,"DST exhibited three poly(A) isoforms (P1, P2, P3): P1 was enriched in urothelial cells, P2 across stromal populations with heightened expression in smooth muscle cells, and P3 in Schwann cells",0.0,True,context_only,"DST:P3 is a poly(A) isoform feature enriched in Schwann cells but not used to define/annotate them; not a standard gene marker, so not included in the formal marker table."
DOI_10.64898_2025.12.18.695268,21,corrected,adipocytes,,human,false,FABP3,FABP3,exact,cluster_enriched,positive,Results: Single-nucleus transcriptomic atlas of the adult human bladder; Fig. 1C; fig. S1B,Additional stromal populations included Schwann cells (NRXN+/XKR4+) and adipocytes (FABP3+/ADIPOQ+),1.0,True,exclude,"Marker for adipocytes, not Schwann cells; outside target scope."
DOI_10.64898_2025.12.18.695268,21,corrected,adipocytes,,human,false,ADIPOQ,ADIPOQ,exact,cluster_enriched,positive,Results: Single-nucleus transcriptomic atlas of the adult human bladder; Fig. 1C; fig. S1B,Additional stromal populations included Schwann cells (NRXN+/XKR4+) and adipocytes (FABP3+/ADIPOQ+),1.0,True,exclude,"Marker for adipocytes, not Schwann cells; outside target scope."
