task_no,paper_id,paper_title,task_species,target_cell_scope,tissue,paper_status,marker_records,include,context_only,exclude,unresolved,issues,audit_model
1,DOI_10.1038_s41586-021-03710-0,Dysregulation of brain and choroid plexus cell types in severe COVID-19.,Homo sapiens,—,choroid plexus,no_formal_target_marker,16,0,0,16,0,5,deepseek-v4-flash
4,DOI_10.1038_s41586-020-2922-4,A molecular cell atlas of the human lung from single-cell RNA sequencing.,Homo sapiens,L4:Pulmonary neuroendocrine cell,blood,corrected,115,2,0,113,0,4,deepseek-v4-flash
5,DOI_10.1038_s41588-022-01243-4,A spatially resolved atlas of the human lung characterizes a gland-associated immune niche.,Homo sapiens,L2:Myelinating Schwann cell/Non-myelinating Schwann cell / L4:Neuroendocrine cell,bronchus,corrected,94,13,0,80,1,6,deepseek-v4-flash
6,DOI_10.1164_rccm.202207-1384oc,A Unique Cellular Organization of Human Distal Airways and Its Disarray in Chronic Obstructive Pulmonary Disease.,Homo sapiens,L2:Schwann cell / L4:Pulmonary neuroendocrine cell,bronchus,corrected,48,3,0,45,0,3,deepseek-v4-flash
7,DOI_10.1038_s41586-021-04345-x,Local and systemic responses to SARS-CoV-2 infection in children and adults.,Homo sapiens,L4:Neuroendocrine cell,bronchus,corrected,84,2,0,82,0,4,deepseek-v4-flash
8,DOI_10.1016_j.jcf.2025.01.016,Evidence for altered immune-structural cell crosstalk in cystic fibrosis revealed by single cell transcriptomics.,Homo sapiens,L4:Pulmonary neuroendocrine cell,carina of trachea,corrected,4,0,0,4,0,3,deepseek-v4-flash
9,DOI_10.1016_j.cell.2022.11.005,A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates.,Homo sapiens,L2:Schwann cell/Schwann cell precursor/Immature Schwann cell / L4:Pulmonary neuroendocrine cell,lung,corrected,227,20,0,207,0,6,deepseek-v4-flash
10,DOI_10.1016_j.healun.2026.02.1666,Human lung allografts experience persistent fibrogenic shift following acute cellular rejection.,Homo sapiens,L4:Neuroendocrine cell,lung,corrected,5,0,0,5,0,2,deepseek-v4-flash
11,DOI_10.7554_elife.62522,Single-cell multiomic profiling of human lungs reveals cell-type-specific and age-dynamic control of SARS-CoV2 host genes.,Homo sapiens,L4:Pulmonary neuroendocrine cell,lung,corrected,2,1,0,1,0,2,deepseek-v4-flash
12,DOI_10.1038_s44318-024-00328-6,A novel human fetal lung-derived alveolar organoid model reveals mechanisms of surfactant protein C maturation relevant to interstitial lung disease.,Homo sapiens,L4:Pulmonary neuroendocrine cell,lung,corrected,36,3,0,33,0,5,deepseek-v4-flash
13,DOI_10.1126_sciimmunol.adf9988,Early human lung immune cell development and its role in epithelial cell fate.,Homo sapiens,L4:Pulmonary neuroendocrine cell,lung,no_formal_target_marker,94,0,0,94,0,4,deepseek-v4-flash
14,DOI_10.1038_s41591-023-02327-2,An integrated cell atlas of the lung in health and disease.,Homo sapiens,L4:Pulmonary neuroendocrine cell,lung,corrected,46,1,0,45,0,4,deepseek-v4-flash
15,DOI_10.1038_s41467-023-40173-5,Guided construction of single cell reference for human and mouse lung.,Homo sapiens,L4:Pulmonary neuroendocrine cell,lung,corrected,41,0,0,41,0,4,deepseek-v4-flash
16,DOI_10.1038_s41588-024-01702-0,Cell-type-specific and disease-associated expression quantitative trait loci in the human lung.,Homo sapiens,L4:Pulmonary neuroendocrine cell,lung,no_formal_target_marker,19,0,0,19,0,4,deepseek-v4-flash
17,DOI_10.1038_s41586-021-03569-1,A molecular single-cell lung atlas of lethal COVID-19.,Homo sapiens,—,lung,unresolved,28,0,0,28,0,3,deepseek-v4-flash
18,DOI_10.1016_j.stem.2022.11.013,Organoid modeling of human fetal lung alveolar development reveals mechanisms of cell fate patterning and neonatal respiratory disease.,Homo sapiens,L4:Pulmonary neuroendocrine cell,lung epithelium,unresolved,80,0,0,80,0,5,deepseek-v4-flash
20,DOI_10.1016_j.cell.2021.07.023,Impaired local intrinsic immunity to SARS-CoV-2 infection in severe COVID-19.,Homo sapiens,L4:Enteroendocrine cell,nasopharynx,corrected,152,2,0,150,0,5,deepseek-v4-flash
21,DOI_10.64898_2025.12.18.695268,A poly(A) isoform–aware single-cell and spatial atlas defines fibroblast niches in the human bladder,Homo sapiens,L2:Schwann cell,dome of urinary bladder,corrected,65,3,1,61,0,6,deepseek-v4-flash
22,DOI_10.1126_science.aat5031,Spatiotemporal immune zonation of the human kidney.,Homo sapiens,—,kidney,no_formal_target_marker,16,0,0,16,0,4,deepseek-v4-flash
23,DOI_10.1016_j.isci.2024.111628,Exploring the utility of snRNA-seq in profiling human bladder tissue: A comprehensive comparison with scRNA-seq.,Homo sapiens,L2:Schwann cell,urinary bladder,corrected,3,2,0,0,1,1,deepseek-v4-flash
24,DOI_10.1002_pros.24020,Urethral luminal epithelia are castration-insensitive cells of the proximal prostate.,Homo sapiens,L4:Neuroendocrine cell,peripheral zone of prostate,corrected,4,1,0,2,1,4,deepseek-v4-flash
25,DOI_10.1016_j.celrep.2018.11.086,A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra.,Homo sapiens,L4:Neuroendocrine cell,peripheral zone of prostate,corrected,46,2,1,43,0,5,deepseek-v4-flash
26,DOI_10.1101_2024.10.23.619925,Profiling of epithelial functional states and fibroblast phenotypes in hormone therapy-naïve localised prostate cancer,Homo sapiens,L2:Myelinating Schwann cell,prostate gland,corrected,65,2,0,63,0,5,deepseek-v4-flash
27,DOI_10.1101_2025.01.17.633590,Single-cell decoding of human islet cell type-specific alterations in type 2 diabetes reveals converging genetic- and state-driven β-cell gene expression defects,Homo sapiens,L2:Schwann cell,islet of Langerhans,corrected,26,1,0,25,0,2,deepseek-v4-flash
