paper_id,source,cell_type,original_symbol,old_decision,gate1_status,new_decision,action,marker_id,reason
DOI_10.1016_j.cell.2021.07.023,A_exclude,Basal cells,KRT15,exclude,pass,include,merged_within_pool（并入主行）,,"同键合并，附加证据: A_exclude:STAR Methods, Cell Clustering and Annotation, paragraph 3"
DOI_10.1016_j.cell.2021.07.023,A_exclude,Basal cells,KRT5,exclude,pass,include,merged_within_pool（并入主行）,,"同键合并，附加证据: A_exclude:STAR Methods, Cell Clustering and Annotation, paragraph 3"
DOI_10.1016_j.cell.2021.07.023,A_exclude,Basal cells,TP63,exclude,pass,include,merged_within_pool（并入主行）,,"同键合并，附加证据: A_exclude:STAR Methods, Cell Clustering and Annotation, paragraph 3"
DOI_10.1016_j.isci.2024.111628,B_unaudited,Umbrella cells,KRT20,never_audited,pass,include,merged_within_pool（并入主行）,,"同键合并，附加证据: B_unaudited:Results, Classification of urothelial cells, Fig. 1C Dot Plot; also Fig. 2A Heatmaps"
DOI_10.1016_j.isci.2024.111628,B_unaudited,Umbrella cells,UPK3B,never_audited,pass,include,merged_within_pool（并入主行）,,"同键合并，附加证据: B_unaudited:Results, Classification of urothelial cells, Fig. 1C Dot Plot; also Fig. 2A Heatmaps"
DOI_10.1038_s41586-020-2922-4,A_exclude,immune,CD45,exclude,pass,include,merged_within_pool（并入主行）,,同键合并，附加证据: A_exclude:Methods: Flow cytometry and cell sorting
DOI_10.1038_s41586-020-2922-4,A_exclude,T cells,CD45RO,exclude,pass,include,merged_within_pool（并入主行）,,"同键合并，附加证据: A_exclude:Materials and Methods, Antibodies"
DOI_10.1038_s41586-021-03929-x,A_exclude,Erythroid colony,CD235a,exclude,pass,include,merged_within_pool（并入主行）,,同键合并，附加证据: A_exclude:Extended Data Fig. 6c legend
DOI_10.1038_s41586-021-04345-x,A_exclude,Mono CXCL10+,CXCL10,exclude,pass,include,merged_within_pool（并入主行）,,同键合并，附加证据: A_exclude:Extended Data Figure 8b
DOI_10.1038_s41586-021-04345-x,A_exclude,Mono GPBAR1+,GPBAR1,exclude,pass,include,merged_within_pool（并入主行）,,同键合并，附加证据: A_exclude:Extended Data Figure 8b
DOI_10.1038_s41586-024-07069-w,B_unaudited,Ciliated nodal cells,Foxj1,never_audited,pass,include,merged_within_pool（并入主行）,,同键合并，附加证据: B_unaudited:Fig. 2h legend
DOI_10.1038_s41591-023-02327-2,A_exclude,migratory dendritic cells,CCR7,exclude,pass,include,merged_within_pool（并入主行）,,同键合并，附加证据: A_exclude:Fig. 3g legend
DOI_10.1038_s42255-023-00876-x,A_exclude,β-cell,Ucn3,exclude,pass,include,merged_within_pool（并入主行）,,"同键合并，附加证据: A_exclude:Results, 'Diabetes-unique and cross-condition dysfunction in β-cells', Fig.6d,e; p.1625"
DOI_10.1038_s44318-024-00328-6,A_exclude,AT2-like (fdAT2 organoid cells),NAPSA,exclude,pass,include,merged_within_pool（并入主行）,,同键合并，附加证据: A_exclude:Fig.1G legend; Fig.1J
