M00013 | myelinating Schwann cells (mSchwann) | human | pns=true | NFASC | annotation_marker | positive
M00014 | myelinating Schwann cells (mSchwann) | human | pns=true | NCMAP | annotation_marker | positive
M00015 | myelinating Schwann cells (mSchwann) | human | pns=true | MBP | annotation_marker | positive
M00016 | myelinating Schwann cells (mSchwann) | human | pns=true | PRX | annotation_marker | positive
M00017 | nonmyelinating Schwann cells (nmSchwann) | human | pns=true | NGFR | annotation_marker | positive
M00018 | nonmyelinating Schwann cells (nmSchwann) | human | pns=true | SCN7A | annotation_marker | positive
M00019 | nonmyelinating Schwann cells (nmSchwann) | human | pns=true | CHD2 | annotation_marker | positive
M00020 | nonmyelinating Schwann cells (nmSchwann) | human | pns=true | L1CAM | annotation_marker | positive
M00021 | nonmyelinating Schwann cells (nmSchwann) | human | pns=true | NCAM1 | annotation_marker | positive
M00022 | myelinating Schwann cells (mSchwann) | human | pns=true | MLIP | supplementary_marker | positive
M00023 | nonmyelinating Schwann cells (nmSchwann) | human | pns=true | SOX10 | supplementary_marker | positive
M00024 | nonmyelinating Schwann cells (nmSchwann) | human | pns=true | GRIK2 | supplementary_marker | positive
M00025 | nonmyelinating Schwann cells (nmSchwann) | human | pns=true | ITGB4 | supplementary_marker | positive
M00227 | CD4 T cell | human | pns=true | CD4 | annotation_marker | positive
M00228 | CD4 T helper cells | human | pns=true | CD4 | annotation_marker | positive
M00229 | CHIT1+ macrophages | human | pns=true | CHIT1 | annotation_marker | positive
M00230 | chondrocytes | human | pns=true | ACAN | author_declared | positive
M00231 | chondrocytes | human | pns=true | CHAD | author_declared | positive
M00232 | chondrocytes | human | pns=true | COL9A3 | author_declared | positive
M00233 | chondrocytes | human | pns=true | CYTL1 | author_declared | positive
M00234 | chondrocytes | human | pns=true | HAPLN1 | author_declared | positive
M00235 | endoneurial NAF | human | pns=true | USP54 | figure_labeled | positive
M00236 | endoneurial nerve-associated fibroblasts (NAF) | human | pns=true | OSR2 | author_declared | positive
M00237 | endoneurial nerve-associated fibroblasts (NAF) | human | pns=true | SOX9 | author_declared | positive
M00238 | IgA plasma cells | human | pns=true | CCR10 | author_declared | positive
M00239 | IgA plasma cells | human | pns=true | TNFRSF17 | author_declared | positive
M00240 | immune recruiting fibroblasts (IR-fibro) | human | pns=true | CCL19 | author_declared | positive
M00241 | immune recruiting fibroblasts (IR-fibro) | human | pns=true | CCL21 | author_declared | positive
M00242 | intravascular macrophages | human | pns=true | LYVE1 | annotation_marker | positive
M00243 | intravascular macrophages | human | pns=true | MAF | annotation_marker | positive
M00244 | IR-fibro | human | pns=true | CCL19 | figure_labeled | positive
M00245 | IR-fibro | human | pns=true | CCL21 | figure_labeled | positive
