paper_id,task_no,paper_status,cell_type,subtype,species,in_project_scope,original_symbol,normalized_symbol,normalization_status,evidence_type,marker_polarity,source_locator,source_context,citation_match_score,citation_verified,decision,reason
DOI_10.1038_s41588-022-01243-4,5,corrected,immune recruiting fibroblasts (IR-fibro),,human,false,CCL19,CCL19,exact,author_declared,positive,preamble (Introduction/Abstract),IR-fibro cells expressed the chemokines CCL19 and CCL21 and other marker genes of fibroblast reticular cells and follicular dendritic cells (fDC),1.0,True,exclude,Formal marker evidence but cell type is not within target_cell_scope (Schwann/neuroendocrine).
DOI_10.1038_s41588-022-01243-4,5,corrected,immune recruiting fibroblasts (IR-fibro),,human,false,CCL21,CCL21,exact,author_declared,positive,preamble (Introduction/Abstract),IR-fibro cells expressed the chemokines CCL19 and CCL21 and other marker genes of fibroblast reticular cells and follicular dendritic cells (fDC),1.0,True,exclude,Formal marker evidence but cell type is not within target_cell_scope (Schwann/neuroendocrine).
DOI_10.1038_s41588-022-01243-4,5,corrected,peribronchial fibroblasts (PB-fibro),,human,false,COL15A1,COL15A1,exact,author_declared,positive,preamble (Introduction/Abstract),"We uncover the transcriptome for human PB-fibro, consistent with the key protein markers COL15A1 and ENTPD1",1.0,True,exclude,Formal marker evidence but cell type is not within target_cell_scope (Schwann/neuroendocrine).
DOI_10.1038_s41588-022-01243-4,5,corrected,peribronchial fibroblasts (PB-fibro),,human,false,ENTPD1,ENTPD1,exact,author_declared,positive,preamble (Introduction/Abstract),"We uncover the transcriptome for human PB-fibro, consistent with the key protein markers COL15A1 and ENTPD1",1.0,True,exclude,Formal marker evidence but cell type is not within target_cell_scope (Schwann/neuroendocrine).
DOI_10.1038_s41588-022-01243-4,5,corrected,myelinating Schwann cells (mSchwann),,human,true,NFASC,NFASC,exact,annotation_marker,positive,"Results, section 'Four distinct cell types in airway peripheral nerves'","identified the following four new clusters relating to airway peripheral nerves: myelinating Schwann cells (mSchwann) (NFASC, NCMAP, MBP and PRX)",1.0,True,include,Authors identify/annotate the mSchwann cluster using these genes; formal annotation marker within target scope.
DOI_10.1038_s41588-022-01243-4,5,corrected,myelinating Schwann cells (mSchwann),,human,true,NCMAP,NCMAP,exact,annotation_marker,positive,"Results, section 'Four distinct cell types in airway peripheral nerves'","identified the following four new clusters relating to airway peripheral nerves: myelinating Schwann cells (mSchwann) (NFASC, NCMAP, MBP and PRX)",1.0,True,include,Authors identify/annotate the mSchwann cluster using these genes; formal annotation marker within target scope.
DOI_10.1038_s41588-022-01243-4,5,corrected,myelinating Schwann cells (mSchwann),,human,true,MBP,MBP,exact,annotation_marker,positive,"Results, section 'Four distinct cell types in airway peripheral nerves'","identified the following four new clusters relating to airway peripheral nerves: myelinating Schwann cells (mSchwann) (NFASC, NCMAP, MBP and PRX)",1.0,True,include,Authors identify/annotate the mSchwann cluster using these genes; formal annotation marker within target scope.
DOI_10.1038_s41588-022-01243-4,5,corrected,myelinating Schwann cells (mSchwann),,human,true,PRX,PRX,exact,annotation_marker,positive,"Results, section 'Four distinct cell types in airway peripheral nerves'","identified the following four new clusters relating to airway peripheral nerves: myelinating Schwann cells (mSchwann) (NFASC, NCMAP, MBP and PRX)",1.0,True,include,Authors identify/annotate the mSchwann cluster using these genes; formal annotation marker within target scope.
DOI_10.1038_s41588-022-01243-4,5,corrected,nonmyelinating Schwann cells (nmSchwann),,human,true,NGFR,NGFR,exact,annotation_marker,positive,"Results, section 'Four distinct cell types in airway peripheral nerves'","nonmyelinating Schwann cells (nmSchwann) (NGFR, SCN7A, CHD2, L1CAM and NCAM1)",1.0,True,include,Authors identify/annotate the nmSchwann cluster using these genes and later call them nmSchwann marker genes; formal annotation marker within target scope.
DOI_10.1038_s41588-022-01243-4,5,corrected,nonmyelinating Schwann cells (nmSchwann),,human,true,SCN7A,SCN7A,exact,annotation_marker,positive,"Results, section 'Four distinct cell types in airway peripheral nerves'","nonmyelinating Schwann cells (nmSchwann) (NGFR, SCN7A, CHD2, L1CAM and NCAM1)",1.0,True,include,Authors identify/annotate the nmSchwann cluster using these genes and later call them nmSchwann marker genes; formal annotation marker within target scope.
