paper_id,task_no,paper_status,cell_type,subtype,species,in_project_scope,original_symbol,normalized_symbol,normalization_status,evidence_type,marker_polarity,source_locator,source_context,citation_match_score,citation_verified,decision,reason
DOI_10.1038_s41591-024-03215-z,29,unresolved,MBC,malignant cells,human,false,EPCAM,EPCAM,exact,reference_imported,positive,Results section (Fig. 2g context); Fig. 2g legend,"Inter-patient variability in established epithelial BC marker genes (EPCAM, KRT8, KRT18, KRT19 and TRPS1) was minimally impacted by receptor status but notably by profiling method (Fig. 2g). Fig. 2g legend: 'Dot plots depicting the expression level (mean expression) and frequency (fraction of expressing cells) of malignant marker genes as well as disease-relevant BC biomarkers across malignant cells...'",0.9722,True,exclude,普通肿瘤/上皮 Marker，不属于任务范围（target_cell_scope 未指定）；项目范围仅限 PNS 神经/胶质或神经内分泌/肠内分泌细胞。
DOI_10.1038_s41591-024-03215-z,29,unresolved,MBC,malignant cells,human,false,KRT8,KRT8,exact,reference_imported,positive,Results section (Fig. 2g context); Fig. 2g legend,"Inter-patient variability in established epithelial BC marker genes (EPCAM, KRT8, KRT18, KRT19 and TRPS1) was minimally impacted by receptor status but notably by profiling method (Fig. 2g). Fig. 2g legend: 'Dot plots depicting the expression level (mean expression) and frequency (fraction of expressing cells) of malignant marker genes...'",0.9697,True,exclude,普通肿瘤/上皮 Marker，不属于任务范围；项目范围仅限 PNS 神经/胶质或神经内分泌/肠内分泌细胞。
DOI_10.1038_s41591-024-03215-z,29,unresolved,MBC,malignant cells,human,false,KRT18,KRT18,exact,reference_imported,positive,Results section (Fig. 2g context); Fig. 2g legend,"Inter-patient variability in established epithelial BC marker genes (EPCAM, KRT8, KRT18, KRT19 and TRPS1) was minimally impacted by receptor status but notably by profiling method (Fig. 2g). Fig. 2g legend: 'Dot plots depicting the expression level (mean expression) and frequency (fraction of expressing cells) of malignant marker genes...'",0.9697,True,exclude,普通肿瘤/上皮 Marker，不属于任务范围；项目范围仅限 PNS 神经/胶质或神经内分泌/肠内分泌细胞。
DOI_10.1038_s41591-024-03215-z,29,unresolved,MBC,malignant cells,human,false,KRT19,KRT19,exact,reference_imported,positive,Results section (Fig. 2g context); Fig. 2g legend,"Inter-patient variability in established epithelial BC marker genes (EPCAM, KRT8, KRT18, KRT19 and TRPS1) was minimally impacted by receptor status but notably by profiling method (Fig. 2g). Fig. 2g legend: 'Dot plots depicting the expression level (mean expression) and frequency (fraction of expressing cells) of malignant marker genes...'",0.9697,True,exclude,普通肿瘤/上皮 Marker，不属于任务范围；项目范围仅限 PNS 神经/胶质或神经内分泌/肠内分泌细胞。
DOI_10.1038_s41591-024-03215-z,29,unresolved,MBC,malignant cells,human,false,TRPS1,TRPS1,exact,reference_imported,positive,Results section (Fig. 2g context); Fig. 2g legend,"Inter-patient variability in established epithelial BC marker genes (EPCAM, KRT8, KRT18, KRT19 and TRPS1) was minimally impacted by receptor status but notably by profiling method (Fig. 2g). Fig. 2g legend: 'Dot plots depicting the expression level (mean expression) and frequency (fraction of expressing cells) of malignant marker genes...'",0.9697,True,exclude,普通肿瘤/上皮 Marker，不属于任务范围；项目范围仅限 PNS 神经/胶质或神经内分泌/肠内分泌细胞。
DOI_10.1038_s41591-024-03215-z,29,unresolved,Macrophage,,human,false,CD163,CD163,exact,figure_labeled,positive,"Fig. 5a, Fig. 5b legend; Fig. 4f","Fig. 5a: UMAPs of all observations confidently annotated as macrophages ... colored by log-normalized expression of CD163 ... Fig. 5b legend: 'Dot plot depicting the scaled expression (by gene, across clusters) and fraction of expressing cells of macrophage marker and function genes...'; Fig. 4f: 'Spatial scatter plot of macrophages overlaid onto H&E images showing the expression levels of CD163 in the depicted macrophages' with 74%/92%/89% CD163+.",0.9487,True,exclude,普通免疫细胞 Marker，非任务目标细胞；target_cell_scope 为空，不能纳入项目范围。
DOI_10.1038_s41591-024-03215-z,29,unresolved,Macrophage,,human,false,HLA-DRA,HLA-DRA,exact,figure_labeled,positive,"Fig. 5a, Fig. 5b legend","Fig. 5a: UMAPs of all observations confidently annotated as macrophages ... colored by log-normalized expression of ... HLA-DRA ... Fig. 5b legend: 'Dot plot depicting the scaled expression (by gene, across clusters) and fraction of expressing cells of macrophage marker and function genes...'",0.9615,True,exclude,普通免疫细胞 Marker，非任务目标细胞；target_cell_scope 为空，不能纳入项目范围。
DOI_10.1038_s41591-024-03215-z,29,unresolved,macrophages,,human,false,CD163,CD163,exact,author_declared,positive,"Results, Fig. 4f","expression of CD163, a key macrophage marker, with the three representative samples showing predominantly CD163+ macrophages",1,True,exclude,普通免疫细胞 Marker，非任务目标细胞；target_cell_scope 为空，不能纳入项目范围。
DOI_10.1038_s41591-024-03215-z,29,unresolved,macrophages,,human,false,CD14,CD14,exact,reference_imported,positive,"Methods, Gene panel design for MERFISH and ExSeq, Gene collection, Canonical cell-type-specific markers","Canonical cell-type-specific markers (for example, EPCAM for epithelial cells, CD19 for B cells, CD4 for T helper cells, CD8 for cytotoxic T lymphocytes, CD56 for NK cells and CD14 for macrophages)",1,True,exclude,普通免疫细胞 Marker，非任务目标细胞；target_cell_scope 为空，不能纳入项目范围。
DOI_10.1038_s41591-024-03215-z,29,unresolved,macrophages,CD163+/CD68+/APOE+/HIF1A+ state,human,false,CD163,CD163,exact,author_declared,positive,"Results/Discussion, Fig. 5a; Extended Data Fig. 9c,d","two macrophage states characterized by CD163/CD68/APOE/HIF1A and MKI67, respectively",1,True,exclude,普通免疫细胞 Marker，非任务目标细胞；target_cell_scope 为空，不能纳入项目范围。
