paper_id,task_no,paper_status,cell_type,subtype,species,in_project_scope,original_symbol,normalized_symbol,normalization_status,evidence_type,marker_polarity,source_locator,source_context,citation_match_score,citation_verified,decision,reason
DOI_10.1164_rccm.202207-1384oc,6,corrected,terminal airway-enriched secretory cells (TASCs),,human,false,SCGB3A2,SCGB3A2,exact,cluster_enriched,positive,Abstract (p.1171),includingSCGB3A21SFTPB1terminalairway-enrichedsecretorycells(TASCs)uniquetodistalairways,0.6667,False,exclude,Non-target cell type; outside Schwann/pulmonary neuroendocrine scope
DOI_10.1164_rccm.202207-1384oc,6,corrected,terminal airway-enriched secretory cells (TASCs),,human,false,SFTPB,SFTPB,exact,cluster_enriched,positive,Abstract (p.1171),includingSCGB3A21SFTPB1terminalairway-enrichedsecretorycells(TASCs)uniquetodistalairways,0.6667,False,exclude,Non-target cell type; outside Schwann/pulmonary neuroendocrine scope
DOI_10.1164_rccm.202207-1384oc,6,corrected,CD8+ T cells,,human,false,CD8,CD8,non_gene_entity,cluster_enriched,positive,Abstract (p.1171),increasedfrequencyofCD81Tcellsnormallyenrichedinproximalairways,0.0,False,exclude,"Non-target immune cell; CD8 is a protein/complex, not a unique gene"
DOI_10.1164_rccm.202207-1384oc,6,corrected,IC,intermediate cell,human,false,SERPINB3,SERPINB3,exact,cluster_enriched,positive,"Results, 'Cellular Diversity along the Proximal–Distal Airway Axis'","ASE family included BCs, intermediate cells (ICs; SERPINB3high)",0.75,True,exclude,Non-target cell type; outside Schwann/pulmonary neuroendocrine scope
DOI_10.1164_rccm.202207-1384oc,6,corrected,IC,intermediate cell,human,false,KRT6A,KRT6A,exact,cluster_enriched,positive,"Results, 'IFN-γ Inhibits TASC Regeneration by Distal Airway BCs'",increased proportion of KRT6+ ICs in IFN-γ-treated ALI epithelia,0.75,True,exclude,Non-target cell type; outside Schwann/pulmonary neuroendocrine scope
DOI_10.1164_rccm.202207-1384oc,6,corrected,BC,basal cell,human,false,KRT5,KRT5,exact,cluster_enriched,positive,"Results, 'IFN-γ Inhibits TASC Regeneration by Distal Airway BCs'",without consistent changes in KRT5+ BCs/ICs,0.6,False,exclude,Non-target cell type; outside Schwann/pulmonary neuroendocrine scope
DOI_10.1164_rccm.202207-1384oc,6,corrected,S1,common secretory,human,false,SCGB1A1,SCGB1A1,exact,author_declared,positive,"Results, 'Regional Heterogeneity of Epithelial Cells'","SCGB1A1 protein, a marker of common S cells",0.6,False,exclude,Non-target cell type; outside Schwann/pulmonary neuroendocrine scope
DOI_10.1164_rccm.202207-1384oc,6,corrected,S1,common secretory,human,false,SCGB3A1,SCGB3A1,exact,cluster_enriched,positive,"Results, 'Altered Cellular Composition of Distal Airways in COPD'",common S cell genes SCGB1A1 and SCGB3A1 also expressed by TASCs,0.8571,True,exclude,Non-target cell type; outside Schwann/pulmonary neuroendocrine scope
DOI_10.1164_rccm.202207-1384oc,6,corrected,S-Muc,mucus-producing secretory,human,false,MUC5AC,MUC5AC,exact,cluster_enriched,positive,"Results, 'Distal Airway BCs Are a Cellular Origin of TASCs'",Muc5AC+ S cells were more frequent in P airway BC-derived epithelia,0.0,False,exclude,Non-target cell type; outside Schwann/pulmonary neuroendocrine scope
DOI_10.1164_rccm.202207-1384oc,6,corrected,C,ciliated,human,false,TUBB4,TUBB4,ambiguous,figure_labeled,positive,Figure 2E legend,Immunofluorescence images showing expression of SCGB3A2 and tubulin b4 (TUBB4; cilia marker),0.7,True,exclude,Non-target cell type; TUBB4A/TUBB4B not resolved
DOI_10.1164_rccm.202207-1384oc,6,corrected,C-s,SAA+ ciliated,human,false,SAA,SAA,ambiguous,cluster_enriched,positive,"Results, 'Cellular Diversity along the Proximal–Distal Airway Axis'",serum amyloid A [SAA] gene-expressing [C-s],0.6,False,exclude,"Non-target cell type; SAA is a family, not uniquely resolved"
DOI_10.1164_rccm.202207-1384oc,6,corrected,Squamous cell,ALI-induced,human,false,KRT6A,KRT6A,exact,cluster_enriched,positive,"Results, 'Distal Airway BCs Are a Cellular Origin of TASCs'","squamous (KRT6A, SPRR1B)",1.0,True,exclude,Non-target cell type; outside Schwann/pulmonary neuroendocrine scope
DOI_10.1164_rccm.202207-1384oc,6,corrected,Squamous cell,ALI-induced,human,false,SPRR1B,SPRR1B,exact,cluster_enriched,positive,"Results, 'Distal Airway BCs Are a Cellular Origin of TASCs'","squamous (KRT6A, SPRR1B)",1.0,True,exclude,Non-target cell type; outside Schwann/pulmonary neuroendocrine scope
DOI_10.1164_rccm.202207-1384oc,6,corrected,TASC,terminal airway-enriched secretory cell,human,false,SCGB3A2,SCGB3A2,exact,author_declared,positive,"Results, 'Altered Cellular Composition of Distal Airways in COPD'",TASC markers SCGB3A2 and SFTPB,1.0,True,exclude,Non-target cell type; outside Schwann/pulmonary neuroendocrine scope
DOI_10.1164_rccm.202207-1384oc,6,corrected,TASC,terminal airway-enriched secretory cell,human,false,SFTPB,SFTPB,exact,author_declared,positive,"Results, 'Altered Cellular Composition of Distal Airways in COPD'",TASC markers SCGB3A2 and SFTPB,1.0,True,exclude,Non-target cell type; outside Schwann/pulmonary neuroendocrine scope
DOI_10.1164_rccm.202207-1384oc,6,corrected,TASC,terminal airway-enriched secretory cell,human,false,SFTA2,SFTA2,exact,author_declared,positive,"Results, 'Distal Airway BCs Are a Cellular Origin of TASCs'","TASC marker genes (e.g., SFTPB, SCGB3A2, SFTA2, RNASE1, and SFTPA2)",0.875,True,exclude,Non-target cell type; outside Schwann/pulmonary neuroendocrine scope
DOI_10.1164_rccm.202207-1384oc,6,corrected,TASC,terminal airway-enriched secretory cell,human,false,RNASE1,RNASE1,exact,author_declared,positive,"Results, 'Distal Airway BCs Are a Cellular Origin of TASCs'","TASC marker genes (e.g., SFTPB, SCGB3A2, SFTA2, RNASE1, and SFTPA2)",0.875,True,exclude,Non-target cell type; outside Schwann/pulmonary neuroendocrine scope
DOI_10.1164_rccm.202207-1384oc,6,corrected,TASC,terminal airway-enriched secretory cell,human,false,SFTPA2,SFTPA2,exact,author_declared,positive,"Results, 'Distal Airway BCs Are a Cellular Origin of TASCs'","TASC marker genes (e.g., SFTPB, SCGB3A2, SFTA2, RNASE1, and SFTPA2)",0.875,True,exclude,Non-target cell type; outside Schwann/pulmonary neuroendocrine scope
DOI_10.1164_rccm.202207-1384oc,6,corrected,TASC,terminal airway-enriched secretory cell,human,false,SFTPC,SFTPC,exact,cluster_enriched,negative,"Results, 'Regional Heterogeneity of Epithelial Cells'",TASCs were typically SFTPC-negative,0.3333,False,exclude,Non-target cell type; outside Schwann/pulmonary neuroendocrine scope
DOI_10.1164_rccm.202207-1384oc,6,corrected,AT2,alveolar type 2,human,false,SFTPC,SFTPC,exact,author_declared,positive,"Results, 'Regional Heterogeneity of Epithelial Cells'","AT2 markers SFTPC, SFTPA1, and SFTPA2",1.0,True,exclude,Non-target cell type; outside Schwann/pulmonary neuroendocrine scope
DOI_10.1164_rccm.202207-1384oc,6,corrected,AT2,alveolar type 2,human,false,SFTPA1,SFTPA1,exact,author_declared,positive,"Results, 'Regional Heterogeneity of Epithelial Cells'","AT2 markers SFTPC, SFTPA1, and SFTPA2",1.0,True,exclude,Non-target cell type; outside Schwann/pulmonary neuroendocrine scope
DOI_10.1164_rccm.202207-1384oc,6,corrected,AT2,alveolar type 2,human,false,SFTPA2,SFTPA2,exact,author_declared,positive,"Results, 'Regional Heterogeneity of Epithelial Cells'","AT2 markers SFTPC, SFTPA1, and SFTPA2",1.0,True,exclude,Non-target cell type; outside Schwann/pulmonary neuroendocrine scope
