paper_id,task_no,paper_status,cell_type,subtype,species,in_project_scope,original_symbol,normalized_symbol,normalization_status,evidence_type,marker_polarity,source_locator,source_context,citation_match_score,citation_verified,decision,reason
DOI_10.1038_s41467-021-21783-3,40,no_formal_target_marker,Alveolar cells (Avd),,mouse,false,Csn2,Csn2,exact,author_declared,positive,"Results, paragraph describing Fig. 2c,d","This was accompanied by the expression of known markers of alveologenesis such as the milk protein beta-casein (Csn2) and the transcription factor Elf5 (Fig. 2c, d).",1.0,True,exclude,"Alveolar epithelial cell, not Schwann cell; outside target_cell_scope."
DOI_10.1038_s41467-021-21783-3,40,no_formal_target_marker,Alveolar cells (Avd),,mouse,false,Elf5,Elf5,exact,author_declared,positive,"Results, paragraph describing Fig. 2c,d","This was accompanied by the expression of known markers of alveologenesis such as the milk protein beta-casein (Csn2) and the transcription factor Elf5 (Fig. 2c, d).",1.0,True,exclude,"Alveolar epithelial cell, not Schwann cell; outside target_cell_scope."
DOI_10.1038_s41467-021-21783-3,40,no_formal_target_marker,Regulatory T cells (Tregs),tissue-resident,mouse,false,Klrg1,Klrg1,exact,author_declared,positive,"Results, Treg paragraph near Fig. 4g","Compared to wild-type animals, Tregs from stage1 show reduced expression of Klrg1 and Il1rl1, two markers of tissue resident Tregs, suggesting an early influx of Tregs from the circulatory system preceding tumour formation (Fig. 4g).",0.0,True,exclude,"Immune cell (Treg), not Schwann cell; outside target_cell_scope."
DOI_10.1038_s41467-021-21783-3,40,no_formal_target_marker,Regulatory T cells (Tregs),tissue-resident,mouse,false,Il1rl1,Il1rl1,exact,author_declared,positive,"Results, Treg paragraph near Fig. 4g","Compared to wild-type animals, Tregs from stage1 show reduced expression of Klrg1 and Il1rl1, two markers of tissue resident Tregs, suggesting an early influx of Tregs from the circulatory system preceding tumour formation (Fig. 4g).",0.0,True,exclude,"Immune cell (Treg), not Schwann cell; outside target_cell_scope."
DOI_10.1038_s41467-021-21783-3,40,no_formal_target_marker,Tumour-associated macrophages,Tam1,mouse,false,Arg1,Arg1,exact,annotation_marker,positive,"Results, myeloid compartment paragraph (Supplementary Fig. 7)","We further found two types of tumour-associated macrophages Tam 1 (marked by Arg1, Spp1 and Trem2) and Tam2 (marked by C1qb, C1qc, Lgmn and Apoe) (Supplementary Fig.7)18.",0.0,True,exclude,"Macrophage subtype, not Schwann cell; outside target_cell_scope. 'marked by' is formal annotation marker, but excluded by scope."
DOI_10.1038_s41467-021-21783-3,40,no_formal_target_marker,Tumour-associated macrophages,Tam1,mouse,false,Spp1,Spp1,exact,annotation_marker,positive,"Results, myeloid compartment paragraph (Supplementary Fig. 7)","We further found two types of tumour-associated macrophages Tam 1 (marked by Arg1, Spp1 and Trem2) and Tam2 (marked by C1qb, C1qc, Lgmn and Apoe) (Supplementary Fig.7)18.",0.7222,True,exclude,"Macrophage subtype, not Schwann cell; outside target_cell_scope. 'marked by' is formal annotation marker, but excluded by scope."
DOI_10.1038_s41467-021-21783-3,40,no_formal_target_marker,Tumour-associated macrophages,Tam1,mouse,false,Trem2,Trem2,exact,annotation_marker,positive,"Results, myeloid compartment paragraph (Supplementary Fig. 7)","We further found two types of tumour-associated macrophages Tam 1 (marked by Arg1, Spp1 and Trem2) and Tam2 (marked by C1qb, C1qc, Lgmn and Apoe) (Supplementary Fig.7)18.",0.0,True,exclude,"Macrophage subtype, not Schwann cell; outside target_cell_scope. 'marked by' is formal annotation marker, but excluded by scope."
DOI_10.1038_s41467-021-21783-3,40,no_formal_target_marker,Tumour-associated macrophages,Tam2,mouse,false,C1qb,C1qb,exact,annotation_marker,positive,"Results, myeloid compartment paragraph (Supplementary Fig. 7)","We further found two types of tumour-associated macrophages Tam 1 (marked by Arg1, Spp1 and Trem2) and Tam2 (marked by C1qb, C1qc, Lgmn and Apoe) (Supplementary Fig.7)18.",0.0,True,exclude,"Macrophage subtype, not Schwann cell; outside target_cell_scope. 'marked by' is formal annotation marker, but excluded by scope."
DOI_10.1038_s41467-021-21783-3,40,no_formal_target_marker,Tumour-associated macrophages,Tam2,mouse,false,C1qc,C1qc,exact,annotation_marker,positive,"Results, myeloid compartment paragraph (Supplementary Fig. 7)","We further found two types of tumour-associated macrophages Tam 1 (marked by Arg1, Spp1 and Trem2) and Tam2 (marked by C1qb, C1qc, Lgmn and Apoe) (Supplementary Fig.7)18.",0.7222,True,exclude,"Macrophage subtype, not Schwann cell; outside target_cell_scope. 'marked by' is formal annotation marker, but excluded by scope."
DOI_10.1038_s41467-021-21783-3,40,no_formal_target_marker,Tumour-associated macrophages,Tam2,mouse,false,Lgmn,Lgmn,exact,annotation_marker,positive,"Results, myeloid compartment paragraph (Supplementary Fig. 7)","We further found two types of tumour-associated macrophages Tam 1 (marked by Arg1, Spp1 and Trem2) and Tam2 (marked by C1qb, C1qc, Lgmn and Apoe) (Supplementary Fig.7)18.",0.0,True,exclude,"Macrophage subtype, not Schwann cell; outside target_cell_scope. 'marked by' is formal annotation marker, but excluded by scope."
