paper_id,task_no,paper_status,cell_type,subtype,species,in_project_scope,original_symbol,normalized_symbol,normalization_status,evidence_type,marker_polarity,source_locator,source_context,citation_match_score,citation_verified,decision,reason
DOI_10.1038_s42003-021-02562-8,30,no_formal_target_marker,Hepatocytes,,human,false,CYP3A4,CYP3A4,exact,author_declared,positive,"Results p.3; Fig.3b,c; Fig.S1","canonical markers, such as CYP3A4, ALB, APOC3, and HPGD for hepatocytes",0.0,True,exclude,Non-target liver cell marker; target_cell_scope unspecified; no PNS/neuroendocrine/enteroendocrine relevance.
DOI_10.1038_s42003-021-02562-8,30,no_formal_target_marker,Hepatocytes,,human,false,ALB,ALB,exact,author_declared,positive,"Results p.3; Fig.3b,c; Fig.S1","canonical markers, such as CYP3A4, ALB, APOC3, and HPGD for hepatocytes",0.5714,True,exclude,Non-target liver cell marker; target_cell_scope unspecified; no PNS/neuroendocrine/enteroendocrine relevance.
DOI_10.1038_s42003-021-02562-8,30,no_formal_target_marker,Hepatocytes,,human,false,APOC3,APOC3,exact,author_declared,positive,"Results p.3; Fig.3b,c; Fig.S1","canonical markers, such as CYP3A4, ALB, APOC3, and HPGD for hepatocytes",0.5714,True,exclude,Non-target liver cell marker; target_cell_scope unspecified; no PNS/neuroendocrine/enteroendocrine relevance.
DOI_10.1038_s42003-021-02562-8,30,no_formal_target_marker,Hepatocytes,,human,false,HPGD,HPGD,exact,author_declared,positive,"Results p.3; Fig.3b,c; Fig.S1","canonical markers, such as CYP3A4, ALB, APOC3, and HPGD for hepatocytes",0.0,True,exclude,Non-target liver cell marker; target_cell_scope unspecified; no PNS/neuroendocrine/enteroendocrine relevance.
DOI_10.1038_s42003-021-02562-8,30,no_formal_target_marker,Endothelial cells,,human,false,FLT1,FLT1,exact,author_declared,positive,"Results p.3; Fig.3b,c; Fig.S1","canonical markers, such as CYP3A4, ALB, APOC3, and HPGD for hepatocytes, FLT1 for endothelial cells",0.7,True,exclude,Non-target endothelial marker; target_cell_scope unspecified; no PNS/neuroendocrine/enteroendocrine relevance.
DOI_10.1038_s42003-021-02562-8,30,no_formal_target_marker,Hepatic stellate cells,,human,false,COL3A1,COL3A1,exact,author_declared,positive,"Results p.3; Fig.3b,c; Fig.S1","canonical markers, such as CYP3A4, ALB, APOC3, and HPGD for hepatocytes, FLT1 for endothelial cells, COL3A1 and COL6A3 for hepatic stellate cells",0.0,True,exclude,Non-target hepatic stellate cell marker; target_cell_scope unspecified; no PNS/neuroendocrine/enteroendocrine relevance.
DOI_10.1038_s42003-021-02562-8,30,no_formal_target_marker,Hepatic stellate cells,,human,false,COL6A3,COL6A3,exact,author_declared,positive,"Results p.3; Fig.3b,c; Fig.S1","canonical markers, such as CYP3A4, ALB, APOC3, and HPGD for hepatocytes, FLT1 for endothelial cells, COL3A1 and COL6A3 for hepatic stellate cells",0.0,True,exclude,Non-target hepatic stellate cell marker; target_cell_scope unspecified; no PNS/neuroendocrine/enteroendocrine relevance.
DOI_10.1038_s42003-021-02562-8,30,no_formal_target_marker,Kupffer cells,,human,false,CD68,CD68,exact,author_declared,positive,"Results p.3; Fig.3b,c; Fig.S1","canonical markers, such as ... CD68 and CD163 for Kupffer cells",0.8333,True,exclude,Non-target Kupffer cell marker; target_cell_scope unspecified; no PNS/neuroendocrine/enteroendocrine relevance.
DOI_10.1038_s42003-021-02562-8,30,no_formal_target_marker,Kupffer cells,,human,false,CD163,CD163,exact,author_declared,positive,"Results p.3; Fig.3b,c; Fig.S1","canonical markers, such as ... CD68 and CD163 for Kupffer cells",0.8333,True,exclude,Non-target Kupffer cell marker; target_cell_scope unspecified; no PNS/neuroendocrine/enteroendocrine relevance.
DOI_10.1038_s42003-021-02562-8,30,no_formal_target_marker,Immune cells,,human,false,PTPRC,PTPRC,exact,author_declared,positive,"Results p.3; Fig.3b,c; Fig.S1","canonical markers, such as ... PTPRC for immune cells",0.0,True,exclude,Non-target immune cell marker; target_cell_scope unspecified; no PNS/neuroendocrine/enteroendocrine relevance.
