paper_id,task_no,paper_status,cell_type,subtype,species,in_project_scope,original_symbol,normalized_symbol,normalization_status,evidence_type,marker_polarity,source_locator,source_context,citation_match_score,citation_verified,decision,reason
DOI_10.1038_s42003-024-07315-x,44,no_formal_target_marker,cardiomyocytes,,other,false,myl7,myl7,exact,cluster_enriched,positive,"Results, 'Cardiac and systemic responses after heart injury in zebrafish' section, paragraph 1",The uninjured sample contained about 11% cardiomyocytes (myl7+tnnt2a+),1.0,True,exclude,非目标细胞：cardiomyocytes 与 target_cell_scope（L2:Schwann cell）不符，且非任务物种。
DOI_10.1038_s42003-024-07315-x,44,no_formal_target_marker,cardiomyocytes,,other,false,tnnt2a,tnnt2a,exact,cluster_enriched,positive,"Results, 'Cardiac and systemic responses after heart injury in zebrafish' section, paragraph 1",The uninjured sample contained about 11% cardiomyocytes (myl7+tnnt2a+),1.0,True,exclude,非目标细胞：cardiomyocytes 与 target_cell_scope（L2:Schwann cell）不符，且非任务物种。
DOI_10.1038_s42003-024-07315-x,44,no_formal_target_marker,mono/Mϕ,,other,false,c1qa,c1qa,exact,cluster_enriched,positive,"Results, 'Cardiac and systemic responses after heart injury in zebrafish' section, paragraph 1",7% mono/Mϕ (c1qa+),1.0,True,exclude,非目标细胞：mono/Mϕ 与 target_cell_scope（L2:Schwann cell）不符，且非任务物种。
DOI_10.1038_s42003-024-07315-x,44,no_formal_target_marker,NK or T cells,,other,false,zbtb32,zbtb32,exact,cluster_enriched,positive,"Results, 'Cardiac and systemic responses after heart injury in zebrafish' section, paragraph 1",5% NK or T cells (zbtb32+il2rb+ or lck+zap70+),1.0,True,exclude,非目标细胞：NK or T cells 与 target_cell_scope（L2:Schwann cell）不符，且非任务物种。
DOI_10.1038_s42003-024-07315-x,44,no_formal_target_marker,NK or T cells,,other,false,il2rb,il2rb,exact,cluster_enriched,positive,"Results, 'Cardiac and systemic responses after heart injury in zebrafish' section, paragraph 1",5% NK or T cells (zbtb32+il2rb+ or lck+zap70+),1.0,True,exclude,非目标细胞：NK or T cells 与 target_cell_scope（L2:Schwann cell）不符，且非任务物种。
DOI_10.1038_s42003-024-07315-x,44,no_formal_target_marker,NK or T cells,,other,false,lck,lck,exact,cluster_enriched,positive,"Results, 'Cardiac and systemic responses after heart injury in zebrafish' section, paragraph 1",5% NK or T cells (zbtb32+il2rb+ or lck+zap70+),1.0,True,exclude,非目标细胞：NK or T cells 与 target_cell_scope（L2:Schwann cell）不符，且非任务物种。
DOI_10.1038_s42003-024-07315-x,44,no_formal_target_marker,NK or T cells,,other,false,zap70,zap70,exact,cluster_enriched,positive,"Results, 'Cardiac and systemic responses after heart injury in zebrafish' section, paragraph 1",5% NK or T cells (zbtb32+il2rb+ or lck+zap70+),1.0,True,exclude,非目标细胞：NK or T cells 与 target_cell_scope（L2:Schwann cell）不符，且非任务物种。
DOI_10.1038_s42003-024-07315-x,44,no_formal_target_marker,thrombocytes,,other,false,itga2b,itga2b,exact,cluster_enriched,positive,"Results, 'Cardiac and systemic responses after heart injury in zebrafish' section, paragraph 1",3% thrombocytes (itga2b+),1.0,True,exclude,非目标细胞：thrombocytes 与 target_cell_scope（L2:Schwann cell）不符，且非任务物种。
DOI_10.1038_s42003-024-07315-x,44,no_formal_target_marker,B cells,,other,false,cd37,cd37,exact,cluster_enriched,positive,"Results, 'Cardiac and systemic responses after heart injury in zebrafish' section, paragraph 1",2% B cells (cd37+),1.0,True,exclude,非目标细胞：B cells 与 target_cell_scope（L2:Schwann cell）不符，且非任务物种。
DOI_10.1038_s42003-024-07315-x,44,no_formal_target_marker,neutrophils,,other,false,mpx,mpx,exact,cluster_enriched,positive,"Results, 'Cardiac and systemic responses after heart injury in zebrafish' section, paragraph 1",1% neutrophils (mpx+),1.0,True,exclude,非目标细胞：neutrophils 与 target_cell_scope（L2:Schwann cell）不符，且非任务物种。
DOI_10.1038_s42003-024-07315-x,44,no_formal_target_marker,epicardial cells and fibroblasts,,other,false,tcf21,tcf21,exact,cluster_enriched,positive,"Results, 'Cardiac and systemic responses after heart injury in zebrafish' section, paragraph 1",epicardial cells and fibroblasts (tcf21+),0.75,True,exclude,非目标细胞：epicardial cells and fibroblasts 与 target_cell_scope（L2:Schwann cell）不符，且非任务物种。
DOI_10.1038_s42003-024-07315-x,44,no_formal_target_marker,endocardial and endothelial cells,,other,false,kdrl,kdrl,exact,cluster_enriched,positive,"Results, 'Cardiac and systemic responses after heart injury in zebrafish' section, paragraph 1",endocardial and endothelial cells (kdrl+),1.0,True,exclude,非目标细胞：endocardial and endothelial cells 与 target_cell_scope（L2:Schwann cell）不符，且非任务物种。
DOI_10.1038_s42003-024-07315-x,44,no_formal_target_marker,mural cells,,other,false,pdgfrb,pdgfrb,exact,cluster_enriched,positive,"Results, 'Cardiac and systemic responses after heart injury in zebrafish' section, paragraph 1",mural cells (pdgfrb+),1.0,True,exclude,非目标细胞：mural cells 与 target_cell_scope（L2:Schwann cell）不符，且非任务物种。
DOI_10.1038_s42003-024-07315-x,44,no_formal_target_marker,hepatocytes,,other,false,fabp10,fabp10,exact,cluster_enriched,positive,"Results, 'Cardiac and systemic responses after heart injury in zebrafish' section, paragraph 2",hepatocytes constituting ~70% of cells (fabp10+cp+),1.0,True,exclude,非目标细胞：hepatocytes 与 target_cell_scope（L2:Schwann cell）不符，且非任务物种。
DOI_10.1038_s42003-024-07315-x,44,no_formal_target_marker,hepatocytes,,other,false,cp,cp,exact,cluster_enriched,positive,"Results, 'Cardiac and systemic responses after heart injury in zebrafish' section, paragraph 2",hepatocytes constituting ~70% of cells (fabp10+cp+),1.0,True,exclude,非目标细胞：hepatocytes 与 target_cell_scope（L2:Schwann cell）不符，且非任务物种。
DOI_10.1038_s42003-024-07315-x,44,no_formal_target_marker,acinar cells,,other,false,prss1,prss1,exact,cluster_enriched,positive,"Results, 'Cardiac and systemic responses after heart injury in zebrafish' section, paragraph 2",acinar cells (prss1+ela2+),1.0,True,exclude,非目标细胞：acinar cells 与 target_cell_scope（L2:Schwann cell）不符，且非任务物种。
DOI_10.1038_s42003-024-07315-x,44,no_formal_target_marker,acinar cells,,other,false,ela2,ela2,exact,cluster_enriched,positive,"Results, 'Cardiac and systemic responses after heart injury in zebrafish' section, paragraph 2",acinar cells (prss1+ela2+),1.0,True,exclude,非目标细胞：acinar cells 与 target_cell_scope（L2:Schwann cell）不符，且非任务物种。
DOI_10.1038_s42003-024-07315-x,44,no_formal_target_marker,hematopoietic stem or progenitor cells (HPC),,other,false,runx1t1,runx1t1,exact,cluster_enriched,positive,"Results, 'Cardiac and systemic responses after heart injury in zebrafish' section, paragraph 2","hematopoietic stem or progenitor cells (HPC, runx1t1+meis1b+csf1rb+)",1.0,True,exclude,非目标细胞：HPC 与 target_cell_scope（L2:Schwann cell）不符，且非任务物种。
DOI_10.1038_s42003-024-07315-x,44,no_formal_target_marker,hematopoietic stem or progenitor cells (HPC),,other,false,meis1b,meis1b,exact,cluster_enriched,positive,"Results, 'Cardiac and systemic responses after heart injury in zebrafish' section, paragraph 2","hematopoietic stem or progenitor cells (HPC, runx1t1+meis1b+csf1rb+)",1.0,True,exclude,非目标细胞：HPC 与 target_cell_scope（L2:Schwann cell）不符，且非任务物种。
DOI_10.1038_s42003-024-07315-x,44,no_formal_target_marker,hematopoietic stem or progenitor cells (HPC),,other,false,csf1rb,csf1rb,exact,cluster_enriched,positive,"Results, 'Cardiac and systemic responses after heart injury in zebrafish' section, paragraph 2","hematopoietic stem or progenitor cells (HPC, runx1t1+meis1b+csf1rb+)",1.0,True,exclude,非目标细胞：HPC 与 target_cell_scope（L2:Schwann cell）不符，且非任务物种。
DOI_10.1038_s42003-024-07315-x,44,no_formal_target_marker,mono/Mϕ,cluster 3 mono/Mϕ,mouse,false,MHC class II genes,MHC class II genes,ambiguous,cluster_enriched,positive,"Supplementary text, blood cell cluster description (refs Fig. 2d-f and Supplementary Fig. 4a, b)",expressed high levels of MHC class II genes,1.0,True,exclude,非目标细胞：mono/Mϕ 与 target_cell_scope（L2:Schwann cell）不符。
DOI_10.1038_s42003-024-07315-x,44,no_formal_target_marker,Kupffer cell,,mouse,false,Clec4f,Clec4f,exact,author_declared,positive,"Results, description of cluster 4 macrophages","cluster 4 macrophages in the liver had high expression of Clec4f, a Kupffer cell marker (Supplementary Fig. 4c)",1.0,True,exclude,非目标细胞：Kupffer cell 与 target_cell_scope（L2:Schwann cell）不符。
DOI_10.1038_s42003-024-07315-x,44,no_formal_target_marker,Cluster 4 macrophages,,mouse,false,Clec4f,Clec4f,exact,cluster_enriched,positive,"Results, description of cluster 4 macrophages","cluster 4 macrophages in the liver had high expression of Clec4f, a Kupffer cell marker (Supplementary Fig. 4c)",1.0,True,exclude,非目标细胞：Cluster 4 macrophages 与 target_cell_scope（L2:Schwann cell）不符。
DOI_10.1038_s42003-024-07315-x,44,no_formal_target_marker,M2 macrophage,,other,false,mrc1b,mrc1b,exact,author_declared,positive,"Results, zebrafish mono/Mϕ cluster markers",This cluster also preferentially expressed the M2 macrophage marker mrc1b (Cd206 in mice),1.0,True,exclude,非目标细胞：M2 macrophage 与 target_cell_scope（L2:Schwann cell）不符，且非任务物种。
DOI_10.1038_s42003-024-07315-x,44,no_formal_target_marker,Cluster 1 mono/Mϕ,,other,false,eef1g,eef1g,exact,annotation_marker,positive,"Results, zebrafish mono/Mϕ cluster markers; Fig.3f","The WKM-dominating cluster 1 was enriched for expression of translation and ribosome biogenesis-associated genes such as eef1g, rpl15, and eif2s3 (Supplementary Fig. 3c, Fig. 3f, g, and Supplementary Data 4, 5).",1.0,True,exclude,非目标细胞：Cluster 1 mono/Mϕ 与 target_cell_scope（L2:Schwann cell）不符，且非任务物种。
DOI_10.1038_s42003-024-07315-x,44,no_formal_target_marker,Cluster 1 mono/Mϕ,,other,false,rpl15,rpl15,exact,annotation_marker,positive,"Results, zebrafish mono/Mϕ cluster markers; Fig.3f","The WKM-dominating cluster 1 was enriched for expression of translation and ribosome biogenesis-associated genes such as eef1g, rpl15, and eif2s3 (Supplementary Fig. 3c, Fig. 3f, g, and Supplementary Data 4, 5).",1.0,True,exclude,非目标细胞：Cluster 1 mono/Mϕ 与 target_cell_scope（L2:Schwann cell）不符，且非任务物种。
DOI_10.1038_s42003-024-07315-x,44,no_formal_target_marker,Cluster 1 mono/Mϕ,,other,false,eif2s3,eif2s3,exact,annotation_marker,positive,"Results, zebrafish mono/Mϕ cluster markers; Fig.3f","The WKM-dominating cluster 1 was enriched for expression of translation and ribosome biogenesis-associated genes such as eef1g, rpl15, and eif2s3 (Supplementary Fig. 3c, Fig. 3f, g, and Supplementary Data 4, 5).",1.0,True,exclude,非目标细胞：Cluster 1 mono/Mϕ 与 target_cell_scope（L2:Schwann cell）不符，且非任务物种。
DOI_10.1038_s42003-024-07315-x,44,no_formal_target_marker,Cluster 1 mono/Mϕ,,other,false,mrc1b,mrc1b,exact,annotation_marker,positive,"Results, zebrafish mono/Mϕ cluster markers; Fig.3f","This cluster also preferentially expressed the M2 macrophage marker mrc1b (Cd206 in mice), copper ion binding protein gene moxd1, and calcium ion binding protein genes icn and s100a10b.",1.0,True,exclude,非目标细胞：Cluster 1 mono/Mϕ 与 target_cell_scope（L2:Schwann cell）不符，且非任务物种。
DOI_10.1038_s42003-024-07315-x,44,no_formal_target_marker,Cluster 1 mono/Mϕ,,other,false,moxd1,moxd1,exact,annotation_marker,positive,"Results, zebrafish mono/Mϕ cluster markers; Fig.3f","This cluster also preferentially expressed the M2 macrophage marker mrc1b (Cd206 in mice), copper ion binding protein gene moxd1, and calcium ion binding protein genes icn and s100a10b.",1.0,True,exclude,非目标细胞：Cluster 1 mono/Mϕ 与 target_cell_scope（L2:Schwann cell）不符，且非任务物种。
DOI_10.1038_s42003-024-07315-x,44,no_formal_target_marker,Cluster 1 mono/Mϕ,,other,false,icn,icn,exact,annotation_marker,positive,"Results, zebrafish mono/Mϕ cluster markers; Fig.3f","This cluster also preferentially expressed the M2 macrophage marker mrc1b (Cd206 in mice), copper ion binding protein gene moxd1, and calcium ion binding protein genes icn and s100a10b.",1.0,True,exclude,非目标细胞：Cluster 1 mono/Mϕ 与 target_cell_scope（L2:Schwann cell）不符，且非任务物种。
DOI_10.1038_s42003-024-07315-x,44,no_formal_target_marker,Cluster 1 mono/Mϕ,,other,false,s100a10b,s100a10b,exact,annotation_marker,positive,"Results, zebrafish mono/Mϕ cluster markers; Fig.3f","This cluster also preferentially expressed the M2 macrophage marker mrc1b (Cd206 in mice), copper ion binding protein gene moxd1, and calcium ion binding protein genes icn and s100a10b.",1.0,True,exclude,非目标细胞：Cluster 1 mono/Mϕ 与 target_cell_scope（L2:Schwann cell）不符，且非任务物种。
DOI_10.1038_s42003-024-07315-x,44,no_formal_target_marker,Cluster 2 mono/Mϕ,,other,false,hmgn2,hmgn2,exact,annotation_marker,positive,"Results, zebrafish mono/Mϕ cluster markers; Fig.3f","Cluster 2 shared most of the cluster 1 marker genes at a relatively lower expression level, in addition to the enriched expression of histone modification and chromatin regulatory genes such as hmgn2, h2az2b, and mki67 and nucleotide metabolism gene dut",0.9524,True,exclude,非目标细胞：Cluster 2 mono/Mϕ 与 target_cell_scope（L2:Schwann cell）不符，且非任务物种。
DOI_10.1038_s42003-024-07315-x,44,no_formal_target_marker,Cluster 2 mono/Mϕ,,other,false,h2az2b,h2az2b,exact,annotation_marker,positive,"Results, zebrafish mono/Mϕ cluster markers; Fig.3f","Cluster 2 shared most of the cluster 1 marker genes at a relatively lower expression level, in addition to the enriched expression of histone modification and chromatin regulatory genes such as hmgn2, h2az2b, and mki67 and nucleotide metabolism gene dut",0.9524,True,exclude,非目标细胞：Cluster 2 mono/Mϕ 与 target_cell_scope（L2:Schwann cell）不符，且非任务物种。
