paper_id,task_no,paper_status,cell_type,subtype,species,in_project_scope,original_symbol,normalized_symbol,normalization_status,evidence_type,marker_polarity,source_locator,source_context,citation_match_score,citation_verified,decision,reason
DOI_10.1101_2025.09.26.678707,39,no_formal_target_marker,C-FIB-OSMRhi,,human,false,CXCL10,CXCL10,exact,annotation_marker,positive,"Results, 'Interstitial fibroblasts' section",a cross-tissue associated CXCL10+/CCL19+ pro-inflammatory state (C-FIB-OSMRhi),1.0,True,exclude,非目标细胞（非 Schwann cell）且物种 human，不在项目范围
DOI_10.1101_2025.09.26.678707,39,no_formal_target_marker,C-FIB-OSMRhi,,human,false,CCL19,CCL19,exact,annotation_marker,positive,"Results, 'Interstitial fibroblasts' section",a cross-tissue associated CXCL10+/CCL19+ pro-inflammatory state (C-FIB-OSMRhi),1.0,True,exclude,非目标细胞（非 Schwann cell）且物种 human，不在项目范围
DOI_10.1101_2025.09.26.678707,39,no_formal_target_marker,C-FIB-OSMRhi,,human,false,OSMR,OSMR,exact,annotation_marker,positive,Fig. 2d legend,"as well as C-FIB-OSMRhi, C-MYOF, pvFIB-RSPO3+, pvFIB-PI16+, pvFIB and pvMYOF",1.0,True,exclude,非目标细胞（非 Schwann cell）且物种 human，不在项目范围
DOI_10.1101_2025.09.26.678707,39,no_formal_target_marker,C-MYOF,,human,false,SPARC,SPARC,exact,annotation_marker,positive,"Results, 'Interstitial fibroblasts' section",a SPARC+COL3A1+ myofibroblast state (C-MYOF),1.0,True,exclude,非目标细胞（非 Schwann cell）且物种 human，不在项目范围
DOI_10.1101_2025.09.26.678707,39,no_formal_target_marker,C-MYOF,,human,false,COL3A1,COL3A1,exact,annotation_marker,positive,"Results, 'Interstitial fibroblasts' section",a SPARC+COL3A1+ myofibroblast state (C-MYOF),1.0,True,exclude,非目标细胞（非 Schwann cell）且物种 human，不在项目范围
DOI_10.1101_2025.09.26.678707,39,no_formal_target_marker,C-MYOF,,human,false,MYOF,MYOF,exact,annotation_marker,positive,Fig. 2d legend,"as well as C-FIB-OSMRhi, C-MYOF, pvFIB-RSPO3+, pvFIB-PI16+, pvFIB and pvMYOF",1.0,True,exclude,非目标细胞（非 Schwann cell）且物种 human，不在项目范围
DOI_10.1101_2025.09.26.678707,39,no_formal_target_marker,C-FIB-OSMRhi,immunomodulatory interstitial fibroblast,human,false,OSMR,OSMR,exact,annotation_marker,positive,Results: Fibroblast states; Fig.2b-c,"C-FIB-OSMRhi fibroblasts, which showed activation of NF-kB, TNFα, and interferon (INF) pathways",1.0,True,exclude,非目标细胞（非 Schwann cell）且物种 human，不在项目范围
DOI_10.1101_2025.09.26.678707,39,no_formal_target_marker,C-MYOF,matrix-producing interstitial myofibroblast,human,false,SPARC,SPARC,exact,annotation_marker,positive,Results: Perivascular fibroblasts; Fig.2c,suppressing the SPARC+COL3A1+ (C-MYOF) state,1.0,True,exclude,非目标细胞（非 Schwann cell）且物种 human，不在项目范围
DOI_10.1101_2025.09.26.678707,39,no_formal_target_marker,C-MYOF,matrix-producing interstitial myofibroblast,human,false,COL3A1,COL3A1,exact,annotation_marker,positive,Results: Perivascular fibroblasts; Fig.2c,suppressing the SPARC+COL3A1+ (C-MYOF) state,1.0,True,exclude,非目标细胞（非 Schwann cell）且物种 human，不在项目范围
DOI_10.1101_2025.09.26.678707,39,no_formal_target_marker,pvFIB-RSPO3+,perivascular fibroblast progenitor,human,false,RSPO3,RSPO3,exact,annotation_marker,positive,Results: Perivascular fibroblasts; ED Figure 5h,pluripotent universal RSPO3+ and CD34+/PI16+ adventitial fibroblasts,1.0,True,exclude,非目标细胞（非 Schwann cell）且物种 human，不在项目范围
