paper_id,task_no,paper_status,cell_type,subtype,species,in_project_scope,original_symbol,normalized_symbol,normalization_status,evidence_type,marker_polarity,source_locator,source_context,citation_match_score,citation_verified,decision,reason
DOI_10.1126_science.abl4290,34,corrected,CD16+ monocytes,,human,false,CD16,CD16,ambiguous,annotation_marker,positive,"Page 8, Fig. 3B","These included CD16+ monocytes, CD14+ monocytes, two transitional Mo/MΦ FCGR3Alow and Mo/MΦ FCGR3Ahigh populations...",1.0,True,exclude,CD16+单核细胞不属于任务目标细胞范围（Schwann/Neuroendocrine），且CD16无法唯一映射为单一基因。
DOI_10.1126_science.abl4290,34,corrected,CD14+ monocytes,,human,false,CD14,CD14,exact,annotation_marker,positive,"Page 8, Fig. 3B","These included CD16+ monocytes, CD14+ monocytes, two transitional Mo/MΦ FCGR3Alow and Mo/MΦ FCGR3Ahigh populations...",1.0,True,exclude,CD14+单核细胞不属于任务目标细胞范围。
DOI_10.1126_science.abl4290,34,corrected,Mo/MΦ FCGR3Alow,,human,false,FCGR3A,FCGR3A,exact,annotation_marker,positive,"Page 8, Fig. 3B",two transitional Mo/MΦ FCGR3Alow and Mo/MΦ FCGR3Ahigh populations with coexpression of both monocyte and macrophage markers,0.0,True,exclude,Mo/MΦ过渡群体不属于任务目标细胞范围。
DOI_10.1126_science.abl4290,34,corrected,Mo/MΦ FCGR3Ahigh,,human,false,FCGR3A,FCGR3A,exact,annotation_marker,positive,"Page 8, Fig. 3B",two transitional Mo/MΦ FCGR3Alow and Mo/MΦ FCGR3Ahigh populations with coexpression of both monocyte and macrophage markers,0.0,True,exclude,Mo/MΦ过渡群体不属于任务目标细胞范围。
DOI_10.1126_science.abl4290,34,corrected,MΦ LYVE1high,,human,false,LYVE1,LYVE1,exact,annotation_marker,positive,"Page 8, Fig. 3B","two additional macrophage subsets: MΦ LYVE1high and MΦ HLAIIhigh (Fig. 3B), where HLAII is HLA class II",1.0,True,exclude,巨噬细胞亚群不属于任务目标细胞范围。
DOI_10.1126_science.abl4290,34,corrected,MΦ HLAIIhigh,,human,false,HLAII,HLAII,ambiguous,annotation_marker,positive,"Page 8, Fig. 3B","two additional macrophage subsets: MΦ LYVE1high and MΦ HLAIIhigh (Fig. 3B), where HLAII is HLA class II",1.0,True,exclude,巨噬细胞亚群不属于任务目标细胞范围；HLAII为HLA class II复合体，无法唯一映射基因。
DOI_10.1126_science.abl4290,34,corrected,PPARGhigh lung macrophages,,human,false,PPARG,PPARG,exact,annotation_marker,positive,"Page 8, Fig. 3C","notable exceptions included PPARGhigh lung macrophages, which were present only in lung, and CD207/Langerin+ Langerhans cells...",1.0,True,exclude,肺巨噬细胞亚群不属于任务目标细胞范围。
DOI_10.1126_science.abl4290,34,corrected,CD207/Langerin+ Langerhans cells,,human,false,CD207/Langerin,CD207,alias_resolved,annotation_marker,positive,"Page 8, Fig. 3C","CD207/Langerin+ Langerhans cells, which were present only (97%) in skin and esophagus mucosa...",1.0,True,exclude,朗格汉斯细胞不属于任务目标细胞范围。
DOI_10.1126_science.abl4290,34,corrected,LAM-like macrophages,,human,false,IL1B,IL1B,exact,cluster_enriched,positive,"Page 10, fig. S17F","LAMs in creeping fat from Crohn’s intestine and atherosclerotic lesions were additionally characterized by higher expression of interleukin IL1B and multiple chemokines (CXCL8, CXCL3, CCL4)...",1.0,True,exclude,LAM样巨噬细胞不属于任务目标细胞范围；证据为表达富集。
DOI_10.1126_science.abl4290,34,corrected,Alveolar fibroblasts,,human,false,ACTA2,ACTA2,exact,reference_imported,positive,"Page 11, fig. S18D","alveolar fibroblasts express myofibroblast markers (e.g., ACTA2; fig. S18D), they are distinct from previously reported myofibroblasts",1.0,True,exclude,肺泡成纤维细胞不属于任务目标细胞范围；证据为外部已知标记引用。
DOI_10.1126_science.abl4290,34,corrected,Myofibroblasts,,human,false,ACTA2,ACTA2,exact,reference_imported,positive,"Page 11, fig. S18D","alveolar fibroblasts express myofibroblast markers (e.g., ACTA2; fig. S18D)",1.0,True,exclude,肌成纤维细胞不属于任务目标细胞范围；证据为外部已知标记引用。
DOI_10.1126_science.abl4290,34,corrected,Fast myocytes,,human,false,MYH2,MYH2,exact,author_declared,positive,"Page 13, fig. S9",Fast myocytes specifically expressed the type 2 fiber marker MYH2 (FDR < 10−15 in cytoplasmic myonuclei),1.0,True,exclude,快肌细胞不属于任务目标细胞范围。
DOI_10.1126_science.abl4290,34,corrected,lung alveolar fibroblasts,,human,false,PIEZO2,PIEZO2,exact,cluster_enriched,positive,Discussion p.18,PIEZO2+/ITGA8+ alveolar fibroblasts may contribute to mechanosensing of alveolar tension,1.0,True,exclude,肺泡成纤维细胞不属于任务目标细胞范围；证据为表达组合描述。
DOI_10.1126_science.abl4290,34,corrected,lung alveolar fibroblasts,,human,false,ITGA8,ITGA8,exact,cluster_enriched,positive,Discussion p.18,PIEZO2+/ITGA8+ alveolar fibroblasts may contribute to mechanosensing of alveolar tension,1.0,True,exclude,肺泡成纤维细胞不属于任务目标细胞范围；证据为表达组合描述。
DOI_10.1126_science.abl4290,34,corrected,sensory neurons,,mouse,false,Piezo2,PIEZO2,alias_resolved,reference_imported,positive,Discussion p.18,which so far has been mainly attributed to Piezo2+ sensory neurons in mice (111),1.0,True,exclude,小鼠感觉神经元不属于任务目标细胞范围，且物种与任务物种不一致，仅为外部引用。
