paper_id,task_no,paper_status,cell_type,subtype,species,in_project_scope,original_symbol,normalized_symbol,normalization_status,evidence_type,marker_polarity,source_locator,source_context,citation_match_score,citation_verified,decision,reason
DOI_10.1126_sciimmunol.adf9988,13,no_formal_target_marker,immune cells,,human,false,CD45,PTPRC,alias_resolved,annotation_marker,positive,Results p.4,IHC showed that CD45+ immune cells were present in human fetal lungs throughout early development,1.0,True,exclude,免疫细胞非任务目标 L4:Pulmonary neuroendocrine cell，范围不符。
DOI_10.1126_sciimmunol.adf9988,13,no_formal_target_marker,T cells,,human,false,CD3,CD3,ambiguous,annotation_marker,positive,Results p.5,total T cells (CD3+),1.0,True,exclude,T 细胞非目标范围；CD3 为复合物名，无法唯一映射单基因。
DOI_10.1126_sciimmunol.adf9988,13,no_formal_target_marker,T cells,CD4+,human,false,CD4,CD4,exact,annotation_marker,positive,Results p.5,"CD4+, CD8+ and regulatory T cells with age",1.0,True,exclude,CD4+ T 细胞非任务目标细胞，范围不符。
DOI_10.1126_sciimmunol.adf9988,13,no_formal_target_marker,T cells,CD8+,human,false,CD8,CD8,ambiguous,annotation_marker,positive,Results p.5,"CD4+, CD8+ and regulatory T cells with age",1.0,True,exclude,CD8+ T 细胞非目标范围；CD8 为复合物名，无法唯一映射单基因。
DOI_10.1126_sciimmunol.adf9988,13,no_formal_target_marker,T progenitors,,human,false,PTCRA,PTCRA,exact,annotation_marker,positive,Results p.7-8,a very small cluster of T progenitors (PTCRA+RAG1+RAG2+; Fig S6D),1.0,True,exclude,T 祖细胞非任务目标细胞，范围不符。
DOI_10.1126_sciimmunol.adf9988,13,no_formal_target_marker,T progenitors,,human,false,RAG1,RAG1,exact,annotation_marker,positive,Results p.7-8,a very small cluster of T progenitors (PTCRA+RAG1+RAG2+; Fig S6D),1.0,True,exclude,T 祖细胞非任务目标细胞，范围不符。
DOI_10.1126_sciimmunol.adf9988,13,no_formal_target_marker,T progenitors,,human,false,RAG2,RAG2,exact,annotation_marker,positive,Results p.7-8,a very small cluster of T progenitors (PTCRA+RAG1+RAG2+; Fig S6D),1.0,True,exclude,T 祖细胞非任务目标细胞，范围不符。
DOI_10.1126_sciimmunol.adf9988,13,no_formal_target_marker,ILCPs,,human,false,HPN,HPN,exact,author_declared,positive,Results p.8,A cluster of ILCPs was identified by expression of marker genes (HPN and SCN1B (28); Fig S6E),1.0,True,exclude,ILCP 非任务目标细胞；HPN 虽为作者声明 marker，但范围不符。
DOI_10.1126_sciimmunol.adf9988,13,no_formal_target_marker,ILCPs,,human,false,SCN1B,SCN1B,exact,author_declared,positive,Results p.8,A cluster of ILCPs was identified by expression of marker genes (HPN and SCN1B (28); Fig S6E),1.0,True,exclude,ILCP 非任务目标细胞；SCN1B 虽为作者声明 marker，但范围不符。
DOI_10.1126_sciimmunol.adf9988,13,no_formal_target_marker,LMPP/ELP,,human,false,CD34,CD34,exact,annotation_marker,positive,Results p.6,LMPP/ELP (CD34+EBF1-),1.0,True,exclude,LMPP/ELP 非任务目标细胞，范围不符。
DOI_10.1126_sciimmunol.adf9988,13,no_formal_target_marker,LMPP/ELP,,human,false,EBF1,EBF1,exact,annotation_marker,negative,Results p.6,LMPP/ELP (CD34+EBF1-),1.0,True,exclude,LMPP/ELP 非任务目标细胞；EBF1- 用于定义该群，但范围不符。
DOI_10.1126_sciimmunol.adf9988,13,no_formal_target_marker,B cells,pre-pro-B,human,false,EBF1,EBF1,exact,annotation_marker,positive,Results p.6,pre-pro-B (EBF1+SPINK2+VPREB1+),1.0,True,exclude,B 细胞发育阶段非任务目标细胞，范围不符。
DOI_10.1126_sciimmunol.adf9988,13,no_formal_target_marker,B cells,pre-pro-B,human,false,SPINK2,SPINK2,exact,annotation_marker,positive,Results p.6,pre-pro-B (EBF1+SPINK2+VPREB1+),1.0,True,exclude,B 细胞发育阶段非任务目标细胞，范围不符。
DOI_10.1126_sciimmunol.adf9988,13,no_formal_target_marker,B cells,pre-pro-B,human,false,VPREB1,VPREB1,exact,annotation_marker,positive,Results p.6,pre-pro-B (EBF1+SPINK2+VPREB1+),1.0,True,exclude,B 细胞发育阶段非任务目标细胞，范围不符。
DOI_10.1126_sciimmunol.adf9988,13,no_formal_target_marker,B cells,pre-pro-B,human,false,IL7R,IL7R,exact,author_declared,positive,Results p.6,observed the acquisition of B cell markers such as IL7R at the pre-pro-B cell stage,1.0,True,exclude,B 细胞发育阶段非任务目标细胞；IL7R 虽为作者声明 B 细胞 marker，但范围不符。
DOI_10.1126_sciimmunol.adf9988,13,no_formal_target_marker,B cells,pro-B,human,false,DNTT,DNTT,exact,annotation_marker,positive,Results p.6,pro-B (DNTT+),1.0,True,exclude,B 细胞发育阶段非任务目标细胞，范围不符。
DOI_10.1126_sciimmunol.adf9988,13,no_formal_target_marker,B cells,pro-B,human,false,VPREB1,VPREB1,exact,annotation_marker,positive,Results p.6-7,RNAscope showed VPREB1+DNTT+ cells representing pro-B cell stages,1.0,True,exclude,B 细胞发育阶段非任务目标细胞，范围不符。
DOI_10.1126_sciimmunol.adf9988,13,no_formal_target_marker,B cells,late pro-B,human,false,NEIL1,NEIL1,exact,annotation_marker,positive,Results p.6,NEIL1+MKI67- late pro-B cells,1.0,True,exclude,B 细胞发育阶段非任务目标细胞，范围不符。
DOI_10.1126_sciimmunol.adf9988,13,no_formal_target_marker,B cells,late pro-B,human,false,MKI67,MKI67,exact,annotation_marker,negative,Results p.6,NEIL1+MKI67- late pro-B cells,1.0,True,exclude,B 细胞发育阶段非任务目标细胞；MKI67- 用于定义该群，范围不符。
DOI_10.1126_sciimmunol.adf9988,13,no_formal_target_marker,B cells,pro-B/pre-B transition,human,false,RAG1,RAG1,exact,annotation_marker,positive,Results p.6,RAG1+MS4A1+ pro-B/pre-B transition cells,1.0,True,exclude,B 细胞发育阶段非任务目标细胞，范围不符。
DOI_10.1126_sciimmunol.adf9988,13,no_formal_target_marker,B cells,pro-B/pre-B transition,human,false,MS4A1,MS4A1,exact,annotation_marker,positive,Results p.6,RAG1+MS4A1+ pro-B/pre-B transition cells,1.0,True,exclude,B 细胞发育阶段非任务目标细胞，范围不符。
DOI_10.1126_sciimmunol.adf9988,13,no_formal_target_marker,B cells,large pre-B,human,false,IL7R,IL7R,exact,annotation_marker,positive,Results p.6,large pre-B (IL7R+MS4A1+MKI67+),1.0,True,exclude,B 细胞发育阶段非任务目标细胞，范围不符。
DOI_10.1126_sciimmunol.adf9988,13,no_formal_target_marker,B cells,large pre-B,human,false,MS4A1,MS4A1,exact,annotation_marker,positive,Results p.6,large pre-B (IL7R+MS4A1+MKI67+),1.0,True,exclude,B 细胞发育阶段非任务目标细胞，范围不符。
DOI_10.1126_sciimmunol.adf9988,13,no_formal_target_marker,B cells,large pre-B,human,false,MKI67,MKI67,exact,annotation_marker,positive,Results p.6,large pre-B (IL7R+MS4A1+MKI67+),1.0,True,exclude,B 细胞发育阶段非任务目标细胞，范围不符。
DOI_10.1126_sciimmunol.adf9988,13,no_formal_target_marker,B cells,small pre-B,human,false,IL7R,IL7R,exact,annotation_marker,positive,Results p.6,small pre-B (IL7R+SPIB+MKI67-),1.0,True,exclude,B 细胞发育阶段非任务目标细胞，范围不符。
DOI_10.1126_sciimmunol.adf9988,13,no_formal_target_marker,B cells,small pre-B,human,false,SPIB,SPIB,exact,annotation_marker,positive,Results p.6,small pre-B (IL7R+SPIB+MKI67-),1.0,True,exclude,B 细胞发育阶段非任务目标细胞，范围不符。
DOI_10.1126_sciimmunol.adf9988,13,no_formal_target_marker,B cells,small pre-B,human,false,MKI67,MKI67,exact,annotation_marker,negative,Results p.6,small pre-B (IL7R+SPIB+MKI67-),1.0,True,exclude,B 细胞发育阶段非任务目标细胞；MKI67- 用于定义该群，范围不符。
DOI_10.1126_sciimmunol.adf9988,13,no_formal_target_marker,B cells,small pre-B,human,false,BEST3,BEST3,exact,annotation_marker,positive,Results p.6-7,RNAscope showed ... RAG1+BEST3+ small pre-B cells,1.0,True,exclude,B 细胞发育阶段非任务目标细胞，范围不符。
DOI_10.1126_sciimmunol.adf9988,13,no_formal_target_marker,B cells,"small pre-B, Ig kappa+",human,false,IGKC,IGKC,exact,annotation_marker,positive,Results p.6,"small pre-B cell clusters, expressing either immunoglobulin kappa (IGKC+) or lambda (IGLC2+IGLC3+) light chain genes",1.0,True,exclude,B 细胞发育阶段非任务目标细胞，范围不符。
DOI_10.1126_sciimmunol.adf9988,13,no_formal_target_marker,B cells,"small pre-B, Ig lambda+",human,false,IGLC2,IGLC2,exact,annotation_marker,positive,Results p.6,"small pre-B cell clusters, expressing either immunoglobulin kappa (IGKC+) or lambda (IGLC2+IGLC3+) light chain genes",1.0,True,exclude,B 细胞发育阶段非任务目标细胞，范围不符。
DOI_10.1126_sciimmunol.adf9988,13,no_formal_target_marker,B cells,"small pre-B, Ig lambda+",human,false,IGLC3,IGLC3,exact,annotation_marker,positive,Results p.6,"small pre-B cell clusters, expressing either immunoglobulin kappa (IGKC+) or lambda (IGLC2+IGLC3+) light chain genes",1.0,True,exclude,B 细胞发育阶段非任务目标细胞，范围不符。
DOI_10.1126_sciimmunol.adf9988,13,no_formal_target_marker,B cells,late pre-B,human,false,MS4A1,MS4A1,exact,annotation_marker,positive,Results p.6,"MS4A1+ late pre-B cells that expressed the marker for surrogate light chain, IGLL1",1.0,True,exclude,B 细胞发育阶段非任务目标细胞，范围不符。
DOI_10.1126_sciimmunol.adf9988,13,no_formal_target_marker,B cells,late pre-B,human,false,IGLL1,IGLL1,exact,annotation_marker,positive,Results p.6,"MS4A1+ late pre-B cells that expressed the marker for surrogate light chain, IGLL1",1.0,True,exclude,B 细胞发育阶段非任务目标细胞；IGLL1 虽为作者所称 marker，但范围不符。
DOI_10.1126_sciimmunol.adf9988,13,no_formal_target_marker,B cells,immature B,human,false,MS4A1,MS4A1,exact,annotation_marker,positive,Results p.6,immature B (MS4A1+IGHDloIGHMhiVPREB3hi),1.0,True,exclude,B 细胞发育阶段非任务目标细胞，范围不符。
DOI_10.1126_sciimmunol.adf9988,13,no_formal_target_marker,B cells,immature B,human,false,IGHD,IGHD,exact,annotation_marker,negative,Results p.6,immature B (MS4A1+IGHDloIGHMhiVPREB3hi),0.0,False,exclude,B 细胞发育阶段非任务目标细胞；IGHDlo 为低/阴性定义，范围不符。
