paper_id,task_no,paper_status,cell_type,subtype,species,in_project_scope,original_symbol,normalized_symbol,normalization_status,evidence_type,marker_polarity,source_locator,source_context,citation_match_score,citation_verified,decision,reason
PMID_35115729,38,corrected,myelinating Schwann cell (mSC),,mouse,true,Prx,Prx,exact,author_declared,positive,Results p.2,"mSCs, marked by expression of Prx, Qk and Mbp",1.0,True,include,作者明确使用 marked by 建立 gene-cell 关系
PMID_35115729,38,corrected,myelinating Schwann cell (mSC),,mouse,true,Qk,Qk,exact,author_declared,positive,Results p.2,"mSCs, marked by expression of Prx, Qk and Mbp",1.0,True,include,作者明确使用 marked by 建立 gene-cell 关系
PMID_35115729,38,corrected,myelinating Schwann cell (mSC),,mouse,true,Mbp,Mbp,exact,author_declared,positive,Results p.2,"mSCs, marked by expression of Prx, Qk and Mbp",1.0,True,include,作者明确使用 marked by 建立 gene-cell 关系
PMID_35115729,38,corrected,myelinating Schwann cell (mSC),sCluster0 (Plp1-high),mouse,true,Plp1,Plp1,exact,figure_labeled,positive,Fig. 4a,Markers highlighting subpopulations of mSCs are shown in bottom blue box (sCluster0: Plp1; ...),1.0,True,include,图注明确将 Plp1 列为 mSC 亚群 marker
PMID_35115729,38,corrected,myelinating Schwann cell (mSC),sCluster1 (Lmna+),mouse,true,Lmna,Lmna,exact,figure_labeled,positive,Fig. 4a,Markers highlighting subpopulations of mSCs are shown in bottom blue box (sCluster1: Lmna; ...),1.0,True,include,图注明确将 Lmna 列为 mSC 亚群 marker
PMID_35115729,38,corrected,myelinating Schwann cell (mSC),Col23a1+ cluster,mouse,true,Col23a1,Col23a1,exact,figure_labeled,positive,Fig. 4a,"Markers highlighting subpopulations of mSCs are shown in bottom blue box (sCluster3: Col23a1, Cldn14, Adamtsl1 and Pmp2)",1.0,True,include,图注明确将 Col23a1 列为 mSC 亚群 marker
PMID_35115729,38,corrected,myelinating Schwann cell (mSC),Cldn14+ Adamtsl1+ Pmp2+ (motor-associated),mouse,true,Cldn14,Cldn14,exact,author_declared,positive,"Results p.5, Fig. 4a","cluster 3, which is defined by co-expression of the integral membrane protein Cldn14, the secreted protein Adamtsl1, and the myelin protein Pmp2",1.0,True,include,作者明确使用 defined by 定义亚型
PMID_35115729,38,corrected,myelinating Schwann cell (mSC),Cldn14+ Adamtsl1+ Pmp2+ (motor-associated),mouse,true,Adamtsl1,Adamtsl1,exact,author_declared,positive,"Results p.5, Fig. 4a","cluster 3, which is defined by co-expression of the integral membrane protein Cldn14, the secreted protein Adamtsl1, and the myelin protein Pmp2",1.0,True,include,作者明确使用 defined by 定义亚型
PMID_35115729,38,corrected,myelinating Schwann cell (mSC),Cldn14+ Adamtsl1+ Pmp2+ (motor-associated),mouse,true,Pmp2,Pmp2,exact,author_declared,positive,"Results p.5, Fig. 4a","cluster 3, which is defined by co-expression of the integral membrane protein Cldn14, the secreted protein Adamtsl1, and the myelin protein Pmp2",1.0,True,include,作者明确使用 defined by 定义亚型
PMID_35115729,38,corrected,non-myelinating Schwann cell (nmSC),,mouse,true,Ncam1,Ncam1,exact,author_declared,positive,Results p.2,"nmSCs, marked by canonical markers such as Ncam1 and Slc35f1, as well as additional markers Scn7a and Csmd1",1.0,True,include,作者明确使用 marked by 和 markers 措辞
PMID_35115729,38,corrected,non-myelinating Schwann cell (nmSC),,mouse,true,Slc35f1,Slc35f1,exact,author_declared,positive,Results p.2,"nmSCs, marked by canonical markers such as Ncam1 and Slc35f1, as well as additional markers Scn7a and Csmd1",1.0,True,include,作者明确使用 marked by 和 markers 措辞
PMID_35115729,38,corrected,non-myelinating Schwann cell (nmSC),,mouse,true,Scn7a,Scn7a,exact,author_declared,positive,Results p.2,"nmSCs, marked by canonical markers such as Ncam1 and Slc35f1, as well as additional markers Scn7a and Csmd1",1.0,True,include,作者明确将 Scn7a 列为 nmSC marker
PMID_35115729,38,corrected,non-myelinating Schwann cell (nmSC),,mouse,true,Csmd1,Csmd1,exact,author_declared,positive,Results p.2,"nmSCs, marked by canonical markers such as Ncam1 and Slc35f1, as well as additional markers Scn7a and Csmd1",1.0,True,include,作者明确将 Csmd1 列为 nmSC marker
PMID_35115729,38,corrected,non-myelinating Schwann cell (nmSC),,mouse,true,Prnp,Prnp,exact,author_declared,positive,Results p.5,"nmSC markers identified by peripheral nerve snRNAseq, including Scn7a, Prnp, Dbi, and Marcks",1.0,True,include,作者明确称为 nmSC markers
PMID_35115729,38,corrected,non-myelinating Schwann cell (nmSC),,mouse,true,Dbi,Dbi,exact,author_declared,positive,Results p.5,"nmSC markers identified by peripheral nerve snRNAseq, including Scn7a, Prnp, Dbi, and Marcks",1.0,True,include,作者明确称为 nmSC markers
PMID_35115729,38,corrected,non-myelinating Schwann cell (nmSC),,mouse,true,Marcks,Marcks,exact,author_declared,positive,Results p.5,"nmSC markers identified by peripheral nerve snRNAseq, including Scn7a, Prnp, Dbi, and Marcks",1.0,True,include,作者明确称为 nmSC markers
PMID_35115729,38,corrected,non-myelinating Schwann cell (nmSC),cluster 5 (Prnp/Dbi/B2m/Marcks),mouse,true,B2m,B2m,exact,figure_labeled,positive,Fig. 4a,"Markers highlighting subpopulations of nmSCs are shown in top red box (Prnp, Dbi, B2m and Marcks)",1.0,True,include,图注明确将 B2m 列为 nmSC 亚群 marker，原提取遗漏
PMID_35115729,38,corrected,non-myelinating Schwann cell (nmSC),,mouse,true,Ngfr,Ngfr,exact,author_declared,positive,"Results p.4, Fig. 2c",nmSC marker Ngfr,1.0,True,include,作者明确称为 nmSC marker
