cell_type,subtype,species,is_pns_cell,gene_symbol,evidence_level,source_section,source_context,review_status,notes
B cells,,rat,false,Cd19,explicit,Methods: scRNA-seq data analysis,Expression of Cd19 and Siglech confirmed two distinct populations which were subsequently reclustered at resolution 0.1 to yield distinct populations.,pending,
Dendritic cells,,rat,false,Siglech,explicit,Methods: scRNA-seq data analysis,Expression of Cd19 and Siglech confirmed two distinct populations which were subsequently reclustered at resolution 0.1 to yield distinct populations.,pending,
Red blood cells,,rat,false,Hbb,explicit,Methods: scRNA-seq data analysis,"Clusters of red blood cells (high Hbb) and doublets/debris (multiple cell type markers, low gene counts) were removed",pending,
Schwann cell,repair cell,rat,True,Bdnf,explicit,Results section (Supplementary text),"genes previously described17,26 in repair cells including Ngfr, Bdnf, Erbb3, and Sox2 (p < 6.4 × 10−214, Fig. 2e) further establishing that these cells are repair cells.",pending,
Schwann cell,repair cell,rat,True,Erbb3,explicit,Results section (Supplementary text),"genes previously described17,26 in repair cells including Ngfr, Bdnf, Erbb3, and Sox2 (p < 6.4 × 10−214, Fig. 2e) further establishing that these cells are repair cells.",pending,
Schwann cell,repair cell,rat,True,Ngfr,explicit,Results section (Supplementary text),"genes previously described17,26 in repair cells including Ngfr, Bdnf, Erbb3, and Sox2 (p < 6.4 × 10−214, Fig. 2e) further establishing that these cells are repair cells.",pending,
Schwann cell,repair cell,rat,True,Sox2,explicit,Results section (Supplementary text),"genes previously described17,26 in repair cells including Ngfr, Bdnf, Erbb3, and Sox2 (p < 6.4 × 10−214, Fig. 2e) further establishing that these cells are repair cells.",pending,
Schwann cells,,rat,true,S100b,explicit,Results p.2 (Schwann cell subclustering),"We first subclustered the Schwann cell group (16,259 cells) and identified 15 clusters all of which expressed pan-Schwann cell markers (S100b and Sox10), except for cluster 9 (746 cells) which comprised putative doublets (Fig. 2a and Supplementary Fig. 5).",pending,
Schwann cells,,rat,true,Sox10,explicit,Results p.2 (Schwann cell subclustering),"We first subclustered the Schwann cell group (16,259 cells) and identified 15 clusters all of which expressed pan-Schwann cell markers (S100b and Sox10), except for cluster 9 (746 cells) which comprised putative doublets (Fig. 2a and Supplementary Fig. 5).",pending,
dividing Schwann cells,,rat,true,Mki67,explicit,Results p.2 (Schwann cell subtypes),"Based on known markers, we were able to further classify each cluster into one of the following subtypes: myelinating Schwann cells (Prx), non-myelinating Remak Schwann cells (Gfap), dividing Schwann cells (Mki67), repair cells (Ngfr, also known as p75NTR), as well as a cluster of cells we termed transition cells (Fig. 2b, c and Supplementary Fig. 5).",pending,
