cell_type,subtype,species,is_pns_cell,gene_symbol,evidence_level,source_section,source_context,review_status,notes
BEST4+ enterocytes,,human,false,BEST4,explicit,Abstract,"revealing 51 epithelial, stromal, and immune cell subsets, including BEST4+ enterocytes, microfold-like cells, and IL13RA2+IL11+ inflammatory fibroblasts",pending,
BEST4+ enterocytes,,human,false,CA7,explicit,"Figure 1G-1H, Results p.716","carbonic anhydrase VII (CA7), which catalyzes bicarbonate formation",pending,
BEST4+ enterocytes,,human,false,OTOP2,explicit,"Figure 1G-1H, Results p.716","These include the otopetrins 2 and 3 (OTOP2/3), proton channels that detect pH and underlie sour taste perception",pending,
BEST4+ enterocytes,,human,false,OTOP3,explicit,"Figure 1G-1H, Results p.716","These include the otopetrins 2 and 3 (OTOP2/3), proton channels that detect pH and underlie sour taste perception",pending,
IAFs,,human,false,FAP,explicit,"Figure 1G, Results p.718","IAFs express markers of cancer-associated fibroblasts (CAFs), including FAP, TWIST1, and WNT2",pending,
IAFs,,human,false,IL11,explicit,"Figure 1G, Results p.718","IAFs are enriched for expression of many genes associated with colitis, fibrosis, and cancer, including IL11, IL24, and IL13RA2",pending,
IAFs,,human,false,IL13RA2,explicit,"Figure 1G, Results p.718","IAFs are enriched for expression of many genes associated with colitis, fibrosis, and cancer, including IL11, IL24, and IL13RA2",pending,
IAFs,,human,false,IL24,explicit,"Figure 1G, Results p.718","IAFs are enriched for expression of many genes associated with colitis, fibrosis, and cancer, including IL11, IL24, and IL13RA2",pending,
IAFs,,human,false,TWIST1,explicit,"Figure 1G, Results p.718","IAFs express markers of cancer-associated fibroblasts (CAFs), including FAP, TWIST1, and WNT2",pending,
IAFs,,human,false,WNT2,explicit,"Figure 1G, Results p.718","IAFs express markers of cancer-associated fibroblasts (CAFs), including FAP, TWIST1, and WNT2",pending,
IL13RA2+IL11+ inflammatory fibroblasts,,human,false,IL11,explicit,Abstract,"revealing 51 epithelial, stromal, and immune cell subsets, including BEST4+ enterocytes, microfold-like cells, and IL13RA2+IL11+ inflammatory fibroblasts",pending,
IL13RA2+IL11+ inflammatory fibroblasts,,human,false,IL13RA2,explicit,Abstract,"revealing 51 epithelial, stromal, and immune cell subsets, including BEST4+ enterocytes, microfold-like cells, and IL13RA2+IL11+ inflammatory fibroblasts",pending,
RSPO3+ fibroblasts,,human,false,RSPO3,explicit,"Figure 1G-1I, Results p.717","One subset of WNT2B+ fibroblasts may support the ISC niche by expression of R-spondin-3 (validated in situ, Figures 1G–1I)",pending,
T cells that co-express CD8 and IL-17,,human,false,CD8,explicit,Abstract,"Inflammatory fibroblasts, inflammatory monocytes, microfold-like cells, and T cells that co-express CD8 and IL-17 expand with disease",pending,
T cells that co-express CD8 and IL-17,,human,false,IL-17,explicit,Abstract,"Inflammatory fibroblasts, inflammatory monocytes, microfold-like cells, and T cells that co-express CD8 and IL-17 expand with disease",pending,
IAFs,,human,false,OSMR,implied,Results p.721,"One of the most enriched genes in IAFs is OSMR, a putative risk gene",pending,
M-like cells,,human,false,CCL20,implied,"Figure 1G, Results p.718","They highly express several chemokines (e.g., CCL20 and CCL23)",pending,
M-like cells,,human,false,CCL23,implied,"Figure 1G, Results p.718","They highly express several chemokines (e.g., CCL20 and CCL23)",pending,
