cell_type,subtype,species,is_pns_cell,gene_symbol,evidence_level,source_section,source_context,review_status,notes
basal epithelia,,human,false,KRT14,explicit,Results p.3537,"DEGs of each cluster confirm four epithelial cell types (luminal KLK3+, basal KRT14+, OE1 SCGB1A1+, and OE2 KRT13+)",pending,
basal epithelia,,human,false,PDPN,explicit,Results p.3534,PDPN was used to mark BE,pending,
endothelia,,human,false,CD200,explicit,Results p.3534,CD200 is expressed in most clustered endothelial cells,pending,
endothelia,,human,false,PECAM1,explicit,Results p.3534,"To find a suitable replacement, we searched the endothelial cell cluster DEGs for a cell surface marker more inclusive than CD31 (PECAM1).",pending,
fibroblasts,,human,false,PDPN,explicit,Results p.3534,Podoplanin (PDPN) was found to robustly label fibroblasts.,pending,
leukocytes,,human,false,PTPRC,explicit,Results p.3532,"The stromal gate includes all cells negative for CD326 (pan-epithelia), CD45 (pan-leukocyte), and CD31 (endothelia).",pending,
luminal epithelia,,human,false,ACPP,explicit,Results p.3531,"The CD26+ luminal epithelia are marked by familiar DEGs such as KLK3, ACPP, and MSMB, as well as lesser-known genes, including GP2, NEFH, and NPY.",pending,
luminal epithelia,,human,false,GP2,explicit,Results p.3531,"The CD26+ luminal epithelia are marked by familiar DEGs such as KLK3, ACPP, and MSMB, as well as lesser-known genes, including GP2, NEFH, and NPY.",pending,
luminal epithelia,,human,false,KLK3,explicit,Results p.3531,"The CD26+ luminal epithelia are marked by familiar DEGs such as KLK3, ACPP, and MSMB, as well as lesser-known genes, including GP2, NEFH, and NPY.",pending,
luminal epithelia,,human,false,MSMB,explicit,Results p.3531,"The CD26+ luminal epithelia are marked by familiar DEGs such as KLK3, ACPP, and MSMB, as well as lesser-known genes, including GP2, NEFH, and NPY.",pending,
luminal epithelia,,human,false,NEFH,explicit,Results p.3531,"The CD26+ luminal epithelia are marked by familiar DEGs such as KLK3, ACPP, and MSMB, as well as lesser-known genes, including GP2, NEFH, and NPY.",pending,
luminal epithelia,,human,false,NPY,explicit,Results p.3531,"The CD26+ luminal epithelia are marked by familiar DEGs such as KLK3, ACPP, and MSMB, as well as lesser-known genes, including GP2, NEFH, and NPY.",pending,
neuroendocrine cells,,human,false,CHGA,explicit,Results p.3534,A marker gene for NE cells that was discovered in our dataset (SCG2) was tested in combination with a known NE cell marker (CHGA),pending,
neuroendocrine cells,,human,false,SCG2,explicit,Results p.3534,A marker gene for NE cells that was discovered in our dataset (SCG2) was tested in combination with a known NE cell marker (CHGA),pending,
other epithelia,OE2,human,false,KRT13,explicit,Results p.3537,"DEGs of each cluster confirm four epithelial cell types (luminal KLK3+, basal KRT14+, OE1 SCGB1A1+, and OE2 KRT13+)",pending,
other epithelia,OE1,human,false,PSCA,explicit,Results p.3534,PSCA was identified in the cluster-specific DEGs as a potential cell surface marker of both OE cell types,pending,
other epithelia,OE2,human,false,PSCA,explicit,Results p.3534,PSCA was identified in the cluster-specific DEGs as a potential cell surface marker of both OE cell types,pending,
other epithelia,OE1,human,false,SCGB1A1,explicit,Results p.3537,"DEGs of each cluster confirm four epithelial cell types (luminal KLK3+, basal KRT14+, OE1 SCGB1A1+, and OE2 KRT13+)",pending,
basal epithelia,,human,false,DKK1,implied,Results p.3531,"Familiar DEGs genes such as KRT5, KRT14, and TP63, as well as lesser known genes such as NOTCH4, LTBP2, and DKK1, characterize CD271+ basal epithelia.",pending,
basal epithelia,,human,false,KRT5,implied,Results p.3531,"Familiar DEGs genes such as KRT5, KRT14, and TP63, as well as lesser known genes such as NOTCH4, LTBP2, and DKK1, characterize CD271+ basal epithelia.",pending,
basal epithelia,,human,false,LTBP2,implied,Results p.3531,"Familiar DEGs genes such as KRT5, KRT14, and TP63, as well as lesser known genes such as NOTCH4, LTBP2, and DKK1, characterize CD271+ basal epithelia.",pending,
basal epithelia,,human,false,NOTCH4,implied,Results p.3531,"Familiar DEGs genes such as KRT5, KRT14, and TP63, as well as lesser known genes such as NOTCH4, LTBP2, and DKK1, characterize CD271+ basal epithelia.",pending,
basal epithelia,,human,false,TP63,implied,Results p.3531,"Familiar DEGs genes such as KRT5, KRT14, and TP63, as well as lesser known genes such as NOTCH4, LTBP2, and DKK1, characterize CD271+ basal epithelia.",pending,
fibroblasts,,human,false,DCN,implied,Results p.3536,"Myosin 11 (MYH11) and Decorin (DCN) are enriched in smooth muscle and fibroblast cell types, respectively, in human prostate tissue.",pending,
luminal epithelia,,human,false,DHRS7,implied,Results p.3537,DHRS7 was an undiscovered gene detected in KLK3+ LE and marks a portion of KRT18+ LE.,pending,
smooth muscle,,human,false,ACTA2,implied,Results p.3535,"The putative smooth muscle cluster expressed high levels of actin (ACTA2) and myosin (MYH11, MYL9, and TPM2) genes",pending,
smooth muscle,,human,false,MYH11,implied,Results p.3536,"Myosin 11 (MYH11) and Decorin (DCN) are enriched in smooth muscle and fibroblast cell types, respectively, in human prostate tissue.",pending,
smooth muscle,,human,false,MYL9,implied,Results p.3535,"The putative smooth muscle cluster expressed high levels of actin (ACTA2) and myosin (MYH11, MYL9, and TPM2) genes",pending,
smooth muscle,,human,false,TPM2,implied,Results p.3535,"The putative smooth muscle cluster expressed high levels of actin (ACTA2) and myosin (MYH11, MYL9, and TPM2) genes",pending,
