cell_type,subtype,species,is_pns_cell,gene_symbol,evidence_level,source_section,source_context,review_status,notes
FOXL1 FLC,,human,false,BMP3,explicit,Results (Fig.4A/E),"FOXL1+ fibroblasts were marked by expression of multiple BMP ligands (BMP3/5/7) as well as the adult colonic mucosal S2 fibroblast marker, F3",pending,
FOXL1 FLC,,human,false,BMP5,explicit,Results (Fig.4A/E),"FOXL1+ fibroblasts were marked by expression of multiple BMP ligands (BMP3/5/7) as well as the adult colonic mucosal S2 fibroblast marker, F3",pending,
FOXL1 FLC,,human,false,BMP7,explicit,Results (Fig.4A/E),"FOXL1+ fibroblasts were marked by expression of multiple BMP ligands (BMP3/5/7) as well as the adult colonic mucosal S2 fibroblast marker, F3",pending,
FOXL1 FLC,,human,false,F3,explicit,Results (Fig.4A/E),"FOXL1+ fibroblasts were marked by expression of multiple BMP ligands (BMP3/5/7) as well as the adult colonic mucosal S2 fibroblast marker, F3",pending,
LGR5+ stem cells,,human,false,ASCL2,explicit,Results (Fig.3B),"a cluster with high expression of canonical adult-stem-cell genes, including leucine-rich repeat-containing G-protein coupled receptor 5 (LGR5), achaete-scute complex homolog 2 (ASCL2), ephrin type-B receptor 2 (EPHB2), and repulsive guidance molecule BMP co-receptor B (RGMB)",pending,
LGR5+ stem cells,,human,false,EPHB2,explicit,Results (Fig.3B),"a cluster with high expression of canonical adult-stem-cell genes, including leucine-rich repeat-containing G-protein coupled receptor 5 (LGR5), achaete-scute complex homolog 2 (ASCL2), ephrin type-B receptor 2 (EPHB2), and repulsive guidance molecule BMP co-receptor B (RGMB)",pending,
LGR5+ stem cells,,human,false,LGR5,explicit,Results (Fig.3B),"a cluster with high expression of canonical adult-stem-cell genes, including leucine-rich repeat-containing G-protein coupled receptor 5 (LGR5), achaete-scute complex homolog 2 (ASCL2), ephrin type-B receptor 2 (EPHB2), and repulsive guidance molecule BMP co-receptor B (RGMB)",pending,
LGR5+ stem cells,,human,false,RGMB,explicit,Results (Fig.3B),"a cluster with high expression of canonical adult-stem-cell genes, including leucine-rich repeat-containing G-protein coupled receptor 5 (LGR5), achaete-scute complex homolog 2 (ASCL2), ephrin type-B receptor 2 (EPHB2), and repulsive guidance molecule BMP co-receptor B (RGMB)",pending,
Uniform progenitor,,human,false,BEX5,explicit,Results (Fig.3B),"a cluster that was defined by high expression of sonic hedgehog (SHH), phospholipase A2 group IIA (PLA2G2A), brain expressed X-linked 5 (BEX5), and cadherin-2 (CDH2)",pending,
Uniform progenitor,,human,false,CDH2,explicit,Results (Fig.3B),"a cluster that was defined by high expression of sonic hedgehog (SHH), phospholipase A2 group IIA (PLA2G2A), brain expressed X-linked 5 (BEX5), and cadherin-2 (CDH2)",pending,
Uniform progenitor,,human,false,PLA2G2A,explicit,Results (Fig.3B),"a cluster that was defined by high expression of sonic hedgehog (SHH), phospholipase A2 group IIA (PLA2G2A), brain expressed X-linked 5 (BEX5), and cadherin-2 (CDH2)",pending,
Uniform progenitor,,human,false,SHH,explicit,Results (Fig.3B),"a cluster that was defined by high expression of sonic hedgehog (SHH), phospholipase A2 group IIA (PLA2G2A), brain expressed X-linked 5 (BEX5), and cadherin-2 (CDH2)",pending,
mesothelial serosa cells,,human,false,UPK3B,explicit,Fig.4E-F legend,"PLA2G2A expression marks developing smooth muscle, UPK3B+ serosal cells, and uniform progenitor cells.",pending,
myofibroblasts,,human,false,GREM1/2,explicit,Results p.7,"developing SMCs and myoﬁbroblasts were marked by expression of BMP antagonists (NOG, GREM1/2)",pending,
myofibroblasts,,human,false,NOG,explicit,Results p.7,"developing SMCs and myoﬁbroblasts were marked by expression of BMP antagonists (NOG, GREM1/2)",pending,
smooth muscle cells,,human,false,GREM1/2,explicit,Results p.7,"developing SMCs and myoﬁbroblasts were marked by expression of BMP antagonists (NOG, GREM1/2)",pending,
smooth muscle cells,,human,false,NOG,explicit,Results p.7,"developing SMCs and myoﬁbroblasts were marked by expression of BMP antagonists (NOG, GREM1/2)",pending,
smooth muscle cells,,human,false,PLA2G2A,explicit,Results p.7,SMCs that were marked by PLA2G2A expression in scRNA-seq data,pending,
uniform progenitor cells,,human,false,PLA2G2A,explicit,Fig.4E-F legend,"PLA2G2A expression marks developing smooth muscle, UPK3B+ serosal cells, and uniform progenitor cells.",pending,
FOXL1+ fibroblasts,,human,false,FOXL1,implied,Results p.7,While FOXL1 + ﬁbroblasts highly expressed PDGF receptor and BMP ligand genes,pending,
