cell_type,subtype,species,is_pns_cell,gene_symbol,evidence_level,source_section,source_context,review_status,notes
ArtEC ICAM2hi,,human,false,ICAM2,explicit,Fig.1d,The granular cell state 'ArtEC ICAM2hi' indicates that ICAM2 is a marker for this arterial endothelial cell subtype.,pending,
ArtEC RGS5+ ICAM2hi,,human,false,ICAM2,explicit,Fig.1d,The granular cell state 'ArtEC RGS5+ ICAM2hi' indicates that RGS5 and ICAM2 are markers for this arterial endothelial cell subtype.,pending,
ArtEC RGS5+ ICAM2hi,,human,false,RGS5,explicit,Fig.1d,The granular cell state 'ArtEC RGS5+ ICAM2hi' indicates that RGS5 and ICAM2 are markers for this arterial endothelial cell subtype.,pending,
ArtEC SOS1hi,,human,false,SOS1,explicit,Fig.1d,The granular cell state 'ArtEC SOS1hi' indicates that SOS1 is a marker for this arterial endothelial cell subtype.,pending,
C1QA-high macrophage (MΦ),,human,false,C1QA,explicit,"Fig.3a,b","Myeloid cells from healthy and AD skin spanned a continuum of cell states, which we broadly partitioned into multiple C1QA-high macrophage (MΦ) subsets (C1QA, MS4A7, MAF, CCL18, CCL13)",pending,
C1QA-high macrophage (MΦ),,human,false,CCL13,explicit,"Fig.3a,b","Myeloid cells from healthy and AD skin spanned a continuum of cell states, which we broadly partitioned into multiple C1QA-high macrophage (MΦ) subsets (C1QA, MS4A7, MAF, CCL18, CCL13)",pending,
C1QA-high macrophage (MΦ),,human,false,CCL18,explicit,"Fig.3a,b","Myeloid cells from healthy and AD skin spanned a continuum of cell states, which we broadly partitioned into multiple C1QA-high macrophage (MΦ) subsets (C1QA, MS4A7, MAF, CCL18, CCL13)",pending,
C1QA-high macrophage (MΦ),,human,false,MAF,explicit,"Fig.3a,b","Myeloid cells from healthy and AD skin spanned a continuum of cell states, which we broadly partitioned into multiple C1QA-high macrophage (MΦ) subsets (C1QA, MS4A7, MAF, CCL18, CCL13)",pending,
C1QA-high macrophage (MΦ),,human,false,MS4A7,explicit,"Fig.3a,b","Myeloid cells from healthy and AD skin spanned a continuum of cell states, which we broadly partitioned into multiple C1QA-high macrophage (MΦ) subsets (C1QA, MS4A7, MAF, CCL18, CCL13)",pending,
CCL19+APOE+ fibroblasts,,human,false,APOE,explicit,"Fig. 5d,e","CCL19+APOE+ fibroblasts (RBP5, TNFRSF13B, CXCL1)",pending,
CCL19+APOE+ fibroblasts,,human,false,CCL19,explicit,"Fig. 5d,e","CCL19+APOE+ fibroblasts (RBP5, TNFRSF13B, CXCL1)",pending,
CCL19+APOE+ fibroblasts,,human,false,CXCL1,explicit,"Fig. 5d,e","CCL19+APOE+ fibroblasts (RBP5, TNFRSF13B, CXCL1)",pending,
CCL19+APOE+ fibroblasts,,human,false,RBP5,explicit,"Fig. 5d,e","CCL19+APOE+ fibroblasts (RBP5, TNFRSF13B, CXCL1)",pending,
CCL19+APOE+ fibroblasts,,human,false,TNFRSF13B,explicit,"Fig. 5d,e","CCL19+APOE+ fibroblasts (RBP5, TNFRSF13B, CXCL1)",pending,
CCL19+IL4I1+ fibroblasts,,human,false,CCL19,explicit,"Fig. 5d,e","CCL19+IL4I1+ fibroblasts (IL32, TNC, VCAM1) expressing high levels of MHC-I and II presentation genes.",pending,
CCL19+IL4I1+ fibroblasts,,human,false,IL32,explicit,"Fig. 5d,e","CCL19+IL4I1+ fibroblasts (IL32, TNC, VCAM1) expressing high levels of MHC-I and II presentation genes.",pending,
CCL19+IL4I1+ fibroblasts,,human,false,IL4I1,explicit,"Fig. 5d,e","CCL19+IL4I1+ fibroblasts (IL32, TNC, VCAM1) expressing high levels of MHC-I and II presentation genes.",pending,
CCL19+IL4I1+ fibroblasts,,human,false,TNC,explicit,"Fig. 5d,e","CCL19+IL4I1+ fibroblasts (IL32, TNC, VCAM1) expressing high levels of MHC-I and II presentation genes.",pending,
CCL19+IL4I1+ fibroblasts,,human,false,VCAM1,explicit,"Fig. 5d,e","CCL19+IL4I1+ fibroblasts (IL32, TNC, VCAM1) expressing high levels of MHC-I and II presentation genes.",pending,
CD3D-negative NK cells,,human,false,GNLY,explicit,"Fig.4a,b","CD3D-negative NK cells (KLRD1, KLRF1, GNLYhi)",pending,
CD3D-negative NK cells,,human,false,KLRD1,explicit,"Fig.4a,b","CD3D-negative NK cells (KLRD1, KLRF1, GNLYhi)",pending,
CD3D-negative NK cells,,human,false,KLRF1,explicit,"Fig.4a,b","CD3D-negative NK cells (KLRD1, KLRF1, GNLYhi)",pending,
CD4+ regulatory T cells (Tregs),,human,false,CCR8,explicit,"Fig.4a,b","CD4+ regulatory T cells (Tregs) (CTLA4, TIGIT, FOXP3, CCR8)",pending,
CD4+ regulatory T cells (Tregs),,human,false,CTLA4,explicit,"Fig.4a,b","CD4+ regulatory T cells (Tregs) (CTLA4, TIGIT, FOXP3, CCR8)",pending,
CD4+ regulatory T cells (Tregs),,human,false,FOXP3,explicit,"Fig.4a,b","CD4+ regulatory T cells (Tregs) (CTLA4, TIGIT, FOXP3, CCR8)",pending,
CD4+ regulatory T cells (Tregs),,human,false,TIGIT,explicit,"Fig.4a,b","CD4+ regulatory T cells (Tregs) (CTLA4, TIGIT, FOXP3, CCR8)",pending,
CD40LG+ T cells,T CREMhi,human,false,CREM,explicit,"Fig.4a,b","T CREMhi (CREM, CXCR4)",pending,
CD40LG+ T cells,T CREMhi,human,false,CXCR4,explicit,"Fig.4a,b","T CREMhi (CREM, CXCR4)",pending,
CD40LG+ T cells,T FOShi,human,false,FOS,explicit,"Fig.4a,b","T FOShi (FOS, IL32)",pending,
