cell_type,subtype,species,is_pns_cell,gene_symbol,evidence_level,source_section,source_context,review_status,notes
activated phagocytic macrophages,,human,false,CD36,explicit,Discussion,identified a distinct cellular dependency between myofibroblasts and activated phagocytic macrophages (SPP1+CD36+),pending,
activated phagocytic macrophages,,human,false,SPP1,explicit,Discussion,identified a distinct cellular dependency between myofibroblasts and activated phagocytic macrophages (SPP1+CD36+),pending,
cardiomyocytes,,human,false,TNNT2,explicit,smFISH spot quantification and nuclear segmentation,Threshold settings in RS-FISH were manually determined for each channel and were set to the following values for cardiomyocyte state analysis: channel 1 (TNNT2) = 0.0107,pending,
fibroblasts,,human,false,PDGFRB,explicit,Generation of a human PDGFRB+ cardiac cell line,"PDGFRB+ cells were isolated from a 69-year-old male patient... cells were stained in two steps using a specific PDGFRB antibody (R&D cat. no. MAB1263 antibody, dilution 1:100) followed by Anti-Mouse IgG1-MicroBeads solution.",pending,
fibroblasts,,human,false,POSTN,explicit,smFISH spot quantification and nuclear segmentation,"classified cells as positive or negative for the different markers (POSTN, CD163 and SPP1)",pending,
fibroblasts,SCARA5+ fibroblasts,human,false,SCARA5,explicit,Gene-regulatory network inference for cardiomyocytes and fibroblasts,"For fibroblasts, we built a trajectory with SCARA5+ fibroblasts as root and myofibroblasts as terminal state.",pending,
macrophages,CD163+SPP1+,human,false,CD163,explicit,smFISH spot quantification and nuclear segmentation,"For the quantification of CD163+SPP1+ macrophages... cells as positive or negative for the different markers (POSTN, CD163 and SPP1)",pending,
macrophages,CD163+SPP1+,human,false,SPP1,explicit,smFISH spot quantification and nuclear segmentation,"For the quantification of CD163+SPP1+ macrophages... cells as positive or negative for the different markers (POSTN, CD163 and SPP1)",pending,
cardiomyocytes,stressed vCM3,human,false,ANKRD1,implied,smFISH spot quantification and nuclear segmentation,channel 2 (ANKRD1) = 0.005 ... for cardiomyocyte state analysis,pending,
cardiomyocytes,stressed vCM3,human,false,NPPB,implied,smFISH spot quantification and nuclear segmentation,channel 3 (NPPB) = 0.0066 ... for cardiomyocyte state analysis,pending,
endothelial cells,,human,false,PECAM1,implied,RNA in situ hybridization and image quantification,The following probes were used for the RNAscope assay: ... Hs-PECAM1-O2 cat. no. 487381-C2 ...,pending,
fibroblasts,,human,false,Col15a1,implied,RNA in situ hybridization and image quantification,The following probes were used for the RNAscope assay: ... Hs-Col15a1 cat. no. 484001-C2 ...,pending,
fibroblasts,,human,false,Col1a1,implied,RNA in situ hybridization and image quantification,The following probes were used for the RNAscope assay: ... Hs-Col1a1 cat. no. 401891-C2 ...,pending,
fibroblasts,,human,false,NPR3,implied,RNA in situ hybridization and image quantification,The following probes were used for the RNAscope assay: ... Hs-NPR3 cat. no. 431241-C3 ...,pending,
myeloid cells,,human,false,CCR2,implied,RNA in situ hybridization and image quantification,The following probes were used for the RNAscope assay: ... Hs-CCR2 cat. no. 438221-C1 ...,pending,
myeloid cells,,human,false,TREM2,implied,RNA in situ hybridization and image quantification,The following probes were used for the RNAscope assay: ... Hs-TREM2 cat. no. 420491-C2 ...,pending,
