cell_type,subtype,species,is_pns_cell,gene_symbol,evidence_level,source_section,source_context,review_status,notes
Atypical B cells,,human,false,FCRL2,explicit,Results: B cell lineages,"atypical B cells were identified by their expression of FCRL2, ITGAX and TBX21;",pending,
Atypical B cells,,human,false,ITGAX,explicit,Results: B cell lineages,"atypical B cells were identified by their expression of FCRL2, ITGAX and TBX21;",pending,
Atypical B cells,,human,false,TBX21,explicit,Results: B cell lineages,"atypical B cells were identified by their expression of FCRL2, ITGAX and TBX21;",pending,
B cells,,human,false,CD79A,explicit,Annotation of cell clusters,"B cells by expression of CD79A, MS4A1 and CD79B",pending,
B cells,,human,false,CD79B,explicit,Annotation of cell clusters,"B cells by expression of CD79A, MS4A1 and CD79B",pending,
B cells,,human,false,MS4A1,explicit,Annotation of cell clusters,"B cells by expression of CD79A, MS4A1 and CD79B",pending,
Colonocyte,,human,false,CA2,explicit,Results: Epithelial cell lineages,"grouped into the enterocyte (high expression of RBP2, ANPEP and FABP2) and colonocyte (high expression of CA2, SLC26A2 and FABP1) categories, respectively.",pending,
Colonocyte,,human,false,FABP1,explicit,Results: Epithelial cell lineages,"grouped into the enterocyte (high expression of RBP2, ANPEP and FABP2) and colonocyte (high expression of CA2, SLC26A2 and FABP1) categories, respectively.",pending,
Colonocyte,,human,false,SLC26A2,explicit,Results: Epithelial cell lineages,"grouped into the enterocyte (high expression of RBP2, ANPEP and FABP2) and colonocyte (high expression of CA2, SLC26A2 and FABP1) categories, respectively.",pending,
Effector memory T cells,,human,false,THEMIS,explicit,Results: T cell and ILC lineages,Effector memory subsets divided by expression of TIGIT and THEMIS;,pending,
Effector memory T cells,,human,false,TIGIT,explicit,Results: T cell and ILC lineages,Effector memory subsets divided by expression of TIGIT and THEMIS;,pending,
Endothelial cells,,human,false,ACKR1,explicit,Results: Mesenchymal cell lineages,"endothelial cells by expression of PECAM1, VWF, PLVAP, ACKR1 and CD36.",pending,
Endothelial cells,,human,false,CD36,explicit,Results: Mesenchymal cell lineages,"endothelial cells by expression of PECAM1, VWF, PLVAP, ACKR1 and CD36.",pending,
Endothelial cells,,human,false,PECAM1,explicit,Results: Mesenchymal cell lineages,"endothelial cells by expression of PECAM1, VWF, PLVAP, ACKR1 and CD36.",pending,
Endothelial cells,,human,false,PLVAP,explicit,Results: Mesenchymal cell lineages,"endothelial cells by expression of PECAM1, VWF, PLVAP, ACKR1 and CD36.",pending,
Endothelial cells,,human,false,VWF,explicit,Results: Mesenchymal cell lineages,"endothelial cells by expression of PECAM1, VWF, PLVAP, ACKR1 and CD36.",pending,
Enterochromaffin cells,,human,false,CES1,explicit,Results: Epithelial cell lineages,and enterochromaffin cells by expression of TPS1 and CES1.,pending,
Enterochromaffin cells,,human,false,TPS1,explicit,Results: Epithelial cell lineages,and enterochromaffin cells by expression of TPS1 and CES1.,pending,
Enterocyte,,human,false,ANPEP,explicit,Results: Epithelial cell lineages,"grouped into the enterocyte (high expression of RBP2, ANPEP and FABP2) and colonocyte (high expression of CA2, SLC26A2 and FABP1) categories, respectively.",pending,
Enterocyte,,human,false,FABP2,explicit,Results: Epithelial cell lineages,"grouped into the enterocyte (high expression of RBP2, ANPEP and FABP2) and colonocyte (high expression of CA2, SLC26A2 and FABP1) categories, respectively.",pending,
