cell_type,subtype,species,is_pns_cell,gene_symbol,evidence_level,source_section,source_context,review_status,notes
EPDC,,human,false,POSTN,explicit,Discussion,"Additionally, the position of these cells was consistent with migrating EPDCs using immunohistochemistry using antibodies for POSTN, TM4SF1 and established epicardial markers.",pending,
EPDC,,human,false,SPARC,explicit,Discussion,"human EPDC transcriptomes have been described at a single-cell resolution, as determined by their expression of mesenchymal genes TWIST1 and SPARC as well as the combined expression of known epicardial and fibroblast genes.",pending,
EPDC,,human,false,TM4SF1,explicit,Discussion,"Additionally, the position of these cells was consistent with migrating EPDCs using immunohistochemistry using antibodies for POSTN, TM4SF1 and established epicardial markers.",pending,
EPDC,,human,false,TWIST1,explicit,Discussion,"human EPDC transcriptomes have been described at a single-cell resolution, as determined by their expression of mesenchymal genes TWIST1 and SPARC as well as the combined expression of known epicardial and fibroblast genes.",pending,
Epicardial cells,,human,false,UPK3B,explicit,Methods: Epicardial markers and epicardial markers library (p.11),"To further enrich this library distinguishing between epicardial cell types ‘FB-like’ and ‘Mesothelial’, we restricted the dataset to UPK3B+ cells as UPK3B.",pending,
Epicardial_cells,adult,human,false,BNC1,explicit,Page 2 (Introduction),adult human epicardium may be identified through its co-expression of BNC1 and MSLN,pending,
Epicardial_cells,adult,human,false,MSLN,explicit,Page 2 (Introduction),adult human epicardium may be identified through its co-expression of BNC1 and MSLN,pending,
Epicardial_cells,,human,false,TBX18,explicit,Page 2 (Introduction),"epicardial cells across many species and humans are identified using WT1, TBX18 and TCF21",pending,
Epicardial_cells,,human,false,TCF21,explicit,Page 2 (Introduction),"epicardial cells across many species and humans are identified using WT1, TBX18 and TCF21",pending,
Epicardial_cells,,human,false,WT1,explicit,Page 2 (Introduction),"epicardial cells across many species and humans are identified using WT1, TBX18 and TCF21",pending,
Epicardium_FB-like,,human,false,C1QTNF3,explicit,Fig.4c,"Top-scoring predictive markers for epicardial subtypes list EPDC genes C1QTNF3, CPB1, SEMA3D, CCBE1, EGFL6 and GPC3.",pending,
Epicardium_FB-like,,human,false,CCBE1,explicit,Results p.6,"In the EPDCs, we found SEMA3D, involved in concerted endothelial cell migration; CCBE1, important in mouse cardiac development; EGFL6, associated with angiogenesis; and GPC3, reported to modulate WNT signaling.",pending,
Epicardium_FB-like,,human,false,COL1A1,explicit,Results p.5,"We labeled cluster 8 as Epicardium_FB-like in light of its expression of fibroblast genes, including DCN, COL1A1 and POSTN.",pending,
Epicardium_FB-like,,human,false,CPB1,explicit,Fig.4c,"Top-scoring predictive markers for epicardial subtypes list EPDC genes C1QTNF3, CPB1, SEMA3D, CCBE1, EGFL6 and GPC3.",pending,
Epicardium_FB-like,,human,false,DCN,explicit,Results p.5,"We labeled cluster 8 as Epicardium_FB-like in light of its expression of fibroblast genes, including DCN, COL1A1 and POSTN.",pending,
