cell_type,subtype,species,is_pns_cell,gene_symbol,evidence_level,source_section,source_context,review_status,notes
APOD+ fibroblasts,,human,false,APOD,explicit,Results: Fibroblast Subpopulations Are Spatially Restricted within the Dermis of Healthy Skin and BCC Stroma,"Unbiased clustering of our integrated scRNAseq dataset identified four main populations of fibroblasts which we designated APOD+, SFRP2+, PTGDS+, and POSTN+ based on specific gene expression (Fig. 3A).",pending,
Dividing K,,human,false,CDK1,explicit,Fig.4C,Dividing K coexpressed CDK1 and PCNA.,pending,
Dividing K,,human,false,PCNA,explicit,Fig.4C,Dividing K coexpressed CDK1 and PCNA.,pending,
IFE basal K,,human,false,DLL1,explicit,Fig.4C,"KRT14, POSTN, DLL1 represented the IFE basal K.",pending,
IFE basal K,,human,false,KRT14,explicit,Fig.4C,"KRT14, POSTN, DLL1 represented the IFE basal K.",pending,
IFE basal K,,human,false,POSTN,explicit,Fig.4C,"KRT14, POSTN, DLL1 represented the IFE basal K.",pending,
POSTN+ fibroblasts,,human,false,POSTN,explicit,Results: Fibroblast Subpopulations Are Spatially Restricted within the Dermis of Healthy Skin and BCC Stroma,"Unbiased clustering of our integrated scRNAseq dataset identified four main populations of fibroblasts which we designated APOD+, SFRP2+, PTGDS+, and POSTN+ based on specific gene expression (Fig. 3A).",pending,
PTGDS+ fibroblasts,,human,false,PTGDS,explicit,Results: Fibroblast Subpopulations Are Spatially Restricted within the Dermis of Healthy Skin and BCC Stroma,"Unbiased clustering of our integrated scRNAseq dataset identified four main populations of fibroblasts which we designated APOD+, SFRP2+, PTGDS+, and POSTN+ based on specific gene expression (Fig. 3A).",pending,
RGS5+ pericytes,,human,false,RGS5,explicit,Results: The Architecture of Cutaneous Blood Vessels Reflects Vessel Size and Anatomical Site and Is Altered in BCC,"In keeping with previous studies (20), there were two major pericyte populations, which we denoted RGS5+ and TAGLN+ based on high expression of those genes (SI Appendix, Fig. S2E).",pending,
SFRP2+ fibroblasts,,human,false,SFRP2,explicit,Results: Fibroblast Subpopulations Are Spatially Restricted within the Dermis of Healthy Skin and BCC Stroma,"Unbiased clustering of our integrated scRNAseq dataset identified four main populations of fibroblasts which we designated APOD+, SFRP2+, PTGDS+, and POSTN+ based on specific gene expression (Fig. 3A).",pending,
TAGLN+ pericytes,,human,false,TAGLN,explicit,Results: The Architecture of Cutaneous Blood Vessels Reflects Vessel Size and Anatomical Site and Is Altered in BCC,"In keeping with previous studies (20), there were two major pericyte populations, which we denoted RGS5+ and TAGLN+ based on high expression of those genes (SI Appendix, Fig. S2E).",pending,
extra-articular chondrocytes,,human,false,ACAN,explicit,Results: scRNAseq in Healthy Skin and BCC Samples,"Based on marker expression (including high expression of ACAN and COL2A1), we identified these cells as extra-articular chondrocytes (Fig. 1 B–D and SI Appendix, Fig. S2 E and F).",pending,
extra-articular chondrocytes,,human,false,COL2A1,explicit,Results: scRNAseq in Healthy Skin and BCC Samples,"Based on marker expression (including high expression of ACAN and COL2A1), we identified these cells as extra-articular chondrocytes (Fig. 1 B–D and SI Appendix, Fig. S2 E and F).",pending,
inner bulb cluster,,human,false,KRT17,explicit,Fig.4C,KRT17 was a marker of the inner bulb cluster.,pending,
outer HF bulb,,human,false,SFRP1,explicit,Fig.4C,SFRP1; WIF1 marked the outer HF bulb.,pending,
outer HF bulb,,human,false,WIF1,explicit,Fig.4C,SFRP1; WIF1 marked the outer HF bulb.,pending,
sebaceous glands,,human,false,MGST1,explicit,Fig.4C,MGST1 marked sebaceous glands.,pending,
smooth muscle cells (SMC),,human,false,ACTA2,explicit,Results: The Architecture of Cutaneous Blood Vessels Reflects Vessel Size and Anatomical Site and Is Altered in BCC,"We additionally identified a population expressing high levels of DES and ACTA2, which is a gene signature of SMC (SI Appendix, Fig. S2E).",pending,
smooth muscle cells (SMC),,human,false,DES,explicit,Results: The Architecture of Cutaneous Blood Vessels Reflects Vessel Size and Anatomical Site and Is Altered in BCC,"We additionally identified a population expressing high levels of DES and ACTA2, which is a gene signature of SMC (SI Appendix, Fig. S2E).",pending,
spinous IFE keratinocytes,,human,false,KRT1,explicit,Fig.4C,"KRT1, KRT10, and LY6D marked spinous IFE keratinocytes.",pending,
spinous IFE keratinocytes,,human,false,KRT10,explicit,Fig.4C,"KRT1, KRT10, and LY6D marked spinous IFE keratinocytes.",pending,
spinous IFE keratinocytes,,human,false,LY6D,explicit,Fig.4C,"KRT1, KRT10, and LY6D marked spinous IFE keratinocytes.",pending,
sweat glands,,human,false,DCD,explicit,Fig.4C,KRT19 and DCD marked sweat glands.,pending,
sweat glands,,human,false,KRT19,explicit,Fig.4C,KRT19 and DCD marked sweat glands.,pending,
