cell_type,subtype,species,is_pns_cell,gene_symbol,evidence_level,source_section,source_context,review_status,notes
Basal,,human,false,DST,explicit,Results: Characterisation of the epithelial lineage,"five Basal (KRT5, KRT15, DST, TP63) clusters",pending,
Basal,,human,false,KRT15,explicit,Results: Characterisation of the epithelial lineage,"five Basal (KRT5, KRT15, DST, TP63) clusters",pending,
Basal,,human,false,KRT5,explicit,Results: Characterisation of the epithelial lineage,"five Basal (KRT5, KRT15, DST, TP63) clusters",pending,
Basal,,human,false,TP63,explicit,Results: Characterisation of the epithelial lineage,"five Basal (KRT5, KRT15, DST, TP63) clusters",pending,
CAFs,,human,false,DCN,explicit,Results: Characterisation of SMCs and CAFs in the PCa TME,Fibroblasts were identified by the expression of the canonical markers DCN and PDGFRA,pending,
CAFs,,human,false,PDGFRA,explicit,Results: Characterisation of SMCs and CAFs in the PCa TME,Fibroblasts were identified by the expression of the canonical markers DCN and PDGFRA,pending,
Ciliated,,human,false,CAPS,explicit,Results: Characterisation of the epithelial lineage,Ciliated cells (n = 45 cells) were CAPS+,pending,
Club,,human,false,LCN2,explicit,Results: Characterisation of the epithelial lineage,"five Club (SCGB3A1, LCN2, PIGR) clusters",pending,
Club,,human,false,PIGR,explicit,Results: Characterisation of the epithelial lineage,"five Club (SCGB3A1, LCN2, PIGR) clusters",pending,
Club,,human,false,SCGB3A1,explicit,Results: Characterisation of the epithelial lineage,"five Club (SCGB3A1, LCN2, PIGR) clusters",pending,
Luminal,,human,false,KLK3,explicit,Results: Characterisation of the epithelial lineage,"ten Luminal (KLK3, NKX3-1, MSMB)",pending,
Luminal,,human,false,MSMB,explicit,Results: Characterisation of the epithelial lineage,"ten Luminal (KLK3, NKX3-1, MSMB)",pending,
Luminal,,human,false,NKX3-1,explicit,Results: Characterisation of the epithelial lineage,"ten Luminal (KLK3, NKX3-1, MSMB)",pending,
Luminal-like,,human,false,KLK3,explicit,Results: Characterisation of the epithelial lineage,Luminal-like cells expressed both luminal (KLK3) and club (PIGR) cell markers,pending,
Luminal-like,,human,false,PIGR,explicit,Results: Characterisation of the epithelial lineage,Luminal-like cells expressed both luminal (KLK3) and club (PIGR) cell markers,pending,
MSMB+ cells,,human,false,MSMB,explicit,Discussion,"altered benign MSMB+ cells, despite the presence of CNVs, functionally resemble their normal counterparts with respect to AR signalling, with both states enriched in a normal AR repertoire.",pending,
MSMBlow malignant cells,,human,false,MSMB,explicit,Discussion,"The MSMB+ states exhibited higher levels of androgen response compared to MSMBlow malignant cells, which were enriched in PCa-specific AR activity.",pending,
NPF-like,,human,false,IGFBP2,explicit,Results: Characterisation of SMCs and CAFs in the PCa TME,"NPF-like cells expressed growth factors and prostaglandin-metabolism genes (IGFBP2, PTGDS)",pending,
NPF-like,,human,false,PTGDS,explicit,Results: Characterisation of SMCs and CAFs in the PCa TME,"NPF-like cells expressed growth factors and prostaglandin-metabolism genes (IGFBP2, PTGDS)",pending,
NPF-like,,human,false,PTGS2,explicit,Discussion,"the NPF-like population, characterised by PTGS2 (COX2), and PTGDS (PGD2) expression, was the only population found interstitially, near epithelial cells.",pending,
Neuroendocrine,,human,false,CALCA,explicit,Results: Characterisation of the epithelial lineage,The rare NE phenotype (n = 24 cells) was CHGA+CALCA+,pending,
Neuroendocrine,,human,false,CHGA,explicit,Results: Characterisation of the epithelial lineage,The rare NE phenotype (n = 24 cells) was CHGA+CALCA+,pending,
Pericytes,,human,false,COL6A3,explicit,Results: Characterisation of SMCs and CAFs in the PCa TME,Pericytes (THY1+/ COL6A3+/GGT5+),pending,
Pericytes,,human,false,GGT5,explicit,Results: Characterisation of SMCs and CAFs in the PCa TME,Pericytes (THY1+/ COL6A3+/GGT5+),pending,
Pericytes,,human,false,THY1,explicit,Results: Characterisation of SMCs and CAFs in the PCa TME,Pericytes (THY1+/ COL6A3+/GGT5+),pending,
SMCs,,human,false,ACTA2,explicit,Results: Characterisation of SMCs and CAFs in the PCa TME,"All were characterised by high expression of ACTA2, with three also expressing the mural cell marker PDGFRB",pending,
SMCs_IFN,,human,false,IFI6,explicit,Results: Characterisation of SMCs and CAFs in the PCa TME,SMCs_IFN (ISG15+/IFI6+),pending,
SMCs_IFN,,human,false,ISG15,explicit,Results: Characterisation of SMCs and CAFs in the PCa TME,SMCs_IFN (ISG15+/IFI6+),pending,
Stromal lineages,,human,false,ACTA2,explicit,Introduction p.4,"Stromal phenotyping has historically employed a narrow set of protein markers - such as alpha-smooth muscle actin (ACTA2), vimentin (VIM), and CD90 (THY1) - which are expressed by multiple stromal lineages",pending,
Stromal lineages,,human,false,THY1,explicit,Introduction p.4,"Stromal phenotyping has historically employed a narrow set of protein markers - such as alpha-smooth muscle actin (ACTA2), vimentin (VIM), and CD90 (THY1) - which are expressed by multiple stromal lineages",pending,
Stromal lineages,,human,false,VIM,explicit,Introduction p.4,"Stromal phenotyping has historically employed a narrow set of protein markers - such as alpha-smooth muscle actin (ACTA2), vimentin (VIM), and CD90 (THY1) - which are expressed by multiple stromal lineages",pending,
