cell_type,subtype,species,is_pns_cell,gene_symbol,evidence_level,source_section,source_context,review_status,notes
B cell,,human,false,CD19,explicit,Fig.4B,"B cells expressed CD79A, CD79B, MS4A1 (CD20), and CD19. Plasma cells expressed MZB1, JCHAIN, and XBP1.",pending,
B cell,,human,false,CD79A,explicit,Fig.4B,"B cells expressed CD79A, CD79B, MS4A1 (CD20), and CD19. Plasma cells expressed MZB1, JCHAIN, and XBP1.",pending,
B cell,,human,false,CD79B,explicit,Fig.4B,"B cells expressed CD79A, CD79B, MS4A1 (CD20), and CD19. Plasma cells expressed MZB1, JCHAIN, and XBP1.",pending,
B cell,,human,false,MS4A1,explicit,Fig.4B,"B cells expressed CD79A, CD79B, MS4A1 (CD20), and CD19. Plasma cells expressed MZB1, JCHAIN, and XBP1.",pending,
NK cell,,human,false,GNLY,explicit,Fig.4B,"NK cells expressed NCAM1 (CD56), NKG7, GNLY, and KLRD1. NKT cells expressed both T cell markers (CD3D, CD3E) and NK markers (NCAM1, KLRD1).",pending,
NK cell,,human,false,KLRD1,explicit,Fig.4B,"NK cells expressed NCAM1 (CD56), NKG7, GNLY, and KLRD1. NKT cells expressed both T cell markers (CD3D, CD3E) and NK markers (NCAM1, KLRD1).",pending,
NK cell,,human,false,NCAM1,explicit,Fig.4B,"NK cells expressed NCAM1 (CD56), NKG7, GNLY, and KLRD1. NKT cells expressed both T cell markers (CD3D, CD3E) and NK markers (NCAM1, KLRD1).",pending,
NK cell,,human,false,NKG7,explicit,Fig.4B,"NK cells expressed NCAM1 (CD56), NKG7, GNLY, and KLRD1. NKT cells expressed both T cell markers (CD3D, CD3E) and NK markers (NCAM1, KLRD1).",pending,
NKT cell,,human,false,CD3D,explicit,Fig.4B,"NK cells expressed NCAM1 (CD56), NKG7, GNLY, and KLRD1. NKT cells expressed both T cell markers (CD3D, CD3E) and NK markers (NCAM1, KLRD1).",pending,
NKT cell,,human,false,CD3E,explicit,Fig.4B,"NK cells expressed NCAM1 (CD56), NKG7, GNLY, and KLRD1. NKT cells expressed both T cell markers (CD3D, CD3E) and NK markers (NCAM1, KLRD1).",pending,
NKT cell,,human,false,KLRD1,explicit,Fig.4B,"NK cells expressed NCAM1 (CD56), NKG7, GNLY, and KLRD1. NKT cells expressed both T cell markers (CD3D, CD3E) and NK markers (NCAM1, KLRD1).",pending,
NKT cell,,human,false,NCAM1,explicit,Fig.4B,"NK cells expressed NCAM1 (CD56), NKG7, GNLY, and KLRD1. NKT cells expressed both T cell markers (CD3D, CD3E) and NK markers (NCAM1, KLRD1).",pending,
T cell,CD4,human,false,CD3D,explicit,Fig.4B,"CD4 T cells expressed CD3D, CD3E, CD4, and IL7R. CD8 T cells expressed CD3D, CD3E, CD8A, and CD8B.",pending,
T cell,CD8,human,false,CD3D,explicit,Fig.4B,"CD4 T cells expressed CD3D, CD3E, CD4, and IL7R. CD8 T cells expressed CD3D, CD3E, CD8A, and CD8B.",pending,
T cell,CD4,human,false,CD3E,explicit,Fig.4B,"CD4 T cells expressed CD3D, CD3E, CD4, and IL7R. CD8 T cells expressed CD3D, CD3E, CD8A, and CD8B.",pending,
T cell,CD8,human,false,CD3E,explicit,Fig.4B,"CD4 T cells expressed CD3D, CD3E, CD4, and IL7R. CD8 T cells expressed CD3D, CD3E, CD8A, and CD8B.",pending,
T cell,CD4,human,false,CD4,explicit,Fig.4B,"CD4 T cells expressed CD3D, CD3E, CD4, and IL7R. CD8 T cells expressed CD3D, CD3E, CD8A, and CD8B.",pending,
T cell,tissue-resident,human,false,CD69,explicit,Fig.4C,"Tissue-resident T cells expressed ITGAE (CD103), CD69, and Hobit (ZNF683).",pending,
T cell,CD8 tissue-resident memory,human,false,CD69,explicit,Fig.4C,"CD8 tissue-resident memory T cells expressed ITGAE, CD69, ZNF683, and CRTAM.",pending,
T cell,CD8,human,false,CD8A,explicit,Fig.4B,"CD4 T cells expressed CD3D, CD3E, CD4, and IL7R. CD8 T cells expressed CD3D, CD3E, CD8A, and CD8B.",pending,
T cell,CD8,human,false,CD8B,explicit,Fig.4B,"CD4 T cells expressed CD3D, CD3E, CD4, and IL7R. CD8 T cells expressed CD3D, CD3E, CD8A, and CD8B.",pending,
T cell,CD8 tissue-resident memory,human,false,CRTAM,explicit,Fig.4C,"CD8 tissue-resident memory T cells expressed ITGAE, CD69, ZNF683, and CRTAM.",pending,
T cell,CD4,human,false,IL7R,explicit,Fig.4B,"CD4 T cells expressed CD3D, CD3E, CD4, and IL7R. CD8 T cells expressed CD3D, CD3E, CD8A, and CD8B.",pending,
T cell,tissue-resident,human,false,ITGAE,explicit,Fig.4C,"Tissue-resident T cells expressed ITGAE (CD103), CD69, and Hobit (ZNF683).",pending,
T cell,CD8 tissue-resident memory,human,false,ITGAE,explicit,Fig.4C,"CD8 tissue-resident memory T cells expressed ITGAE, CD69, ZNF683, and CRTAM.",pending,
T cell,tissue-resident,human,false,ZNF683,explicit,Fig.4C,"Tissue-resident T cells expressed ITGAE (CD103), CD69, and Hobit (ZNF683).",pending,
T cell,CD8 tissue-resident memory,human,false,ZNF683,explicit,Fig.4C,"CD8 tissue-resident memory T cells expressed ITGAE, CD69, ZNF683, and CRTAM.",pending,
dendritic cell,migratory,human,false,CCL19,explicit,Fig.3E,"We also identified a population of migratory DCs expressing CCR7, LAMP3, and CCL19",pending,
dendritic cell,migratory,human,false,CCR7,explicit,Fig.3E,"We also identified a population of migratory DCs expressing CCR7, LAMP3, and CCL19",pending,
dendritic cell,cDC2,human,false,CD1C,explicit,Fig.3E,"cDC1 expressed CLEC9A and XCR1, while cDC2 expressed CD1C, CLEC10A, and FCER1A.",pending,
dendritic cell,cDC2,human,false,CLEC10A,explicit,Fig.3E,"cDC1 expressed CLEC9A and XCR1, while cDC2 expressed CD1C, CLEC10A, and FCER1A.",pending,
dendritic cell,cDC1,human,false,CLEC9A,explicit,Fig.3E,"cDC1 expressed CLEC9A and XCR1, while cDC2 expressed CD1C, CLEC10A, and FCER1A.",pending,
dendritic cell,cDC2,human,false,FCER1A,explicit,Fig.3E,"cDC1 expressed CLEC9A and XCR1, while cDC2 expressed CD1C, CLEC10A, and FCER1A.",pending,
dendritic cell,migratory,human,false,LAMP3,explicit,Fig.3E,"We also identified a population of migratory DCs expressing CCR7, LAMP3, and CCL19",pending,
dendritic cell,cDC1,human,false,XCR1,explicit,Fig.3E,"cDC1 expressed CLEC9A and XCR1, while cDC2 expressed CD1C, CLEC10A, and FCER1A.",pending,
macrophage,CD68+ LYZ+ APOE+,human,false,APOE,explicit,Fig.3B,"Macrophages could be further divided based on the expression of canonical markers: a population expressing CD68, LYZ, and APOE, and a second population expressing MRC1 (also known as CD206) and C1QA, C1QB, and C1QC.",pending,
macrophage,MRC1+ C1QA+ C1QB+ C1QC+,human,false,C1QA,explicit,Fig.3B,"Macrophages could be further divided based on the expression of canonical markers: a population expressing CD68, LYZ, and APOE, and a second population expressing MRC1 (also known as CD206) and C1QA, C1QB, and C1QC.",pending,
macrophage,MRC1+ C1QA+ C1QB+ C1QC+,human,false,C1QB,explicit,Fig.3B,"Macrophages could be further divided based on the expression of canonical markers: a population expressing CD68, LYZ, and APOE, and a second population expressing MRC1 (also known as CD206) and C1QA, C1QB, and C1QC.",pending,
macrophage,MRC1+ C1QA+ C1QB+ C1QC+,human,false,C1QC,explicit,Fig.3B,"Macrophages could be further divided based on the expression of canonical markers: a population expressing CD68, LYZ, and APOE, and a second population expressing MRC1 (also known as CD206) and C1QA, C1QB, and C1QC.",pending,
macrophage,CD68+ LYZ+ APOE+,human,false,CD68,explicit,Fig.3B,"Macrophages could be further divided based on the expression of canonical markers: a population expressing CD68, LYZ, and APOE, and a second population expressing MRC1 (also known as CD206) and C1QA, C1QB, and C1QC.",pending,
macrophage,CD68+ LYZ+ APOE+,human,false,LYZ,explicit,Fig.3B,"Macrophages could be further divided based on the expression of canonical markers: a population expressing CD68, LYZ, and APOE, and a second population expressing MRC1 (also known as CD206) and C1QA, C1QB, and C1QC.",pending,
macrophage,MRC1+ C1QA+ C1QB+ C1QC+,human,false,MRC1,explicit,Fig.3B,"Macrophages could be further divided based on the expression of canonical markers: a population expressing CD68, LYZ, and APOE, and a second population expressing MRC1 (also known as CD206) and C1QA, C1QB, and C1QC.",pending,
monocyte,classical,human,false,CD14,explicit,Fig.3B,"Monocytes were subdivided into classical monocytes (CD14, S100A8, S100A9, VCAN) and non-classical monocytes (FCGR3A, LST1, MS4A7).",pending,
monocyte,non-classical,human,false,FCGR3A,explicit,Fig.3B,"Monocytes were subdivided into classical monocytes (CD14, S100A8, S100A9, VCAN) and non-classical monocytes (FCGR3A, LST1, MS4A7).",pending,
monocyte,non-classical,human,false,LST1,explicit,Fig.3B,"Monocytes were subdivided into classical monocytes (CD14, S100A8, S100A9, VCAN) and non-classical monocytes (FCGR3A, LST1, MS4A7).",pending,
monocyte,non-classical,human,false,MS4A7,explicit,Fig.3B,"Monocytes were subdivided into classical monocytes (CD14, S100A8, S100A9, VCAN) and non-classical monocytes (FCGR3A, LST1, MS4A7).",pending,
monocyte,classical,human,false,S100A8,explicit,Fig.3B,"Monocytes were subdivided into classical monocytes (CD14, S100A8, S100A9, VCAN) and non-classical monocytes (FCGR3A, LST1, MS4A7).",pending,
monocyte,classical,human,false,S100A9,explicit,Fig.3B,"Monocytes were subdivided into classical monocytes (CD14, S100A8, S100A9, VCAN) and non-classical monocytes (FCGR3A, LST1, MS4A7).",pending,
monocyte,classical,human,false,VCAN,explicit,Fig.3B,"Monocytes were subdivided into classical monocytes (CD14, S100A8, S100A9, VCAN) and non-classical monocytes (FCGR3A, LST1, MS4A7).",pending,
plasma cell,,human,false,JCHAIN,explicit,Fig.4B,"B cells expressed CD79A, CD79B, MS4A1 (CD20), and CD19. Plasma cells expressed MZB1, JCHAIN, and XBP1.",pending,
plasma cell,,human,false,MZB1,explicit,Fig.4B,"B cells expressed CD79A, CD79B, MS4A1 (CD20), and CD19. Plasma cells expressed MZB1, JCHAIN, and XBP1.",pending,
plasma cell,,human,false,XBP1,explicit,Fig.4B,"B cells expressed CD79A, CD79B, MS4A1 (CD20), and CD19. Plasma cells expressed MZB1, JCHAIN, and XBP1.",pending,
plasmacytoid dendritic cell,,human,false,IL3RA,explicit,Fig.3B,"DCs expressed CLEC9A, CLEC10A, CD1C, and FCER1A, whereas pDCs expressed LILRA4 and IL3RA.",pending,
plasmacytoid dendritic cell,,human,false,LILRA4,explicit,Fig.3B,"DCs expressed CLEC9A, CLEC10A, CD1C, and FCER1A, whereas pDCs expressed LILRA4 and IL3RA.",pending,
