cell_type,subtype,species,is_pns_cell,gene_symbol,evidence_level,source_section,source_context,review_status,notes
Adipocytes,,human,false,ADIPOQ,explicit,Results: Cell-composition and cell-intrinsic secondary effects in muscle disease tissue (fig. S26),"up-regulation of hallmark fibroblast, adipocyte, and immune genes, likely because of changes in cell proportions (e.g., COL6A2, ADIPOQ, and HLA-A, respectively)",pending,
CD14+ monocytes,,human,false,CD14,explicit,Results: Myeloid populations across tissues (Fig. 3B),"These included CD16+ monocytes, CD14+ monocytes, two transitional Mo/MΦ FCGR3Alow and Mo/MΦ FCGR3Ahigh populations with coexpression of both monocyte and macrophage markers",pending,
CD16+ monocytes,,human,false,CD16,explicit,Results: Myeloid populations across tissues (Fig. 3B),"These included CD16+ monocytes, CD14+ monocytes, two transitional Mo/MΦ FCGR3Alow and Mo/MΦ FCGR3Ahigh populations with coexpression of both monocyte and macrophage markers",pending,
Cardiac fibroblasts,,human,false,GATA4,explicit,Results: Shared and tissue-specific features of fibroblasts (table S8),"The cardiac fibroblast signature genes included TFs involved in cardiac development (e.g., GATA4 and GATA6), revealing that expression of these developmental TFs is retained in the adult cardiac fibroblast compartment",pending,
Cardiac fibroblasts,,human,false,GATA6,explicit,Results: Shared and tissue-specific features of fibroblasts (table S8),"The cardiac fibroblast signature genes included TFs involved in cardiac development (e.g., GATA4 and GATA6), revealing that expression of these developmental TFs is retained in the adult cardiac fibroblast compartment",pending,
Esophagus mucosa fibroblasts,,human,false,FGF13,explicit,"Results: Shared and tissue-specific features of fibroblasts (table S8, fig. S18E)","The esophagus mucosa fibroblast signature (table S8) included genes involved in neuron and axon development (e.g., NTN1, PLXNB1, FGF13), suggesting interactions with the enteric nervous system",pending,
Esophagus mucosa fibroblasts,,human,false,NTN1,explicit,"Results: Shared and tissue-specific features of fibroblasts (table S8, fig. S18E)","The esophagus mucosa fibroblast signature (table S8) included genes involved in neuron and axon development (e.g., NTN1, PLXNB1, FGF13), suggesting interactions with the enteric nervous system",pending,
Esophagus mucosa fibroblasts,,human,false,PLXNB1,explicit,"Results: Shared and tissue-specific features of fibroblasts (table S8, fig. S18E)","The esophagus mucosa fibroblast signature (table S8) included genes involved in neuron and axon development (e.g., NTN1, PLXNB1, FGF13), suggesting interactions with the enteric nervous system",pending,
Fast myocytes,,human,false,MYH2,explicit,"Results: Differences between slow and fast myocyte subsets (fig. S9, E and F)",Fast myocytes specifically expressed the type 2 fiber marker MYH2,pending,
Fibroblasts,,human,false,COL6A2,explicit,Results: Cell-composition and cell-intrinsic secondary effects in muscle disease tissue (fig. S26),"up-regulation of hallmark fibroblast, adipocyte, and immune genes, likely because of changes in cell proportions (e.g., COL6A2, ADIPOQ, and HLA-A, respectively)",pending,
Langerhans cells,,human,false,CD207,explicit,Results: Myeloid populations across tissues (Fig. 3C),"CD207/Langerin+ Langerhans cells, which were present only (97%) in skin and esophagus mucosa, consistent with their role in antigen sampling within stratified epithelia",pending,
Lung fibroblasts,,human,false,FRAS1,explicit,"Results: Shared and tissue-specific features of fibroblasts (Fig. 4, F and G)","Lung fibroblast signatures were enriched for ECM, cation transport, and contractile functions ... including multiple components of the basement membrane that are required for epithelial-mesenchymal adhesion [nephronectin (NPNT), FRAS1, hemicentin-1 (HMCN1), and integrin ITGA8]",pending,
Lung fibroblasts,,human,false,HMCN1,explicit,"Results: Shared and tissue-specific features of fibroblasts (Fig. 4, F and G)","Lung fibroblast signatures were enriched for ECM, cation transport, and contractile functions ... including multiple components of the basement membrane that are required for epithelial-mesenchymal adhesion [nephronectin (NPNT), FRAS1, hemicentin-1 (HMCN1), and integrin ITGA8]",pending,
Lung fibroblasts,,human,false,ITGA8,explicit,"Results: Shared and tissue-specific features of fibroblasts (Fig. 4, F and G)","Lung fibroblast signatures were enriched for ECM, cation transport, and contractile functions ... including multiple components of the basement membrane that are required for epithelial-mesenchymal adhesion [nephronectin (NPNT), FRAS1, hemicentin-1 (HMCN1), and integrin ITGA8]",pending,
Lung fibroblasts,,human,false,NPNT,explicit,"Results: Shared and tissue-specific features of fibroblasts (Fig. 4, F and G)","Lung fibroblast signatures were enriched for ECM, cation transport, and contractile functions ... including multiple components of the basement membrane that are required for epithelial-mesenchymal adhesion [nephronectin (NPNT), FRAS1, hemicentin-1 (HMCN1), and integrin ITGA8]",pending,
Mo/MΦ FCGR3Ahigh,,human,false,FCGR3A,explicit,Results: Myeloid populations across tissues (Fig. 3B),"These included CD16+ monocytes, CD14+ monocytes, two transitional Mo/MΦ FCGR3Alow and Mo/MΦ FCGR3Ahigh populations with coexpression of both monocyte and macrophage markers",pending,
Mo/MΦ FCGR3Alow,,human,false,FCGR3A,explicit,Results: Myeloid populations across tissues (Fig. 3B),"These included CD16+ monocytes, CD14+ monocytes, two transitional Mo/MΦ FCGR3Alow and Mo/MΦ FCGR3Ahigh populations with coexpression of both monocyte and macrophage markers",pending,
MΦ LYVE1high,,human,false,LYVE1,explicit,Results: Myeloid populations across tissues (Fig. 3C),"Macrophage types and proportions varied by tissue, with breast, esophagus mucosa, esophagus muscularis, heart, and skeletal muscle having significantly higher proportions of MΦ LYVE1high macrophages",pending,
PPARGhigh lung macrophages,,human,false,PPARG,explicit,Results: Myeloid populations across tissues (Fig. 3C),"notable exceptions included PPARGhigh lung macrophages, which were present only in lung",pending,
Skeletal muscle fibroblasts,,human,false,AGTR1,explicit,Results: Shared and tissue-specific features of fibroblasts (table S8),"The skeletal muscle signature showed increased expression of the CXCL14 and CXCL12 chemokines and of components of the renin-angiotensin-aldosterone system (AGTR1 and MME), which regulate skeletal muscle mass",pending,
Skeletal muscle fibroblasts,,human,false,CXCL12,explicit,Results: Shared and tissue-specific features of fibroblasts (table S8),"The skeletal muscle signature showed increased expression of the CXCL14 and CXCL12 chemokines and of components of the renin-angiotensin-aldosterone system (AGTR1 and MME), which regulate skeletal muscle mass",pending,
Skeletal muscle fibroblasts,,human,false,CXCL14,explicit,Results: Shared and tissue-specific features of fibroblasts (table S8),"The skeletal muscle signature showed increased expression of the CXCL14 and CXCL12 chemokines and of components of the renin-angiotensin-aldosterone system (AGTR1 and MME), which regulate skeletal muscle mass",pending,
Skeletal muscle fibroblasts,,human,false,MME,explicit,Results: Shared and tissue-specific features of fibroblasts (table S8),"The skeletal muscle signature showed increased expression of the CXCL14 and CXCL12 chemokines and of components of the renin-angiotensin-aldosterone system (AGTR1 and MME), which regulate skeletal muscle mass",pending,
lung alveolar fibroblasts,,human,false,ITGA8,explicit,Discussion p.18,PIEZO2+/ITGA8+ alveolar fibroblasts may contribute to mechanosensing of alveolar tension,pending,
lung alveolar fibroblasts,,human,false,PIEZO2,explicit,Discussion p.18,PIEZO2+/ITGA8+ alveolar fibroblasts may contribute to mechanosensing of alveolar tension,pending,
macrophages,HLAII-expressing (tissue immunity),human,false,HLAII,explicit,Discussion p.17,"for LYVE1- and HLAII–expressing macrophages, our results reinforce the notion of functional specification of these two macrophage states into tissue support and tissue immunity, respectively",pending,
macrophages,LYVE1-expressing (tissue support),human,false,LYVE1,explicit,Discussion p.17,"for LYVE1- and HLAII–expressing macrophages, our results reinforce the notion of functional specification of these two macrophage states into tissue support and tissue immunity, respectively",pending,
macrophages,Lyve1high (perivascular),mouse,false,Lyve1,explicit,Discussion p.17,"In mice, Lyve1high macrophages are localized perivascularly, whereas MHCIIhigh macrophages are found in proximity to neurons",pending,
macrophages,MHCIIhigh (proximal to neurons),mouse,false,MHCII,explicit,Discussion p.17,"In mice, Lyve1high macrophages are localized perivascularly, whereas MHCIIhigh macrophages are found in proximity to neurons",pending,
Adipocytes,,human,false,ANGPTL8,implied,"Results: Associating GWAS genes with gene programs across cell types reveals six main trait groups (Fig. 7E, table S20)","a group of HDL cholesterol traits was associated with adipocytes in all three muscle tissues and enriched for fatty acid, triglyceride, and lipid homeostasis and related metabolic processes, including ANGPTL8 and PNPLA3",pending,
Adipocytes,,human,false,DPT,implied,Results: Cell-composition and cell-intrinsic secondary effects in muscle disease tissue,"dermatopontin (DPT), an adipokine that promotes ECM remodeling and inflammation, is expressed in adipocytes but is not correlated with ADIPOQ expression across adipocytes from different tissues",pending,
Adipocytes,,human,false,PNPLA3,implied,"Results: Associating GWAS genes with gene programs across cell types reveals six main trait groups (Fig. 7E, table S20)","a group of HDL cholesterol traits was associated with adipocytes in all three muscle tissues and enriched for fatty acid, triglyceride, and lipid homeostasis and related metabolic processes, including ANGPTL8 and PNPLA3",pending,
Alveolar fibroblasts,,human,false,ACTA2,implied,Results: Shared and tissue-specific features of fibroblasts (fig. S18D),"alveolar fibroblasts express myofibroblast markers (e.g., ACTA2; fig. S18D)",pending,
