cell_type,subtype,species,is_pns_cell,gene_symbol,evidence_level,source_section,source_context,review_status,notes
B1,,human,false,MS4A1,explicit,fig.S25B,"Mature B, cycling B, plasma B, and putative B1 cells expressed MS4A1 except plasma B (MS4A1lo and expressing CD38, SDC1, and JCHAIN).",pending,
CMP,,human,false,AZU1,explicit,fig.S23,"Multiplex smFISH staining of DAPI, CDH5 for endothelial cells, and MPO and AZU1 for myeloid progenitors in the human prenatal intestine at 15 pcw and prenatal thymus at 16 pcw.",pending,
CMP,,human,false,MPO,explicit,fig.S23,"Multiplex smFISH staining of DAPI, CDH5 for endothelial cells, and MPO and AZU1 for myeloid progenitors in the human prenatal intestine at 15 pcw and prenatal thymus at 16 pcw.",pending,
CYCLING_B,,human,false,MKI67,explicit,fig.S25B,Cycling B cells were additionally marked with MKI67.,pending,
EARLY_ERY,,human,false,KLF1,explicit,fig.S22,"Multiplex smFISH staining of DAPI, CDH5 for endothelial cells, and KLF1, TESPA1 for megakaryocyte/erythroid progenitors in the human prenatal spleen at 14 pcw and prenatal thymus at 16 pcw.",pending,
EARLY_ERY,,human,false,TESPA1,explicit,fig.S22,"Multiplex smFISH staining of DAPI, CDH5 for endothelial cells, and KLF1, TESPA1 for megakaryocyte/erythroid progenitors in the human prenatal spleen at 14 pcw and prenatal thymus at 16 pcw.",pending,
EARLY_MK,,human,false,KLF1,explicit,fig.S22,"Multiplex smFISH staining of DAPI, CDH5 for endothelial cells, and KLF1, TESPA1 for megakaryocyte/erythroid progenitors in the human prenatal spleen at 14 pcw and prenatal thymus at 16 pcw.",pending,
EARLY_MK,,human,false,TESPA1,explicit,fig.S22,"Multiplex smFISH staining of DAPI, CDH5 for endothelial cells, and KLF1, TESPA1 for megakaryocyte/erythroid progenitors in the human prenatal spleen at 14 pcw and prenatal thymus at 16 pcw.",pending,
ENDOTHELIUM_I,,human,false,CDH5,explicit,fig.S21,"Multiplex smFISH staining of DAPI, CDH5 for endothelial cells, and VPREB1, RAG1 with/without DNTT for B cell progenitors in the human prenatal spleen at 14 pcw and prenatal thymus at 16 pcw.",pending,
ENDOTHELIUM_II,,human,false,CDH5,explicit,fig.S21,"Multiplex smFISH staining of DAPI, CDH5 for endothelial cells, and VPREB1, RAG1 with/without DNTT for B cell progenitors in the human prenatal spleen at 14 pcw and prenatal thymus at 16 pcw.",pending,
ENDOTHELIUM_III,,human,false,CDH5,explicit,fig.S21,"Multiplex smFISH staining of DAPI, CDH5 for endothelial cells, and VPREB1, RAG1 with/without DNTT for B cell progenitors in the human prenatal spleen at 14 pcw and prenatal thymus at 16 pcw.",pending,
