cell_type,subtype,species,is_pns_cell,gene_symbol,evidence_level,source_section,source_context,review_status,notes
ILCPs,,human,false,CCNB1,explicit,Figure S6E,Marker genes in ILCPs (E); dotplot shows MKI67 and CCNB1,pending,
ILCPs,,human,false,MKI67,explicit,Figure S6E,Marker genes in ILCPs (E); dotplot shows MKI67 and CCNB1,pending,
MEPs,,human,false,TESPA1,explicit,Figure S8A,yellow arrows: MEPs (TESPA1+),pending,
T progenitors,,human,false,RAG1,explicit,Figure S6D,Marker genes in T progenitors (D); dotplot shows RAG1 and RAG2,pending,
T progenitors,,human,false,RAG2,explicit,Figure S6D,Marker genes in T progenitors (D); dotplot shows RAG1 and RAG2,pending,
large pre-B,,human,false,BEST3,explicit,Figure S5,green arrows (large pre-B): BEST3+RAG1-,pending,
late pre-B,,human,false,MS4A1,explicit,Figure S5,yellow arrows (late pre-B): VPREB1+MS4A1+,pending,
late pre-B,,human,false,VPREB1,explicit,Figure S5,yellow arrows (late pre-B): VPREB1+MS4A1+,pending,
megakaryocyte progenitors,,human,false,FCER1A,explicit,Figure S8A,white arrows: megakaryocyte progenitors TESPA1+ITGA2B+FCER1A+,pending,
megakaryocyte progenitors,,human,false,ITGA2B,explicit,Figure S8A,white arrows: megakaryocyte progenitors TESPA1+ITGA2B+FCER1A+,pending,
megakaryocyte progenitors,,human,false,TESPA1,explicit,Figure S8A,white arrows: megakaryocyte progenitors TESPA1+ITGA2B+FCER1A+,pending,
megakaryocytes,,human,false,ITGA2B,explicit,Figure S8A,white arrows: megakaryocytes (PF4+ITGA2B+),pending,
megakaryocytes,,human,false,PF4,explicit,Figure S8A,white arrows: megakaryocytes (PF4+ITGA2B+),pending,
pro-B,,human,false,DNTT,explicit,Figure S5,white arrows (pro-B): VPREB1+DNTT+,pending,
pro-B,,human,false,VPREB1,explicit,Figure S5,white arrows (pro-B): VPREB1+DNTT+,pending,
small pre-B,,human,false,BEST3,explicit,Figure S5,yellow arrowheads (small pre-B): BEST3+RAG1+,pending,
small pre-B,,human,false,RAG1,explicit,Figure S5,yellow arrowheads (small pre-B): BEST3+RAG1+,pending,
stalk progenitor,,human,false,ASCL1,explicit,Figure S9I,"stalk gene set expression (SOX2, ASCL1, MUC5AC, INSM1, SCGB3A2) (I)",pending,
stalk progenitor,,human,false,INSM1,explicit,Figure S9I,"stalk gene set expression (SOX2, ASCL1, MUC5AC, INSM1, SCGB3A2) (I)",pending,
stalk progenitor,,human,false,MUC5AC,explicit,Figure S9I,"stalk gene set expression (SOX2, ASCL1, MUC5AC, INSM1, SCGB3A2) (I)",pending,
stalk progenitor,,human,false,SCGB3A2,explicit,Figure S9I,"stalk gene set expression (SOX2, ASCL1, MUC5AC, INSM1, SCGB3A2) (I)",pending,
stalk progenitor,,human,false,SOX2,explicit,Figure S9I,"stalk gene set expression (SOX2, ASCL1, MUC5AC, INSM1, SCGB3A2) (I)",pending,
tip progenitor,,human,false,ETV4,explicit,Figure S9H,"tip gene set expression (SOX9, ETV4, ETV5, TESC, TPPP3, STC1) (H)",pending,
tip progenitor,,human,false,ETV5,explicit,Figure S9H,"tip gene set expression (SOX9, ETV4, ETV5, TESC, TPPP3, STC1) (H)",pending,
tip progenitor,,human,false,SOX9,explicit,Figure S9H,"tip gene set expression (SOX9, ETV4, ETV5, TESC, TPPP3, STC1) (H)",pending,
tip progenitor,,human,false,STC1,explicit,Figure S9H,"tip gene set expression (SOX9, ETV4, ETV5, TESC, TPPP3, STC1) (H)",pending,
tip progenitor,,human,false,TESC,explicit,Figure S9H,"tip gene set expression (SOX9, ETV4, ETV5, TESC, TPPP3, STC1) (H)",pending,
tip progenitor,,human,false,TPPP3,explicit,Figure S9H,"tip gene set expression (SOX9, ETV4, ETV5, TESC, TPPP3, STC1) (H)",pending,
