cell_type,subtype,species,is_pns_cell,gene_symbol,evidence_level,source_section,source_context,review_status,notes
S1 early immune fibroblast,,human,false,C1S,explicit,Fig.5B–E; Results,"The S1 population (PDGFRAhi PDPNhi CD34hi) was characterized by the expression of genes involved in the regulation of immune cell recruitment (cytokines: CXCL12; complement factors: CFD, C3, C1S, CFH).",pending,
S1 early immune fibroblast,,human,false,C3,explicit,Fig.5B–E; Results,"The S1 population (PDGFRAhi PDPNhi CD34hi) was characterized by the expression of genes involved in the regulation of immune cell recruitment (cytokines: CXCL12; complement factors: CFD, C3, C1S, CFH).",pending,
S1 early immune fibroblast,,human,false,CD34,explicit,Fig.5B–E; Results,The S1 population (PDGFRAhi PDPNhi CD34hi) was characterized by the expression of genes involved in the regulation of immune cell recruitment.,pending,
S1 early immune fibroblast,,human,false,CFD,explicit,Fig.5B–E; Results,"The S1 population (PDGFRAhi PDPNhi CD34hi) was characterized by the expression of genes involved in the regulation of immune cell recruitment (cytokines: CXCL12; complement factors: CFD, C3, C1S, CFH).",pending,
S1 early immune fibroblast,,human,false,CFH,explicit,Fig.5B–E; Results,"The S1 population (PDGFRAhi PDPNhi CD34hi) was characterized by the expression of genes involved in the regulation of immune cell recruitment (cytokines: CXCL12; complement factors: CFD, C3, C1S, CFH).",pending,
S1 early immune fibroblast,,human,false,CXCL12,explicit,Fig.5B–E; Results,"The S1 population (PDGFRAhi PDPNhi CD34hi) was characterized by the expression of genes involved in the regulation of immune cell recruitment (cytokines: CXCL12; complement factors: CFD, C3, C1S, CFH).",pending,
S1 early immune fibroblast,,human,false,PDGFRA,explicit,Fig.5B–E; Results,The S1 population (PDGFRAhi PDPNhi CD34hi) was characterized by the expression of genes involved in the regulation of immune cell recruitment.,pending,
S1 early immune fibroblast,,human,false,PDPN,explicit,Fig.5B–E; Results,The S1 population (PDGFRAhi PDPNhi CD34hi) was characterized by the expression of genes involved in the regulation of immune cell recruitment.,pending,
S2 desmoplastic/extracellular matrix–depositing fibroblast,,human,false,CD34,explicit,Fig.5B–E; Results,"The S2 cell population (PDGFRAhi PDPNhi CD34lo) was characterized by the expression of extracellular matrix components (CXCL14, POSTN, COL6A1, and COL6A2).",pending,
S2 desmoplastic/extracellular matrix–depositing fibroblast,,human,false,COL6A1,explicit,Fig.5B–E; Results,"The S2 cell population (PDGFRAhi PDPNhi CD34lo) was characterized by the expression of extracellular matrix components (CXCL14, POSTN, COL6A1, and COL6A2).",pending,
S2 desmoplastic/extracellular matrix–depositing fibroblast,,human,false,COL6A2,explicit,Fig.5B–E; Results,"The S2 cell population (PDGFRAhi PDPNhi CD34lo) was characterized by the expression of extracellular matrix components (CXCL14, POSTN, COL6A1, and COL6A2).",pending,
S2 desmoplastic/extracellular matrix–depositing fibroblast,,human,false,CXCL14,explicit,Fig.5B–E; Results,"The S2 cell population (PDGFRAhi PDPNhi CD34lo) was characterized by the expression of extracellular matrix components (CXCL14, POSTN, COL6A1, and COL6A2).",pending,
S2 desmoplastic/extracellular matrix–depositing fibroblast,,human,false,FOS,explicit,Fig.5B–E; Results,"Furthermore, one of the subclusters of the S2 population (cluster 4) was characterized by transcription of immediate early genes (FOS, JUN, and FOSB).",pending,
S2 desmoplastic/extracellular matrix–depositing fibroblast,,human,false,FOSB,explicit,Fig.5B–E; Results,"Furthermore, one of the subclusters of the S2 population (cluster 4) was characterized by transcription of immediate early genes (FOS, JUN, and FOSB).",pending,
S2 desmoplastic/extracellular matrix–depositing fibroblast,,human,false,JUN,explicit,Fig.5B–E; Results,"Furthermore, one of the subclusters of the S2 population (cluster 4) was characterized by transcription of immediate early genes (FOS, JUN, and FOSB).",pending,
