cell_type,subtype,species,is_pns_cell,gene_symbol,evidence_level,source_section,source_context,review_status,notes
Adventitial fibroblasts,,human,false,PI16,explicit,Results: Developmental trajectories of mesenchymal cells,"adventitial ( SFRP2+,PI16+)",pending,
Adventitial fibroblasts,,human,false,SFRP2,explicit,Results: Developmental trajectories of mesenchymal cells,"adventitial ( SFRP2+,PI16+)",pending,
Aerocytes,,human,false,CA4,explicit,Results: Lung endothelial cells exhibit early specialization into arterial and venous identities,"Aerocytes ( CA4LO,S100A3+)",pending,
Aerocytes,,human,false,S100A3,explicit,Results: Lung endothelial cells exhibit early specialization into arterial and venous identities,"Aerocytes ( CA4LO,S100A3+)",pending,
Airway fibroblasts,,human,false,AGTR2,explicit,Results: Developmental trajectories of mesenchymal cells,"airway ( AGTR2+,S100A4+)",pending,
Airway fibroblasts,,human,false,S100A4,explicit,Results: Developmental trajectories of mesenchymal cells,"airway ( AGTR2+,S100A4+)",pending,
Airway progenitors,,human,false,CLDN4,explicit,Results: Predicted airway epithelial differentiation trajectories,"the newly defined airway progenitors upregulate marker genes associated with airway fates, including CYTL1, CLDN4, and SCGB3A2",pending,
Airway progenitors,,human,false,CYTL1,explicit,Results: A differentiation trajectory of airway progenitor states lies along the developing lung distal-to-proximal axis,"airway progenitors ( CYTL1LO/+,PCP4+,SCGB3A2+/LO)",pending,
Airway progenitors,,human,false,PCP4,explicit,Results: A differentiation trajectory of airway progenitor states lies along the developing lung distal-to-proximal axis,"airway progenitors ( CYTL1LO/+,PCP4+,SCGB3A2+/LO)",pending,
Airway progenitors,,human,false,SCGB3A2,explicit,Results: A differentiation trajectory of airway progenitor states lies along the developing lung distal-to-proximal axis,"airway progenitors ( CYTL1LO/+,PCP4+,SCGB3A2+/LO)",pending,
Airway smooth muscle (ASM) cells,,human,false,ACTA2,explicit,Fig.4G,"smooth muscle (ACTA2 green, dashed line)",pending,
Alveolar fibroblasts,,human,false,FGFR4,explicit,Results: Developmental trajectories of mesenchymal cells,"alveolar ( WNT2+,FGFR4+)",pending,
