cell_type,subtype,species,is_pns_cell,gene_symbol,evidence_level,source_section,source_context,review_status,notes
Hematopoietic stem cells,,,,CD34,explicit,Results p.4,"HSCs were annotated by the expression of CD34, ENG and VCAM1",pending,
Hematopoietic stem cells,,,,ENG,explicit,Results p.4,"HSCs were annotated by the expression of CD34, ENG and VCAM1",pending,
Hematopoietic stem cells,,,,VCAM1,explicit,Results p.4,"HSCs were annotated by the expression of CD34, ENG and VCAM1",pending,
NK cells,,,,FCGR3A,explicit,Results p.4,NK cells (GNLY and FCGR3A),pending,
NK cells,,,,GNLY,explicit,Results p.4,NK cells (GNLY and FCGR3A),pending,
T cells,,,,CD3D,explicit,Results p.4,T cells (CD3D),pending,
endothelial cells,,,,PECAM1,explicit,Results p.4,endothelial cells were identified by the expression of SELE and PECAM1,pending,
endothelial cells,,,,SELE,explicit,Results p.4,endothelial cells were identified by the expression of SELE and PECAM1,pending,
fibroblasts,,,,MCAM,explicit,Results p.4,"We identified a population of fibroblasts by the expression of THY1, MCAM",pending,
fibroblasts,,,,THY1,explicit,Results p.4,"We identified a population of fibroblasts by the expression of THY1, MCAM",pending,
monocytes,,,,CD14,explicit,Results p.4,monocytes (CD14),pending,
odontoblasts,,,,ALPL,explicit,Results p.4,"We identified ... odontoblasts by the expression of ALPL, OMD, and CCL2",pending,
odontoblasts,,,,CCL2,explicit,Results p.4,"We identified ... odontoblasts by the expression of ALPL, OMD, and CCL2",pending,
odontoblasts,,,,OMD,explicit,Results p.4,"We identified ... odontoblasts by the expression of ALPL, OMD, and CCL2",pending,
