cell_type,subtype,species,is_pns_cell,gene_symbol,evidence_level,source_section,source_context,review_status,notes
Langerhans cells,,mouse,false,Cd207,explicit,Results (Immune cell subclustering),clusters 4 and 5 together were identified as Langerhans cells based on their expression of Cd74 and Cd207,pending,
Langerhans cells,,mouse,false,Cd74,explicit,Results (Immune cell subclustering),clusters 4 and 5 together were identified as Langerhans cells based on their expression of Cd74 and Cd207,pending,
ab T cells,,mouse,false,Trac,explicit,Results (Immune cell subclustering),"Clusters 0 and 1 were identified as ab and gd T cells, based on their expression of Trac and Trbc and Tcrg-c1 and Trdv4, respectively.",pending,
ab T cells,,mouse,false,Trbc,explicit,Results (Immune cell subclustering),"Clusters 0 and 1 were identified as ab and gd T cells, based on their expression of Trac and Trbc and Tcrg-c1 and Trdv4, respectively.",pending,
fibroblasts,proto-myofibroblasts,mouse,false,Acta2,explicit,Fig.2 / Results (Fibroblast subclustering),"the myofibroblast markers, like Acta2 and Tagln, were largely absent in subcluster 0",pending,
fibroblasts,inflammatory fibroblasts,mouse,false,Il1rl1,explicit,Fig.2 / Results (Fibroblast subclustering),"besides their Pdpn and Il1rl1 signature gene expression, subcluster 0 expressed high levels of C3, Saa3, Il11, and Lif",pending,
fibroblasts,inflammatory fibroblasts,mouse,false,Lrig1,explicit,Fig.2J / Results (Fibroblast subclustering),"scRNAseq analysis also demonstrated that the cells within the KO inflammatory fibroblast subset were mostly positive for Prdm1 (encoding B-lymphocyte-induced maturation protein 1 (BLIMP1)) and Lrig1, and negative for Dpp4 (CD26) (Figure 2J)",pending,
fibroblasts,inflammatory,mouse,false,PDPN,explicit,Discussion,"Our in vitro analysis suggested that the expression of PDPN and ST2, two signature genes in the RDEB inflammatory fibroblast subset identified by scRNAseq, could be stimulated by IL-1a, TNF, and IFN-g independently",pending,
fibroblasts,inflammatory fibroblasts,mouse,false,Pdpn,explicit,Fig.2 / Results (Fibroblast subclustering),"besides their Pdpn and Il1rl1 signature gene expression, subcluster 0 expressed high levels of C3, Saa3, Il11, and Lif",pending,
fibroblasts,inflammatory fibroblasts,mouse,false,Prdm1,explicit,Fig.2J / Results (Fibroblast subclustering),"scRNAseq analysis also demonstrated that the cells within the KO inflammatory fibroblast subset were mostly positive for Prdm1 (encoding B-lymphocyte-induced maturation protein 1 (BLIMP1)) and Lrig1, and negative for Dpp4 (CD26) (Figure 2J)",pending,
