cell_type,subtype,species,is_pns_cell,gene_symbol,evidence_level,source_section,source_context,review_status,notes
DRG neurons,,human,true,NEFH,explicit,"Materials and methods - Single nuclear capture, sequencing, and data analysis","Clusters not expressing high levels of neuronal or somatosensory genes like SNAP25, SCN9A, SCN10A, PIEZO2, NEFH, etc. but instead expressing elevated levels of markers of non-neuronal cells including PRP1, MBP, QKI, LPAR1, and APOE were tagged as non-neuronal and were removed.",pending,
DRG neurons,,human,true,PIEZO2,explicit,"Materials and methods - Single nuclear capture, sequencing, and data analysis","Clusters not expressing high levels of neuronal or somatosensory genes like SNAP25, SCN9A, SCN10A, PIEZO2, NEFH, etc. but instead expressing elevated levels of markers of non-neuronal cells including PRP1, MBP, QKI, LPAR1, and APOE were tagged as non-neuronal and were removed.",pending,
DRG neurons,,human,true,SCN10A,explicit,"Materials and methods - Single nuclear capture, sequencing, and data analysis","Clusters not expressing high levels of neuronal or somatosensory genes like SNAP25, SCN9A, SCN10A, PIEZO2, NEFH, etc. but instead expressing elevated levels of markers of non-neuronal cells including PRP1, MBP, QKI, LPAR1, and APOE were tagged as non-neuronal and were removed.",pending,
DRG neurons,,human,true,SCN9A,explicit,"Materials and methods - Single nuclear capture, sequencing, and data analysis","Clusters not expressing high levels of neuronal or somatosensory genes like SNAP25, SCN9A, SCN10A, PIEZO2, NEFH, etc. but instead expressing elevated levels of markers of non-neuronal cells including PRP1, MBP, QKI, LPAR1, and APOE were tagged as non-neuronal and were removed.",pending,
DRG neurons,,human,true,SNAP25,explicit,"Materials and methods - Single nuclear capture, sequencing, and data analysis","Clusters not expressing high levels of neuronal or somatosensory genes like SNAP25, SCN9A, SCN10A, PIEZO2, NEFH, etc. but instead expressing elevated levels of markers of non-neuronal cells including PRP1, MBP, QKI, LPAR1, and APOE were tagged as non-neuronal and were removed.",pending,
H12 neuron,,human,true,NTRK3,explicit,Figure 2B,"A second larger group of human neurons H12 is marked by NTRK3 and the voltage-gated ion channel SCN1A, but is only weakly positive for NEFH, expresses moderate levels of PIEZO2 (Figure 2B, Figure 1—figure supplement 5) and appears distinct from any potential mouse counterpart.",pending,
H12 neuron,,human,true,SCN1A,explicit,Figure 2B,"A second larger group of human neurons H12 is marked by NTRK3 and the voltage-gated ion channel SCN1A, but is only weakly positive for NEFH, expresses moderate levels of PIEZO2 (Figure 2B, Figure 1—figure supplement 5) and appears distinct from any potential mouse counterpart.",pending,
NP1 cells,,mouse,true,Mrgprd,explicit,Discussion,in mice NP1 cells express a large combination of diagnostic markers (Figure 5—figure supplement 2) including Mrgprd that we did not find in our sequencing of human ganglion neurons.,pending,
NP2 neurons,,mouse,true,Mrgpra3,explicit,Discussion,"Moreover, in mice, Mrgpra3 (the functional equivalent of MRGPRX1) marks the distinct NP2 neurons.",pending,
c-nociceptor,H4,human,true,NTRK1,explicit,Figure 2B,"Similarly, we designated H4 as c-nociceptors because of their expression of nociception-related SCN10A and NTRK1 and low level of NEFH (Figure 2B, Figure 1—figure supplement 5).",pending,
c-nociceptor,H4,human,true,SCN10A,explicit,Figure 2B,"Similarly, we designated H4 as c-nociceptors because of their expression of nociception-related SCN10A and NTRK1 and low level of NEFH (Figure 2B, Figure 1—figure supplement 5).",pending,
non-neuronal cells,,human,false,APOE,explicit,"Materials and methods - Single nuclear capture, sequencing, and data analysis","Clusters not expressing high levels of neuronal or somatosensory genes like SNAP25, SCN9A, SCN10A, PIEZO2, NEFH, etc. but instead expressing elevated levels of markers of non-neuronal cells including PRP1, MBP, QKI, LPAR1, and APOE were tagged as non-neuronal and were removed.",pending,
non-neuronal cells,,human,false,LPAR1,explicit,"Materials and methods - Single nuclear capture, sequencing, and data analysis","Clusters not expressing high levels of neuronal or somatosensory genes like SNAP25, SCN9A, SCN10A, PIEZO2, NEFH, etc. but instead expressing elevated levels of markers of non-neuronal cells including PRP1, MBP, QKI, LPAR1, and APOE were tagged as non-neuronal and were removed.",pending,
non-neuronal cells,,human,false,MBP,explicit,"Materials and methods - Single nuclear capture, sequencing, and data analysis","Clusters not expressing high levels of neuronal or somatosensory genes like SNAP25, SCN9A, SCN10A, PIEZO2, NEFH, etc. but instead expressing elevated levels of markers of non-neuronal cells including PRP1, MBP, QKI, LPAR1, and APOE were tagged as non-neuronal and were removed.",pending,
non-neuronal cells,,human,false,PRP1,explicit,"Materials and methods - Single nuclear capture, sequencing, and data analysis","Clusters not expressing high levels of neuronal or somatosensory genes like SNAP25, SCN9A, SCN10A, PIEZO2, NEFH, etc. but instead expressing elevated levels of markers of non-neuronal cells including PRP1, MBP, QKI, LPAR1, and APOE were tagged as non-neuronal and were removed.",pending,
non-neuronal cells,,human,false,QKI,explicit,"Materials and methods - Single nuclear capture, sequencing, and data analysis","Clusters not expressing high levels of neuronal or somatosensory genes like SNAP25, SCN9A, SCN10A, PIEZO2, NEFH, etc. but instead expressing elevated levels of markers of non-neuronal cells including PRP1, MBP, QKI, LPAR1, and APOE were tagged as non-neuronal and were removed.",pending,
peptidergic nociceptor,,human,true,ADCYAP1,explicit,Figure 1C,"In the human DRG dataset, TAC1 (substance P), CALCA and CALCB (CGRP), and ADCYAP1 (PACAP), are expressed in several transcriptomic classes (H1, H2, H3, H5, and H6, Figure 1C, Figure 1—figure supplements 4 and 5).",pending,
peptidergic nociceptor,,human,true,CALCA,explicit,Figure 1C,"In the human DRG dataset, TAC1 (substance P), CALCA and CALCB (CGRP), and ADCYAP1 (PACAP), are expressed in several transcriptomic classes (H1, H2, H3, H5, and H6, Figure 1C, Figure 1—figure supplements 4 and 5).",pending,
