cell_type,subtype,species,is_pns_cell,gene_symbol,evidence_level,source_section,source_context,review_status,notes
B cells,,mouse,false,Cd19,explicit,Methods p.7-8,B cells: Cd19,pending,
Pdgfra-positive mesenchymal cells,epineurial,rat,false,Dpp4,explicit,Results (3 DPI scRNA-seq),"Dpp4-positive epineurial cells (clusters 1, 4, and 6)",pending,
Pdgfra-positive mesenchymal cells,endoneurial,rat,false,Wif1,explicit,Results (3 DPI scRNA-seq),Wif1-positive endoneurial cells (cluster3),pending,
Schwann cells,non-myelinating,rat,true,Cdh2,explicit,Results (uninjured nerve scRNA-seq),"non-myelinating cells expressing Ngfr/p75NTR, Cdh2, and L1cam",pending,
Schwann cells,non-myelinating,rat,true,L1cam,explicit,Results (uninjured nerve scRNA-seq),"non-myelinating cells expressing Ngfr/p75NTR, Cdh2, and L1cam",pending,
Schwann cells,myelinating,rat,true,Mag,explicit,Results (neonatal nerve scRNA-seq),"myelinating Schwann cells expressing high levels of Mag, Mbp, Mpz, and Pmp22",pending,
Schwann cells,myelinating,rat,true,Mbp,explicit,Results (uninjured nerve and neonatal nerve scRNA-seq),"myelinating Schwann cells expressing high levels of Mbp, Pmp22, and Plp (adult); myelinating Schwann cells expressing high levels of Mag, Mbp, Mpz, and Pmp22 (neonatal)",pending,
Schwann cells,myelinating,rat,true,Mpz,explicit,Results (neonatal nerve scRNA-seq),"myelinating Schwann cells expressing high levels of Mag, Mbp, Mpz, and Pmp22",pending,
Schwann cells,non-myelinating,rat,true,Ngfr,explicit,Results (uninjured nerve scRNA-seq),"non-myelinating cells expressing Ngfr/p75NTR, Cdh2, and L1cam",pending,
Schwann cells,myelinating,rat,true,Plp,explicit,Results (uninjured nerve scRNA-seq),"myelinating Schwann cells expressing high levels of Mbp, Pmp22, and Plp",pending,
Schwann cells,myelinating,rat,true,Pmp22,explicit,Results (uninjured nerve and neonatal nerve scRNA-seq),"myelinating Schwann cells expressing high levels of Mbp, Pmp22, and Plp (adult); myelinating Schwann cells expressing high levels of Mag, Mbp, Mpz, and Pmp22 (neonatal)",pending,
Schwann cells,,rat,true,S100b,explicit,Results p.61,the remaining cells being S100b-positive Schwann cells,pending,
Schwann cells,,rat,true,Sox10,explicit,Results (3 DPI scRNA-seq),Sox10-positive Schwann cells,pending,
Schwann lineage cells,,mouse,true,Ngfr,explicit,Methods p.7-8,Schwann lineage cells: Ngfr/p75NTR and Sox10,pending,
Schwann lineage cells,,mouse,true,Sox10,explicit,Methods p.7-8; Fig.1D,Schwann lineage cells: Ngfr/p75NTR and Sox10; also shown as Schwann cell marker in Fig.1D t-SNE overlay,pending,
VSM and pericyte cells,,rat,false,Rgs5,explicit,Results (3 DPI scRNA-seq),Rgs5-positive VSM and pericyte cells,pending,
