cell_type,subtype,species,is_pns_cell,gene_symbol,evidence_level,source_section,source_context,review_status,notes
CD4+ T cells,,human,false,CD4,explicit,"Fig 2E,F; S1C","increase in abundance of total T cells (CD3+), CD4+, CD8+ and regulatory T cells with age",pending,
CD8+ T cells,,human,false,CD8,explicit,"Fig 2E,F; S1C","increase in abundance of total T cells (CD3+), CD4+, CD8+ and regulatory T cells with age",pending,
DC2 cells,,human,false,CD1C,explicit,"Fig 7D,E",utilizing CD1C as a marker for DC2 cells,pending,
HSCs,,human,false,SMIM24,explicit,"Results p.9; Fig 5G,H, S8A,B","This included rare SMIM24+SPINK2+ cells, likely HSCs",pending,
HSCs,,human,false,SPINK2,explicit,"Results p.9; Fig 5G,H, S8A,B","This included rare SMIM24+SPINK2+ cells, likely HSCs",pending,
ILCPs,,human,false,HPN,explicit,Fig S6E,A cluster of ILCPs was identified by expression of marker genes (HPN and SCN1B),pending,
ILCPs,,human,false,SCN1B,explicit,Fig S6E,A cluster of ILCPs was identified by expression of marker genes (HPN and SCN1B),pending,
LMPP/ELP,,human,false,CD34,explicit,"Fig 3A-C, Data File S3",LMPP/ELP (CD34+EBF1-),pending,
MUC5AC+ early progenitors,,human,false,MUC5AC,explicit,Discussion p.14,IL-13 exhibits a similar effect on tip progenitor cells as IL-1β but promotes a distinct differentiation trajectory that notably diminishes the population of MUC5AC+ early progenitors.,pending,
SOX9+ tip progenitors,,human,false,SOX9,explicit,Discussion p.14,"spatially detected IL-1β-expressing immune cells in close proximity to the SOX9+ tip progenitors in these developmental stages (Fig 7A,D,E,F).",pending,
T cells,,human,false,CD3,explicit,"Fig 2E,F; S1C",a significant increase in abundance of total T cells (CD3+),pending,
T progenitors,,human,false,PTCRA,explicit,Fig S6D,a very small cluster of T progenitors (PTCRA+RAG1+RAG2+),pending,
T progenitors,,human,false,RAG1,explicit,Fig S6D,a very small cluster of T progenitors (PTCRA+RAG1+RAG2+),pending,
T progenitors,,human,false,RAG2,explicit,Fig S6D,a very small cluster of T progenitors (PTCRA+RAG1+RAG2+),pending,
TP63+ basal-fated airway cells,,human,false,TP63,explicit,Discussion p.14,"Our findings demonstrate that myeloid cells residing within the tip-stalk-airway differentiation niche are capable of secreting IL-1β, indicating their potential involvement in the emergence of TP63+ basal-fated airway cells (Fig 7G).",pending,
airway progenitors,,human,false,SOX2,explicit,Results p.10,"SOX2 increases and cells move proximally, to become SOX9-/SOX2+ airway progenitors",pending,
basal cells,,human,false,KRT5,explicit,Fig 6G,TP63 and KRT5 (both markers of basal cells),pending,
basal cells,,human,false,TP63,explicit,Fig 6G,TP63 and KRT5 (both markers of basal cells),pending,
ciliated cells,,human,false,FOXJ1,explicit,Fig 6G,the ciliated cell marker FOXJ1,pending,
epithelial tip progenitors,,human,false,SOX2,explicit,"Results p.10; Fig 6A,D",Distal epithelial tip cells co-express SOX9 and SOX2 throughout the pseudoglandular stage; we utilized SOX2 and SOX9 as markers,pending,
epithelial tip progenitors,,human,false,SOX9,explicit,"Results p.10; Fig 6A,D",Distal epithelial tip cells co-express SOX9 and SOX2 throughout the pseudoglandular stage; we utilized SOX2 and SOX9 as markers,pending,
immature B cells,,human,false,IGHM,explicit,"Fig 3A-C, Data File S3",immature B (MS4A1+IGHDloIGHMhiVPREB3hi),pending,
immature B cells,,human,false,MS4A1,explicit,"Fig 3A-C, Data File S3",immature B (MS4A1+IGHDloIGHMhiVPREB3hi),pending,
immature B cells,,human,false,VPREB3,explicit,"Fig 3A-C, Data File S3",immature B (MS4A1+IGHDloIGHMhiVPREB3hi),pending,
immune cells,,human,false,CD45,explicit,Fig 1C,IHC showed that CD45+ immune cells were present in human fetal lungs throughout early development,pending,
