cell_type,subtype,species,is_pns_cell,gene_symbol,evidence_level,source_section,source_context,review_status,notes
B cells,,mouse,false,Bank1,explicit,Marker Genes for the Identification of Cell Clusters,"Bank1, Cbfa2t3, Taok3, Ms4a1, Cd19, and Cd79a for B cells.",pending,
B cells,,mouse,false,Cbfa2t3,explicit,Marker Genes for the Identification of Cell Clusters,"Bank1, Cbfa2t3, Taok3, Ms4a1, Cd19, and Cd79a for B cells.",pending,
B cells,,mouse,false,Cd19,explicit,Marker Genes for the Identification of Cell Clusters,"Bank1, Cbfa2t3, Taok3, Ms4a1, Cd19, and Cd79a for B cells.",pending,
B cells,,mouse,false,Cd40,explicit,"explicit mention in text (citing Wolbert et al., 2020)","Wolbert et al. showed that B cells could be identified in intact mouse sciatic nerves using marker genes such as Bank1, Ms4a1, Cd19, Cd40, and Cd79a",pending,
B cells,,mouse,false,Cd79a,explicit,Marker Genes for the Identification of Cell Clusters,"Bank1, Cbfa2t3, Taok3, Ms4a1, Cd19, and Cd79a for B cells.",pending,
B cells,,mouse,false,Ms4a1,explicit,Marker Genes for the Identification of Cell Clusters,"Bank1, Cbfa2t3, Taok3, Ms4a1, Cd19, and Cd79a for B cells.",pending,
B cells,,mouse,false,Taok3,explicit,Marker Genes for the Identification of Cell Clusters,"Bank1, Cbfa2t3, Taok3, Ms4a1, Cd19, and Cd79a for B cells.",pending,
Endoneurial endothelial cells,,mouse,false,Emcn,explicit,Identifying Epineurial and Endoneurial Endothelial Cells in Intact Mouse Sciatic Nerve,"All three new EC sub-clusters express classic EC marker genes such as Pecam1/Cd31, Tie1, and Emcn (Supplementary Figure 2)",pending,
Endoneurial endothelial cells,,mouse,false,Lrg1,explicit,Identifying Epineurial and Endoneurial Endothelial Cells in Intact Mouse Sciatic Nerve,We chose Lrg1 for cluster 5 to do in vivo staining,pending,
Endoneurial endothelial cells,,mouse,false,Pecam1/Cd31,explicit,Identifying Epineurial and Endoneurial Endothelial Cells in Intact Mouse Sciatic Nerve,"All three new EC sub-clusters express classic EC marker genes such as Pecam1/Cd31, Tie1, and Emcn (Supplementary Figure 2)",pending,
Endoneurial endothelial cells,,mouse,false,Tie1,explicit,Identifying Epineurial and Endoneurial Endothelial Cells in Intact Mouse Sciatic Nerve,"All three new EC sub-clusters express classic EC marker genes such as Pecam1/Cd31, Tie1, and Emcn (Supplementary Figure 2)",pending,
Endoneurial fibroblasts,,mouse,false,Abca9,explicit,Identifying Endoneurial Fibroblasts and Perineurial Cells,"they express marker genes for endoneurial fibroblasts such as Sox9, Osr2, Pdgfra, Cd34, Abca9, Cdkn2a, Cdkn2b, and Plxdc1",pending,
Endoneurial fibroblasts,,mouse,false,Cd34,explicit,Identifying Endoneurial Fibroblasts and Perineurial Cells,"they express marker genes for endoneurial fibroblasts such as Sox9, Osr2, Pdgfra, Cd34, Abca9, Cdkn2a, Cdkn2b, and Plxdc1",pending,
Endoneurial fibroblasts,,mouse,false,Cdkn2a,explicit,Identifying Endoneurial Fibroblasts and Perineurial Cells,"they express marker genes for endoneurial fibroblasts such as Sox9, Osr2, Pdgfra, Cd34, Abca9, Cdkn2a, Cdkn2b, and Plxdc1",pending,
Endoneurial fibroblasts,,mouse,false,Cdkn2b,explicit,Identifying Endoneurial Fibroblasts and Perineurial Cells,"they express marker genes for endoneurial fibroblasts such as Sox9, Osr2, Pdgfra, Cd34, Abca9, Cdkn2a, Cdkn2b, and Plxdc1",pending,
Endoneurial fibroblasts,,mouse,false,Ngfr,explicit,Results p.9,Due to endoneurial fibroblasts expressing Ngfr,pending,
