cell_type,subtype,species,is_pns_cell,gene_symbol,evidence_level,source_section,source_context,review_status,notes
Schwann cell sub-type 1,sub-type 1,rat,true,Hbb,explicit,Figure 6c-d / Table S2,"Schwann cell sub-type 1 marker genes LOC100134871 and Hbb, Schwann cell sub-type 2 marker genes Cldn19 and Emid1, Schwann cell sub-type 3 marker genes Timp3 and Clo5a3, and Schwann cell sub-type 4 marker genes Cenpf and Mki67 were further displayed in dot plots and violin plots (Figure 6d).",pending,
Schwann cell sub-type 1,sub-type 1,rat,true,LOC100134871,explicit,Figure 6c-d / Table S2,"Schwann cell sub-type 1 marker genes LOC100134871 and Hbb, Schwann cell sub-type 2 marker genes Cldn19 and Emid1, Schwann cell sub-type 3 marker genes Timp3 and Clo5a3, and Schwann cell sub-type 4 marker genes Cenpf and Mki67 were further displayed in dot plots and violin plots (Figure 6d).",pending,
Schwann cell sub-type 2,sub-type 2,rat,true,Cldn19,explicit,Figure 6c-d / Table S2,"Schwann cell sub-type 1 marker genes LOC100134871 and Hbb, Schwann cell sub-type 2 marker genes Cldn19 and Emid1, Schwann cell sub-type 3 marker genes Timp3 and Clo5a3, and Schwann cell sub-type 4 marker genes Cenpf and Mki67 were further displayed in dot plots and violin plots (Figure 6d).",pending,
Schwann cell sub-type 2,sub-type 2,rat,true,Emid1,explicit,Figure 6c-d / Table S2,"Schwann cell sub-type 1 marker genes LOC100134871 and Hbb, Schwann cell sub-type 2 marker genes Cldn19 and Emid1, Schwann cell sub-type 3 marker genes Timp3 and Clo5a3, and Schwann cell sub-type 4 marker genes Cenpf and Mki67 were further displayed in dot plots and violin plots (Figure 6d).",pending,
Schwann cell sub-type 3,sub-type 3,rat,true,Clo5a3,explicit,Figure 6c-d / Table S2,"Schwann cell sub-type 1 marker genes LOC100134871 and Hbb, Schwann cell sub-type 2 marker genes Cldn19 and Emid1, Schwann cell sub-type 3 marker genes Timp3 and Clo5a3, and Schwann cell sub-type 4 marker genes Cenpf and Mki67 were further displayed in dot plots and violin plots (Figure 6d).",pending,
Schwann cell sub-type 3,sub-type 3,rat,true,Timp3,explicit,Figure 6c-d / Table S2,"Schwann cell sub-type 1 marker genes LOC100134871 and Hbb, Schwann cell sub-type 2 marker genes Cldn19 and Emid1, Schwann cell sub-type 3 marker genes Timp3 and Clo5a3, and Schwann cell sub-type 4 marker genes Cenpf and Mki67 were further displayed in dot plots and violin plots (Figure 6d).",pending,
Schwann cell sub-type 4,sub-type 4,rat,true,Cenpf,explicit,Figure 6c-d / Table S2,"Schwann cell sub-type 1 marker genes LOC100134871 and Hbb, Schwann cell sub-type 2 marker genes Cldn19 and Emid1, Schwann cell sub-type 3 marker genes Timp3 and Clo5a3, and Schwann cell sub-type 4 marker genes Cenpf and Mki67 were further displayed in dot plots and violin plots (Figure 6d).",pending,
Schwann cell sub-type 4,sub-type 4,rat,true,Mki67,explicit,Figure 6c-d / Table S2,"Schwann cell sub-type 1 marker genes LOC100134871 and Hbb, Schwann cell sub-type 2 marker genes Cldn19 and Emid1, Schwann cell sub-type 3 marker genes Timp3 and Clo5a3, and Schwann cell sub-type 4 marker genes Cenpf and Mki67 were further displayed in dot plots and violin plots (Figure 6d).",pending,
Schwann cells,,rat,true,Mpz,explicit,Figure 1c / Table S1,"The expressions of marker genes in each cell type, such as Plvap in endothelial cells, Hba-a2.1 in erythrocytes, Apod in fibroblasts, Lyz2 in monocytic cells, Stmn2 in neurons, S100a9 in neutrophils, Kcnj8 in pericytes, Fabp7 in satellite cells, Mpz in Schwann cells, and Acta2 in vSMCs, were demonstrated in a heatmap (Figure 1c; marker genes listed in Table S1).",pending,
endothelial cells,,rat,false,Plvap,explicit,Figure 1c / Table S1,"The expressions of marker genes in each cell type, such as Plvap in endothelial cells, Hba-a2.1 in erythrocytes, Apod in fibroblasts, Lyz2 in monocytic cells, Stmn2 in neurons, S100a9 in neutrophils, Kcnj8 in pericytes, Fabp7 in satellite cells, Mpz in Schwann cells, and Acta2 in vSMCs, were demonstrated in a heatmap (Figure 1c; marker genes listed in Table S1).",pending,
