cell_type,subtype,species,is_pns_cell,gene_symbol,evidence_level,source_section,source_context,review_status,notes
Gli,Gli0,mouse,True,Clcf1,explicit,Discussion,"Gli0 cells, characterized by the upregulation of regeneration-associated genes such as Clcf1 [77] and Runx [78,79]",pending,
Gli,Gli2,mouse,True,Cldn19,explicit,Discussion,"Gli2 cells, which express markers including Mag [80] and Cldn19 [81]",pending,
Gli,Gli2,mouse,True,Mag,explicit,Discussion,"Gli2 cells, which express markers including Mag [80] and Cldn19 [81]",pending,
Gli,Gli0,mouse,True,Runx,explicit,Discussion,"Gli0 cells, characterized by the upregulation of regeneration-associated genes such as Clcf1 [77] and Runx [78,79]",pending,
Glis,Gli0,rat,true,Artn,explicit,Results p.17,"Gli0 (repair Schwann cells) exhibited increased expression of genes such as Clcf1, Met, Artn, and Runx2.",pending,
Glis,Gli0,rat,true,Clcf1,explicit,Results p.17,"Gli0 (repair Schwann cells) exhibited increased expression of genes such as Clcf1, Met, Artn, and Runx2.",pending,
Glis,Gli2,rat,true,Cldn19,explicit,Results p.17,"Gli2, which expressed genes such as Nefm, Cuedc2, Cldn19, and Mag.",pending,
Glis,Gli2,rat,true,Cuedc2,explicit,Results p.17,"Gli2, which expressed genes such as Nefm, Cuedc2, Cldn19, and Mag.",pending,
Glis,Gli5,rat,true,Kcna1,explicit,Results p.17,"Gli5, characteristic of myelinating Schwann cells, expressed markers such as Ncmap, Sema5a, Mt1 and Kcna1.",pending,
Glis,Gli3,rat,true,Kif14,explicit,Results p.17,"Gli3 (proliferating Schwann cells) exhibited high expression of Ube2c, Kif14, Kif4a and Plk1.",pending,
Glis,Gli3,rat,true,Kif4a,explicit,Results p.17,"Gli3 (proliferating Schwann cells) exhibited high expression of Ube2c, Kif14, Kif4a and Plk1.",pending,
Glis,,rat,true,Mag,explicit,Methods p.5 & Fig.1d,"Cell types were annotated based on the expression of established marker genes: Glis (Mpz, S100b, Mag). Dot plot of canonical marker genes across cell types (Fig.1d) also includes Mbp.",pending,
Glis,Gli2,rat,true,Mag,explicit,Results p.17,"Gli2, which expressed genes such as Nefm, Cuedc2, Cldn19, and Mag.",pending,
Glis,,rat,true,Mbp,explicit,Fig.1d,Dot plot of canonical marker genes across cell types (Fig.1d) shows Mbp as a marker for Glis.,pending,
Glis,Gli0,rat,true,Met,explicit,Results p.17,"Gli0 (repair Schwann cells) exhibited increased expression of genes such as Clcf1, Met, Artn, and Runx2.",pending,
Glis,,rat,true,Mpz,explicit,Methods p.5 & Fig.1d,"Cell types were annotated based on the expression of established marker genes: Glis (Mpz, S100b, Mag). Dot plot of canonical marker genes across cell types (Fig.1d) also includes Mbp.",pending,
Glis,Gli5,rat,true,Mt1,explicit,Results p.17,"Gli5, characteristic of myelinating Schwann cells, expressed markers such as Ncmap, Sema5a, Mt1 and Kcna1.",pending,
Glis,Gli5,rat,true,Ncmap,explicit,Results p.17,"Gli5, characteristic of myelinating Schwann cells, expressed markers such as Ncmap, Sema5a, Mt1 and Kcna1.",pending,
Glis,Gli2,rat,true,Nefm,explicit,Results p.17,"Gli2, which expressed genes such as Nefm, Cuedc2, Cldn19, and Mag.",pending,
Glis,Gli3,rat,true,Plk1,explicit,Results p.17,"Gli3 (proliferating Schwann cells) exhibited high expression of Ube2c, Kif14, Kif4a and Plk1.",pending,
Glis,Gli0,rat,true,Runx2,explicit,Results p.17,"Gli0 (repair Schwann cells) exhibited increased expression of genes such as Clcf1, Met, Artn, and Runx2.",pending,
Glis,,rat,true,S100b,explicit,Methods p.5 & Fig.1d,"Cell types were annotated based on the expression of established marker genes: Glis (Mpz, S100b, Mag). Dot plot of canonical marker genes across cell types (Fig.1d) also includes Mbp.",pending,
Glis,Gli5,rat,true,Sema5a,explicit,Results p.17,"Gli5, characteristic of myelinating Schwann cells, expressed markers such as Ncmap, Sema5a, Mt1 and Kcna1.",pending,
Glis,Gli3,rat,true,Ube2c,explicit,Results p.17,"Gli3 (proliferating Schwann cells) exhibited high expression of Ube2c, Kif14, Kif4a and Plk1.",pending,
Gran,,mouse,False,Anxa1,explicit,Discussion,"Gran identifiable by markers such as S100a8/9 [72], Anxa1 [73], Mmp8 [74], and Pglyrp1 [75]",pending,
Gran,,mouse,False,Mmp8,explicit,Discussion,"Gran identifiable by markers such as S100a8/9 [72], Anxa1 [73], Mmp8 [74], and Pglyrp1 [75]",pending,
Gran,,mouse,False,Pglyrp1,explicit,Discussion,"Gran identifiable by markers such as S100a8/9 [72], Anxa1 [73], Mmp8 [74], and Pglyrp1 [75]",pending,
Gran,,mouse,False,S100a8/9,explicit,Discussion,"Gran identifiable by markers such as S100a8/9 [72], Anxa1 [73], Mmp8 [74], and Pglyrp1 [75]",pending,
Mac,,mouse,False,Ass1,explicit,Discussion,distinct Mac subsets emerge—characterized by the expression of Slpi [70] and Ass1 [71],pending,
Mac,,mouse,False,Slpi,explicit,Discussion,distinct Mac subsets emerge—characterized by the expression of Slpi [70] and Ass1 [71],pending,
NF,NF4,mouse,False,Lrg1,explicit,Discussion,"NF4, distinguished by high Lrg1 [54, 55] and Plvap [53, 76] expression",pending,
NF,NF4,mouse,False,Plvap,explicit,Discussion,"NF4, distinguished by high Lrg1 [54, 55] and Plvap [53, 76] expression",pending,
NF,NF0,mouse,False,Spon1,explicit,Discussion,NF0 cells—marked by Spon1,pending,
NFs,,rat,false,Col1a1,explicit,Methods p.5 & Fig.1d,"Cell types were annotated based on the expression of established marker genes: NFs (Col1a1, Dcn, Col3a1). Dot plot of canonical marker genes across cell types (Fig.1d) also includes Col6a2 and Lum.",pending,
NFs,,rat,false,Col3a1,explicit,Methods p.5 & Fig.1d,"Cell types were annotated based on the expression of established marker genes: NFs (Col1a1, Dcn, Col3a1). Dot plot of canonical marker genes across cell types (Fig.1d) also includes Col6a2 and Lum.",pending,
NFs,,rat,false,Col6a2,explicit,Fig.1d,Dot plot of canonical marker genes across cell types (Fig.1d) shows Col6a2 as a marker for NFs.,pending,
NFs,,rat,false,Dcn,explicit,Methods p.5 & Fig.1d,"Cell types were annotated based on the expression of established marker genes: NFs (Col1a1, Dcn, Col3a1). Dot plot of canonical marker genes across cell types (Fig.1d) also includes Col6a2 and Lum.",pending,
NFs,,rat,false,Lum,explicit,Fig.1d,Dot plot of canonical marker genes across cell types (Fig.1d) shows Lum as a marker for NFs.,pending,
endothelial cells,,rat,false,Lrg1,explicit,Introduction,"Marker genes such as Spock2, Rgcc, and Lrg1 have been validated in vivo for the identification of these subtypes, offering improved specificity over classical pan-endothelial markers like Pecam1 [23].",pending,
endothelial cells,,rat,false,Pecam1,explicit,Introduction,"Marker genes such as Spock2, Rgcc, and Lrg1 have been validated in vivo for the identification of these subtypes, offering improved specificity over classical pan-endothelial markers like Pecam1 [23].",pending,
endothelial cells,,rat,false,Rgcc,explicit,Introduction,"Marker genes such as Spock2, Rgcc, and Lrg1 have been validated in vivo for the identification of these subtypes, offering improved specificity over classical pan-endothelial markers like Pecam1 [23].",pending,
endothelial cells,,rat,false,Spock2,explicit,Introduction,"Marker genes such as Spock2, Rgcc, and Lrg1 have been validated in vivo for the identification of these subtypes, offering improved specificity over classical pan-endothelial markers like Pecam1 [23].",pending,
immune cells,,rat,false,Adgre1,explicit,Fig.1d,Dot plot of canonical marker genes across cell types (Fig.1d) shows Adgre1 as a marker for immune cells.,pending,
immune cells,,rat,false,Aif1,explicit,Methods p.5 & Fig.1d,"Cell types were annotated based on the expression of established marker genes: immune cells (Aif1, Cd68, Cd3e). Dot plot of canonical marker genes across cell types (Fig.1d) also includes Cd3g, Inpp5d, and Adgre1.",pending,
immune cells,,rat,false,Cd3e,explicit,Methods p.5 & Fig.1d,"Cell types were annotated based on the expression of established marker genes: immune cells (Aif1, Cd68, Cd3e). Dot plot of canonical marker genes across cell types (Fig.1d) also includes Cd3g, Inpp5d, and Adgre1.",pending,
immune cells,,rat,false,Cd3g,explicit,Fig.1d,Dot plot of canonical marker genes across cell types (Fig.1d) shows Cd3g as a marker for immune cells.,pending,
immune cells,,rat,false,Cd68,explicit,Methods p.5 & Fig.1d,"Cell types were annotated based on the expression of established marker genes: immune cells (Aif1, Cd68, Cd3e). Dot plot of canonical marker genes across cell types (Fig.1d) also includes Cd3g, Inpp5d, and Adgre1.",pending,
immune cells,,rat,false,Inpp5d,explicit,Fig.1d,Dot plot of canonical marker genes across cell types (Fig.1d) shows Inpp5d as a marker for immune cells.,pending,
vascular cells,,rat,false,Acta2,explicit,Fig.1d,Dot plot of canonical marker genes across cell types (Fig.1d) shows Acta2 as a marker for vascular cells.,pending,
vascular cells,,rat,false,Des,explicit,Fig.1d,Dot plot of canonical marker genes across cell types (Fig.1d) shows Des as a marker for vascular cells.,pending,
vascular cells,,rat,false,Esam,explicit,Methods p.5 & Fig.1d,"Cell types were annotated based on the expression of established marker genes: vascular cells (Vtn, Esam, Plvap). Dot plot of canonical marker genes across cell types (Fig.1d) also includes Acta2 and Des.",pending,
vascular cells,,rat,false,Plvap,explicit,Methods p.5 & Fig.1d,"Cell types were annotated based on the expression of established marker genes: vascular cells (Vtn, Esam, Plvap). Dot plot of canonical marker genes across cell types (Fig.1d) also includes Acta2 and Des.",pending,
vascular cells,,rat,false,Vtn,explicit,Methods p.5 & Fig.1d,"Cell types were annotated based on the expression of established marker genes: vascular cells (Vtn, Esam, Plvap). Dot plot of canonical marker genes across cell types (Fig.1d) also includes Acta2 and Des.",pending,
