cell_type,subtype,species,is_pns_cell,gene_symbol,evidence_level,source_section,source_context,review_status,notes
AT2 cell,,mouse,false,Sftpc,explicit,Extended Data Fig. 12c,"Alveolar section of adult mouse lung probed by smFISH for general alveolar epithelial marker Nkx2-1, AT2 marker Sftpc, and transcription factor Myrf.",pending,
alveolar epithelial cell,,mouse,false,Nkx2-1,explicit,Extended Data Fig. 12c,"Alveolar section of adult mouse lung probed by smFISH for general alveolar epithelial marker Nkx2-1, AT2 marker Sftpc, and transcription factor Myrf.",pending,
goblet cell,,mouse,false,MUC5AC,explicit,Extended Data Fig. 12c,Dot plot of expression of canonical goblet cell markers MUC5B and MUC5AC and transcription factor SPDEF in mouse (left) and human (right) goblet cells.,pending,
goblet cell,,mouse,false,MUC5B,explicit,Extended Data Fig. 12c,Dot plot of expression of canonical goblet cell markers MUC5B and MUC5AC and transcription factor SPDEF in mouse (left) and human (right) goblet cells.,pending,
goblet cell,,mouse,false,SPDEF,explicit,Extended Data Fig. 12c,Dot plot of expression of canonical goblet cell markers MUC5B and MUC5AC and transcription factor SPDEF in mouse (left) and human (right) goblet cells.,pending,
serous cell,,human,false,BPIFBP1,explicit,Extended Data Fig. 12g,"Dot plots of expression of serous cell markers LTF, LYZ, BPIFBP1 and HP showing switched expression (type 3 change) from mouse airway epithelial cells to human serous cells, which mice lack (asterisk).",pending,
serous cell,,human,false,HP,explicit,Extended Data Fig. 12g,"Dot plots of expression of serous cell markers LTF, LYZ, BPIFBP1 and HP showing switched expression (type 3 change) from mouse airway epithelial cells to human serous cells, which mice lack (asterisk).",pending,
serous cell,,human,false,LTF,explicit,Extended Data Fig. 12g,"Dot plots of expression of serous cell markers LTF, LYZ, BPIFBP1 and HP showing switched expression (type 3 change) from mouse airway epithelial cells to human serous cells, which mice lack (asterisk).",pending,
serous cell,,human,false,LYZ,explicit,Extended Data Fig. 12g,"Dot plots of expression of serous cell markers LTF, LYZ, BPIFBP1 and HP showing switched expression (type 3 change) from mouse airway epithelial cells to human serous cells, which mice lack (asterisk).",pending,
AT1 cell,,mouse,false,Myrf,implied,Extended Data Fig. 12c,"Note Myrf is selectively expressed in mouse AT1 cells (Nkx2-1+ Sftpc− cells), as it is in humans (Extended Data Fig. 6c).",pending,
lipofibroblast,,human,false,APOE,implied,Extended Data Fig. 12g,"Dot plots of expression of lipid handling genes APOE, PLIN2 and FST show switched expression (type 3 change) from mouse alveolar stromal cells to human lipofibroblasts, which mice lack (asterisks).",pending,
lipofibroblast,,human,false,FST,implied,Extended Data Fig. 12g,"Dot plots of expression of lipid handling genes APOE, PLIN2 and FST show switched expression (type 3 change) from mouse alveolar stromal cells to human lipofibroblasts, which mice lack (asterisks).",pending,
lipofibroblast,,human,false,PLIN2,implied,Extended Data Fig. 12g,"Dot plots of expression of lipid handling genes APOE, PLIN2 and FST show switched expression (type 3 change) from mouse alveolar stromal cells to human lipofibroblasts, which mice lack (asterisks).",pending,
