cell_type,subtype,species,is_pns_cell,gene_symbol,evidence_level,source_section,source_context,review_status,notes
AT2-like cells,organoid,human,false,ACE2,explicit,Fig.3A,"Similarly, the SFTPC-GFP reporter and the AT2-specific LAMP3, HOPX, and ACE2 proteins increased",pending,
AT2-like cells,organoid,human,false,AXIN2,explicit,Fig.5K,"NKX2.1 also upregulated other AT2 markers including SCL34A2, LAMP3, CEBPD, HOPX, and AXIN2",pending,
AT2-like cells,organoid,human,false,CEBPD,explicit,Fig.5K,"NKX2.1 also upregulated other AT2 markers including SCL34A2, LAMP3, CEBPD, HOPX, and AXIN2",pending,
AT2-like cells,organoid,human,false,HOPX,explicit,Fig.3D,"UMAP plots showing transcript expression of AT2 lineage markers, SFTPC, HOPX, SLC34A2, and tip progenitor marker, SOX9, in the organoids.",pending,
AT2-like cells,organoid,human,false,LAMP3,explicit,Fig.3A,"Similarly, the SFTPC-GFP reporter and the AT2-specific LAMP3, HOPX, and ACE2 proteins increased",pending,
AT2-like cells,organoid,human,false,SFTPC,explicit,Fig.3D,"UMAP plots showing transcript expression of AT2 lineage markers, SFTPC, HOPX, SLC34A2, and tip progenitor marker, SOX9, in the organoids.",pending,
AT2-like cells,organoid,human,false,SLC34A2,explicit,Fig.3D,"UMAP plots showing transcript expression of AT2 lineage markers, SFTPC, HOPX, SLC34A2, and tip progenitor marker, SOX9, in the organoids.",pending,
airway progenitor cells,,human,false,SOX2,explicit,Results p.22,"qRT-PCR showed that the 17–20 pcw CD44+CD36+ cells robustly expressed CD36, CD44, SFTPC, and SOX9, but extremely low levels of the airway markers, TP63 and SOX2.",pending,
airway progenitor cells,,human,false,TP63,explicit,Results p.22,"qRT-PCR showed that the 17–20 pcw CD44+CD36+ cells robustly expressed CD36, CD44, SFTPC, and SOX9, but extremely low levels of the airway markers, TP63 and SOX2.",pending,
alveolar fibroblast,,human,false,FGFR4,explicit,Fig.4E,PDGFRA−CD141− fibroblasts express high levels of WNT2 and FGFR4,pending,
alveolar fibroblast,,human,false,WNT2,explicit,Fig.4E,PDGFRA−CD141− fibroblasts express high levels of WNT2 and FGFR4,pending,
alveolar type 1 (AT1) cells,,human,false,NKX2.1,explicit,Results p.28,"At 20 pcw onward, NKX2.1+, SPOCK2+ differentiating AT1 cells emerged at the SFTPC− stalk regions",pending,
