cell_type,subtype,species,is_pns_cell,gene_symbol,evidence_level,source_section,source_context,review_status,notes
BC,,mouse,false,Cd79,explicit,Results p.9467,B cells (BCs; Cd79),pending,
BC,,mouse,false,Cd79a,explicit,Results p.9469 & Fig.3G,BCs (Cd79a and Ighm),pending,
BC,,mouse,false,Ighm,explicit,Results p.9469 & Fig.3G,BCs (Cd79a and Ighm),pending,
EC1,,mouse,false,Cldn5,explicit,Results p.9467,"of vascular endothelial cells (EC1s; Cldn5, Egfl7, and Pecam1)",pending,
EC1,,mouse,false,Egfl7,explicit,Results p.9467,"of vascular endothelial cells (EC1s; Cldn5, Egfl7, and Pecam1)",pending,
EC1,,mouse,false,Pecam1,explicit,Results p.9467,"of vascular endothelial cells (EC1s; Cldn5, Egfl7, and Pecam1)",pending,
EC2,,mouse,false,Cldn1,explicit,Results p.9467,An additional endothelial cell cluster expressed genes associated with the blood nerve barrier (EC2s; Cldn1 and Slc16a1),pending,
EC2,,mouse,false,Slc16a1,explicit,Results p.9467,An additional endothelial cell cluster expressed genes associated with the blood nerve barrier (EC2s; Cldn1 and Slc16a1),pending,
MC,,mouse,false,Lyz2,explicit,Results p.9467,specifically markers of the myeloid cell lineage (MC; Lyz2),pending,
MP,,mouse,false,Cd68,explicit,Results p.9467,macrophages (MP; Cd68),pending,
PC,,mouse,false,Pdgrfb,explicit,Results p.9467,of pericytes (PCs; Rgs5 and Pdgrfb),pending,
PC,,mouse,false,Rgs5,explicit,Results p.9467,of pericytes (PCs; Rgs5 and Pdgrfb),pending,
TC,,mouse,false,Cd2,explicit,Results p.9469 & Fig.3G,TCs (Cd3e and Cd2),pending,
TC,,mouse,false,Cd3e,explicit,Results p.9467,T cells (TCs; Cd3e) and B cells (BCs; Cd79),pending,
fibro,,mouse,false,Col1a,explicit,Results p.9467,"An additional cluster expressed fibroblast markers (fibro; Fn1, Fgfr1, Col1a, and Col3a)",pending,
fibro,,mouse,false,Col3a,explicit,Results p.9467,"An additional cluster expressed fibroblast markers (fibro; Fn1, Fgfr1, Col1a, and Col3a)",pending,
fibro,,mouse,false,Fgfr1,explicit,Results p.9467,"An additional cluster expressed fibroblast markers (fibro; Fn1, Fgfr1, Col1a, and Col3a)",pending,
fibro,,mouse,false,Fn1,explicit,Results p.9467,"An additional cluster expressed fibroblast markers (fibro; Fn1, Fgfr1, Col1a, and Col3a)",pending,
fibro,,mouse,false,Sfrp4,explicit,Results p.9469 & Fig.1E,RNA ISH of Sfrp4 showed expression in some large epineurial cells with patchy cytosolic staining pattern,pending,
lymph,,mouse,false,Lyve1,explicit,Results p.9467,of lymphatic endothelial cells (lymph; Lyve1 and Prox1),pending,
lymph,,mouse,false,Prox1,explicit,Results p.9467,of lymphatic endothelial cells (lymph; Lyve1 and Prox1),pending,
mast,,rat,false,Cma1,explicit,Results p.9469 & Fig.3G,a small cluster of mast cells (Cma1 and Mcpt8),pending,
mast,,rat,false,Mcpt8,explicit,Results p.9469 & Fig.3G,a small cluster of mast cells (Cma1 and Mcpt8),pending,
mySC,,mouse,true,Erbb3,explicit,Results p.9467 & Fig.1C,"One cluster expressed pan-Schwann cell markers (e.g., Erbb3 and S100b) and also coexpressed myelin protein genes (e.g., Mbp and Plp1)",pending,
mySC,,mouse,true,Mbp,explicit,Results p.9467 & Fig.1C,"One cluster expressed pan-Schwann cell markers (e.g., Erbb3 and S100b) and also coexpressed myelin protein genes (e.g., Mbp and Plp1)",pending,
mySC,,mouse,true,Plp1,explicit,Results p.9467 & Fig.1C,"One cluster expressed pan-Schwann cell markers (e.g., Erbb3 and S100b) and also coexpressed myelin protein genes (e.g., Mbp and Plp1)",pending,
mySC,,mouse,true,S100b,explicit,Results p.9467 & Fig.1C,"One cluster expressed pan-Schwann cell markers (e.g., Erbb3 and S100b) and also coexpressed myelin protein genes (e.g., Mbp and Plp1)",pending,
nmSC,,mouse,true,Apod,explicit,Results p.9467 & Fig.1E,It highly transcribed a lipoprotein gene (Apod),pending,
nmSC,,mouse,true,Ngfr,explicit,Results p.9467 & Fig.1C,"another cluster did not express myelin protein genes, but a known SC receptor (Ngfr/p75)",pending,
nmSC,,mouse,true,Smoc2,explicit,Results p.9469 & Fig.1E,"From the top genes identified in the nmSC cell cluster (SI Appendix, Table S2), we selected transcripts with high and specific expression in the nmSC cluster (Apod and Smoc2)",pending,
vSMC,,mouse,false,Acta2,explicit,Results p.9467,"Vascular clusters expressed canonical markers of vascular smooth muscle cells (vSMCs; Acta2, Tagln, and Tpm2)",pending,
vSMC,,mouse,false,Tagln,explicit,Results p.9467,"Vascular clusters expressed canonical markers of vascular smooth muscle cells (vSMCs; Acta2, Tagln, and Tpm2)",pending,
vSMC,,mouse,false,Tpm2,explicit,Results p.9467,"Vascular clusters expressed canonical markers of vascular smooth muscle cells (vSMCs; Acta2, Tagln, and Tpm2)",pending,
BC,,mouse,false,H2-Aa,implied,Results p.9469,"genes associated with antigen presentation (e.g., H2-Aa)",pending,
BC,,mouse,false,Ighd,implied,Results p.9469,"The BC cluster (Cd79a and Ms4a1/Cd20) expressed markers of naive, nonclass-switched B cells (Ighd, negative for: Xbp1, Sdc1/Cd138) and genes associated with antigen presentation (e.g., H2-Aa)",pending,
BC,,mouse,false,Ms4a1,implied,Results p.9469,"The BC cluster (Cd79a and Ms4a1/Cd20) expressed markers of naive, nonclass-switched B cells (Ighd, negative for: Xbp1, Sdc1/Cd138) and genes associated with antigen presentation (e.g., H2-Aa)",pending,
EC2,,mouse,false,Dleu7,implied,Results p.9467,"or had been described in subsets of brain or lung endothelial cells (e.g., Lypd2, Krt19 and Dleu7)",pending,
EC2,,mouse,false,Krt19,implied,Results p.9467,"or had been described in subsets of brain or lung endothelial cells (e.g., Lypd2, Krt19 and Dleu7)",pending,
EC2,,mouse,false,Lypd2,implied,Results p.9467,"or had been described in subsets of brain or lung endothelial cells (e.g., Lypd2, Krt19 and Dleu7)",pending,
EC2,,mouse,false,Moxd1,implied,Results p.9467,Additional transcripts in the EC2 cluster were either novel to endothelial cells (Moxd1 and Ntng1),pending,
EC2,,mouse,false,Ntng1,implied,Results p.9467,Additional transcripts in the EC2 cluster were either novel to endothelial cells (Moxd1 and Ntng1),pending,
Endothelial cell,,human,False,CD34,implied,Methods: Immunofluorescence,"The following antibodies were used: CD45, CD68, CD8, CD4, CD34, SMA/ACTA2, SOX10, and MBP.",pending,
Leukocyte,,human,False,CD45,implied,Methods: Immunofluorescence,"The following antibodies were used: CD45, CD68, CD8, CD4, CD34, SMA/ACTA2, SOX10, and MBP.",pending,
MC,,mouse,false,Alcam,implied,Results p.9469,"The second cluster (MC) expressed high levels of antigen-presenting molecules (e.g., RT1-Bb) and alternative trafficking molecules (Ccl17, Ccl6, and Alcam)",pending,
MC,,mouse,false,Ccl17,implied,Results p.9469,"The second cluster (MC) expressed high levels of antigen-presenting molecules (e.g., RT1-Bb) and alternative trafficking molecules (Ccl17, Ccl6, and Alcam)",pending,
MC,,mouse,false,Cd300a,implied,Results p.9469,phagocytosis (Cd300a),pending,
MC,,mouse,false,Clec4e,implied,Results p.9469,pattern recognition (Clec4e),pending,
MC,,mouse,false,Csf1r,implied,Results p.9469,activation (Csf1r),pending,
MC,,mouse,false,Cx3cr1,implied,Results p.9469,The MC cluster expressed markers of nonclassical monocytes (Fcgr3/CD16) and genes associated with long-lived CNS microglia (Cx3cr1),pending,
MC,,mouse,false,Fcgr3,implied,Results p.9469,The MC cluster expressed markers of nonclassical monocytes (Fcgr3/CD16) and genes associated with long-lived CNS microglia (Cx3cr1),pending,
MC,,mouse,false,RT1-Bb,implied,Results p.9469,"The second cluster (MC) expressed high levels of antigen-presenting molecules (e.g., RT1-Bb) and alternative trafficking molecules (Ccl17, Ccl6, and Alcam)",pending,
MP,,mouse,false,Adgre1,implied,Results p.9469,"The MP cluster (Adgre1/F4/80) expressed markers of classical monocytes (Cd14), nervous system-resident macrophages (Aif1/Iba1), and unique chemokines (e.g., Ccl6, Ccl9, and Ccl4)",pending,
MP,,mouse,false,Aif1,implied,Results p.9469,"The MP cluster (Adgre1/F4/80) expressed markers of classical monocytes (Cd14), nervous system-resident macrophages (Aif1/Iba1), and unique chemokines (e.g., Ccl6, Ccl9, and Ccl4)",pending,
