cell_type,subtype,species,is_pns_cell,gene_symbol,evidence_level,source_section,source_context,review_status,notes
APOE+ macrophages,,human,false,APOE,explicit,Development of the myeloid compartment in fetal lungs,"followed by maturing macrophage (MΦ) cell types (CXCL2+ macrophages, APOE+ macrophages, macrophages)",pending,
CD16+ monocytes,,human,false,CD16,explicit,Development of the myeloid compartment in fetal lungs,"pro-monocyte and monocyte populations (S100A12hi CD14+, S100A12loCD14+ and CD16+)",pending,
CD5+ mature B cells,,human,false,CCL22,explicit,B cell developmental niche in human fetal lungs,"The final stage of mature CD5+ cells was marked by CD5, CD27, SPN (CD43), CCR10 and CCL22",pending,
CD5+ mature B cells,,human,false,CCR10,explicit,B cell developmental niche in human fetal lungs,"The final stage of mature CD5+ cells was marked by CD5, CD27, SPN (CD43), CCR10 and CCL22",pending,
CD5+ mature B cells,,human,false,CD27,explicit,B cell developmental niche in human fetal lungs,"The final stage of mature CD5+ cells was marked by CD5, CD27, SPN (CD43), CCR10 and CCL22",pending,
CD5+ mature B cells,,human,false,CD5,explicit,B cell developmental niche in human fetal lungs,"The final stage of mature CD5+ cells was marked by CD5, CD27, SPN (CD43), CCR10 and CCL22",pending,
CD5+ mature B cells,,human,false,SPN,explicit,B cell developmental niche in human fetal lungs,"The final stage of mature CD5+ cells was marked by CD5, CD27, SPN (CD43), CCR10 and CCL22",pending,
CXCL2+ macrophages,,human,false,CXCL2,explicit,Development of the myeloid compartment in fetal lungs,"followed by maturing macrophage (MΦ) cell types (CXCL2+ macrophages, APOE+ macrophages, macrophages)",pending,
DC2,,human,false,CD1C,explicit,Myeloid cells secrete IL-1β in fetal lungs,utilizing CD1C as a marker for DC2 cells,pending,
HSC,,human,false,SMIM24,explicit,Development of the myeloid compartment in fetal lungs,"rare SMIM24+SPINK2+ cells, likely HSCs",pending,
HSC,,human,false,SPINK2,explicit,Development of the myeloid compartment in fetal lungs,"rare SMIM24+SPINK2+ cells, likely HSCs",pending,
IGKC+ small pre-B cells,,human,false,IGKC,explicit,B cell developmental niche in human fetal lungs,"small pre-B cell clusters, expressing either immunoglobulin kappa (IGKC+) or lambda (IGLC2+IGLC3+) light chain genes",pending,
IGLC2+IGLC3+ small pre-B cells,,human,false,IGLC2,explicit,B cell developmental niche in human fetal lungs,"small pre-B cell clusters, expressing either immunoglobulin kappa (IGKC+) or lambda (IGLC2+IGLC3+) light chain genes",pending,
IGLC2+IGLC3+ small pre-B cells,,human,false,IGLC3,explicit,B cell developmental niche in human fetal lungs,"small pre-B cell clusters, expressing either immunoglobulin kappa (IGKC+) or lambda (IGLC2+IGLC3+) light chain genes",pending,
ILCP,,human,false,HPN,explicit,"T, NK and innate lymphoid cells in fetal lungs",A cluster of ILCPs was identified by expression of marker genes (HPN and SCN1B (28)),pending,
ILCP,,human,false,SCN1B,explicit,"T, NK and innate lymphoid cells in fetal lungs",A cluster of ILCPs was identified by expression of marker genes (HPN and SCN1B (28)),pending,
LMPP/ELP,,human,false,CD34,explicit,B cell developmental niche in human fetal lungs,"including LMPP/ELP (CD34+EBF1-), pre-pro-B (EBF1+SPINK2+VPREB1+), pro-B (DNTT+), large pre-B (IL7R+MS4A1+MKI67+), small pre-B (IL7R+SPIB+MKI67-), immature B (MS4A1+IGHDloIGHMhiVPREB3hi) and mature B (MS4A1+IGHDhiIGHMhiVPREB3lo) cells",pending,
S100A12hi CD14+ monocytes,,human,false,CD14,explicit,Development of the myeloid compartment in fetal lungs,"pro-monocyte and monocyte populations (S100A12hi CD14+, S100A12loCD14+ and CD16+)",pending,
S100A12hi CD14+ monocytes,,human,false,S100A12,explicit,Development of the myeloid compartment in fetal lungs,"pro-monocyte and monocyte populations (S100A12hi CD14+, S100A12loCD14+ and CD16+)",pending,
