cell_type,subtype,species,is_pns_cell,gene_symbol,evidence_level,source_section,source_context,review_status,notes
AT1 cells,,human,false,AGER,explicit,Fig.4d,"RNA ISH, showing decreased expression of SEMA3B in AGER-expressing AT1 cells.",pending,
AT1 cells,,human,false,Hopx,explicit,Fig. 5d,"RNA ISH of Sftpc (green), Hopx (white), and Sema3b (red) on the P7 control (n = 5) and injured (n = 5) mouse lungs exhibiting co-localization of Sema3b+ within Hopx+ epithelial cells in the alveolar parenchyma.",pending,
AT2 cells,,human,false,SFTPC,explicit,Fig.3f,"ANKRD1+ / PECAM1+ endothelial cells were localized to the alveolar parenchyma, near SFTPC+ alveolar type 2 (AT2) cells.",pending,
aCaps,,human,false,ADGRL2,explicit,Results: Endothelial analysis,"The abCaps also express certain pan-capillary markers PDGFB, RGCC, and ADGRL2.",pending,
aCaps,,human,false,EDNRB,explicit,Fig.3d,abCaps have markedly reduced expression of aCap hallmark genes EDNRB and SOSTDC1 when compared to other aCaps.,pending,
aCaps,,human,false,PDGFB,explicit,Results: Endothelial analysis,"The abCaps also express certain pan-capillary markers PDGFB, RGCC, and ADGRL2.",pending,
aCaps,,human,false,RGCC,explicit,Results: Endothelial analysis,"The abCaps also express certain pan-capillary markers PDGFB, RGCC, and ADGRL2.",pending,
aCaps,,human,false,SOSTDC1,explicit,Fig.3d,abCaps have markedly reduced expression of aCap hallmark genes EDNRB and SOSTDC1 when compared to other aCaps.,pending,
abCap,,human,false,ANKRD1,explicit,Discussion,"Deeper characterization of these cells demonstrates increased expression of YAP signaling targets (e.g., CCN1, CCN2, SERPINE1, and CRIM1, along with abCap hallmark and YAP target gene ANKRD1).",pending,
abCaps,,human,false,ADGRL2,explicit,Results: Endothelial analysis,"The abCaps also express certain pan-capillary markers PDGFB, RGCC, and ADGRL2.",pending,
abCaps,,human,false,ANKRD1,explicit,Fig.3c,"This group of 647 cells is marked by high expression of ANKRD1, a gene that is nearly absent among all other endothelial cell clusters.",pending,
abCaps,,human,false,PDGFB,explicit,Results: Endothelial analysis,"The abCaps also express certain pan-capillary markers PDGFB, RGCC, and ADGRL2.",pending,
abCaps,,human,false,RGCC,explicit,Results: Endothelial analysis,"The abCaps also express certain pan-capillary markers PDGFB, RGCC, and ADGRL2.",pending,
endothelial cells,,human,false,ERG,explicit,Fig. 7b,"Immunoﬂuorescence for ERG (red) and FOXF1 (white) demonstrating co-localization of FOXF1 within ERG+ endothelial cells in the distal lung parenchyma in term (n = 3) and preterm (n = 5) uninjured controls, with decreased FOXF1 in patients with BPD (n = 2) and BPD + PH (n = 4).",pending,
endothelial cells,,human,false,PECAM1,explicit,Fig. 4e,"RNA ISH for SEMA6A (red) and PECAM1 (white), demonstrating co-localization of SEMA6A within PECAM1+ endothelial cells in term (n = 3) and preterm (n = 5) uninjured controls, with decreased expression in BPD (n = 2) and BPD + PH (n = 4).",pending,
endothelial cells,,human,false,Pecam1,explicit,Fig. 5e,RNA ISH of Pecam1 (white) and Sema6a (red) on the P7 control (n = 5) and injured (n = 5) mouse lungs exhibiting co-localization of Sema6a+ within Pecam1+ endothelial cells in the alveolar parenchyma.,pending,
gCaps,,human,false,ADGRL2,explicit,Results: Endothelial analysis,"The abCaps also express certain pan-capillary markers PDGFB, RGCC, and ADGRL2.",pending,
gCaps,,human,false,BTNL9,explicit,Fig.3d,"abCaps lack expression of canonical gCap genes FCN3, IL7R, and BTNL9.",pending,
gCaps,,human,false,FCN3,explicit,Fig.3d,"abCaps lack expression of canonical gCap genes FCN3, IL7R, and BTNL9.",pending,
gCaps,,human,false,IL7R,explicit,Fig.3d,"abCaps lack expression of canonical gCap genes FCN3, IL7R, and BTNL9.",pending,
gCaps,,human,false,PDGFB,explicit,Results: Endothelial analysis,"The abCaps also express certain pan-capillary markers PDGFB, RGCC, and ADGRL2.",pending,
gCaps,,human,false,RGCC,explicit,Results: Endothelial analysis,"The abCaps also express certain pan-capillary markers PDGFB, RGCC, and ADGRL2.",pending,
tip cells,,human,false,ANGPT2,explicit,Fig.3e,"Relative to other endothelial cells, abCaps have increased expression of tip cell hallmarks ESM1, ANGPT2, APLN, MCAM, COTL1.",pending,
tip cells,,human,false,APLN,explicit,Fig.3e,"Relative to other endothelial cells, abCaps have increased expression of tip cell hallmarks ESM1, ANGPT2, APLN, MCAM, COTL1.",pending,
tip cells,,human,false,COTL1,explicit,Fig.3e,"Relative to other endothelial cells, abCaps have increased expression of tip cell hallmarks ESM1, ANGPT2, APLN, MCAM, COTL1.",pending,
