paper_id,document_id,document_role,cell_type,subtype,species,is_pns_cell,gene_symbol,evidence_type,model_evidence_type,marker_polarity,model_marker_polarity,candidate_class,source_locator,source_context,review_status,exclusion_reason,guardrail_reason,notes
DOI_10.1016_j.celrep.2018.11.086,DOI_10.1016_j.celrep.2018.11.086,primary,NE epithelia,,human,false,chromogranin A,author_declared,,positive,,formal_candidate,"Introduction, first paragraph (near beginning)",NE epithelia express markers such as chromogranin A,pending,,,
DOI_10.1016_j.celrep.2018.11.086,DOI_10.1016_j.celrep.2018.11.086,primary,club epithelia (OE1),OE1,human,false,PSCA,author_declared,,positive,,formal_candidate,"Results: Single-Cell Sequencing Data Improves FACS of Human Prostate Cell Types, p.3534",PSCA was identified as a potential cell surface marker of both OE cell types (as well as a subpopulation of LE),pending,,,
DOI_10.1016_j.celrep.2018.11.086,DOI_10.1016_j.celrep.2018.11.086,primary,endothelia,,human,false,CD31,author_declared,,positive,,formal_candidate,"Results: Single-Cell Sequencing Data Improves FACS of Human Prostate Cell Types, p.3534",CD31 is an inefficient endothelial marker in human prostate,pending,,,
DOI_10.1016_j.celrep.2018.11.086,DOI_10.1016_j.celrep.2018.11.086,primary,fibroblasts,,human,false,PDPN,author_declared,,positive,,formal_candidate,"Discussion, p.3540","scRNA-seq also revealed PDPN as a positive marker of fibroblasts, which was used again on optimized FACS gates to confirm 91% purity of PDPN+ fibroblasts and 93% purity of PDPN- smooth muscle.",pending,,,
DOI_10.1016_j.celrep.2018.11.086,DOI_10.1016_j.celrep.2018.11.086,primary,hillock epithelia (OE2),OE2,human,false,PSCA,author_declared,,positive,,formal_candidate,"Results: Single-Cell Sequencing Data Improves FACS of Human Prostate Cell Types, p.3534",PSCA was identified as a potential cell surface marker of both OE cell types (as well as a subpopulation of LE),pending,,,
DOI_10.1016_j.celrep.2018.11.086,DOI_10.1016_j.celrep.2018.11.086,primary,luminal epithelia,,human,false,PSCA,author_declared,,positive,,formal_candidate,"Results: Single-Cell Sequencing Data Improves FACS of Human Prostate Cell Types, p.3534",PSCA was identified as a potential cell surface marker of both OE cell types (as well as a subpopulation of LE),pending,,,
DOI_10.1016_j.celrep.2018.11.086,DOI_10.1016_j.celrep.2018.11.086,primary,neuroendocrine cells,,human,false,SCG2,author_declared,,positive,,formal_candidate,"Results: Single-Cell Sequencing of the Normal Human Prostate..., p.3532",A marker gene for NE cells that was discovered in our dataset (SCG2) was tested in combination with a known NE cell marker (CHGA) and confirmed in situ.,pending,,,
DOI_10.1016_j.celrep.2018.11.086,DOI_10.1016_j.celrep.2018.11.086,primary,stromal cells,,human,false,CD200,author_declared,,positive,,formal_candidate,"Discussion, p.3540",Our first scRNA-seq experiment confirmed a 29% endothelial cell contamination of the stroma and revealed CD200 as a potentially superior marker. The replacement of CD31 with CD200 improved the purity of the stromal gate from 69% to 93% (Figure 2).,pending,,,
DOI_10.1016_j.celrep.2018.11.086,DOI_10.1016_j.celrep.2018.11.086,primary,basal epithelia,,human,false,CD104,annotation_marker,,positive,,formal_candidate,"Results: Bulk Sequencing of the Human Prostate Cells Sorted by FACS, p.3531","Several other options exist for identifying basal epithelia, including Podoplanin, CD104, and CD271",pending,,,
DOI_10.1016_j.celrep.2018.11.086,DOI_10.1016_j.celrep.2018.11.086,primary,basal epithelia,,human,false,CD271,annotation_marker,,positive,,formal_candidate,"Results: Bulk Sequencing of the Human Prostate Cells Sorted by FACS, p.3531","Several other options exist for identifying basal epithelia, including Podoplanin, CD104, and CD271",pending,,,
