paper_id,document_id,document_role,cell_type,subtype,species,is_pns_cell,gene_symbol,evidence_type,model_evidence_type,marker_polarity,model_marker_polarity,candidate_class,source_locator,source_context,review_status,exclusion_reason,guardrail_reason,notes
DOI_10.1016_j.isci.2024.111628,DOI_10.1016_j.isci.2024.111628,primary,Immune cells,,human,false,IL7R,author_declared,,positive,,formal_candidate,"Results p.3, Fig. 1B feature plots","For the immune compartment, we plotted PTPRC, the leukocyte common antigen, and IL7R, a marker of lymphoid and developing immune cells,14,15",pending,,,
DOI_10.1016_j.isci.2024.111628,DOI_10.1016_j.isci.2024.111628,primary,Immune cells,,human,false,PTPRC,author_declared,,positive,,formal_candidate,"Results p.3, Fig. 1B feature plots","For the immune compartment, we plotted PTPRC, the leukocyte common antigen, and IL7R, a marker of lymphoid and developing immune cells,14,15",pending,,,
DOI_10.1016_j.isci.2024.111628,DOI_10.1016_j.isci.2024.111628,primary,Macrophage,,human,false,LYVE1,author_declared,,positive,,formal_candidate,"Results, Assessment of immune cells, Fig. 2B Heatmaps","For single-nucleus top DEGs, notable markers included LYVE1 and RNASE1 for macrophage, TLR2 for monocytes, and IL7R for T cells.",pending,,,
DOI_10.1016_j.isci.2024.111628,DOI_10.1016_j.isci.2024.111628,primary,Macrophage,,human,false,RNASE1,author_declared,,positive,,formal_candidate,"Results, Assessment of immune cells, Fig. 2B Heatmaps","For single-nucleus top DEGs, notable markers included LYVE1 and RNASE1 for macrophage, TLR2 for monocytes, and IL7R for T cells.",pending,,,
DOI_10.1016_j.isci.2024.111628,DOI_10.1016_j.isci.2024.111628,primary,Monocytes,,human,false,TLR2,author_declared,,positive,,formal_candidate,"Results, Assessment of immune cells, Fig. 2B Heatmaps","For single-nucleus top DEGs, notable markers included LYVE1 and RNASE1 for macrophage, TLR2 for monocytes, and IL7R for T cells.",pending,,,
DOI_10.1016_j.isci.2024.111628,DOI_10.1016_j.isci.2024.111628,primary,T cells,,human,false,IL7R,author_declared,,positive,,formal_candidate,"Results, Assessment of immune cells, Fig. 2B Heatmaps","For single-nucleus top DEGs, notable markers included LYVE1 and RNASE1 for macrophage, TLR2 for monocytes, and IL7R for T cells.",pending,,,
DOI_10.1016_j.isci.2024.111628,DOI_10.1016_j.isci.2024.111628,primary,Umbrella cells,,human,false,UPK1A,author_declared,,positive,,formal_candidate,"Results p.3, Fig. 1B feature plots","For the urothelium, we previewed KRT5, a marker for uroepithelial basal cells, and UPK1A, a marker for umbrella cells.13,14",pending,,,
DOI_10.1016_j.isci.2024.111628,DOI_10.1016_j.isci.2024.111628,primary,Uroepithelial basal cells,,human,false,KRT5,author_declared,,positive,,formal_candidate,"Results p.3, Fig. 1B feature plots","For the urothelium, we previewed KRT5, a marker for uroepithelial basal cells, and UPK1A, a marker for umbrella cells.13,14",pending,,,
DOI_10.1016_j.isci.2024.111628,DOI_10.1016_j.isci.2024.111628,primary,Urothelial cells,,human,false,CEACAM1,author_declared,,positive,,formal_candidate,"Results, Assessment of single-cell and single-nucleus expression profiles in the urothelium, Fig. 2A Heatmaps","the top markers based on single-cell data included canonical urothelial markers (e.g., UPK2, UPK3B, KRT20, and CEACAM1)",pending,,,
DOI_10.1016_j.isci.2024.111628,DOI_10.1016_j.isci.2024.111628,primary,Urothelial cells,,human,false,KRT20,author_declared,,positive,,formal_candidate,"Results, Assessment of single-cell and single-nucleus expression profiles in the urothelium, Fig. 2A Heatmaps","the top markers based on single-cell data included canonical urothelial markers (e.g., UPK2, UPK3B, KRT20, and CEACAM1)",pending,,,
DOI_10.1016_j.isci.2024.111628,DOI_10.1016_j.isci.2024.111628,primary,Urothelial cells,,human,false,UPK2,author_declared,,positive,,formal_candidate,"Results, Assessment of single-cell and single-nucleus expression profiles in the urothelium, Fig. 2A Heatmaps","the top markers based on single-cell data included canonical urothelial markers (e.g., UPK2, UPK3B, KRT20, and CEACAM1)",pending,,,
DOI_10.1016_j.isci.2024.111628,DOI_10.1016_j.isci.2024.111628,primary,Urothelial cells,,human,false,UPK3B,author_declared,,positive,,formal_candidate,"Results, Assessment of single-cell and single-nucleus expression profiles in the urothelium, Fig. 2A Heatmaps","the top markers based on single-cell data included canonical urothelial markers (e.g., UPK2, UPK3B, KRT20, and CEACAM1)",pending,,,
