paper_id,document_id,document_role,cell_type,subtype,species,is_pns_cell,gene_symbol,evidence_type,model_evidence_type,marker_polarity,model_marker_polarity,candidate_class,source_locator,source_context,review_status,exclusion_reason,guardrail_reason,notes
DOI_10.1016_j.stem.2022.11.013,DOI_10.1016_j.stem.2022.11.013,primary,AT2 cells,alveolar type 2 cells,human,false,AXIN2,author_declared,,positive,,formal_candidate,"Results, NKX2.1 section","other AT2 markers including SCL34A2, LAMP3, CEBPD, HOPX, and AXIN2",pending,,,
DOI_10.1016_j.stem.2022.11.013,DOI_10.1016_j.stem.2022.11.013,primary,AT2 cells,alveolar type 2 cells,human,false,CEBPD,author_declared,,positive,,formal_candidate,"Results, NKX2.1 section","other AT2 markers including SCL34A2, LAMP3, CEBPD, HOPX, and AXIN2",pending,,,
DOI_10.1016_j.stem.2022.11.013,DOI_10.1016_j.stem.2022.11.013,primary,AT2 cells,alveolar type 2 cells,human,false,HTII-280,author_declared,,positive,,formal_candidate,"Results, first paragraph","AT2 cell markers, SFTPC, and HTII-280",pending,,,
DOI_10.1016_j.stem.2022.11.013,DOI_10.1016_j.stem.2022.11.013,primary,AT2 cells,alveolar type 2 cells,human,false,SCL34A2,author_declared,,positive,,formal_candidate,"Results, NKX2.1 section","other AT2 markers including SCL34A2, LAMP3, CEBPD, HOPX, and AXIN2",pending,,,
DOI_10.1016_j.stem.2022.11.013,DOI_10.1016_j.stem.2022.11.013,primary,AT2 cells,alveolar type 2 cells,human,false,SFTPC,author_declared,,positive,,formal_candidate,"Results, first paragraph","AT2 cell markers, SFTPC, and HTII-280",pending,,,
DOI_10.1016_j.stem.2022.11.013,DOI_10.1016_j.stem.2022.11.013,primary,CD44−CD36− cells,airway-lineage cells,human,false,SOX2,author_declared,,positive,,formal_candidate,"Results, late-tip section",airway markers TP63 and SOX2,pending,,,
DOI_10.1016_j.stem.2022.11.013,DOI_10.1016_j.stem.2022.11.013,primary,CD44−CD36− cells,airway-lineage cells,human,false,TP63,author_declared,,positive,,formal_candidate,"Results, late-tip section",airway markers TP63 and SOX2,pending,,,
DOI_10.1016_j.stem.2022.11.013,DOI_10.1016_j.stem.2022.11.013,primary,airway-lineage cells,airway progenitors,human,false,SOX2,author_declared,,positive,,formal_candidate,"Results, late-tip section","the airway markers, TP63 and SOX2",pending,,,
DOI_10.1016_j.stem.2022.11.013,DOI_10.1016_j.stem.2022.11.013,primary,airway-lineage cells,airway progenitors,human,false,TP63,author_declared,,positive,,formal_candidate,"Results, late-tip section","the airway markers, TP63 and SOX2",pending,,,
DOI_10.1016_j.stem.2022.11.013,DOI_10.1016_j.stem.2022.11.013,primary,basal cells,basal-like cells,human,false,KRT5,author_declared,,positive,,formal_candidate,"Results, NKX2.1 section","basal cell markers TP63/P63, KRT5, and NGFR",pending,,,
