paper_id,document_id,document_role,cell_type,subtype,species,is_pns_cell,gene_symbol,evidence_type,model_evidence_type,marker_polarity,model_marker_polarity,candidate_class,source_locator,source_context,review_status,exclusion_reason,guardrail_reason,notes
DOI_10.1038_s41467-021-21783-3,DOI_10.1038_s41467-021-21783-3,primary,Alveolar cells (Avd),,mouse,false,Csn2,author_declared,,positive,,formal_candidate,"Results, paragraph describing Fig. 2c,d","This was accompanied by the expression of known markers of alveologenesis such as the milk protein beta-casein (Csn2) and the transcription factor Elf5 (Fig. 2c, d).",pending,,,
DOI_10.1038_s41467-021-21783-3,DOI_10.1038_s41467-021-21783-3,primary,Alveolar cells (Avd),,mouse,false,Elf5,author_declared,,positive,,formal_candidate,"Results, paragraph describing Fig. 2c,d","This was accompanied by the expression of known markers of alveologenesis such as the milk protein beta-casein (Csn2) and the transcription factor Elf5 (Fig. 2c, d).",pending,,,
DOI_10.1038_s41467-021-21783-3,DOI_10.1038_s41467-021-21783-3,primary,Regulatory T cells (Tregs),tissue-resident,mouse,false,Il1rl1,author_declared,,positive,,formal_candidate,"Results, Treg paragraph near Fig. 4g","Compared to wild-type animals, Tregs from stage1 show reduced expression of Klrg1 and Il1rl1, two markers of tissue resident Tregs, suggesting an early influx of Tregs from the circulatory system preceding tumour formation (Fig. 4g).",pending,,,
DOI_10.1038_s41467-021-21783-3,DOI_10.1038_s41467-021-21783-3,primary,Regulatory T cells (Tregs),tissue-resident,mouse,false,Klrg1,author_declared,,positive,,formal_candidate,"Results, Treg paragraph near Fig. 4g","Compared to wild-type animals, Tregs from stage1 show reduced expression of Klrg1 and Il1rl1, two markers of tissue resident Tregs, suggesting an early influx of Tregs from the circulatory system preceding tumour formation (Fig. 4g).",pending,,,
DOI_10.1038_s41467-021-21783-3,DOI_10.1038_s41467-021-21783-3,primary,alveolar cells,,mouse,false,Csn2,figure_labeled,,positive,,formal_candidate,Fig.4c legend,Gene expression for the paracrine signalling factors Rankl and Igf2 in hormone-sensing cells and the alveolar markers Csn2 and Wap in luminal progenitors and alveolar cells.,pending,,,
DOI_10.1038_s41467-021-21783-3,DOI_10.1038_s41467-021-21783-3,primary,alveolar cells,,mouse,false,Wap,figure_labeled,,positive,,formal_candidate,Fig.4c legend,Gene expression for the paracrine signalling factors Rankl and Igf2 in hormone-sensing cells and the alveolar markers Csn2 and Wap in luminal progenitors and alveolar cells.,pending,,,
DOI_10.1038_s41467-021-21783-3,DOI_10.1038_s41467-021-21783-3,primary,Alveolar cells (Avd),,mouse,false,Spp1,cluster_enriched,,positive,,context_only,"Results, CellPhoneDB analysis paragraph near Fig. 4e",Spp1 is up-regulated specifically in Avd during tumourigenesis and ultimately also highly expressed by the tumour (Fig. 4e and Supplementary Fig. 6e).,excluded_by_rule,非正式 marker 证据；仅保留上下文,,
DOI_10.1038_s41467-021-21783-3,DOI_10.1038_s41467-021-21783-3,primary,Tumour-associated macrophages,Tam2,mouse,false,Apoe,cluster_enriched,annotation_marker,positive,,context_only,"Results, myeloid compartment paragraph (Supplementary Fig. 7)","We further found two types of tumour-associated macrophages Tam 1 (marked by Arg1, Spp1 and Trem2) and Tam2 (marked by C1qb, C1qc, Lgmn and Apoe) (Supplementary Fig.7)18.",excluded_by_rule,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文
DOI_10.1038_s41467-021-21783-3,DOI_10.1038_s41467-021-21783-3,primary,Tumour-associated macrophages,Tam1,mouse,false,Arg1,cluster_enriched,annotation_marker,positive,,context_only,"Results, myeloid compartment paragraph (Supplementary Fig. 7)","We further found two types of tumour-associated macrophages Tam 1 (marked by Arg1, Spp1 and Trem2) and Tam2 (marked by C1qb, C1qc, Lgmn and Apoe) (Supplementary Fig.7)18.",excluded_by_rule,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文
DOI_10.1038_s41467-021-21783-3,DOI_10.1038_s41467-021-21783-3,primary,Tumour-associated macrophages,Tam2,mouse,false,C1qb,cluster_enriched,annotation_marker,positive,,context_only,"Results, myeloid compartment paragraph (Supplementary Fig. 7)","We further found two types of tumour-associated macrophages Tam 1 (marked by Arg1, Spp1 and Trem2) and Tam2 (marked by C1qb, C1qc, Lgmn and Apoe) (Supplementary Fig.7)18.",excluded_by_rule,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文
DOI_10.1038_s41467-021-21783-3,DOI_10.1038_s41467-021-21783-3,primary,Tumour-associated macrophages,Tam2,mouse,false,C1qc,cluster_enriched,annotation_marker,positive,,context_only,"Results, myeloid compartment paragraph (Supplementary Fig. 7)","We further found two types of tumour-associated macrophages Tam 1 (marked by Arg1, Spp1 and Trem2) and Tam2 (marked by C1qb, C1qc, Lgmn and Apoe) (Supplementary Fig.7)18.",excluded_by_rule,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文
DOI_10.1038_s41467-021-21783-3,DOI_10.1038_s41467-021-21783-3,primary,Tumour-associated macrophages,Tam2,mouse,false,Lgmn,cluster_enriched,annotation_marker,positive,,context_only,"Results, myeloid compartment paragraph (Supplementary Fig. 7)","We further found two types of tumour-associated macrophages Tam 1 (marked by Arg1, Spp1 and Trem2) and Tam2 (marked by C1qb, C1qc, Lgmn and Apoe) (Supplementary Fig.7)18.",excluded_by_rule,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文
