paper_id,document_id,document_role,cell_type,subtype,species,is_pns_cell,gene_symbol,evidence_type,model_evidence_type,marker_polarity,model_marker_polarity,candidate_class,source_locator,source_context,review_status,exclusion_reason,guardrail_reason,notes
DOI_10.1038_s41591-024-03215-z,DOI_10.1038_s41591-024-03215-z,primary,B cells,potentially regulatory B cells,human,false,FCRL5,author_declared,,positive,,formal_candidate,"Methods, 'De novo cell type annotation of the cell-segmented MERFISH data'",a small population of potentially regulatory B cells expressing FOXP3 in addition to the typical B cell marker FCRL5,pending,,,
DOI_10.1038_s41591-024-03215-z,DOI_10.1038_s41591-024-03215-z,primary,macrophages,CD163+/CD68+/APOE+/HIF1A+ state,human,false,APOE,author_declared,,positive,,formal_candidate,"Results/Discussion, Fig. 5a; Extended Data Fig. 9c,d","two macrophage states characterized by CD163/CD68/APOE/HIF1A and MKI67, respectively",pending,,,
DOI_10.1038_s41591-024-03215-z,DOI_10.1038_s41591-024-03215-z,primary,macrophages,,human,false,CD163,author_declared,,positive,,formal_candidate,"Results, Fig. 4f","expression of CD163, a key macrophage marker, with the three representative samples showing predominantly CD163+ macrophages",pending,,,
DOI_10.1038_s41591-024-03215-z,DOI_10.1038_s41591-024-03215-z,primary,macrophages,CD163+/CD68+/APOE+/HIF1A+ state,human,false,CD163,author_declared,,positive,,formal_candidate,"Results/Discussion, Fig. 5a; Extended Data Fig. 9c,d","two macrophage states characterized by CD163/CD68/APOE/HIF1A and MKI67, respectively",pending,,,
DOI_10.1038_s41591-024-03215-z,DOI_10.1038_s41591-024-03215-z,primary,macrophages,CD163+/CD68+/APOE+/HIF1A+ state,human,false,CD68,author_declared,,positive,,formal_candidate,"Results/Discussion, Fig. 5a; Extended Data Fig. 9c,d","two macrophage states characterized by CD163/CD68/APOE/HIF1A and MKI67, respectively",pending,,,
DOI_10.1038_s41591-024-03215-z,DOI_10.1038_s41591-024-03215-z,primary,macrophages,CD163+/CD68+/APOE+/HIF1A+ state,human,false,HIF1A,author_declared,,positive,,formal_candidate,"Results/Discussion, Fig. 5a; Extended Data Fig. 9c,d","two macrophage states characterized by CD163/CD68/APOE/HIF1A and MKI67, respectively",pending,,,
DOI_10.1038_s41591-024-03215-z,DOI_10.1038_s41591-024-03215-z,primary,macrophages,CD163−/MKI67+ state,human,false,MKI67,author_declared,,positive,,formal_candidate,"Results/Discussion, Fig. 5a; Extended Data Fig. 9c,d","two macrophage states characterized by CD163/CD68/APOE/HIF1A and MKI67, respectively",pending,,,
DOI_10.1038_s41591-024-03215-z,DOI_10.1038_s41591-024-03215-z,primary,adipocytes,,human,false,LIPE,annotation_marker,,positive,,formal_candidate,"Methods, MERFISH data generation","In addition to the 297 genes selected for MERFISH as described above, two additional genes, ALB and LIPE, were added to the gene panel for ready identification of the common host tissue cell types found in liver (hepatocytes) and adipose (adipocytes) tissues, respectively.",pending,,,
DOI_10.1038_s41591-024-03215-z,DOI_10.1038_s41591-024-03215-z,primary,hepatocytes,,human,false,ALB,annotation_marker,,positive,,formal_candidate,"Methods, MERFISH data generation","In addition to the 297 genes selected for MERFISH as described above, two additional genes, ALB and LIPE, were added to the gene panel for ready identification of the common host tissue cell types found in liver (hepatocytes) and adipose (adipocytes) tissues, respectively.",pending,,,
DOI_10.1038_s41591-024-03215-z,DOI_10.1038_s41591-024-03215-z,primary,macrophages,CD163−/MKI67+ state,human,false,CD163,annotation_marker,,negative,,formal_candidate,"Results, Fig. 5a; Extended Data Fig. 9c,d",a CD163− cluster associated with lower macrophage marker expression and expression of MKI67,pending,,,
DOI_10.1038_s41591-024-03215-z,DOI_10.1038_s41591-024-03215-z,primary,Macrophage,,human,false,CD163,figure_labeled,,positive,,formal_candidate,"Fig. 5a, Fig. 5b legend; Fig. 4f","Fig. 5a: UMAPs of all observations confidently annotated as macrophages ... colored by log-normalized expression of CD163 ... Fig. 5b legend: 'Dot plot depicting the scaled expression (by gene, across clusters) and fraction of expressing cells of macrophage marker and function genes as well as marker genes for other cell types...'; Fig. 4f: 'Spatial scatter plot of macrophages overlaid onto H&E images showing the expression levels of CD163 in the depicted macrophages' with 74%/92%/89% CD163+.",pending,,,
DOI_10.1038_s41591-024-03215-z,DOI_10.1038_s41591-024-03215-z,primary,Macrophage,,human,false,HLA-DRA,figure_labeled,,positive,,formal_candidate,"Fig. 5a, Fig. 5b legend","Fig. 5a: UMAPs of all observations confidently annotated as macrophages ... colored by log-normalized expression of ... HLA-DRA ... Fig. 5b legend: 'Dot plot depicting the scaled expression (by gene, across clusters) and fraction of expressing cells of macrophage marker and function genes...'",pending,,,
DOI_10.1038_s41591-024-03215-z,DOI_10.1038_s41591-024-03215-z,primary,B regulatory cells,,human,false,FCRL5,cluster_enriched,annotation_marker,positive,,context_only,"Results, Extended Data Fig. 8e",a small cluster of B regulatory cells jointly expressing FOXP3 and FCRL5 (Extended Data Fig. 8e),excluded_by_rule,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文
DOI_10.1038_s41591-024-03215-z,DOI_10.1038_s41591-024-03215-z,primary,B regulatory cells,,human,false,FOXP3,cluster_enriched,annotation_marker,positive,,context_only,"Results, Extended Data Fig. 8e",a small cluster of B regulatory cells jointly expressing FOXP3 and FCRL5 (Extended Data Fig. 8e),excluded_by_rule,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文
DOI_10.1038_s41591-024-03215-z,DOI_10.1038_s41591-024-03215-z,primary,Fibroblast,,human,false,CCN2,cluster_enriched,,positive,,context_only,Results section (Extended Data Fig. 3f context),"...with two exceptions (SPP1 and CCN2), which were more highly expressed in axilla, bone and breast macrophages and fibroblasts, respectively (Extended Data Fig. 3f).",excluded_by_rule,非正式 marker 证据；仅保留上下文,,
DOI_10.1038_s41591-024-03215-z,DOI_10.1038_s41591-024-03215-z,primary,Macrophage,,human,false,SPP1,cluster_enriched,,positive,,context_only,Results section (Extended Data Fig. 3f context),"...with two exceptions (SPP1 and CCN2), which were more highly expressed in axilla, bone and breast macrophages and fibroblasts, respectively (Extended Data Fig. 3f).",excluded_by_rule,非正式 marker 证据；仅保留上下文,,
DOI_10.1038_s41591-024-03215-z,DOI_10.1038_s41591-024-03215-z,primary,macrophages,small clusters with distinct states/functions,human,false,ANLN,cluster_enriched,annotation_marker,positive,,context_only,"Results, Fig. 5b; Extended Data Fig. 10b","distinct cluster-defining genes associated with different states or functions, such as ANLN or CDK6 (proliferation), MMP11 (tissue remodeling) or FCN1 (angiogenesis)",excluded_by_rule,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文
DOI_10.1038_s41591-024-03215-z,DOI_10.1038_s41591-024-03215-z,primary,macrophages,CD163+/CD68+/APOE+/HIF1A+ state,human,false,APOC1,cluster_enriched,,positive,,context_only,"Results, Fig. 5a; Extended Data Fig. 9c,d",a CD163+ cluster with high expression of macrophage markers as well as HIF1A and APOE/APOC1,excluded_by_rule,非正式 marker 证据；仅保留上下文,,
DOI_10.1038_s41591-024-03215-z,DOI_10.1038_s41591-024-03215-z,primary,macrophages,APOE-expressing,human,false,APOE,cluster_enriched,annotation_marker,positive,,context_only,"Results, lipid-associated macrophages paragraph",the fraction of APOE-expressing macrophages varied from 24% to 85% of all macrophages,excluded_by_rule,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文
DOI_10.1038_s41591-024-03215-z,DOI_10.1038_s41591-024-03215-z,primary,macrophages,small clusters with distinct states/functions,human,false,CDK6,cluster_enriched,annotation_marker,positive,,context_only,"Results, Fig. 5b; Extended Data Fig. 10b","distinct cluster-defining genes associated with different states or functions, such as ANLN or CDK6 (proliferation), MMP11 (tissue remodeling) or FCN1 (angiogenesis)",excluded_by_rule,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文
DOI_10.1038_s41591-024-03215-z,DOI_10.1038_s41591-024-03215-z,primary,macrophages,small clusters with distinct states/functions,human,false,FCN1,cluster_enriched,annotation_marker,positive,,context_only,"Results, Fig. 5b; Extended Data Fig. 10b","distinct cluster-defining genes associated with different states or functions, such as ANLN or CDK6 (proliferation), MMP11 (tissue remodeling) or FCN1 (angiogenesis)",excluded_by_rule,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文
DOI_10.1038_s41591-024-03215-z,DOI_10.1038_s41591-024-03215-z,primary,macrophages,small clusters with distinct states/functions,human,false,MMP11,cluster_enriched,annotation_marker,positive,,context_only,"Results, Fig. 5b; Extended Data Fig. 10b","distinct cluster-defining genes associated with different states or functions, such as ANLN or CDK6 (proliferation), MMP11 (tissue remodeling) or FCN1 (angiogenesis)",excluded_by_rule,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文
DOI_10.1038_s41591-024-03215-z,DOI_10.1038_s41591-024-03215-z,primary,malignant cells,in T/NK− neighborhoods,human,false,AZGP1,cluster_enriched,,positive,,context_only,"Results, Fig. 6f","additional key genes (for example, GATA3 and FOXA1 in T/NK+ regions; TMSB10 and AZGP1 in T/NK− regions)",excluded_by_rule,非正式 marker 证据；仅保留上下文,,
DOI_10.1038_s41591-024-03215-z,DOI_10.1038_s41591-024-03215-z,primary,malignant cells,in T/NK+ neighborhoods,human,false,B2M,cluster_enriched,,positive,,context_only,"Results, Fig. 6e,f","Malignant cells in T/NK+ bins showed higher expression of MHC-I and MHC-II genes (HLA-E, CD74, B2M, HLA-DRA and HLA-B) ... also luminal epithelial genes (KRT8, KRT18 and MUC1) and ISG15",excluded_by_rule,非正式 marker 证据；仅保留上下文,,
DOI_10.1038_s41591-024-03215-z,DOI_10.1038_s41591-024-03215-z,primary,malignant cells,in T/NK+ neighborhoods,human,false,CD74,cluster_enriched,,positive,,context_only,"Results, Fig. 6e,f","Malignant cells in T/NK+ bins showed higher expression of MHC-I and MHC-II genes (HLA-E, CD74, B2M, HLA-DRA and HLA-B) ... also luminal epithelial genes (KRT8, KRT18 and MUC1) and ISG15",excluded_by_rule,非正式 marker 证据；仅保留上下文,,
DOI_10.1038_s41591-024-03215-z,DOI_10.1038_s41591-024-03215-z,primary,malignant cells,in T/NK+ neighborhoods,human,false,FOXA1,cluster_enriched,,positive,,context_only,"Results, Fig. 6f","additional key genes (for example, GATA3 and FOXA1 in T/NK+ regions; TMSB10 and AZGP1 in T/NK− regions)",excluded_by_rule,非正式 marker 证据；仅保留上下文,,
DOI_10.1038_s41591-024-03215-z,DOI_10.1038_s41591-024-03215-z,primary,malignant cells,in T/NK+ neighborhoods,human,false,GATA3,cluster_enriched,,positive,,context_only,"Results, Fig. 6f","additional key genes (for example, GATA3 and FOXA1 in T/NK+ regions; TMSB10 and AZGP1 in T/NK− regions)",excluded_by_rule,非正式 marker 证据；仅保留上下文,,
DOI_10.1038_s41591-024-03215-z,DOI_10.1038_s41591-024-03215-z,primary,malignant cells,in T/NK+ neighborhoods,human,false,HLA-B,cluster_enriched,,positive,,context_only,"Results, Fig. 6e,f","Malignant cells in T/NK+ bins showed higher expression of MHC-I and MHC-II genes (HLA-E, CD74, B2M, HLA-DRA and HLA-B) ... also luminal epithelial genes (KRT8, KRT18 and MUC1) and ISG15",excluded_by_rule,非正式 marker 证据；仅保留上下文,,
DOI_10.1038_s41591-024-03215-z,DOI_10.1038_s41591-024-03215-z,primary,malignant cells,in T/NK+ neighborhoods,human,false,HLA-DRA,cluster_enriched,,positive,,context_only,"Results, Fig. 6e,f","Malignant cells in T/NK+ bins showed higher expression of MHC-I and MHC-II genes (HLA-E, CD74, B2M, HLA-DRA and HLA-B) ... also luminal epithelial genes (KRT8, KRT18 and MUC1) and ISG15",excluded_by_rule,非正式 marker 证据；仅保留上下文,,
DOI_10.1038_s41591-024-03215-z,DOI_10.1038_s41591-024-03215-z,primary,malignant cells,in T/NK+ neighborhoods,human,false,HLA-E,cluster_enriched,,positive,,context_only,"Results, Fig. 6e,f","Malignant cells in T/NK+ bins showed higher expression of MHC-I and MHC-II genes (HLA-E, CD74, B2M, HLA-DRA and HLA-B) ... also luminal epithelial genes (KRT8, KRT18 and MUC1) and ISG15",excluded_by_rule,非正式 marker 证据；仅保留上下文,,
DOI_10.1038_s41591-024-03215-z,DOI_10.1038_s41591-024-03215-z,primary,malignant cells,in T/NK+ neighborhoods,human,false,ISG15,cluster_enriched,,positive,,context_only,"Results, Fig. 6e,f","Malignant cells in T/NK+ bins showed higher expression of ... luminal epithelial genes (KRT8, KRT18 and MUC1) and ISG15",excluded_by_rule,非正式 marker 证据；仅保留上下文,,
