paper_id,document_id,document_role,cell_type,subtype,species,is_pns_cell,gene_symbol,evidence_type,model_evidence_type,marker_polarity,model_marker_polarity,candidate_class,source_locator,source_context,review_status,exclusion_reason,guardrail_reason,notes
DOI_10.1101_2024.10.23.619925,DOI_10.1101_2024.10.23.619925,primary,Luminal-like,,human,false,KLK3,author_declared,,positive,,formal_candidate,"Results, 'Characterisation of the epithelial lineage...' (p.10)",Luminal-like cells expressed both luminal (KLK3) and club (PIGR) cell markers,pending,,,
DOI_10.1101_2024.10.23.619925,DOI_10.1101_2024.10.23.619925,primary,Luminal-like,,human,false,PIGR,author_declared,,positive,,formal_candidate,"Results, 'Characterisation of the epithelial lineage...' (p.10)",Luminal-like cells expressed both luminal (KLK3) and club (PIGR) cell markers,pending,,,
DOI_10.1101_2024.10.23.619925,DOI_10.1101_2024.10.23.619925,primary,NPF-like CAFs,,human,false,PTGDS,author_declared,,positive,,formal_candidate,Discussion p.39,"NPF-like population, characterised by PTGS2 (COX2), and PTGDS (PGD2) expression",pending,,,
DOI_10.1101_2024.10.23.619925,DOI_10.1101_2024.10.23.619925,primary,NPF-like CAFs,,human,false,PTGS2,author_declared,,positive,,formal_candidate,Discussion p.39,"NPF-like population, characterised by PTGS2 (COX2), and PTGDS (PGD2) expression",pending,,,
DOI_10.1101_2024.10.23.619925,DOI_10.1101_2024.10.23.619925,primary,vSMCs,,human,false,RERGL,author_declared,,positive,,formal_candidate,"Results, 'Characterisation of SMCs and CAFs in the PCa TME' (p.22)",We identified RERGL as a marker of vSMCs in the prostate,pending,,,
DOI_10.1101_2024.10.23.619925,DOI_10.1101_2024.10.23.619925,primary,CAFs,,human,false,DCN,annotation_marker,,positive,,formal_candidate,"Results, 'Characterisation of SMCs and CAFs in the PCa TME' (p.23)",Fibroblasts were identified by the expression of the canonical markers DCN and PDGFRA,pending,,,
DOI_10.1101_2024.10.23.619925,DOI_10.1101_2024.10.23.619925,primary,CAFs,,human,false,PDGFRA,annotation_marker,,positive,,formal_candidate,"Results, 'Characterisation of SMCs and CAFs in the PCa TME' (p.23)",Fibroblasts were identified by the expression of the canonical markers DCN and PDGFRA,pending,,,
DOI_10.1101_2024.10.23.619925,DOI_10.1101_2024.10.23.619925,primary,Altered benign MSMB+ cells,,human,false,MSMB,cluster_enriched,annotation_marker,positive,,context_only,Discussion p.38,"altered benign MSMB+ cells, despite the presence of CNVs, functionally resemble their normal counterparts with respect to AR signalling",excluded_by_rule,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文
DOI_10.1101_2024.10.23.619925,DOI_10.1101_2024.10.23.619925,primary,Basal,,human,false,DST,cluster_enriched,annotation_marker,positive,,context_only,"Results, 'Characterisation of the epithelial lineage...' (p.10)","five Basal (KRT5, KRT15, DST, TP63)",excluded_by_rule,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文
DOI_10.1101_2024.10.23.619925,DOI_10.1101_2024.10.23.619925,primary,Basal,ionocyte-like (RARRES2+/c17),human,false,FOXI1,cluster_enriched,,positive,,context_only,"Results, 'Characterisation of the epithelial lineage...' (p.10)","cluster 'RARRES2+/c17' resembled ionocytes (KRT5, KRT15+ and RARRES2, FOXI1+)",excluded_by_rule,非正式 marker 证据；仅保留上下文,,
DOI_10.1101_2024.10.23.619925,DOI_10.1101_2024.10.23.619925,primary,Basal,"Hillock-like (S100A2+/c2, PLCG2+/c3)",human,false,KRT13,cluster_enriched,,positive,,context_only,"Results, 'Characterisation of the epithelial lineage...' (p.10)",clusters 'S100A2+/c2' and 'PLCG2+/c3' were KRT5+KRT13+ and enriched in Basal and Hillock signatures,excluded_by_rule,非正式 marker 证据；仅保留上下文,,
DOI_10.1101_2024.10.23.619925,DOI_10.1101_2024.10.23.619925,primary,Basal,,human,false,KRT15,cluster_enriched,annotation_marker,positive,,context_only,"Results, 'Characterisation of the epithelial lineage...' (p.10)","five Basal (KRT5, KRT15, DST, TP63)",excluded_by_rule,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文
DOI_10.1101_2024.10.23.619925,DOI_10.1101_2024.10.23.619925,primary,Basal,,human,false,KRT5,cluster_enriched,annotation_marker,positive,,context_only,"Results, 'Characterisation of the epithelial lineage...' (p.10)","five Basal (KRT5, KRT15, DST, TP63)",excluded_by_rule,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文
DOI_10.1101_2024.10.23.619925,DOI_10.1101_2024.10.23.619925,primary,Basal,ionocyte-like (RARRES2+/c17),human,false,RARRES2,cluster_enriched,,positive,,context_only,"Results, 'Characterisation of the epithelial lineage...' (p.10)","cluster 'RARRES2+/c17' resembled ionocytes (KRT5, KRT15+ and RARRES2, FOXI1+)",excluded_by_rule,非正式 marker 证据；仅保留上下文,,
