paper_id,document_id,document_role,cell_type,subtype,species,is_pns_cell,gene_symbol,evidence_type,model_evidence_type,marker_polarity,model_marker_polarity,candidate_class,source_locator,source_context,review_status,exclusion_reason,guardrail_reason,notes
DOI_10.1126_science.aat5031,DOI_10.1126_science.aat5031,primary,pelvic epithelium (PE),,human,false,KRT17,author_declared,,positive,,formal_candidate,"Fig. 4B, S19A",CK17 (KRT17)+ cells (a marker of PE) in human kidney pelvis express CXCL8 and LCN2,pending,,,
DOI_10.1126_science.aat5031,DOI_10.1126_science.aat5031,primary,monocyte-derived macrophages,CD11c+MHCII+CD14+,human,false,CD11c,annotation_marker,,positive,,formal_candidate,Results p.4,"expression of CD11c, major histocompatibility complex (MHC) class II molecules and CD14 identifies monocyte-derived macrophages",pending,,,
DOI_10.1126_science.aat5031,DOI_10.1126_science.aat5031,primary,monocyte-derived macrophages,CD11c+MHCII+CD14+,human,false,CD14,annotation_marker,,positive,,formal_candidate,Results p.4,"expression of CD11c, major histocompatibility complex (MHC) class II molecules and CD14 identifies monocyte-derived macrophages",pending,,,
DOI_10.1126_science.aat5031,DOI_10.1126_science.aat5031,primary,monocyte-derived macrophages,CD11c+MHCII+CD14+,human,false,MHCII,annotation_marker,,positive,,formal_candidate,Results p.4,"expression of CD11c, major histocompatibility complex (MHC) class II molecules and CD14 identifies monocyte-derived macrophages",pending,,,
DOI_10.1126_science.aat5031,DOI_10.1126_science.aat5031,primary,MNP cluster,MNPd,human,false,C1QC,cluster_enriched,,positive,,context_only,"Figs. 3C, S16D","both clusters expressed MRC1, C1QC, CD163, and MAF",excluded_by_rule,非正式 marker 证据；仅保留上下文,,
DOI_10.1126_science.aat5031,DOI_10.1126_science.aat5031,primary,MNP cluster,MNPa,human,false,CD14,cluster_enriched,,positive,,context_only,Fig. 3C,"MNPa and MNPd contained cells expressing CD14, whilst MNPb expressed CD16 (FCGR3A)",excluded_by_rule,非正式 marker 证据；仅保留上下文,,
DOI_10.1126_science.aat5031,DOI_10.1126_science.aat5031,primary,MNP cluster,MNPd,human,false,CD14,cluster_enriched,,positive,,context_only,Fig. 3C,MNPa and MNPd contained cells expressing CD14,excluded_by_rule,非正式 marker 证据；仅保留上下文,,
DOI_10.1126_science.aat5031,DOI_10.1126_science.aat5031,primary,MNP cluster,MNPd,human,false,CD163,cluster_enriched,,positive,,context_only,"Figs. 3C, S16D","both clusters expressed MRC1, C1QC, CD163, and MAF",excluded_by_rule,非正式 marker 证据；仅保留上下文,,
DOI_10.1126_science.aat5031,DOI_10.1126_science.aat5031,primary,MNP cluster,MNPc,human,false,CD1C,cluster_enriched,annotation_marker,positive,,context_only,Fig. 3C,"Some cells in this cluster expressed CD1C, XCR1, CLEC9A and CD141 (THBD) indicating that it included cDC1 and cDC2 cells",excluded_by_rule,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文
DOI_10.1126_science.aat5031,DOI_10.1126_science.aat5031,primary,MNP cluster,MNPc,human,false,CLEC9A,cluster_enriched,annotation_marker,positive,,context_only,Fig. 3C,"Some cells in this cluster expressed CD1C, XCR1, CLEC9A and CD141 (THBD) indicating that it included cDC1 and cDC2 cells",excluded_by_rule,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文
