paper_id,document_id,document_role,cell_type,subtype,species,is_pns_cell,gene_symbol,evidence_type,model_evidence_type,marker_polarity,model_marker_polarity,candidate_class,source_locator,source_context,review_status,exclusion_reason,guardrail_reason,notes
DOI_10.1126_science.abo0510,DOI_10.1126_science.abo0510,primary,Iron-recycling macrophages,Iron-recycling,human,false,APOE,annotation_marker,,positive,,formal_candidate,"Materials and Methods, scRNA-seq analysis, Data integration and annotation, p.6","“Iron-recycling” expressing the highest levels of ferroportin (SLC40A1) and phosphatidylserine receptor TIMD4 but best characterized by expression of CD5L, VCAM1, and APOE;",pending,,,
DOI_10.1126_science.abo0510,DOI_10.1126_science.abo0510,primary,Iron-recycling macrophages,Iron-recycling,human,false,CD5L,annotation_marker,,positive,,formal_candidate,"Materials and Methods, scRNA-seq analysis, Data integration and annotation, p.6","“Iron-recycling” expressing the highest levels of ferroportin (SLC40A1) and phosphatidylserine receptor TIMD4 but best characterized by expression of CD5L, VCAM1, and APOE;",pending,,,
DOI_10.1126_science.abo0510,DOI_10.1126_science.abo0510,primary,Iron-recycling macrophages,Iron-recycling,human,false,SLC40A1,annotation_marker,,positive,,formal_candidate,"Materials and Methods, scRNA-seq analysis, Data integration and annotation, p.6","“Iron-recycling” expressing the highest levels of ferroportin (SLC40A1) and phosphatidylserine receptor TIMD4 but best characterized by expression of CD5L, VCAM1, and APOE;",pending,,,
DOI_10.1126_science.abo0510,DOI_10.1126_science.abo0510,primary,Iron-recycling macrophages,Iron-recycling,human,false,TIMD4,annotation_marker,,positive,,formal_candidate,"Materials and Methods, scRNA-seq analysis, Data integration and annotation, p.6","“Iron-recycling” expressing the highest levels of ferroportin (SLC40A1) and phosphatidylserine receptor TIMD4 but best characterized by expression of CD5L, VCAM1, and APOE;",pending,,,
DOI_10.1126_science.abo0510,DOI_10.1126_science.abo0510,primary,Iron-recycling macrophages,Iron-recycling,human,false,VCAM1,annotation_marker,,positive,,formal_candidate,"Materials and Methods, scRNA-seq analysis, Data integration and annotation, p.6","“Iron-recycling” expressing the highest levels of ferroportin (SLC40A1) and phosphatidylserine receptor TIMD4 but best characterized by expression of CD5L, VCAM1, and APOE;",pending,,,
DOI_10.1126_science.abo0510,DOI_10.1126_science.abo0510,primary,Kupffer-like macrophages,Kupffer-like,human,false,CAV,annotation_marker,,positive,,formal_candidate,"Materials and Methods, scRNA-seq analysis, Data integration and annotation, p.6","“Kupffer-like” expressing endothelial transcripts ENG, KDR, and CAV;",pending,,,
DOI_10.1126_science.abo0510,DOI_10.1126_science.abo0510,primary,Kupffer-like macrophages,Kupffer-like,human,false,ENG,annotation_marker,,positive,,formal_candidate,"Materials and Methods, scRNA-seq analysis, Data integration and annotation, p.6","“Kupffer-like” expressing endothelial transcripts ENG, KDR, and CAV;",pending,,,
DOI_10.1126_science.abo0510,DOI_10.1126_science.abo0510,primary,Kupffer-like macrophages,Kupffer-like,human,false,KDR,annotation_marker,,positive,,formal_candidate,"Materials and Methods, scRNA-seq analysis, Data integration and annotation, p.6","“Kupffer-like” expressing endothelial transcripts ENG, KDR, and CAV;",pending,,,
DOI_10.1126_science.abo0510,DOI_10.1126_science.abo0510,primary,LYVE1hi macrophages,LYVE1hi,human,false,F13A1,annotation_marker,,positive,,formal_candidate,"Materials and Methods, scRNA-seq analysis, Data integration and annotation, p.6","Macrophage subsets were annotated by analysis of marker genes ... groupings were defined as follows: “LYVE1hi” expressing F13A1, LYVE1, and SPP1;",pending,,,
DOI_10.1126_science.abo0510,DOI_10.1126_science.abo0510,primary,LYVE1hi macrophages,LYVE1hi,human,false,LYVE1,annotation_marker,,positive,,formal_candidate,"Materials and Methods, scRNA-seq analysis, Data integration and annotation, p.6","Macrophage subsets were annotated by analysis of marker genes ... groupings were defined as follows: “LYVE1hi” expressing F13A1, LYVE1, and SPP1;",pending,,,
